Date,Open,High,Low,Settle,Volume,Interest
2015-12-21,0.0,,,414.7,,
2015-12-22,0.0,0.0,0.0,417.45,0.0,
2015-12-23,425.95,425.95,425.95,429.65,1.0,
2015-12-24,0.0,0.0,0.0,430.05,0.0,1.0
2015-12-28,0.0,0.0,0.0,426.4,0.0,1.0
2015-12-29,0.0,0.0,0.0,433.65,0.0,1.0
2015-12-30,0.0,0.0,0.0,432.15,0.0,1.0
2015-12-31,0.0,0.0,0.0,428.05,0.0,1.0
2016-01-04,0.0,0.0,0.0,417.8,0.0,1.0
2016-01-05,0.0,0.0,0.0,421.05,0.0,1.0
2016-01-06,0.0,0.0,0.0,414.85,0.0,1.0
2016-01-07,400.2,406.0,400.15,406.7,141.0,1.0
2016-01-08,0.0,0.0,0.0,396.65,0.0,131.0
2016-01-11,0.0,0.0,0.0,397.05,0.0,131.0
2016-01-12,395.0,404.1,395.0,402.05,4.0,131.0
2016-01-13,0.0,0.0,0.0,403.75,0.0,133.0
2016-01-14,0.0,0.0,0.0,399.05,0.0,134.0
2016-01-15,0.0,0.0,0.0,389.25,0.0,134.0
2016-01-18,0.0,0.0,0.0,387.75,0.0,134.0
2016-01-19,395.1,395.1,395.1,393.35,5.0,134.0
2016-01-20,381.2,381.8,376.15,381.05,15.0,129.0
2016-01-21,385.85,385.85,385.85,391.8,1.0,141.0
2016-01-22,404.5,404.5,404.5,404.55,1.0,141.0
2016-01-25,403.25,403.25,403.2,402.9,14.0,140.0
2016-01-26,0.0,0.0,0.0,406.85,0.0,140.0
2016-01-27,406.2,407.65,404.95,409.25,5.0,140.0
2016-01-28,411.6,411.6,404.95,404.75,12.0,140.0
2016-01-29,0.0,0.0,0.0,415.95,0.0,141.0
2016-02-01,0.0,0.0,0.0,414.4,0.0,141.0
2016-02-02,408.5,408.5,408.5,405.35,1.0,141.0
2016-02-03,404.0,405.55,398.65,400.85,73.0,140.0
2016-02-04,407.0,408.2,402.2,402.75,50.0,99.0
2016-02-05,401.45,401.45,401.45,398.75,1.0,125.0
2016-02-08,385.35,385.35,385.35,385.4,1.0,125.0
2016-02-09,0.0,0.0,0.0,377.35,0.0,126.0
2016-02-10,380.3,384.7,380.3,379.3,9.0,126.0
2016-02-11,366.45,366.45,366.45,367.2,20.0,131.0
2016-02-12,373.25,373.25,373.25,376.4,1.0,131.0
2016-02-15,388.9,388.9,388.9,388.4,5.0,132.0
2016-02-16,0.0,0.0,0.0,387.7,0.0,127.0
2016-02-17,389.3,394.85,389.3,399.25,30.0,127.0
2016-02-18,401.2,401.2,398.4,399.4,11.0,136.0
2016-02-19,397.0,397.0,397.0,397.7,1.0,136.0
2016-02-22,0.0,0.0,0.0,406.45,0.0,137.0
2016-02-23,0.0,0.0,0.0,400.95,0.0,137.0
2016-02-24,395.35,395.35,395.0,392.85,6.0,137.0
2016-02-25,400.3,401.85,400.3,400.75,7.0,142.0
2016-02-26,409.3,409.9,408.2,407.75,14.0,148.0
2016-02-29,406.15,409.1,406.15,412.25,30.0,156.0
2016-03-01,415.85,415.85,415.85,421.7,5.0,175.0
2016-03-02,423.15,423.15,423.15,421.15,5.0,180.0
2016-03-03,418.85,418.85,418.85,418.8,1.0,185.0
2016-03-04,423.5,423.5,422.5,422.85,4.0,185.0
2016-03-07,0.0,0.0,0.0,420.9,0.0,185.0
2016-03-08,418.0,418.0,418.0,417.65,2.0,185.0
2016-03-09,0.0,0.0,0.0,420.35,0.0,185.0
2016-03-10,427.4,427.4,413.0,414.7,3.0,185.0
2016-03-11,0.0,0.0,0.0,426.3,0.0,185.0
2016-03-14,0.0,0.0,0.0,428.6,0.0,185.0
2016-03-15,0.0,0.0,0.0,426.65,0.0,184.0
2016-03-16,428.6,428.6,428.5,428.5,2.0,184.0
2016-03-17,0.0,0.0,0.0,428.75,0.0,184.0
2016-03-18,0.0,0.0,0.0,429.4,0.0,184.0
2016-03-21,0.0,0.0,0.0,428.5,0.0,184.0
2016-03-22,0.0,0.0,0.0,427.8,0.0,184.0
2016-03-23,0.0,0.0,0.0,428.55,0.0,184.0
2016-03-24,0.0,0.0,0.0,422.7,0.0,184.0
2016-03-29,0.0,0.0,0.0,425.6,0.0,184.0
2016-03-30,0.0,0.0,0.0,431.5,0.0,184.0
2016-03-31,0.0,0.0,0.0,425.35,0.0,184.0
2016-04-01,0.0,0.0,0.0,419.65,0.0,184.0
2016-04-04,0.0,0.0,0.0,421.5,0.0,184.0
2016-04-05,0.0,0.0,0.0,414.15,0.0,184.0
2016-04-06,0.0,0.0,0.0,416.35,0.0,184.0
2016-04-07,0.0,0.0,0.0,414.0,0.0,184.0
2016-04-08,0.0,0.0,0.0,419.55,0.0,184.0
2016-04-11,0.0,0.0,0.0,422.0,0.0,184.0
2016-04-12,425.95,425.95,425.7,424.9,2.0,184.0
2016-04-13,430.15,435.1,430.15,435.75,19.0,184.0
2016-04-14,0.0,0.0,0.0,436.8,0.0,182.0
