Date,Open,High,Low,Settle,Volume,Open Interest
2016-12-09,0.0,0.0,0.0,130.76,0.0,0.0
2016-12-12,0.0,0.0,0.0,131.09,0.0,0.0
2016-12-13,0.0,0.0,0.0,132.35,0.0,0.0
2016-12-14,0.0,0.0,0.0,133.32,0.0,0.0
2016-12-15,0.0,0.0,0.0,132.67,0.0,0.0
2016-12-16,0.0,0.0,0.0,132.23,0.0,0.0
2016-12-19,0.0,0.0,0.0,133.05,0.0,0.0
2016-12-20,0.0,0.0,0.0,132.92,0.0,0.0
2016-12-21,0.0,0.0,0.0,133.16,0.0,0.0
2016-12-22,0.0,0.0,0.0,132.77,0.0,0.0
2016-12-23,0.0,0.0,0.0,133.25,0.0,0.0
2016-12-27,0.0,0.0,0.0,133.03,0.0,0.0
2016-12-28,0.0,0.0,0.0,133.06,0.0,0.0
2016-12-29,0.0,0.0,0.0,133.52,0.0,0.0
2016-12-30,0.0,0.0,0.0,133.23,0.0,0.0
2017-01-02,0.0,0.0,0.0,134.18,0.0,0.0
2017-01-03,0.0,0.0,0.0,132.7,0.0,0.0
2017-01-04,0.0,0.0,0.0,132.68,0.0,0.0
2017-01-05,0.0,0.0,0.0,132.13,0.0,0.0
2017-01-06,0.0,0.0,0.0,132.11,0.0,0.0
2017-01-09,0.0,0.0,0.0,132.43,0.0,0.0
2017-01-10,0.0,0.0,0.0,132.48,0.0,0.0
2017-01-11,0.0,0.0,0.0,132.97,0.0,0.0
2017-01-12,0.0,0.0,0.0,132.82,0.0,0.0
2017-01-13,0.0,0.0,0.0,132.64,0.0,0.0
2017-01-16,0.0,0.0,0.0,132.42,0.0,0.0
2017-01-17,0.0,0.0,0.0,132.58,0.0,0.0
2017-01-18,0.0,0.0,0.0,132.16,0.0,0.0
2017-01-19,132.0,132.0,132.0,131.78,1.0,1.0
2017-01-20,0.0,0.0,0.0,131.39,0.0,1.0
2017-01-23,0.0,0.0,0.0,131.54,0.0,1.0
2017-01-24,0.0,0.0,0.0,131.45,0.0,1.0
2017-01-25,0.0,0.0,0.0,130.71,0.0,1.0
2017-01-26,0.0,0.0,0.0,129.34,0.0,1.0
2017-01-27,0.0,0.0,0.0,129.45,0.0,1.0
2017-01-30,0.0,0.0,0.0,128.66,0.0,1.0
2017-01-31,0.0,0.0,0.0,128.91,0.0,1.0
2017-02-01,0.0,0.0,0.0,128.44,0.0,0.0
2017-02-02,0.0,0.0,0.0,129.4,0.0,1.0
2017-02-03,0.0,0.0,0.0,129.06,0.0,1.0
2017-02-06,0.0,0.0,0.0,127.9,0.0,1.0
2017-02-07,0.0,0.0,0.0,128.25,0.0,1.0
2017-02-08,0.0,0.0,0.0,129.13,0.0,1.0
2017-02-09,0.0,0.0,0.0,129.82,0.0,1.0
2017-02-10,0.0,0.0,0.0,128.86,0.0,1.0
2017-02-13,0.0,0.0,0.0,129.33,0.0,1.0
2017-02-14,0.0,0.0,0.0,129.28,0.0,1.0
2017-02-15,0.0,0.0,0.0,128.95,0.0,1.0
2017-02-16,0.0,0.0,0.0,129.99,0.0,1.0
2017-02-17,0.0,0.0,0.0,129.68,0.0,1.0
2017-02-20,0.0,0.0,0.0,129.73,0.0,1.0
2017-02-21,0.0,0.0,0.0,129.24,0.0,1.0
2017-02-22,0.0,0.0,0.0,129.22,0.0,1.0
2017-02-23,0.0,0.0,0.0,129.13,0.0,1.0
2017-02-24,0.0,0.0,0.0,129.69,0.0,1.0
2017-02-27,0.0,0.0,0.0,130.13,0.0,1.0
2017-02-28,0.0,0.0,0.0,130.89,0.0,1.0
2017-03-01,131.1,131.1,131.1,130.46,5.0,6.0
2017-03-02,0.0,0.0,0.0,130.51,0.0,6.0
2017-03-03,0.0,0.0,0.0,130.65,0.0,6.0
2017-03-06,132.74,132.74,130.74,130.42,2.0,7.0
2017-03-07,130.2,130.2,130.19,130.18,10.0,16.0
2017-03-08,129.87,129.87,129.38,129.44,6.0,22.0
2017-03-09,130.51,130.69,130.51,129.97,6.0,22.0
2017-03-10,129.39,129.5,129.0,129.25,4.0,24.0
2017-03-13,128.96,129.37,128.96,129.03,2.0,25.0
2017-03-14,128.5,129.22,128.5,129.11,14.0,29.0
2017-03-15,129.25,130.2,129.25,130.13,21.0,34.0
2017-03-16,130.24,130.24,130.18,129.47,2.0,34.0
2017-03-17,0.0,0.0,0.0,129.34,0.0,33.0
2017-03-20,0.0,0.0,0.0,129.26,0.0,33.0
2017-03-21,0.0,0.0,0.0,129.83,0.0,33.0
2017-03-22,0.0,0.0,0.0,130.26,0.0,33.0
2017-03-23,0.0,0.0,0.0,130.53,0.0,33.0
2017-03-24,130.47,130.47,130.26,130.84,8.0,41.0
2017-03-27,0.0,0.0,0.0,131.19,0.0,33.0
2017-03-28,0.0,0.0,0.0,131.88,0.0,33.0
2017-03-29,0.0,0.0,0.0,132.48,0.0,33.0
2017-03-30,0.0,0.0,0.0,132.6,0.0,33.0
2017-03-31,0.0,0.0,0.0,132.45,0.0,33.0
2017-04-03,0.0,0.0,0.0,132.25,0.0,33.0
2017-04-04,0.0,0.0,0.0,132.91,0.0,33.0
2017-04-05,132.91,132.91,132.91,132.99,1.0,34.0
2017-04-06,0.0,0.0,0.0,133.09,0.0,34.0
2017-04-07,0.0,0.0,0.0,133.65,0.0,34.0
2017-04-10,0.0,0.0,0.0,133.34,0.0,34.0
2017-04-11,0.0,0.0,0.0,133.12,0.0,34.0
2017-04-12,0.0,0.0,0.0,132.92,0.0,34.0
2017-04-13,0.0,0.0,0.0,132.86,0.0,34.0
