Date,Open,High,Low,Settle,Volume,Interest
2017-04-24,0.0,,,5149.5,,
2017-04-25,0.0,0.0,0.0,5164.0,0.0,
2017-04-26,0.0,0.0,0.0,5173.0,0.0,
2017-04-27,0.0,0.0,0.0,5156.5,0.0,
2017-04-28,0.0,0.0,0.0,5155.5,0.0,
2017-05-02,0.0,0.0,0.0,5194.0,0.0,
2017-05-03,5187.0,5187.5,5187.0,5194.0,5.0,
2017-05-04,0.0,0.0,0.0,5267.0,0.0,4.0
2017-05-05,0.0,0.0,0.0,5341.0,0.0,4.0
2017-05-08,5372.0,5372.0,5297.0,5300.5,6.0,4.0
2017-05-09,0.0,0.0,0.0,5315.0,0.0,8.0
2017-05-10,5311.0,5311.0,5311.0,5317.5,1.0,8.0
2017-05-11,5297.0,5310.0,5279.0,5300.5,5.0,9.0
2017-05-12,5304.5,5304.5,5304.5,5324.5,1.0,10.0
2017-05-15,5323.0,5330.5,5323.0,5341.5,2.0,11.0
2017-05-16,5345.0,5345.5,5334.0,5347.0,11.0,11.0
2017-05-17,5312.5,5312.5,5230.0,5260.0,159.0,18.0
2017-05-18,5247.5,5260.0,5187.5,5230.5,25.0,169.0
2017-05-19,5250.0,5270.0,5250.0,5265.0,33.0,188.0
2017-05-23,5263.5,5307.5,5260.0,5289.5,48.0,469.0
2017-05-24,5289.5,5300.0,5283.0,5288.0,12.0,477.0
2017-05-25,5309.0,5323.5,5269.5,5284.5,28.0,480.0
2017-05-26,5281.0,5286.5,5234.0,5285.5,21.0,494.0
