Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2009-10-01,94.845,95.0,94.845,,,95.0,63.0,393.0
2009-10-02,0.0,95.1,94.94,,,94.97,120.0,513.0
2009-10-05,0.0,95.0,94.93,,,94.93,0.0,513.0
2009-10-06,0.0,94.92,94.875,,,94.895,0.0,513.0
2009-10-07,94.895,94.99,94.895,,,94.99,0.0,513.0
2009-10-08,0.0,94.995,94.89,,,94.9,10.0,508.0
2009-10-09,94.92,94.92,94.715,,,94.715,10.0,513.0
2009-10-13,94.795,94.795,94.785,,,94.795,0.0,514.0
2009-10-14,0.0,94.675,94.61,,,94.61,11.0,508.0
2009-10-15,0.0,94.61,94.53,,,94.555,0.0,508.0
2009-10-16,0.0,94.675,94.605,,,94.675,0.0,508.0
2009-10-19,94.67,94.725,94.665,,,94.7,0.0,508.0
2009-10-20,0.0,94.78,94.73,,,94.765,20.0,510.0
2009-10-21,0.0,94.705,94.615,,,94.65,0.0,510.0
2009-10-22,0.0,94.63,94.59,,,94.63,20.0,505.0
2009-10-26,0.0,94.56,94.43,,,94.46,2.0,505.0
2009-10-27,94.52,94.565,94.45,,,94.565,0.0,505.0
2009-10-28,0.0,94.625,94.585,,,94.605,30.0,505.0
2009-10-29,0.0,94.565,94.485,,,94.51,0.0,505.0
2009-10-30,94.54,94.625,94.54,,,94.625,0.0,505.0
2009-11-02,94.585,94.59,94.585,,,94.59,8.0,499.0
2009-11-03,94.54,94.54,94.5,,,94.52,146.0,599.0
2009-11-04,0.0,94.52,94.385,,,94.385,134.0,504.0
2009-11-05,0.0,94.415,94.36,,,94.36,0.0,504.0
2009-11-06,0.0,94.43,94.32,,,94.38,7.0,511.0
2009-11-09,0.0,94.44,94.36,,,94.425,0.0,511.0
2009-11-10,94.45,94.45,94.415,,,94.43,0.0,511.0
2009-11-12,94.44,94.515,94.44,,,94.515,0.0,502.0
2009-11-13,94.495,94.555,94.495,,,94.555,5.0,502.0
2009-11-16,94.575,94.7,94.575,,,94.7,15.0,496.0
2009-11-17,0.0,94.7,94.655,,,94.7,9.0,504.0
2009-11-18,94.65,94.65,94.59,,,94.61,0.0,504.0
2009-11-19,94.6,94.61,94.6,,,94.61,1.0,504.0
2009-11-20,0.0,94.6,94.58,,,94.585,10.0,513.0
2009-11-23,94.54,94.665,94.54,,,94.665,0.0,513.0
2009-11-24,0.0,94.71,94.65,,,94.685,3.0,510.0
2009-11-25,94.695,94.77,94.66,,,94.77,30.0,531.0
2009-11-27,94.86,94.86,94.81,,,94.845,12.0,543.0
2009-11-30,94.775,94.815,94.76,,,94.77,10.0,549.0
2009-12-01,0.0,94.72,94.57,,,94.57,37.0,577.0
2009-12-02,0.0,94.55,94.5,,,94.55,0.0,577.0
2009-12-03,0.0,94.48,94.425,,,94.425,0.0,577.0
2009-12-04,94.465,94.465,94.285,,,94.32,12.0,587.0
2009-12-07,0.0,94.38,94.315,,,94.315,75.0,650.0
2009-12-08,0.0,94.395,94.365,,,94.385,0.0,650.0
2009-12-09,0.0,94.395,94.35,,,94.35,0.0,650.0
2009-12-10,94.31,94.31,94.265,,,94.265,5.0,645.0
2009-12-11,0.0,94.235,94.125,,,94.215,5.0,650.0
2009-12-14,94.215,94.245,94.185,,,94.245,0.0,650.0
2009-12-15,94.195,94.205,94.165,,,94.205,2.0,648.0
2009-12-16,94.215,94.255,94.205,,,94.205,10.0,638.0
2009-12-17,0.0,94.325,94.235,,,94.325,11.0,628.0
2009-12-18,94.285,94.325,94.265,,,94.27,0.0,628.0
2009-12-21,0.0,94.17,94.03,,,94.03,15.0,613.0
2009-12-22,0.0,93.95,93.9,,,93.95,75.0,688.0
2009-12-23,0.0,93.98,93.98,,,93.98,25.0,713.0
2009-12-24,0.0,93.96,93.915,,,93.915,0.0,713.0
2009-12-28,0.0,93.885,93.855,,,93.885,0.0,713.0
2009-12-29,0.0,93.97,93.935,,,93.97,0.0,713.0
2009-12-30,0.0,94.045,94.0,,,94.045,0.0,713.0
2009-12-31,0.0,94.015,93.93,,,94.015,0.0,713.0
2010-01-04,93.985,94.0,93.985,,,94.0,0.0,713.0
2010-01-06,94.13,94.13,94.01,,,94.015,10.0,693.0
2010-01-07,93.935,93.995,93.935,,,93.99,20.0,673.0
2010-01-08,93.96,94.02,93.96,,,93.99,20.0,653.0
2010-01-11,93.985,93.985,93.94,,,93.96,20.0,633.0
