Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-12-29,,,,,0.0,557.5,0.0,0.0
2015-12-30,,,,,7.2,550.3,0.0,0.0
2015-12-31,,,,,13.0,563.3,0.0,0.0
2016-01-04,,,,,17.7,545.6,0.0,0.0
2016-01-05,,,,,8.35,537.25,0.0,0.0
2016-01-06,,,,,30.6,506.65,0.0,0.0
2016-01-07,,,,,11.55,495.1,0.0,0.0
2016-01-08,,,,,0.8,495.9,0.0,0.0
2016-01-11,,,,,19.4,476.5,0.0,0.0
2016-01-12,,,,,4.5,472.0,0.0,0.0
2016-01-13,,,,,15.9,487.9,0.0,0.0
2016-01-14,,,,,4.85,492.75,0.0,0.0
2016-01-15,,,,,4.2,488.55,0.0,0.0
2016-01-19,,,,,9.9,498.45,0.0,0.0
2016-01-20,,,,,7.85,490.6,0.0,0.0
2016-01-21,,,,,10.0,500.6,0.0,0.0
2016-01-22,,,,,0.85,501.45,0.0,0.0
2016-01-25,,,,,8.4,493.05,0.0,0.0
2016-01-26,,,,,1.4,494.45,0.0,0.0
2016-01-27,,,,,9.45,503.9,0.0,0.0
2016-01-28,,,,,10.2,493.7,0.0,0.0
2016-01-29,,,,,6.5,500.2,0.0,0.0
2016-02-01,,,,,4.0,504.2,0.0,0.0
2016-02-02,,,,,11.0,493.2,0.0,0.0
2016-02-03,,,,,24.3,517.5,0.0,0.0
2016-02-04,,,,,0.3,517.2,0.0,0.0
2016-02-05,,,,,16.75,500.45,0.0,0.0
2016-02-08,,,,,19.45,519.9,0.0,0.0
2016-02-09,,,,,1.2,518.7,0.0,0.0
2016-02-10,,,,,8.2,526.9,0.0,0.0
2016-02-11,,,,,0.35,526.55,0.0,0.0
2016-02-12,,,,,2.55,529.1,0.0,0.0
2016-02-16,,,,,17.45,511.65,0.0,0.0
2016-02-17,,,,,6.2,517.85,0.0,0.0
2016-02-18,,,,,11.05,506.8,0.0,0.0
2016-02-19,,,,,5.7,501.1,0.0,0.0
2016-02-22,494.75,494.75,494.75,494.75,0.6,500.5,1.0,0.0
2016-02-23,,,,,1.25,501.75,0.0,1.0
2016-02-24,500.5,500.5,500.5,500.5,13.05,488.7,1.0,1.0
2016-02-25,,,,,3.7,485.0,0.0,1.0
2016-02-26,,,,,0.65,484.35,0.0,1.0
2016-02-29,,,,,12.9,497.25,0.0,1.0
2016-03-01,,,,,21.7,518.95,0.0,1.0
2016-03-02,,,,,2.1,516.85,0.0,1.0
2016-03-03,,,,,26.55,543.4,0.0,1.0
