DATETIME,PRICE
2013-09-10,103.95
2013-09-11,
2013-09-12,104.06
2013-09-13,103.98
2013-09-16,104.23
2013-09-17,104.4
2013-09-18,
2013-09-19,
2013-09-20,
2013-09-23,104.58
2013-09-24,104.54
2013-09-25,104.5
2013-09-26,104.44
2013-09-27,104.49
2013-09-30,104.57
2013-10-01,104.47
2013-10-02,104.55
2013-10-03,
2013-10-04,104.55
2013-10-07,104.53
2013-10-08,104.46
2013-10-09,
2013-10-10,104.38
2013-10-11,104.42
2013-10-14,104.35
2013-10-15,104.37
2013-10-16,104.41
2013-10-17,104.46
2013-10-18,104.56
2013-10-21,104.52
2013-10-22,104.55
2013-10-23,104.72
2013-10-24,104.68
2013-10-25,104.69
2013-10-28,104.6
2013-10-29,104.71
2013-10-30,104.76
2013-10-31,104.65
2013-11-01,104.57
2013-11-04,104.51
2013-11-05,104.41
2013-11-06,104.45
2013-11-07,104.4
2013-11-08,104.45
2013-11-11,104.23
2013-11-12,104.2
2013-11-13,104.26
2013-11-14,104.25
2013-11-15,104.25
2013-11-18,104.26
2013-11-19,104.19
2013-11-20,104.16
2013-11-21,104.1
2013-11-22,104.19
2013-11-25,104.12
2013-11-26,104.17
2013-11-27,104.14
2013-11-28,104.09
2013-11-29,104.03
2013-12-02,103.95
2013-12-03,103.96
2013-12-04,104.0
2013-12-05,103.97
2013-12-06,104.02
2013-12-09,104.16
2013-12-10,104.17
2013-12-11,104.1
2013-12-12,104.14
2013-12-13,104.31
2013-12-16,104.5
2013-12-17,104.59
2013-12-18,104.5
2013-12-19,104.49
2013-12-20,104.56
2013-12-23,104.58
2013-12-24,104.59
2013-12-25,
2013-12-26,104.6
2013-12-27,104.76
2013-12-30,104.66
2013-12-31,
2014-01-01,
2014-01-02,104.42
2014-01-03,104.41
2014-01-06,104.67
2014-01-07,104.66
2014-01-08,104.68
2014-01-09,104.55
2014-01-10,104.5
2014-01-13,104.59
2014-01-14,104.54
2014-01-15,104.53
2014-01-16,104.6
2014-01-17,104.58
2014-01-20,104.54
2014-01-21,104.52
2014-01-22,104.49
2014-01-23,104.55
2014-01-24,104.7
2014-01-27,104.61
2014-01-28,104.65
2014-01-29,104.66
2014-01-30,
2014-01-31,
2014-02-03,104.67
2014-02-04,104.81
2014-02-05,104.77
2014-02-06,104.79
2014-02-07,104.76
2014-02-10,104.82
2014-02-11,104.84
2014-02-12,104.84
2014-02-13,104.87
2014-02-14,104.89
2014-02-17,104.84
2014-02-18,104.81
2014-02-19,104.85
2014-02-20,104.85
2014-02-21,104.77
2014-02-24,104.81
2014-02-25,104.86
2014-02-26,104.84
2014-02-27,104.89
2014-02-28,104.9
2014-03-03,104.72
2014-03-04,104.7
2014-03-05,104.76
2014-03-06,104.76
2014-03-07,104.76
2014-03-10,104.81
2014-03-11,104.83
2014-03-12,104.88
2014-03-13,104.9
2014-03-14,105.05
2014-03-17,104.94
