DATETIME,PRICE
1999-06-23,2604.78
1999-06-24,2563.78
1999-06-25,2560.78
1999-06-28,2609.28
1999-06-29,2639.78
1999-06-30,2672.78
1999-07-01,2672.78
1999-07-02,2722.28
1999-07-05,
1999-07-06,2710.78
1999-07-07,2708.28
1999-07-08,2734.78
1999-07-09,2763.28
1999-07-12,2750.28
1999-07-13,2735.28
1999-07-14,2780.78
1999-07-15,2798.78
1999-07-16,2819.78
1999-07-19,2788.78
1999-07-20,2702.78
1999-07-21,2713.78
1999-07-22,2653.78
1999-07-23,2655.78
1999-07-26,2600.78
1999-07-27,2652.28
1999-07-28,2683.78
1999-07-29,2633.28
1999-07-30,
1999-08-02,2619.78
1999-08-03,2602.78
1999-08-04,2559.78
1999-08-05,2589.78
1999-08-06,2567.78
1999-08-09,2540.28
1999-08-10,2521.28
1999-08-11,2593.78
1999-08-12,2568.78
1999-08-13,2663.78
1999-08-16,2684.28
1999-08-17,2690.78
1999-08-18,2667.28
1999-08-19,2634.78
1999-08-20,2675.28
1999-08-23,2745.28
1999-08-24,2762.28
1999-08-25,2816.28
1999-08-26,2774.78
1999-08-27,2751.78
1999-08-30,2719.28
1999-08-31,2738.78
1999-09-01,2759.78
1999-09-02,2745.78
1999-09-03,
1999-09-06,
1999-09-07,2833.28
1999-09-08,2799.28
1999-09-09,2839.28
1999-09-10,2866.28
1999-09-13,2826.78
1999-09-14,2845.28
1999-09-15,2795.28
1999-09-16,
1999-09-17,2869.78
1999-09-20,2866.28
1999-09-21,2814.28
1999-09-22,2837.78
1999-09-23,2728.28
1999-09-24,2727.28
1999-09-27,2748.78
1999-09-28,2766.78
1999-09-29,2723.28
1999-09-30,2737.28
1999-10-01,2735.78
1999-10-04,2794.78
1999-10-05,2808.28
1999-10-06,2864.28
1999-10-07,2850.28
1999-10-08,2879.28
1999-10-11,2918.28
1999-10-12,2829.78
1999-10-13,2785.78
1999-10-14,2796.28
1999-10-15,2717.28
1999-10-18,2682.28
1999-10-19,2706.28
1999-10-20,2753.28
1999-10-21,2805.28
1999-10-22,2797.78
1999-10-25,2796.28
1999-10-26,2766.28
1999-10-27,2775.28
1999-10-28,2860.28
1999-10-29,2955.28
1999-11-01,2935.78
1999-11-02,2942.28
1999-11-03,2999.28
1999-11-04,
1999-11-05,3085.28
1999-11-08,3109.28
1999-11-09,3109.78
1999-11-10,3116.28
1999-11-11,3170.28
1999-11-12,3206.28
1999-11-15,3194.28
1999-11-16,3274.28
1999-11-17,3236.28
1999-11-18,3314.28
1999-11-19,3344.78
1999-11-22,3370.28
1999-11-23,3315.28
1999-11-24,3420.28
1999-11-25,
1999-11-26,3398.78
1999-11-29,3350.28
1999-11-30,3247.78
1999-12-01,3290.28
1999-12-02,3389.28
1999-12-03,3454.28
1999-12-06,3484.28
1999-12-07,3491.78
1999-12-08,3445.28
1999-12-09,3447.28
1999-12-10,3490.78
1999-12-13,3522.78
1999-12-14,3459.78
1999-12-15,3511.28
1999-12-16,3617.78
1999-12-17,3649.78
1999-12-20,3682.28
1999-12-21,3834.78
1999-12-22,3855.28
1999-12-23,3879.78
1999-12-24,
1999-12-27,3875.78
1999-12-28,3858.28
1999-12-29,3980.28
1999-12-30,3970.28
1999-12-31,3989.78
2000-01-03,4080.280000000001
2000-01-04,3793.28
2000-01-05,3748.28
2000-01-06,3548.28
2000-01-07,3793.28
2000-01-10,4005.78
2000-01-11,3810.78
2000-01-12,3739.28
2000-01-13,3888.28
2000-01-14,3987.28
2000-01-17,
2000-01-18,4042.78
2000-01-19,4085.780000000001
2000-01-20,4112.280000000002
2000-01-21,4125.280000000002
2000-01-24,3919.28
2000-01-25,4027.28
2000-01-26,3890.28
2000-01-27,3871.78
2000-01-28,3710.78
2000-01-31,3848.28
2000-02-01,3954.78
2000-02-02,3995.78
2000-02-03,4117.780000000002
2000-02-04,4144.280000000002
2000-02-07,4183.280000000002
2000-02-08,4352.780000000002
2000-02-09,4206.780000000002
2000-02-10,4340.780000000002
2000-02-11,4231.780000000002
2000-02-14,4242.280000000002
2000-02-15,4277.780000000002
2000-02-16,4265.780000000002
2000-02-17,4339.780000000002
2000-02-18,4215.780000000002
2000-02-21,
2000-02-22,4210.780000000002
2000-02-23,4415.780000000002
2000-02-24,4441.780000000002
2000-02-25,4439.780000000002
2000-02-28,4403.780000000002
2000-02-29,4547.780000000002
2000-03-01,4572.280000000002
2000-03-02,4475.780000000002
2000-03-03,4702.280000000002
2000-03-06,4749.280000000002
2000-03-07,4614.280000000002
2000-03-08,4707.280000000002
2000-03-09,4856.780000000002
2000-03-10,4852.780000000002
2000-03-13,4703.780000000002
2000-03-14,4510.780000000002
2000-03-15,4375.780000000002
2000-03-16,4603.780000000002
2000-03-17,4697.780000000002
2000-03-20,4532.780000000002
2000-03-21,4700.780000000002
2000-03-22,4816.280000000002
2000-03-23,4919.780000000002
2000-03-24,4990.780000000002
2000-03-27,4947.780000000002
2000-03-28,4848.280000000002
2000-03-29,4654.280000000002
2000-03-30,4513.280000000002
2000-03-31,4643.280000000002
2000-04-03,4328.780000000002
2000-04-04,4251.780000000002
2000-04-05,4245.780000000002
2000-04-06,4330.780000000002
2000-04-07,4522.780000000002
2000-04-10,4211.280000000002
2000-04-11,4140.780000000002
2000-04-12,3880.78
2000-04-13,3770.78
2000-04-14,3403.28
2000-04-17,3763.28
2000-04-18,3935.78
2000-04-19,3808.28
2000-04-20,3720.78
2000-04-21,
2000-04-24,3602.78
2000-04-25,3830.78
2000-04-26,3713.28
2000-04-27,3870.78
2000-04-28,3995.78
2000-05-01,4052.78
2000-05-02,3823.78
2000-05-03,3770.78
2000-05-04,3775.28
2000-05-05,3880.78
2000-05-08,3737.28
2000-05-09,3638.28
2000-05-10,3438.28
2000-05-11,3571.28
2000-05-12,3603.28
2000-05-15,3745.28
2000-05-16,3855.78
2000-05-17,3773.28
2000-05-18,3645.78
2000-05-19,3465.78
2000-05-22,3483.28
2000-05-23,3198.28
2000-05-24,3353.28
2000-05-25,3311.28
2000-05-26,3301.78
2000-05-29,
2000-05-30,3601.78
2000-05-31,3501.78
2000-06-01,3690.28
2000-06-02,3932.28
2000-06-05,3932.78
2000-06-06,3842.78
2000-06-07,3919.28
2000-06-08,3912.78
2000-06-09,3936.78
2000-06-12,3840.28
2000-06-13,3955.28
2000-06-14,3879.28
2000-06-15,3940.28
2000-06-16,3950.28
2000-06-19,4105.280000000002
2000-06-20,4130.280000000002
2000-06-21,4136.280000000002
2000-06-22,3985.28
2000-06-23,3850.78
2000-06-26,3950.28
2000-06-27,3890.28
2000-06-28,3938.28
2000-06-29,3853.78
2000-06-30,3939.78
