DATETIME,PRICE
2013-03-22,6451.375
2013-03-25,
2013-03-26,
2013-03-27,
2013-03-28,
2013-03-29,
2013-04-01,
2013-04-02,
2013-04-03,
2013-04-04,
2013-04-05,
2013-04-08,
2013-04-09,6402.375
2013-04-10,
2013-04-11,
2013-04-12,
2013-04-15,
2013-04-16,
2013-04-17,6384.375
2013-04-18,
2013-04-19,
2013-04-22,
2013-04-23,
2013-04-24,
2013-04-25,
2013-04-26,
2013-04-29,6648.375
2013-04-30,
2013-05-01,
2013-05-02,
2013-05-03,6734.375
2013-05-06,
2013-05-07,6776.375
2013-05-08,6891.375
2013-05-09,
2013-05-10,
2013-05-13,
2013-05-14,
2013-05-15,7072.375
2013-05-16,
2013-05-17,7033.375
2013-05-20,
2013-05-21,7072.375
2013-05-22,7103.375
2013-05-23,
2013-05-24,
2013-05-27,
2013-05-28,7019.375
2013-05-29,6871.375
2013-05-30,6823.375
2013-05-31,
2013-06-03,6670.375
2013-06-04,6603.375
2013-06-05,6532.375
2013-06-06,6519.375
2013-06-07,
2013-06-10,
2013-06-11,
2013-06-12,
2013-06-13,
2013-06-14,
2013-06-17,6519.375
2013-06-18,
2013-06-19,
2013-06-20,6438.375
2013-06-21,6215.375
2013-06-24,6049.375
2013-06-25,6194.375
2013-06-26,6350.375
2013-06-27,6457.375
2013-06-28,6438.375
2013-07-01,6526.375
2013-07-02,
2013-07-03,
2013-07-04,6604.375
2013-07-05,6579.375
2013-07-08,6651.375
2013-07-09,6729.375
2013-07-10,6721.375
2013-07-11,6789.375
2013-07-12,
2013-07-15,6791.375
2013-07-16,6724.375
2013-07-17,6736.375
2013-07-18,
2013-07-19,6723.375
2013-07-22,6724.375
2013-07-23,6711.375
2013-07-24,6711.375
2013-07-25,6669.375
2013-07-26,6599.375
2013-07-29,6604.375
2013-07-30,6612.375
2013-07-31,6631.375
2013-08-01,
2013-08-02,6754.375
2013-08-05,
2013-08-06,6805.375
2013-08-07,6774.375
2013-08-08,6767.375
2013-08-09,6759.375
2013-08-12,6785.375
2013-08-13,6833.375
2013-08-14,6869.375
2013-08-15,6773.375
2013-08-16,6748.375
