DATETIME,PRICE
1997-09-10,1037.0475
1997-09-11,1030.0475
1997-09-12,1046.0475
1997-09-15,1044.0475
1997-09-16,1068.0475
1997-09-17,1068.0475
1997-09-18,1070.0475
1997-09-19,1073.0475
1997-09-22,1078.0475
1997-09-23,1074.0475
1997-09-24,1067.0475
1997-09-25,1059.0475
1997-09-26,1065.0475
1997-09-29,1074.0475
1997-09-30,1066.0475
1997-10-01,1076.0475
1997-10-02,1081.0475
1997-10-03,1087.0475
1997-10-06,1094.0475
1997-10-07,1102.0475
1997-10-08,1095.0475
1997-10-09,1090.0475
1997-10-10,1089.0475
1997-10-13,1088.0475
1997-10-14,1089.0475
1997-10-15,1086.0475
1997-10-16,1072.0475
1997-10-17,1061.0475
1997-10-20,1075.0475
1997-10-21,1091.0475
1997-10-22,1086.0475
1997-10-23,1067.0475
1997-10-24,1056.0475
1997-10-27,986.0475
1997-10-28,1037.0475
1997-10-29,1037.0475
1997-10-30,1015.0475
1997-10-31,1036.0475
1997-11-03,1058.0475
1997-11-04,1058.0475
1997-11-05,1060.0475
1997-11-06,1055.0475
1997-11-07,1043.0475
1997-11-10,1038.0475
1997-11-11,1039.0475
1997-11-12,1021.0475
1997-11-13,1031.0475
1997-11-14,1045.0475
1997-11-17,1062.0475
1997-11-18,1054.0475
1997-11-19,1060.0475
1997-11-20,1075.0475
1997-11-21,1082.0475
1997-11-24,1062.0475
1997-11-25,1062.0475
1997-11-26,1066.0475
1997-11-27,
1997-11-28,1066.0475
1997-12-01,1090.0475
1997-12-02,1086.0475
1997-12-03,1089.0475
1997-12-04,1088.0475
1997-12-05,1098.0475
1997-12-08,1096.0475
1997-12-09,1090.0475
1997-12-10,1081.0475
1997-12-11,1065.0475
1997-12-12,1067.0475
1997-12-15,1075.0475
1997-12-16,1081.0475
1997-12-17,1075.0475
1997-12-18,1065.0475
1997-12-19,1057.0475
1997-12-22,1063.0475
1997-12-23,1045.0475
1997-12-24,1042.0475
1997-12-25,
1997-12-26,1046.0475
1997-12-29,1066.0475
1997-12-30,1080.0475
1997-12-31,1079.0475
1998-01-01,
1998-01-02,1085.0475
1998-01-05,1087.0475
