DATETIME,PRICE
1983-09-23,88.16
1983-09-26,88.3
1983-09-27,88.19
1983-09-28,88.14
1983-09-29,88.12
1983-09-30,88.16
1983-10-03,88.19
1983-10-04,88.19
1983-10-05,88.25
1983-10-06,88.26
1983-10-07,88.27
1983-10-10,88.27
1983-10-11,88.12
1983-10-12,88.16
1983-10-13,88.12
1983-10-14,88.18
1983-10-17,88.31
1983-10-18,88.26
1983-10-19,88.26
1983-10-20,88.22
1983-10-21,88.22
1983-10-24,88.11
1983-10-25,88.09
1983-10-26,88.09
1983-10-27,88.1
1983-10-28,88.07
1983-10-31,88.02
1983-11-01,88.0
1983-11-02,88.0
1983-11-03,87.9
1983-11-04,87.73
1983-11-07,87.75
1983-11-08,87.81
1983-11-09,87.82
1983-11-10,87.94
1983-11-11,88.06
1983-11-14,87.97
1983-11-15,87.9
1983-11-16,87.9
1983-11-17,87.84
1983-11-18,87.84
1983-11-21,87.93
1983-11-22,88.0
1983-11-23,88.01
1983-11-28,87.92
1983-11-29,88.0
1983-11-30,87.96
1983-12-01,87.95
1983-12-02,87.83
1983-12-05,87.83
1983-12-06,87.83
1983-12-07,87.81
1983-12-08,87.71
1983-12-09,87.69
1983-12-12,87.71
1983-12-13,87.58
1983-12-14,87.6
1983-12-15,87.62
1983-12-16,87.75
1983-12-19,87.76
1983-12-20,87.75
1983-12-21,87.82
1983-12-22,87.92
1983-12-23,87.89
1983-12-27,87.98
1983-12-28,87.94
1983-12-29,88.01
1983-12-30,87.96
1984-01-03,87.9
1984-01-04,88.01
1984-01-05,88.03
1984-01-06,88.04
1984-01-09,88.0
1984-01-10,88.06
1984-01-11,88.02
1984-01-12,87.99
1984-01-13,88.18
1984-01-16,88.14
1984-01-17,88.14
1984-01-18,88.14
1984-01-19,88.14
1984-01-20,88.09
1984-01-23,88.09
1984-01-24,88.09
1984-01-25,88.09
1984-01-26,88.12
1984-01-27,88.13
1984-01-30,88.1
1984-01-31,88.06
1984-02-01,88.08
1984-02-02,88.14
1984-02-03,88.21
1984-02-06,88.17
1984-02-07,88.16
1984-02-08,88.14
1984-02-09,88.08
1984-02-10,88.01
1984-02-13,87.98
1984-02-14,87.98
1984-02-15,87.98
1984-02-16,87.94
1984-02-17,87.86
1984-02-21,87.84
1984-02-22,87.81
1984-02-23,87.67
1984-02-24,87.72
1984-02-27,87.65
1984-02-28,87.59
1984-02-29,87.65
1984-03-01,87.63
1984-03-02,87.77
1984-03-05,87.71
1984-03-06,87.7
1984-03-07,87.63
1984-03-08,87.57
1984-03-09,87.5
1984-03-12,87.48
1984-03-13,87.49
1984-03-14,87.43
1984-03-15,87.45
1984-03-16,87.41
1984-03-19,87.27
1984-03-20,87.09
1984-03-21,87.13
1984-03-22,87.09
1984-03-23,87.08
1984-03-26,87.15
1984-03-27,87.14
1984-03-28,87.15
1984-03-29,87.12
1984-03-30,87.0
1984-04-02,86.95
1984-04-03,86.8
1984-04-04,86.8
1984-04-05,86.76
1984-04-06,86.83
1984-04-09,86.85
1984-04-10,86.82
1984-04-11,86.86
1984-04-12,86.93
1984-04-13,86.8
1984-04-16,86.73
1984-04-17,86.81
1984-04-18,86.71
1984-04-19,86.57
1984-04-23,86.52
1984-04-24,86.5
1984-04-25,86.6
1984-04-26,86.62
1984-04-27,86.51
1984-04-30,86.49
1984-05-01,86.56
1984-05-02,86.58
1984-05-03,86.52
1984-05-04,86.33
1984-05-07,86.24
1984-05-08,86.15
1984-05-09,85.91
1984-05-10,85.71
1984-05-11,85.56
1984-05-14,85.56
1984-05-15,85.61
1984-05-16,85.64
1984-05-17,85.58
1984-05-18,85.7
1984-05-21,85.72
1984-05-22,85.48
1984-05-23,85.38
1984-05-24,84.93
1984-05-25,84.89
1984-05-29,84.85
1984-05-30,84.55
1984-05-31,84.72
1984-06-01,85.18
1984-06-04,85.56
1984-06-05,85.52
1984-06-06,85.39
1984-06-07,85.31
1984-06-08,85.33
1984-06-11,85.27
1984-06-12,85.34
1984-06-13,85.59
1984-06-14,85.67
1984-06-15,85.74
1984-06-18,85.84
1984-06-19,85.8
1984-06-20,85.34
1984-06-21,85.18
1984-06-22,85.06
1984-06-25,85.12
1984-06-26,85.18
1984-06-27,85.3
1984-06-28,85.13
1984-06-29,85.09
1984-07-02,85.14
1984-07-03,85.26
1984-07-05,85.34
1984-07-06,85.39
1984-07-09,85.6
1984-07-10,85.56
1984-07-11,85.54
1984-07-12,85.75
1984-07-13,85.96
1984-07-16,85.82
1984-07-17,85.74
1984-07-18,85.78
1984-07-19,85.86
1984-07-20,85.85
1984-07-23,85.9
1984-07-24,86.09
1984-07-25,86.44
1984-07-26,86.79
1984-07-27,86.66
1984-07-30,86.53
1984-07-31,86.6
1984-08-01,86.72
1984-08-02,86.79
1984-08-03,87.05
1984-08-06,86.76
1984-08-07,86.98
1984-08-08,86.96
1984-08-09,86.98
1984-08-10,87.04
1984-08-13,87.02
1984-08-14,87.1
1984-08-15,87.08
1984-08-16,87.03
1984-08-17,87.01
1984-08-20,86.91
1984-08-21,86.93
1984-08-22,86.97
1984-08-23,86.93
1984-08-24,86.95
1984-08-27,86.7
1984-08-28,86.7
1984-08-29,86.69
1984-08-30,86.69
1984-08-31,86.75
1984-09-04,86.6
1984-09-05,86.59
1984-09-06,86.82
1984-09-07,86.97
1984-09-10,87.22
1984-09-11,87.2
1984-09-12,87.05
1984-09-13,87.27
1984-09-14,87.39
1984-09-17,87.45
1984-09-18,87.69
1984-09-19,88.01
1984-09-20,87.98
1984-09-21,87.73
1984-09-24,87.58
1984-09-25,87.51
1984-09-26,87.63
1984-09-27,87.85
1984-09-28,87.54
1984-10-01,87.47
1984-10-02,87.48
