Date,Open,High,Low,Settle,Volume,Open Interest
2013-10-08,369.8,367.5,367.5,369.35,4.0,381.0
2013-10-09,367.85,367.85,367.35,365.4,10.0,381.0
2013-10-10,369.6,372.3,369.6,372.1,9.0,393.0
2013-10-11,0.0,0.0,0.0,374.5,0.0,401.0
2013-10-12,0.0,0.0,0.0,374.5,0.0,401.0
2013-10-14,373.55,373.55,373.55,374.3,1.0,401.0
2013-10-15,0.0,0.0,0.0,380.15,0.0,402.0
2013-10-16,0.0,0.0,0.0,381.45,0.0,402.0
2013-10-17,379.75,380.0,379.75,380.55,8.0,402.0
2013-10-18,383.6,383.6,383.6,383.6,2.0,405.0
2013-10-19,383.6,383.6,383.6,383.6,2.0,405.0
2013-10-20,383.6,383.6,383.6,383.6,2.0,405.0
2013-10-21,386.65,386.65,386.65,386.45,5.0,405.0
2013-10-22,386.9,388.85,386.9,388.3,121.0,400.0
2013-10-23,0.0,0.0,0.0,387.0,0.0,407.0
2013-10-24,0.0,0.0,0.0,388.55,0.0,407.0
2013-10-25,387.3,387.5,387.3,387.45,2.0,407.0
2013-10-26,387.3,387.5,387.3,387.45,2.0,407.0
2013-10-27,387.3,387.5,387.3,387.45,2.0,407.0
2013-10-28,388.25,388.25,388.25,387.25,40.0,407.0
2013-10-29,0.0,0.0,0.0,389.6,0.0,407.0
2013-10-30,0.0,0.0,0.0,389.6,0.0,407.0
2013-10-31,0.0,0.0,0.0,390.25,0.0,407.0
2013-11-01,0.0,0.0,0.0,389.5,0.0,407.0
2013-11-03,0.0,0.0,0.0,389.5,0.0,407.0
2013-11-04,390.25,392.55,390.25,391.5,35.0,407.0
2013-11-05,0.0,0.0,0.0,389.8,0.0,432.0
2013-11-06,0.0,0.0,0.0,392.85,0.0,432.0
2013-11-07,0.0,0.0,0.0,392.1,0.0,432.0
2013-11-08,0.0,0.0,0.0,392.65,0.0,432.0
2013-11-09,0.0,0.0,0.0,392.65,0.0,432.0
2013-11-10,0.0,0.0,0.0,392.65,0.0,432.0
2013-11-11,0.0,0.0,0.0,394.15,0.0,432.0
2013-11-12,394.65,394.65,392.25,392.25,191.0,432.0
2013-11-13,0.0,0.0,0.0,390.8,0.0,506.0
2013-11-14,394.0,394.6,393.5,394.45,80.0,506.0
2013-11-15,0.0,0.0,0.0,394.65,0.0,565.0
2013-11-16,0.0,0.0,0.0,394.65,0.0,565.0
2013-11-17,0.0,0.0,0.0,394.65,0.0,565.0
2013-11-18,396.8,397.35,396.8,396.55,4.0,565.0
2013-11-19,395.35,395.35,394.65,394.95,16.0,565.0
