Date,Open,High,Low,Settle,Volume,Interest
2015-10-19,0.0,,,447.5,,
2015-10-20,0.0,,,445.55,,
2015-10-21,0.0,,,448.0,,
2015-10-22,0.0,,,456.35,,
2015-10-23,0.0,,,463.35,,
2015-10-26,462.8,462.8,462.8,461.4,1.0,
2015-10-27,0.0,0.0,0.0,457.15,0.0,1.0
2015-10-28,461.8,461.8,461.7,461.8,2.0,1.0
2015-10-29,0.0,0.0,0.0,461.95,0.0,3.0
2015-10-30,463.0,463.0,459.1,461.4,5.0,3.0
2015-11-02,460.5,464.05,460.5,463.75,2.0,7.0
2015-11-03,0.0,0.0,0.0,466.0,0.0,9.0
2015-11-04,471.35,471.35,467.95,467.95,5.0,9.0
2015-11-05,469.9,469.9,465.05,465.7,37.0,12.0
2015-11-06,466.7,466.7,464.75,468.9,81.0,39.0
2015-11-09,465.75,465.75,465.5,464.15,3.0,118.0
2015-11-10,0.0,0.0,0.0,464.35,0.0,117.0
2015-11-11,467.8,470.0,467.8,468.25,96.0,120.0
2015-11-12,469.45,469.45,469.45,460.0,15.0,191.0
2015-11-13,452.75,455.9,450.55,453.7,11.0,191.0
2015-11-16,448.0,455.4,448.0,454.5,3.0,195.0
2015-11-17,462.0,466.8,462.0,466.65,102.0,201.0
2015-11-19,470.35,472.35,469.2,469.3,22.0,260.0
2015-11-20,467.05,469.4,467.05,469.05,52.0,274.0
2015-11-23,464.4,465.6,464.4,466.55,4.0,320.0
2015-11-24,464.0,464.0,455.7,461.6,498.0,314.0
2015-11-25,464.9,469.4,464.9,468.45,70.0,712.0
2015-11-26,471.35,472.85,471.0,472.55,874.0,777.0
2015-11-27,471.3,474.85,471.3,472.5,15.0,1482.0
2015-11-30,471.65,473.0,471.0,469.9,29.0,1497.0
2015-12-01,470.05,471.4,466.3,467.7,255.0,1512.0
2015-12-02,470.05,470.05,464.0,467.45,32.0,1755.0
2015-12-03,469.75,472.05,443.35,450.2,390.0,1765.0
2015-12-04,448.6,451.55,444.9,447.2,670.0,2049.0
2015-12-07,451.0,452.75,447.8,448.7,15.0,2408.0
2015-12-08,446.75,447.35,439.95,441.8,422.0,2415.0
2015-12-09,443.1,444.3,438.35,441.0,59.0,2445.0
2015-12-10,438.3,440.3,437.5,438.0,1111.0,2444.0
2015-12-11,437.6,437.6,426.8,429.25,2532.0,3392.0
2015-12-14,429.35,433.95,419.65,420.75,19862.0,4957.0
2015-12-15,425.55,435.05,423.15,433.75,20735.0,19389.0
2015-12-16,435.1,441.6,431.35,433.85,22309.0,32878.0
2015-12-17,440.35,444.75,437.5,439.15,13609.0,44660.0
2015-12-18,436.6,437.4,431.05,434.15,47646.0,43437.0
2015-12-21,432.15,438.6,427.5,428.4,30832.0,50260.0
2015-12-22,432.4,434.9,425.25,431.5,32013.0,50086.0
2015-12-23,434.85,445.4,434.8,443.7,27613.0,49606.0
2015-12-24,443.8,445.2,442.1,444.1,3002.0,49358.0
2015-12-28,444.45,445.8,439.3,440.5,11861.0,45907.0
2015-12-29,443.0,448.15,442.9,447.75,20308.0,47759.0
2015-12-30,447.8,449.05,444.5,446.15,18717.0,48451.0
2015-12-31,445.65,446.8,440.95,441.85,3285.0,48058.0
2016-01-04,437.95,438.0,427.0,431.6,47016.0,46891.0
2016-01-05,435.65,437.1,428.5,434.85,35164.0,54454.0
2016-01-06,431.95,433.75,424.2,428.65,41208.0,51968.0
2016-01-07,421.3,423.2,411.7,420.6,51932.0,52656.0
2016-01-08,419.05,423.75,407.5,410.65,44389.0,53581.0
2016-01-11,406.7,415.85,406.35,411.15,53176.0,53845.0
2016-01-12,409.9,420.75,408.65,416.25,56329.0,60738.0
2016-01-13,421.0,425.85,408.75,417.95,60996.0,58646.0
2016-01-14,411.95,419.25,404.35,413.35,54495.0,46514.0
2016-01-15,413.1,414.35,399.6,401.96,8022.0,16927.0
