Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
1995-03-06,0.728,0.728,0.728,,,0.728,0.0,0.0
1995-03-07,0.7285,0.7285,0.7268,,,0.7268,1.0,1.0
1995-03-08,0.7288,0.7288,0.7288,,,0.7288,0.0,1.0
1995-03-09,0.7303,0.7303,0.7303,,,0.7303,0.0,1.0
1995-03-10,0.7331,0.7331,0.7331,,,0.7331,0.0,1.0
1995-03-13,0.7337,0.7337,0.7337,,,0.7337,0.0,1.0
1995-03-14,0.732,0.732,0.732,,,0.732,0.0,1.0
1995-03-15,0.7342,0.7342,0.7342,,,0.7342,0.0,1.0
1995-03-16,0.7334,0.7334,0.7334,,,0.7334,0.0,1.0
1995-03-17,0.7213,0.7213,0.7213,,,0.7213,0.0,1.0
1995-03-20,0.7104,0.7104,0.7104,,,0.7104,0.0,1.0
1995-03-21,0.7134,0.7134,0.7134,,,0.7134,0.0,1.0
1995-03-22,0.716,0.716,0.7129,,,0.7129,3.0,3.0
1995-03-23,0.7136,0.7136,0.7136,,,0.7136,0.0,3.0
1995-03-24,0.7177,0.7177,0.7177,,,0.7177,0.0,3.0
1995-03-27,0.7155,0.7164,0.715,,,0.7164,1.0,4.0
1995-03-28,0.7169,0.7169,0.7169,,,0.7169,0.0,4.0
1995-03-29,0.7119,0.7119,0.7119,,,0.7119,0.0,4.0
1995-03-30,0.7191,0.7191,0.7191,,,0.7191,0.0,4.0
1995-03-31,0.7245,0.7245,0.7245,,,0.7245,0.0,4.0
1995-04-03,0.7242,0.7242,0.7242,,,0.7242,0.0,4.0
1995-04-04,0.7231,0.7231,0.7231,,,0.7231,0.0,4.0
1995-04-05,0.7308,0.7308,0.7308,,,0.7308,0.0,4.0
1995-04-06,0.7307,0.7307,0.7307,,,0.7307,0.0,4.0
1995-04-07,0.7337,0.7337,0.7337,,,0.7337,0.0,4.0
1995-04-10,0.7295,0.73,0.7295,,,0.73,1.0,5.0
1995-04-11,0.7306,0.7306,0.7306,,,0.7306,0.0,5.0
1995-04-12,0.7326,0.7326,0.7326,,,0.7326,0.0,5.0
1995-04-13,0.73,0.73,0.73,,,0.73,0.0,5.0
1995-04-17,0.7344,0.7344,0.7344,,,0.7344,0.0,5.0
1995-04-18,0.7325,0.7325,0.7325,,,0.7325,0.0,5.0
1995-04-19,0.7246,0.7246,0.7246,,,0.7246,0.0,5.0
1995-04-20,0.7261,0.7261,0.7261,,,0.7261,0.0,5.0
1995-04-21,0.7197,0.7197,0.7197,,,0.7197,0.0,5.0
1995-04-24,0.7183,0.7183,0.7183,,,0.7183,0.0,5.0
1995-04-25,0.7173,0.7173,0.7173,,,0.7173,0.0,5.0
1995-04-26,0.7168,0.7168,0.7168,,,0.7168,0.0,5.0
1995-04-27,0.7195,0.7195,0.7195,,,0.7195,0.0,5.0
1995-04-28,0.7185,0.7185,0.7185,,,0.7185,0.0,5.0
1995-05-01,0.7197,0.7197,0.7197,,,0.7197,0.0,5.0
1995-05-02,0.7198,0.7198,0.7198,,,0.7198,0.0,5.0
