Date,Open,High,Low,Settle,Volume,Open Interest
2013-12-09,123.06,123.06,123.06,123.06,0.0,0.0
2013-12-10,123.06,123.06,123.06,123.06,0.0,0.0
2013-12-11,123.05,123.05,123.05,123.05,0.0,0.0
2013-12-12,123.87,123.87,123.87,123.87,0.0,0.0
2013-12-13,123.92,123.92,123.92,123.92,0.0,0.0
2013-12-16,123.91,123.91,123.91,123.91,0.0,0.0
2013-12-17,123.99,123.99,123.99,123.99,0.0,0.0
2013-12-18,123.85,123.85,123.85,123.85,0.0,0.0
2013-12-19,123.06,123.06,123.06,123.06,0.0,0.0
2013-12-20,123.0,123.0,123.0,123.0,0.0,0.0
2013-12-23,122.94,122.94,122.94,122.94,0.0,0.0
2013-12-24,0.0,0.0,0.0,122.94,0.0,0.0
2013-12-27,122.58,122.58,122.58,122.58,0.0,0.0
2013-12-30,122.78,122.78,122.78,122.78,0.0,0.0
2014-01-02,122.77,122.77,122.77,122.77,0.0,0.0
2014-01-03,122.77,122.77,122.77,122.77,0.0,0.0
2014-01-06,122.93,122.93,122.93,122.93,0.0,0.0
2014-01-07,123.04,123.04,123.04,123.04,0.0,0.0
2014-01-08,122.92,122.92,122.92,122.92,0.0,0.0
2014-01-09,122.97,122.97,122.97,122.97,0.0,0.0
2014-01-10,123.33,123.33,123.33,123.33,0.0,0.0
2014-01-13,123.51,123.51,123.51,123.51,0.0,0.0
2014-01-14,123.46,123.46,123.46,123.46,0.0,0.0
2014-01-15,123.39,123.39,123.39,123.39,0.0,0.0
2014-01-16,123.73,123.73,123.73,123.73,0.0,0.0
2014-01-17,123.87,123.87,123.87,123.87,0.0,0.0
2014-01-18,0.0,0.0,0.0,123.87,0.0,0.0
2014-01-20,123.94,123.94,123.94,123.94,0.0,0.0
2014-01-21,124.0,124.0,124.0,124.0,0.0,0.0
2014-01-22,123.95,123.95,123.95,123.95,0.0,0.0
2014-01-23,124.13,124.13,124.13,124.13,0.0,0.0
2014-01-24,124.44,124.44,124.44,124.44,0.0,0.0
2014-01-27,124.37,124.37,124.37,124.37,0.0,0.0
2014-01-28,124.37,124.37,124.37,124.37,0.0,0.0
2014-01-29,124.58,124.58,124.58,124.58,0.0,0.0
2014-01-30,124.72,124.72,124.72,124.72,0.0,0.0
2014-01-31,125.03,125.03,125.03,125.03,0.0,0.0
2014-02-03,125.06,125.06,125.06,125.06,0.0,0.0
2014-02-04,125.06,125.06,125.06,125.06,0.0,0.0
2014-02-05,125.1,125.1,125.1,125.1,0.0,0.0
2014-02-06,124.7,124.7,124.7,124.7,0.0,0.0
2014-02-07,125.0,125.0,125.0,125.0,0.0,0.0
2014-02-08,0.0,0.0,0.0,124.7,0.0,0.0
2014-02-09,0.0,0.0,0.0,124.7,0.0,0.0
2014-02-10,124.92,124.92,124.92,124.92,0.0,0.0
2014-02-11,124.97,124.97,124.97,124.97,0.0,0.0
2014-02-12,124.8,124.8,124.8,124.8,0.0,0.0
2014-02-13,125.08,125.08,125.08,125.08,0.0,0.0
2014-02-14,124.96,124.96,124.96,124.96,0.0,0.0
2014-02-15,0.0,0.0,0.0,124.7,0.0,0.0
2014-02-16,0.0,0.0,0.0,124.7,0.0,0.0
2014-02-17,124.98,124.98,124.98,124.98,0.0,0.0
2014-02-18,125.09,125.09,125.09,125.09,0.0,0.0
2014-02-19,125.15,125.15,125.15,125.15,0.0,0.0
2014-02-20,124.92,124.92,124.92,124.92,0.0,0.0
2014-02-21,125.09,125.09,125.09,125.09,0.0,0.0
2014-02-22,0.0,0.0,0.0,124.7,0.0,0.0
2014-02-23,0.0,0.0,0.0,124.7,0.0,0.0
2014-02-24,124.95,124.95,124.95,124.95,0.0,0.0
2014-02-25,125.06,125.06,125.06,125.06,0.0,0.0
2014-02-26,125.3,125.3,125.3,125.3,0.0,0.0
2014-02-27,125.5,125.5,125.5,125.5,0.0,0.0
2014-02-28,125.05,125.05,125.05,125.05,0.0,0.0
2014-03-01,0.0,0.0,0.0,124.7,0.0,0.0
2014-03-02,0.0,0.0,0.0,124.7,0.0,0.0
2014-03-03,125.38,125.38,125.38,125.38,0.0,0.0
2014-03-04,125.3,125.3,125.3,125.3,0.0,0.0
2014-03-05,125.32,125.32,125.32,125.32,0.0,0.0
2014-03-06,125.01,125.01,125.01,125.01,6.0,6.0
2014-03-07,125.03,125.03,125.03,125.03,0.0,6.0
2014-03-10,125.13,125.13,125.13,125.13,0.0,6.0
2014-03-11,125.32,125.32,125.32,125.32,0.0,6.0
2014-03-12,125.55,125.55,125.55,125.55,0.0,6.0
2014-03-13,125.81,125.81,125.81,125.81,0.0,6.0
2014-03-14,125.71,125.71,125.71,125.71,0.0,6.0
2014-03-17,125.64,125.64,125.64,125.64,0.0,6.0
2014-03-18,125.65,125.65,125.65,125.65,0.0,6.0
2014-03-19,125.51,125.51,125.51,125.51,0.0,6.0
2014-03-20,125.16,125.16,125.16,125.16,0.0,6.0
2014-03-21,125.19,125.19,125.19,125.19,0.0,6.0
2014-03-24,125.42,125.42,125.42,125.42,0.0,6.0
2014-03-25,125.55,125.55,125.55,125.55,0.0,6.0
2014-03-26,125.65,125.65,125.65,125.65,0.0,6.0
2014-03-27,125.83,125.83,125.83,125.83,0.0,6.0
2014-03-28,125.69,125.69,125.69,125.69,0.0,6.0
2014-03-31,125.57,125.57,125.57,125.57,0.0,6.0
2014-04-01,125.45,125.45,125.45,125.45,0.0,6.0
2014-04-02,125.25,125.25,125.25,125.25,0.0,6.0
2014-04-03,125.38,125.38,125.38,125.38,314.0,320.0
2014-04-04,125.61,125.61,125.61,125.97,6.0,6.0
2014-04-07,125.94,125.94,125.94,125.94,0.0,6.0
2014-04-08,125.82,125.82,125.82,125.82,0.0,6.0
2014-04-09,125.72,125.72,125.72,125.72,0.0,6.0
2014-04-10,126.01,126.01,126.01,126.01,0.0,6.0
2014-04-11,126.08,126.08,126.08,126.08,0.0,6.0
2014-04-14,126.01,126.01,126.01,126.01,0.0,6.0
2014-04-15,126.32,126.32,126.32,126.32,44.0,50.0
2014-04-16,126.19,126.19,126.19,126.19,40.0,90.0
2014-04-17,125.95,125.95,125.95,125.95,0.0,90.0
2014-04-22,125.85,125.85,125.85,125.85,0.0,90.0
2014-04-23,125.89,125.89,125.89,125.89,0.0,90.0
2014-04-24,125.81,125.81,125.81,125.81,0.0,90.0
2014-04-25,125.87,125.87,125.87,126.21,79.0,191.0
2014-04-28,126.15,126.15,126.06,126.15,404.0,593.0
2014-04-29,126.3,126.3,126.3,126.3,5.0,596.0
2014-04-30,126.44,126.45,126.44,126.42,48.0,681.0
2014-05-02,126.32,126.65,126.32,126.63,5.0,1142.0
2014-05-05,126.65,126.65,126.59,126.57,7.0,1200.0
2014-05-06,126.51,126.51,126.51,126.51,0.0,1717.0
2014-05-07,126.42,126.42,126.42,126.42,1.0,3452.0
2014-05-08,126.56,126.7,126.56,126.7,810.0,10307.0
2014-05-09,126.68,126.68,126.66,126.69,11.0,13099.0
2014-05-12,126.64,126.64,126.64,126.68,1651.0,14449.0
2014-05-13,126.82,126.91,126.82,126.94,3654.0,17352.0
2014-05-14,126.98,127.22,126.98,127.19,5412.0,18128.0
2014-05-15,127.17,127.53,127.16,127.5,6176.0,20324.0
2014-05-16,127.43,127.43,127.35,127.36,4552.0,20214.0
2014-05-19,127.32,127.33,127.24,127.34,5340.0,23130.0
2014-05-20,127.33,127.41,127.31,127.32,6190.0,26634.0
2014-05-21,127.36,127.36,127.18,127.22,8454.0,33013.0
2014-05-22,127.26,127.37,127.26,127.37,7590.0,36960.0
2014-05-23,127.35,127.38,127.31,127.35,14747.0,47674.0
2014-05-26,127.35,127.43,127.33,127.4,5037.0,51307.0
2014-05-27,127.37,127.57,127.32,127.53,33262.0,58658.0
2014-05-28,127.55,127.72,127.55,127.7,51512.0,86420.0
2014-05-29,127.69,127.72,127.58,127.65,36257.0,106344.0
2014-05-30,127.53,127.65,127.47,127.59,79182.0,139344.0
2014-06-02,127.65,127.73,127.5,127.57,334268.0,302204.0
2014-06-03,127.58,127.6,127.3,127.34,569399.0,543447.0
2014-06-04,127.36,127.46,127.25,127.29,687055.0,767463.0
2014-06-05,127.41,127.7,127.2,127.62,908570.0,847276.0
2014-06-06,127.68,128.09,127.64,127.89,730216.0,865059.0
2014-06-09,127.83,127.91,127.65,127.67,325091.0,874073.0
