Date,Open,High,Low,Settle,Volume,Open Interest
2014-12-09,131.96,131.96,131.96,131.96,0.0,0.0
2014-12-10,131.6,131.6,131.6,131.6,0.0,0.0
2014-12-11,131.62,131.62,131.62,131.62,0.0,0.0
2014-12-12,131.56,131.56,131.56,131.56,0.0,0.0
2014-12-15,132.09,132.09,132.09,132.09,0.0,0.0
2014-12-16,131.89,131.89,131.89,131.89,0.0,0.0
2014-12-17,132.2,132.2,132.2,132.2,0.0,0.0
2014-12-18,132.25,132.25,132.25,132.25,0.0,0.0
2014-12-19,132.49,132.49,132.49,132.49,0.0,0.0
2014-12-22,132.8,132.8,132.8,132.8,0.0,0.0
2014-12-23,132.86,132.86,132.86,132.86,0.0,0.0
2014-12-24,0.0,0.0,0.0,132.86,0.0,0.0
2014-12-29,132.56,132.56,132.56,132.56,0.0,0.0
2014-12-30,133.6,133.6,133.6,133.6,0.0,0.0
2014-12-31,0.0,0.0,0.0,133.6,0.0,0.0
2015-01-02,134.83,134.83,134.83,134.83,0.0,0.0
2015-01-05,133.85,133.85,133.85,133.85,0.0,0.0
2015-01-06,133.72,133.72,133.72,133.72,0.0,0.0
2015-01-07,132.83,132.83,132.83,132.83,0.0,0.0
2015-01-08,133.7,133.7,133.7,133.7,0.0,0.0
2015-01-09,133.07,133.07,133.07,133.07,0.0,0.0
2015-01-12,133.96,133.96,133.96,133.96,0.0,0.0
2015-01-13,134.14,134.14,134.14,134.14,0.0,0.0
2015-01-14,134.65,134.65,134.65,134.65,0.0,0.0
2015-01-15,134.75,134.75,134.75,134.75,0.0,0.0
2015-01-16,135.36,135.36,135.36,135.36,0.0,0.0
2015-01-19,135.31,135.31,135.31,135.31,0.0,0.0
2015-01-20,135.19,135.19,135.19,135.19,0.0,0.0
2015-01-21,135.05,135.05,135.05,135.05,0.0,0.0
2015-01-22,136.44,136.44,136.44,136.44,0.0,0.0
2015-01-23,136.97,136.97,136.97,136.97,0.0,0.0
2015-01-26,137.41,137.41,137.41,137.41,0.0,0.0
2015-01-27,136.85,136.85,136.85,136.85,0.0,0.0
2015-01-28,140.0,140.0,140.0,136.15,0.0,0.0
2015-01-29,136.09,136.09,136.09,136.09,0.0,0.0
2015-01-30,136.19,136.19,136.19,136.19,0.0,0.0
2015-02-02,136.13,136.13,136.13,136.13,0.0,0.0
2015-02-03,136.41,136.41,136.41,136.41,0.0,0.0
2015-02-04,136.99,136.99,136.99,136.99,0.0,0.0
2015-02-05,136.85,136.85,136.85,136.85,0.0,0.0
2015-02-06,136.53,136.53,136.53,136.53,0.0,0.0
2015-02-09,135.8,135.8,135.8,135.8,0.0,0.0
2015-02-10,135.45,135.45,135.45,135.45,0.0,0.0
2015-02-11,135.58,135.58,135.58,135.58,0.0,0.0
2015-02-12,135.81,135.81,135.81,135.81,0.0,0.0
2015-02-13,136.18,136.18,136.18,136.18,0.0,0.0
2015-02-16,135.92,135.92,135.92,135.92,0.0,0.0
2015-02-17,135.73,135.73,135.73,135.73,0.0,0.0
2015-02-18,135.95,135.95,135.95,135.95,0.0,0.0
2015-02-19,136.28,136.28,136.28,136.28,0.0,0.0
2015-02-20,136.63,136.63,136.63,136.63,0.0,0.0
2015-02-23,137.43,137.43,137.43,137.43,0.0,0.0
2015-02-24,137.74,137.74,137.74,137.74,0.0,0.0
2015-02-25,137.71,137.71,137.71,137.71,0.0,0.0
2015-02-26,138.91,138.91,138.91,138.91,0.0,0.0
2015-02-27,138.89,138.89,138.89,138.89,0.0,0.0
2015-03-02,138.84,138.84,138.84,138.84,0.0,0.0
2015-03-03,139.47,139.47,139.47,138.79,1.0,1.0
2015-03-04,138.76,138.76,138.76,138.76,0.0,1.0
2015-03-05,139.57,139.57,139.57,139.57,0.0,1.0
2015-03-06,139.69,139.69,139.69,139.69,0.0,1.0
2015-03-09,140.99,140.99,140.99,140.99,0.0,2.0
2015-03-10,141.1,141.49,141.0,141.49,4.0,6.0
2015-03-11,141.9,142.52,141.9,142.52,1.0,6.0
2015-03-12,143.0,143.0,142.5,142.64,3.0,9.0
2015-03-13,142.49,142.49,142.49,142.49,0.0,9.0
2015-03-16,142.5,142.5,142.5,142.5,0.0,9.0
2015-03-17,141.4,141.4,141.4,141.42,1.0,9.0
2015-03-18,140.46,140.72,140.46,140.72,1.0,10.0
2015-03-19,141.7,141.7,141.7,141.7,0.0,10.0
2015-03-20,141.85,142.13,141.85,142.13,5.0,13.0
2015-03-23,141.3,141.3,141.08,141.08,3.0,16.0
2015-03-24,140.69,140.69,140.69,140.69,0.0,16.0
2015-03-25,140.63,140.63,140.63,140.63,0.0,16.0
2015-03-26,140.63,140.63,140.63,140.63,0.0,16.0
2015-03-27,140.53,140.53,140.53,140.53,0.0,16.0
2015-03-30,139.36,139.36,139.36,140.88,4.0,20.0
2015-03-31,141.08,141.08,141.08,141.08,0.0,20.0
2015-04-01,141.75,141.75,141.75,141.25,2.0,22.0
2015-04-02,140.88,140.88,140.88,140.88,0.0,22.0
2015-04-07,141.9,141.9,141.9,141.74,1.0,22.0
2015-04-08,141.58,141.58,141.58,141.58,0.0,22.0
2015-04-09,141.5,141.5,141.5,141.5,0.0,22.0
2015-04-10,141.77,141.77,141.77,141.77,0.0,22.0
2015-04-13,141.63,141.63,141.63,141.63,0.0,22.0
2015-04-14,141.3,141.3,141.3,141.38,1.0,22.0
2015-04-15,141.5,141.5,141.5,141.74,1.0,23.0
2015-04-16,140.35,140.35,140.35,140.35,930.0,23.0
