Date,Open,High,Low,Settle,Volume,Open Interest
2015-09-09,0.0,0.0,0.0,156.19,0.0,0.0
2015-09-10,0.0,0.0,0.0,156.39,0.0,0.0
2015-09-11,0.0,0.0,0.0,156.65,0.0,0.0
2015-09-14,0.0,0.0,0.0,156.68,0.0,0.0
2015-09-15,0.0,0.0,0.0,155.51,0.0,0.0
2015-09-16,0.0,0.0,0.0,155.16,0.0,0.0
2015-09-17,0.0,0.0,0.0,155.1,0.0,0.0
2015-09-18,0.0,0.0,0.0,155.1,0.0,0.0
2015-09-21,0.0,0.0,0.0,154.85,0.0,0.0
2015-09-22,0.0,0.0,0.0,156.06,0.0,0.0
2015-09-23,0.0,0.0,0.0,155.92,0.0,0.0
2015-09-24,0.0,0.0,0.0,156.19,0.0,0.0
2015-09-25,0.0,0.0,0.0,155.43,0.0,0.0
2015-09-28,153.75,153.75,153.75,156.04,1.0,0.0
2015-09-29,0.0,0.0,0.0,156.17,0.0,1.0
2015-09-30,156.9,156.9,156.9,156.19,1.0,1.0
2015-10-01,0.0,0.0,0.0,156.77,0.0,0.0
2015-10-02,0.0,0.0,0.0,157.24,0.0,0.0
2015-10-05,0.0,0.0,0.0,156.51,0.0,0.0
2015-10-06,0.0,0.0,0.0,156.18,0.0,0.0
2015-10-07,0.0,0.0,0.0,156.17,0.0,0.0
2015-10-08,0.0,0.0,0.0,156.32,0.0,0.0
2015-10-09,0.0,0.0,0.0,155.92,0.0,0.0
2015-10-12,0.0,0.0,0.0,156.42,0.0,0.0
2015-10-13,0.0,0.0,0.0,156.18,0.0,0.0
2015-10-14,0.0,0.0,0.0,156.88,0.0,0.0
2015-10-15,0.0,0.0,0.0,156.75,0.0,0.0
2015-10-16,0.0,0.0,0.0,156.91,0.0,0.0
2015-10-19,0.0,0.0,0.0,156.64,0.0,0.0
2015-10-20,0.0,0.0,0.0,155.91,0.0,0.0
2015-10-21,0.0,0.0,0.0,156.59,0.0,0.0
2015-10-22,0.0,0.0,0.0,157.47,0.0,0.0
2015-10-23,0.0,0.0,0.0,157.46,0.0,0.0
2015-10-26,0.0,0.0,0.0,157.59,0.0,0.0
2015-10-27,0.0,0.0,0.0,158.35,0.0,0.0
2015-10-28,0.0,0.0,0.0,158.34,0.0,0.0
2015-10-29,0.0,0.0,0.0,157.1,0.0,0.0
2015-10-30,0.0,0.0,0.0,157.21,0.0,0.0
2015-11-02,0.0,0.0,0.0,156.68,0.0,0.0
2015-11-03,0.0,0.0,0.0,156.6,0.0,0.0
2015-11-04,0.0,0.0,0.0,156.34,0.0,0.0
2015-11-05,0.0,0.0,0.0,156.28,0.0,0.0
2015-11-06,0.0,0.0,0.0,155.18,0.0,0.0
2015-11-11,0.0,0.0,0.0,156.33,0.0,0.0
2015-11-12,0.0,0.0,0.0,156.33,0.0,0.0
2015-11-13,0.0,0.0,0.0,156.92,0.0,0.0
2015-11-16,0.0,0.0,0.0,157.31,0.0,0.0
2015-11-17,0.0,0.0,0.0,157.33,0.0,0.0
2015-11-18,0.0,0.0,0.0,157.69,0.0,0.0
2015-11-19,0.0,0.0,0.0,158.02,0.0,0.0
2015-11-20,0.0,0.0,0.0,158.02,0.0,0.0
2015-11-23,0.0,0.0,0.0,157.34,0.0,0.0
2015-11-24,0.0,0.0,0.0,157.79,0.0,0.0
2015-11-25,158.27,158.27,158.27,158.27,2.0,0.0
