Date,Open,High,Low,Settle,Volume,Interest
2013-11-09,0.0,0.0,0.0,3945.5,0.0,1.0
2013-11-10,0.0,0.0,0.0,3945.5,0.0,1.0
2013-11-11,0.0,0.0,0.0,3976.5,0.0,1.0
2013-11-12,0.0,0.0,0.0,3951.5,0.0,1.0
2013-11-13,0.0,0.0,0.0,3928.0,0.0,1.0
2013-11-14,0.0,0.0,0.0,3971.0,0.0,1.0
2013-11-15,0.0,0.0,0.0,3985.5,0.0,1.0
2013-11-16,0.0,0.0,0.0,3985.5,0.0,1.0
2013-11-17,0.0,0.0,0.0,3985.5,0.0,1.0
2013-11-18,0.0,0.0,0.0,3998.5,0.0,1.0
2013-11-19,0.0,0.0,0.0,3964.0,0.0,1.0
2013-11-20,0.0,0.0,0.0,3962.0,0.0,1.0
2013-11-21,0.0,0.0,0.0,3948.0,0.0,1.0
2013-11-22,0.0,0.0,0.0,3972.5,0.0,1.0
2013-11-23,0.0,0.0,0.0,3972.5,0.0,1.0
2013-11-24,0.0,0.0,0.0,3972.5,0.0,1.0
2013-11-25,0.0,0.0,0.0,3994.5,0.0,1.0
2013-11-26,0.0,0.0,0.0,3972.0,0.0,1.0
2013-11-27,0.0,0.0,0.0,3987.0,0.0,1.0
2013-11-28,0.0,0.0,0.0,3996.5,0.0,1.0
2013-11-29,0.0,0.0,0.0,3993.0,0.0,1.0
2013-11-30,0.0,0.0,0.0,3993.0,0.0,1.0
2013-12-01,0.0,0.0,0.0,3993.0,0.0,1.0
2013-12-02,0.0,0.0,0.0,3984.0,0.0,1.0
2013-12-03,0.0,0.0,0.0,3871.0,0.0,1.0
2013-12-04,0.0,0.0,0.0,3846.0,0.0,1.0
2013-12-05,0.0,0.0,0.0,3799.0,0.0,1.0
2013-12-06,0.0,0.0,0.0,3830.0,0.0,1.0
2013-12-07,0.0,0.0,0.0,3830.0,0.0,1.0
2013-12-08,0.0,0.0,0.0,3830.0,0.0,1.0
2013-12-09,0.0,0.0,0.0,3833.5,0.0,1.0
2013-12-10,0.0,0.0,0.0,3789.5,0.0,1.0
2013-12-11,0.0,0.0,0.0,3787.0,0.0,1.0
2013-12-12,0.0,0.0,0.0,3769.5,0.0,1.0
2013-12-16,0.0,0.0,0.0,3831.5,0.0,1.0
2013-12-17,0.0,0.0,0.0,3788.5,0.0,1.0
2013-12-18,0.0,0.0,0.0,3826.5,0.0,1.0
2013-12-19,0.0,0.0,0.0,3883.5,0.0,1.0
2013-12-20,0.0,0.0,0.0,3901.0,0.0,1.0
2013-12-23,0.0,0.0,0.0,3924.5,0.0,1.0
2013-12-24,0.0,0.0,0.0,3929.0,0.0,1.0
2013-12-25,0.0,0.0,0.0,3929.0,0.0,1.0
2013-12-27,0.0,0.0,0.0,3985.5,0.0,1.0
2013-12-30,0.0,0.0,0.0,3983.0,0.0,1.0
2013-12-31,0.0,0.0,0.0,4003.0,0.0,1.0
2014-01-01,0.0,0.0,0.0,4003.0,0.0,1.0
2014-01-02,0.0,0.0,0.0,3965.5,0.0,1.0
2014-01-03,0.0,0.0,0.0,3965.5,0.0,1.0
2014-01-06,0.0,0.0,0.0,3936.5,0.0,1.0
2014-01-07,0.0,0.0,0.0,3965.5,0.0,1.0
2014-01-08,0.0,0.0,0.0,3965.0,0.0,1.0
2014-01-09,0.0,0.0,0.0,3933.0,0.0,1.0
2014-01-12,0.0,0.0,0.0,3956.5,0.0,1.0
2014-01-13,0.0,0.0,0.0,3968.0,0.0,1.0
2014-01-14,0.0,0.0,0.0,3978.0,0.0,1.0
2014-01-15,0.0,0.0,0.0,4034.5,0.0,1.0
2014-01-16,0.0,0.0,0.0,4023.5,0.0,1.0
2014-01-17,0.0,0.0,0.0,4032.5,0.0,1.0
2014-01-18,0.0,0.0,0.0,4032.5,0.0,1.0
2014-01-19,0.0,0.0,0.0,4032.5,0.0,1.0
2014-01-20,0.0,0.0,0.0,4027.5,0.0,1.0
2014-01-21,0.0,0.0,0.0,4028.5,0.0,1.0
2014-01-22,0.0,0.0,0.0,4031.0,0.0,1.0
2014-01-23,0.0,0.0,0.0,3986.5,0.0,1.0
2014-01-24,0.0,0.0,0.0,3867.5,0.0,1.0
2014-01-25,0.0,0.0,0.0,3867.5,0.0,1.0
2014-01-26,0.0,0.0,0.0,3867.5,0.0,1.0
2014-01-27,0.0,0.0,0.0,3848.5,0.0,1.0
2014-01-28,0.0,0.0,0.0,3889.5,0.0,1.0
2014-01-29,0.0,0.0,0.0,3861.5,0.0,1.0
2014-01-30,0.0,0.0,0.0,3884.5,0.0,1.0
2014-01-31,0.0,0.0,0.0,3871.0,0.0,1.0
2014-02-01,0.0,0.0,0.0,3871.0,0.0,1.0
2014-02-02,0.0,0.0,0.0,3871.0,0.0,1.0
2014-02-03,0.0,0.0,0.0,3812.5,0.0,1.0
2014-02-04,0.0,0.0,0.0,3821.5,0.0,1.0
2014-02-05,0.0,0.0,0.0,3823.0,0.0,1.0
2014-02-06,0.0,0.0,0.0,3892.0,0.0,1.0
2014-02-07,0.0,0.0,0.0,3932.0,0.0,1.0
2014-02-08,0.0,0.0,0.0,3932.0,0.0,1.0
2014-02-09,0.0,0.0,0.0,3932.0,0.0,1.0
2014-02-10,0.0,0.0,0.0,3940.0,0.0,1.0
2014-02-11,0.0,0.0,0.0,3986.5,0.0,1.0
2014-02-12,0.0,0.0,0.0,4009.0,0.0,1.0
2014-02-13,0.0,0.0,0.0,4017.5,0.0,1.0
2014-02-14,0.0,0.0,0.0,4043.5,0.0,1.0
2014-02-15,0.0,0.0,0.0,4043.5,0.0,1.0
2014-02-16,0.0,0.0,0.0,4043.5,0.0,1.0
2014-02-17,0.0,0.0,0.0,4033.0,0.0,1.0
