Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-01-29,,,,,0.0,2.4705,0.0,0.0
2015-01-30,,,,,0.0325,2.503,0.0,0.0
2015-02-02,,,,,0.002,2.505,0.0,0.0
2015-02-03,,,,,0.0875,2.5925,0.0,0.0
2015-02-04,,,,,0.006,2.5985,0.0,0.0
2015-02-05,,,,,0.008,2.6065,0.0,0.0
2015-02-06,,,,,0.008,2.5985,0.0,0.0
2015-02-09,,,,,0.001,2.5975,0.0,0.0
2015-02-10,,,,,0.025,2.5725,0.0,0.0
2015-02-11,,,,,0.0215,2.551,0.0,0.0
2015-02-12,2.5875,2.5875,2.5875,,0.0575,2.6085,1.0,0.0
2015-02-13,,,,,0.0095,2.6180000000000003,0.0,1.0
2015-02-17,,,,,0.024,2.594,0.0,1.0
2015-02-18,,,,,0.027000000000000003,2.6210000000000004,0.0,1.0
2015-02-19,,,,,0.0055,2.6265,0.0,1.0
2015-02-20,,,,,0.0225,2.6039999999999996,0.0,1.0
2015-02-23,,,,,0.0065,2.5975,0.0,1.0
2015-02-24,,,,,0.0505,2.648,0.0,1.0
2015-02-25,,,,,0.0015,2.6465,0.0,1.0
2015-02-26,,,,,0.0475,2.694,0.0,1.0
2015-02-27,,,,,,2.694,0.0,1.0
2015-03-02,,,,,0.012,2.7060000000000004,0.0,1.0
2015-03-03,,,,,0.039,2.667,0.0,1.0
2015-03-04,,,,,0.0005,2.6665,0.0,1.0
2015-03-05,,,,,0.008,2.6585,0.0,1.0
2015-03-06,,,,,0.0395,2.6189999999999998,0.0,1.0
2015-03-09,,,,,0.0585,2.6775,0.0,1.0
2015-03-10,,,,,0.045,2.6325,0.0,1.0
2015-03-11,,,,,0.0195,2.613,0.0,1.0
2015-03-12,,,,,0.0505,2.6635,0.0,1.0
2015-03-13,,,,,0.004,2.6675,0.0,1.0
2015-03-16,,,,,0.0065,2.674,0.0,1.0
2015-03-17,,,,,0.0345,2.6395,0.0,1.0
2015-03-18,,,,,0.062,2.5775,0.0,1.0
2015-03-19,,,,,0.087,2.6645,0.0,1.0
2015-03-20,,,,,0.09,2.7545,0.0,1.0
2015-03-23,,,,,0.03,2.7845,0.0,1.0
2015-03-24,,,,,0.0145,2.799,0.0,1.0
2015-03-25,,,,,0.0085,2.7905,0.0,1.0
2015-03-26,,,,,0.0165,2.807,0.0,1.0
2015-03-27,,,,,0.0425,2.7645,0.0,1.0
2015-03-30,,,,,0.0155,2.78,0.0,1.0
2015-03-31,,,,,0.039,2.741,0.0,1.0
2015-04-01,,,,,0.0085,2.7495,0.0,1.0
2015-04-02,,,,,0.0145,2.735,0.0,1.0
2015-04-06,,,,,0.016,2.719,0.0,1.0
2015-04-07,,,,,0.0455,2.7645,0.0,1.0
2015-04-08,,,,,0.026000000000000002,2.7385,0.0,1.0
2015-04-09,,,,,0.0025,2.736,0.0,1.0
2015-04-10,,,,,0.0045,2.7405,0.0,1.0
2015-04-13,,,,,0.0175,2.7230000000000003,0.0,1.0
2015-04-14,,,,,0.022000000000000002,2.701,0.0,1.0
2015-04-15,,,,,0.0175,2.7185,0.0,1.0
2015-04-16,,,,,0.06,2.7785,0.0,1.0
2015-04-17,,,,,0.0035,2.782,0.0,1.0
2015-04-20,,,,,0.035,2.747,0.0,1.0
2015-04-21,,,,,0.01,2.737,0.0,1.0
2015-04-22,,,,,0.023,2.714,0.0,1.0
2015-04-23,,,,,0.018000000000000002,2.7319999999999998,0.0,1.0
2015-04-24,,,,,0.046,2.778,0.0,1.0
2015-04-27,,,,,0.0205,2.7985,0.0,1.0
2015-04-28,,,,,0.006999999999999999,2.8055,0.0,1.0
2015-04-29,,,,,0.008,2.8135,0.0,1.0
2015-04-30,,,,,0.0825,2.8960000000000004,1.0,1.0
2015-05-01,,,,,0.0375,2.9335,0.0,1.0
2015-05-04,,,,,0.0045,2.929,0.0,1.0
2015-05-05,,,,,0.0165,2.9455,0.0,1.0
2015-05-06,,,,,0.008,2.9375,0.0,1.0
2015-05-07,,,,,0.011000000000000001,2.9265,0.0,1.0
2015-05-08,,,,,0.002,2.9245,0.0,1.0
2015-05-11,,,,,0.011000000000000001,2.9135,0.0,1.0
2015-05-12,,,,,0.0245,2.938,0.0,1.0
2015-05-13,,,,,0.0025,2.9355,0.0,1.0
2015-05-14,,,,,0.004,2.9315,0.0,1.0
2015-05-15,,,,,0.001,2.9325,0.0,1.0
2015-05-18,,,,,0.012,2.9205,0.0,1.0
2015-05-19,,,,,0.063,2.8575,0.0,1.0
2015-05-20,,,,,0.011000000000000001,2.8465,0.0,1.0
2015-05-21,,,,,0.02,2.8665,0.0,1.0
2015-05-22,,,,,0.0325,2.8339999999999996,0.0,1.0
2015-05-26,,,,,0.0255,2.8085,0.0,1.0
2015-05-27,,,,,0.0075,2.801,0.0,1.0
2015-05-28,,,,,0.004,2.7969999999999997,7.0,1.0
2015-05-29,,,,,0.0345,2.7625,0.0,4.0
2015-06-01,,,,,0.0125,2.75,0.0,4.0
2015-06-02,,,,,0.0165,2.7665,0.0,4.0
2015-06-03,,,,,0.009000000000000001,2.7575,0.0,4.0
2015-06-04,,,,,0.033,2.7245,0.0,4.0
2015-06-05,,,,,0.0065,2.7310000000000003,0.0,4.0
2015-06-08,,,,,,2.7310000000000003,0.0,4.0
2015-06-09,,,,,0.013000000000000001,2.7439999999999998,0.0,4.0
2015-06-10,,,,,0.036000000000000004,2.78,0.0,4.0
2015-06-11,,,,,0.07,2.71,11.0,4.0
2015-06-12,,,,,0.008,2.718,0.0,15.0
2015-06-15,,,,,0.0275,2.6905,0.0,15.0
2015-06-16,,,,,0.0295,2.661,0.0,15.0
2015-06-17,,,,,0.0165,2.6445,0.0,15.0
2015-06-18,,,,,0.004,2.6485,0.0,15.0
2015-06-19,,,,,0.036000000000000004,2.6125,0.0,15.0
2015-06-22,2.62,2.62,2.62,,0.0005,2.612,2.0,15.0
2015-06-23,,,,,0.0425,2.6545,0.0,16.0
2015-06-24,,,,,0.0055,2.66,0.0,16.0
2015-06-25,,,,,0.004,2.656,0.0,16.0
2015-06-26,,,,,0.017,2.673,0.0,16.0
2015-06-29,,,,,0.0025,2.6705,0.0,16.0
2015-06-30,,,,,0.017,2.6535,0.0,16.0
2015-07-01,,,,,0.013999999999999999,2.6675,0.0,16.0
2015-07-02,,,,,0.002,2.6655,0.0,16.0
2015-07-06,,,,,0.085,2.5805,0.0,16.0
2015-07-07,,,,,0.0905,2.49,0.0,16.0
2015-07-08,,,,,0.051,2.541,0.0,16.0
2015-07-09,,,,,0.0515,2.5925,0.0,16.0
2015-07-10,,,,,0.013999999999999999,2.5785,0.0,16.0
2015-07-13,,,,,0.0015,2.58,0.0,16.0
2015-07-14,,,,,0.0025,2.5775,0.0,16.0
2015-07-15,,,,,0.0125,2.565,0.0,16.0
2015-07-16,,,,,0.004,2.569,0.0,16.0
2015-07-17,,,,,0.0285,2.5405,0.0,16.0
2015-07-20,,,,,0.0115,2.529,0.0,16.0
2015-07-21,,,,,0.0075,2.5215,0.0,16.0
2015-07-22,2.49,2.49,2.49,2.49,0.0445,2.477,2.0,16.0
2015-07-23,,,,,0.0375,2.4395,4.0,16.0
2015-07-24,,,,,0.0025,2.437,0.0,20.0
2015-07-27,,,,,0.0305,2.4065,1.0,20.0
2015-07-28,,,,,0.044000000000000004,2.4505,0.0,20.0
2015-07-29,,,,,0.0085,2.459,0.0,20.0
2015-07-30,,,,,0.0305,2.4285,3.0,20.0
2015-07-31,,,,,0.011000000000000001,2.4175,0.0,23.0
2015-08-03,2.39,2.39,2.39,2.39,0.0145,2.403,4.0,23.0
2015-08-04,,,,,0.0125,2.4155,0.0,23.0
2015-08-05,,,,,0.0155,2.4,0.0,23.0
2015-08-06,,,,,0.0105,2.3895,0.0,23.0
2015-08-07,,,,,0.005,2.3845,0.0,23.0
2015-08-10,,,,,0.062,2.4465,0.0,23.0
2015-08-11,,,,,0.0705,2.376,0.0,23.0
2015-08-12,,,,,0.013999999999999999,2.39,0.0,23.0
2015-08-13,,,,,0.005,2.385,0.0,23.0
2015-08-14,,,,,0.0025,2.3825,14.0,23.0
2015-08-17,,,,,0.0315,2.351,0.0,37.0
2015-08-18,,,,,0.037000000000000005,2.314,0.0,37.0
2015-08-19,,,,,0.0055,2.3085,0.0,37.0
2015-08-20,,,,,0.0395,2.3480000000000003,3.0,37.0
2015-08-21,,,,,0.02,2.3280000000000003,0.0,40.0
2015-08-24,,,,,0.0535,2.2745,3.0,40.0
2015-08-25,,,,,0.047,2.3215,0.0,43.0
2015-08-26,,,,,0.0625,2.259,0.0,43.0
2015-08-27,,,,,0.087,2.346,0.0,43.0
