Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2012-12-14,0.0,0.0,0.0,,,571.25,0.0,0.0
2012-12-17,0.0,0.0,0.0,,,568.25,0.0,0.0
2012-12-18,560.0,560.0,560.0,,,560.0,1.0,0.0
2012-12-19,553.25,553.25,549.0,,,557.25,2.0,1.0
2012-12-20,0.0,0.0,0.0,,,552.5,0.0,3.0
2012-12-21,552.75,552.75,550.0,,,551.5,1.0,3.0
2012-12-24,552.0,552.0,552.0,,,551.5,1.0,4.0
2012-12-26,0.0,0.0,0.0,,,547.5,0.0,5.0
2012-12-27,0.0,0.0,0.0,,,550.75,0.0,5.0
2012-12-28,0.0,0.0,0.0,,,555.0,0.0,5.0
2012-12-31,550.0,550.0,550.0,,,553.75,1.0,5.0
2013-01-02,551.5,551.5,551.5,,,549.5,1.0,6.0
2013-01-03,0.0,0.0,0.0,,,547.5,0.0,7.0
2013-01-04,546.0,546.0,546.0,,,545.0,1.0,7.0
2013-01-07,546.0,546.0,545.0,,,545.0,4.0,8.0
2013-01-08,0.0,0.0,0.0,,,542.5,0.0,12.0
2013-01-09,540.0,540.0,540.0,,,544.5,1.0,12.0
2013-01-10,533.5,535.0,533.5,,,543.0,2.0,13.0
2013-01-11,536.0,536.0,535.0,,,536.25,3.0,15.0
2013-01-14,0.0,0.0,0.0,,,542.0,0.0,15.0
2013-01-15,0.0,0.0,0.0,,,543.5,0.0,15.0
2013-01-16,0.0,0.0,0.0,,,543.5,0.0,15.0
2013-01-17,0.0,0.0,0.0,,,542.5,0.0,15.0
2013-01-18,0.0,0.0,0.0,,,543.5,0.0,15.0
2013-01-22,0.0,0.0,0.0,,,543.5,0.0,15.0
2013-01-23,0.0,0.0,0.0,,,543.5,0.0,15.0
2013-01-24,0.0,0.0,0.0,,,543.0,0.0,15.0
2013-01-25,0.0,0.0,0.0,,,541.0,0.0,15.0
2013-01-28,0.0,0.0,0.0,,,542.5,0.0,15.0
2013-01-29,0.0,0.0,0.0,,,539.5,0.0,15.0
2013-01-30,542.5,542.5,539.0,,,539.5,3.0,15.0
2013-01-31,0.0,0.0,0.0,,,538.25,0.0,17.0
2013-02-01,540.5,550.0,540.5,,,548.75,14.0,17.0
2013-02-04,550.0,550.0,550.0,,,548.5,3.0,26.0
2013-02-05,0.0,0.0,0.0,,,548.0,0.0,29.0
2013-02-06,549.0,549.0,542.0,,,549.0,2.0,29.0
2013-02-07,544.0,544.0,540.25,,,542.0,7.0,29.0
2013-02-08,0.0,0.0,0.0,,,542.0,0.0,34.0
2013-02-11,542.0,542.0,540.0,,,540.0,7.0,34.0
2013-02-12,540.0,540.0,539.0,,,538.0,3.0,39.0
2013-02-13,539.0,539.0,539.0,,,540.25,3.0,39.0
2013-02-14,0.0,0.0,540.0,,,538.0,0.0,42.0
2013-02-15,536.75,536.75,536.75,,,538.0,1.0,42.0
2013-02-19,537.25,537.25,537.25,,,531.75,1.0,42.0
2013-02-20,0.0,0.0,0.0,,,533.5,0.0,42.0
2013-02-21,525.75,525.75,525.5,,,525.0,2.0,42.0
2013-02-22,0.0,0.0,0.0,,,518.0,0.0,43.0
2013-02-25,0.0,0.0,0.0,,,519.75,0.0,43.0
2013-02-26,0.0,0.0,0.0,,,523.0,0.0,43.0
2013-02-27,0.0,0.0,0.0,,,521.25,0.0,43.0
2013-02-28,526.0,526.0,526.0,,,526.0,5.0,43.0
2013-03-01,0.0,0.0,0.0,,,521.75,0.0,47.0
2013-03-04,0.0,0.0,0.0,,,520.5,0.0,47.0
2013-03-05,0.0,521.0,0.0,,,523.5,0.0,47.0
2013-03-06,520.5,520.5,516.0,,,515.5,2.0,47.0
2013-03-07,516.0,516.0,516.0,,,519.75,29.0,46.0
2013-03-08,0.0,0.0,0.0,,,520.5,0.0,67.0
2013-03-11,528.25,530.0,528.25,,,529.25,2.0,67.0
2013-03-12,0.0,0.0,0.0,,,527.0,0.0,68.0
2013-03-13,0.0,0.0,0.0,,,525.25,0.0,68.0
2013-03-14,525.0,525.0,525.0,,,525.25,2.0,68.0
2013-03-15,525.0,525.0,525.0,,,527.25,4.0,69.0
2013-03-18,0.0,0.0,0.0,,,527.0,0.0,71.0
2013-03-19,0.0,0.0,0.0,,,527.0,0.0,71.0
2013-03-20,527.0,527.0,526.75,,,526.5,4.0,71.0
2013-03-21,0.0,0.0,0.0,,,525.5,0.0,72.0
2013-03-22,0.0,0.0,0.0,,,521.0,0.0,72.0
2013-03-25,0.0,0.0,0.0,,,519.25,0.0,72.0
2013-03-26,0.0,0.0,0.0,,,521.5,0.0,72.0
2013-03-27,0.0,0.0,0.0,,,518.5,0.0,72.0
2013-03-28,510.25,510.25,508.5,,,506.5,5.0,72.0
2013-04-01,507.75,510.0,504.5,,,510.25,16.0,70.0
2013-04-02,510.0,513.5,509.75,,,514.25,6.0,76.0
2013-04-03,515.0,517.0,514.0,,,517.5,3.0,78.0
2013-04-04,0.0,0.0,514.0,,,519.75,0.0,79.0
2013-04-05,520.0,522.0,520.0,,,521.5,4.0,79.0
2013-04-08,522.0,522.5,522.0,,,523.5,3.0,81.0
2013-04-09,527.0,527.0,527.0,,,528.25,4.0,78.0
2013-04-10,0.0,0.0,527.0,,,527.0,0.0,78.0
2013-04-11,527.0,527.0,524.5,,,522.75,6.0,78.0
2013-04-12,0.0,523.0,0.0,,,523.75,0.0,76.0
2013-04-15,522.5,522.5,509.5,,,511.0,6.0,76.0
2013-04-16,0.0,0.0,0.0,,,517.75,0.0,79.0
2013-04-17,519.0,520.0,519.0,,,523.0,14.0,79.0
2013-04-18,0.0,0.0,0.0,,,512.5,0.0,85.0
2013-04-19,515.0,515.0,515.0,,,518.0,4.0,85.0
2013-04-22,510.25,510.25,510.25,,,507.0,1.0,88.0
2013-04-23,500.5,501.25,500.25,,,500.25,4.0,88.0
2013-04-24,0.0,501.0,0.0,,,506.75,0.0,88.0
2013-04-25,0.0,0.0,0.0,,,508.75,0.0,88.0
2013-04-26,0.0,0.0,0.0,,,504.0,0.0,88.0
