Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
1986-12-16,92.37,92.37,92.33,,,92.33,242.0,207.0
1986-12-17,92.36,92.38,92.34,,,92.35,587.0,684.0
1986-12-18,92.36,92.38,92.32,,,92.32,149.0,742.0
1986-12-19,92.31,92.34,92.31,,,92.32,197.0,888.0
1986-12-22,92.25,92.37,92.25,,,92.37,474.0,1195.0
1986-12-23,92.4,92.46,92.35,,,92.45,1030.0,1535.0
1986-12-24,92.47,92.5,92.47,,,92.5,111.0,1611.0
1986-12-26,92.52,92.53,92.52,,,92.53,21.0,1603.0
1986-12-29,92.54,92.54,92.46,,,92.49,69.0,1597.0
1986-12-30,92.48,92.5,92.39,,,92.4,126.0,1624.0
1986-12-31,92.42,92.43,92.33,,,92.33,163.0,1702.0
1987-01-02,92.38,92.44,92.38,,,92.44,166.0,1738.0
1987-01-05,92.49,92.5,92.47,,,92.49,126.0,1797.0
1987-01-06,92.48,92.48,92.44,,,92.44,1037.0,2279.0
1987-01-07,92.45,92.45,92.41,,,92.41,797.0,2466.0
1987-01-08,92.46,92.51,92.46,,,92.48,292.0,2543.0
1987-01-09,92.45,92.55,92.45,,,92.55,466.0,2797.0
1987-01-12,92.55,92.57,92.53,,,92.53,317.0,2975.0
1987-01-13,92.51,92.62,92.51,,,92.59,504.0,3276.0
1987-01-14,92.55,92.71,92.54,,,92.67,833.0,3583.0
1987-01-15,92.73,92.78,92.72,,,92.75,1145.0,4116.0
1987-01-16,92.79,92.81,92.75,,,92.78,543.0,4368.0
1987-01-19,92.77,92.82,92.77,,,92.81,99.0,4427.0
1987-01-20,92.84,92.9,92.84,,,92.84,381.0,4453.0
1987-01-21,92.86,92.91,92.85,,,92.89,267.0,4373.0
1987-01-22,92.87,93.01,92.87,,,92.99,1519.0,4790.0
1987-01-23,92.99,93.07,92.92,,,92.97,1191.0,5259.0
1987-01-26,92.96,92.96,92.86,,,92.86,781.0,5060.0
1987-01-27,92.85,92.85,92.77,,,92.81,1244.0,5444.0
1987-01-28,92.78,92.81,92.7,,,92.81,1082.0,5951.0
1987-01-29,92.84,92.84,92.73,,,92.75,719.0,6073.0
1987-01-30,92.8,92.87,92.68,,,92.69,1184.0,6023.0
1987-02-02,92.73,92.73,92.68,,,92.69,832.0,5921.0
1987-02-03,92.69,92.71,92.62,,,92.65,782.0,6056.0
1987-02-04,92.68,92.69,92.55,,,92.64,973.0,5657.0
1987-02-05,92.67,92.72,92.66,,,92.72,973.0,6184.0
1987-02-06,92.68,92.72,92.67,,,92.68,660.0,6158.0
1987-02-09,92.66,92.66,92.58,,,92.63,279.0,6200.0
1987-02-10,92.57,92.57,92.46,,,92.52,584.0,6319.0
1987-02-11,92.55,92.6,92.49,,,92.52,615.0,6505.0
1987-02-12,92.64,92.67,92.58,,,92.66,313.0,6606.0
1987-02-13,92.73,92.81,92.73,,,92.78,405.0,6452.0
1987-02-17,92.68,92.75,92.66,,,92.75,521.0,6337.0
1987-02-18,92.77,92.77,92.74,,,92.75,332.0,6322.0
1987-02-19,92.83,92.87,92.78,,,92.84,628.0,6273.0
1987-02-20,92.82,92.82,92.74,,,92.75,753.0,6339.0
1987-02-23,92.72,92.75,92.7,,,92.75,488.0,6452.0
1987-02-24,92.76,92.8,92.76,,,92.77,1027.0,6201.0
1987-02-25,92.76,92.78,92.73,,,92.76,270.0,6346.0
1987-02-26,92.77,92.82,92.75,,,92.8,499.0,6336.0
1987-02-27,92.81,92.84,92.79,,,92.82,346.0,6448.0
1987-03-02,92.86,92.87,92.79,,,92.81,507.0,6401.0
1987-03-03,92.79,92.81,92.77,,,92.78,118.0,6373.0
1987-03-04,92.77,92.86,92.75,,,92.85,321.0,6396.0
1987-03-05,92.87,92.89,92.79,,,92.8,361.0,6546.0
1987-03-06,92.8,92.8,92.71,,,92.73,703.0,6706.0
1987-03-09,92.7,92.7,92.68,,,92.69,390.0,6619.0
1987-03-10,92.69,92.73,92.68,,,92.71,402.0,6625.0
1987-03-11,92.69,92.72,92.68,,,92.71,472.0,6723.0
1987-03-12,92.73,92.74,92.69,,,92.7,349.0,6904.0
1987-03-13,92.76,92.8,92.75,,,92.79,354.0,6897.0
1987-03-16,92.77,92.78,92.77,,,92.77,312.0,6964.0
1987-03-17,92.76,92.82,92.76,,,92.82,621.0,6638.0
1987-03-18,92.85,92.87,92.83,,,92.83,424.0,6455.0
1987-03-19,92.83,92.88,92.83,,,92.87,451.0,6393.0
1987-03-20,92.89,92.89,92.85,,,92.87,502.0,6299.0
1987-03-23,92.84,92.86,92.82,,,92.82,644.0,6290.0
1987-03-24,92.8,92.85,92.8,,,92.85,744.0,6180.0
1987-03-25,92.85,92.88,92.84,,,92.87,491.0,6189.0
1987-03-26,92.9,92.9,92.83,,,92.85,1201.0,6020.0
1987-03-27,92.81,92.82,92.7,,,92.73,759.0,6201.0
1987-03-30,92.61,92.61,92.54,,,92.56,567.0,6033.0
1987-03-31,92.56,92.59,92.46,,,92.54,990.0,5913.0
1987-04-01,92.42,92.42,92.3,,,92.37,1583.0,6337.0
1987-04-02,92.42,92.49,92.31,,,92.33,796.0,6222.0
1987-04-03,92.32,92.4,92.31,,,92.34,1034.0,6397.0
1987-04-06,92.4,92.46,92.4,,,92.43,672.0,6594.0
1987-04-07,92.39,92.41,92.33,,,92.33,1034.0,6579.0
1987-04-08,92.39,92.39,92.35,,,92.39,614.0,6499.0
1987-04-09,92.38,92.39,92.07,,,92.11,1178.0,6555.0
1987-04-10,91.82,91.98,91.82,,,91.88,1960.0,6743.0
1987-04-13,91.85,91.85,91.67,,,91.68,869.0,6754.0
1987-04-14,91.57,91.57,91.27,,,91.44,1181.0,6832.0
1987-04-15,91.65,91.77,91.5,,,91.6,1191.0,6762.0
1987-04-16,91.8,91.91,91.75,,,91.79,968.0,6849.0
1987-04-20,91.8,91.89,91.5,,,91.57,615.0,6893.0
1987-04-21,91.48,91.61,91.35,,,91.59,639.0,6871.0
1987-04-22,91.57,91.59,91.44,,,91.46,690.0,6935.0
1987-04-23,91.39,91.47,91.34,,,91.39,857.0,7077.0
1987-04-24,91.23,91.36,91.14,,,91.27,1844.0,7254.0
1987-04-27,91.12,91.35,91.12,,,91.31,950.0,7222.0
1987-04-28,91.22,91.35,91.22,,,91.35,858.0,7216.0
1987-04-29,91.54,91.54,91.3,,,91.33,758.0,7336.0
1987-04-30,91.33,91.61,91.26,,,91.44,722.0,7274.0
1987-05-01,91.45,91.45,91.33,,,91.39,429.0,7192.0
1987-05-04,91.35,91.35,91.17,,,91.17,345.0,7219.0
1987-05-05,91.21,91.25,91.18,,,91.22,363.0,7104.0
1987-05-06,91.29,91.3,91.18,,,91.21,579.0,7293.0
1987-05-07,91.22,91.28,91.16,,,91.26,501.0,7170.0
1987-05-08,91.23,91.38,91.23,,,91.35,529.0,7172.0
1987-05-11,91.43,91.43,91.14,,,91.14,282.0,7219.0
1987-05-12,91.11,91.19,91.08,,,91.18,875.0,7052.0
1987-05-13,91.21,91.25,91.13,,,91.25,479.0,6988.0
1987-05-14,91.24,91.28,91.18,,,91.19,509.0,6956.0
1987-05-15,91.06,91.06,90.81,,,90.81,877.0,7106.0
1987-05-18,90.76,90.8,90.7,,,90.79,353.0,7020.0
1987-05-19,90.8,90.8,90.45,,,90.45,1085.0,7295.0
1987-05-20,90.31,90.44,90.31,,,90.43,2208.0,8321.0
1987-05-21,90.52,90.6,90.52,,,90.55,1232.0,8131.0
1987-05-22,90.6,90.63,90.58,,,90.61,827.0,8219.0
1987-05-26,90.85,91.1,90.85,,,91.1,1136.0,8468.0
1987-05-27,91.09,91.09,90.94,,,91.0,941.0,8135.0
1987-05-28,90.94,91.0,90.83,,,91.0,519.0,8074.0
1987-05-29,91.21,91.27,91.18,,,91.19,581.0,8051.0
1987-06-01,91.46,91.46,91.22,,,91.23,436.0,8040.0
1987-06-02,91.14,91.14,90.82,,,90.83,1129.0,8472.0
1987-06-03,90.96,91.07,90.94,,,91.05,794.0,8469.0
1987-06-04,91.14,91.14,91.06,,,91.09,381.0,8464.0
1987-06-05,91.05,91.21,91.05,,,91.19,910.0,8531.0
1987-06-08,91.05,91.2,91.03,,,91.17,272.0,8469.0
1987-06-09,91.09,91.15,91.07,,,91.12,504.0,8477.0
1987-06-10,91.08,91.25,91.08,,,91.17,676.0,8647.0
1987-06-11,91.21,91.24,91.18,,,91.24,333.0,8684.0
1987-06-12,91.45,91.45,91.38,,,91.45,1573.0,9199.0
1987-06-15,91.54,91.55,91.41,,,91.46,1251.0,9028.0
1987-06-16,91.4,91.45,91.37,,,91.45,786.0,9188.0
1987-06-17,91.5,91.62,91.46,,,91.62,627.0,9167.0
1987-06-18,91.55,91.58,91.49,,,91.54,421.0,9104.0
1987-06-19,91.47,91.6,91.47,,,91.55,204.0,9034.0
1987-06-22,91.65,91.7,91.61,,,91.63,578.0,9138.0
1987-06-23,91.7,91.74,91.59,,,91.63,660.0,9070.0
1987-06-24,91.49,91.58,91.49,,,91.54,351.0,9104.0
1987-06-25,91.65,91.65,91.55,,,91.59,408.0,9199.0
1987-06-26,91.51,91.51,91.42,,,91.47,1096.0,9444.0
1987-06-29,91.39,91.52,91.36,,,91.52,270.0,9418.0
1987-06-30,91.54,91.61,91.51,,,91.51,185.0,9472.0
1987-07-01,91.52,91.61,91.52,,,91.6,274.0,9510.0
1987-07-02,91.63,91.66,91.61,,,91.62,735.0,9914.0
1987-07-06,91.68,91.73,91.65,,,91.67,435.0,9897.0
1987-07-07,91.64,91.73,91.64,,,91.73,430.0,9921.0
1987-07-08,91.75,91.75,91.66,,,91.72,213.0,9930.0
1987-07-09,91.63,91.68,91.6,,,91.67,448.0,10017.0
1987-07-10,91.62,91.78,91.62,,,91.76,603.0,9859.0
1987-07-13,91.74,91.75,91.71,,,91.73,214.0,9838.0
1987-07-14,91.7,91.79,91.7,,,91.79,427.0,9952.0
1987-07-15,91.71,91.71,91.61,,,91.63,321.0,10020.0
1987-07-16,91.66,91.67,91.61,,,91.64,440.0,10083.0
1987-07-17,91.7,91.73,91.65,,,91.7,409.0,10232.0
1987-07-20,91.68,91.68,91.65,,,91.66,817.0,10463.0
1987-07-21,91.6,91.68,91.57,,,91.61,851.0,10751.0
1987-07-22,91.58,91.63,91.47,,,91.5,769.0,10794.0
1987-07-23,91.46,91.47,91.4,,,91.43,885.0,10685.0
1987-07-24,91.4,91.41,91.36,,,91.37,562.0,10775.0
1987-07-27,91.36,91.39,91.36,,,91.36,454.0,10907.0
1987-07-28,91.41,91.43,91.31,,,91.34,457.0,10872.0
1987-07-29,91.35,91.35,91.29,,,91.32,356.0,10894.0
1987-07-30,91.34,91.38,91.3,,,91.38,416.0,10900.0
1987-07-31,91.35,91.35,91.3,,,91.33,293.0,10880.0
1987-08-03,91.21,91.21,91.12,,,91.18,376.0,10877.0
1987-08-04,91.15,91.22,91.15,,,91.19,540.0,10999.0
1987-08-05,91.26,91.35,91.25,,,91.35,342.0,11026.0
1987-08-06,91.3,91.32,91.28,,,91.29,360.0,10994.0
1987-08-07,91.28,91.31,91.2,,,91.28,479.0,11074.0
