Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2009-04-01,95.955,95.965,95.92,,,95.925,43.0,163.0
2009-04-02,0.0,95.915,95.825,,,95.885,25.0,161.0
2009-04-03,95.835,95.865,95.69,,,95.69,50.0,204.0
2009-04-06,95.72,95.72,95.62,,,95.62,91.0,248.0
2009-04-07,95.65,95.65,95.61,,,95.61,48.0,213.0
2009-04-08,95.63,95.765,95.63,,,95.765,21.0,223.0
2009-04-09,95.71,95.73,95.685,,,95.685,106.0,321.0
2009-04-13,95.715,95.785,95.715,,,95.77,54.0,293.0
2009-04-14,95.76,95.87,95.76,,,95.855,3.0,290.0
2009-04-15,95.875,95.895,95.855,,,95.875,12.0,278.0
2009-04-16,95.845,95.885,95.845,,,95.855,32.0,307.0
2009-04-17,95.82,95.82,95.685,,,95.7,8.0,315.0
2009-04-20,95.78,95.81,95.78,,,95.81,23.0,310.0
2009-04-21,95.88,95.91,95.8,,,95.815,54.0,279.0
2009-04-22,95.915,95.915,95.77,,,95.77,141.0,240.0
2009-04-23,95.79,95.835,95.79,,,95.835,72.0,288.0
2009-04-24,0.0,95.805,95.765,,,95.78,154.0,348.0
2009-04-27,95.795,95.81,95.795,,,95.795,0.0,348.0
2009-04-28,95.815,95.815,95.735,,,95.74,87.0,435.0
2009-04-29,95.705,95.745,95.62,,,95.65,65.0,370.0
2009-04-30,0.0,95.64,95.615,,,95.615,29.0,399.0
2009-05-01,95.575,95.575,95.44,,,95.44,0.0,399.0
2009-05-04,95.46,95.46,95.41,,,95.41,33.0,375.0
2009-05-05,95.475,95.475,95.36,,,95.45,34.0,341.0
2009-05-06,95.43,95.49,95.43,,,95.465,17.0,327.0
2009-05-07,95.325,95.355,95.255,,,95.275,16.0,325.0
2009-05-08,95.175,95.325,95.175,,,95.265,5.0,325.0
2009-05-11,95.35,95.395,95.35,,,95.395,27.0,325.0
2009-05-12,95.325,95.42,95.325,,,95.41,36.0,309.0
2009-05-13,95.425,95.53,95.425,,,95.495,5.0,309.0
2009-05-14,95.505,95.505,95.44,,,95.465,8.0,309.0
2009-05-15,95.505,95.505,95.44,,,95.445,13.0,301.0
2009-05-18,95.515,95.515,95.365,,,95.365,15.0,286.0
2009-05-19,95.385,95.385,95.285,,,95.31,9.0,286.0
2009-05-20,95.31,95.33,95.26,,,95.33,20.0,276.0
2009-05-21,0.0,95.29,95.0,,,95.0,4.0,273.0
2009-05-22,94.99,95.0,94.795,,,94.795,40.0,263.0
2009-05-26,0.0,94.815,94.715,,,94.72,14.0,254.0
2009-05-27,94.65,94.65,94.22,,,94.235,0.0,254.0
2009-05-28,94.035,94.335,94.015,,,94.19,36.0,240.0
2009-05-29,94.31,94.705,94.31,,,94.705,15.0,245.0
2009-06-01,0.0,94.485,94.18,,,94.18,28.0,221.0
2009-06-02,94.27,94.3,94.105,,,94.245,35.0,246.0
2009-06-03,94.4,94.525,94.4,,,94.525,79.0,239.0
2009-06-04,0.0,94.515,94.29,,,94.29,38.0,257.0
2009-06-05,94.21,94.25,94.03,,,94.25,0.0,257.0
2009-06-08,94.34,94.34,94.09,,,94.09,20.0,257.0
2009-06-09,94.195,94.275,94.195,,,94.275,39.0,243.0
2009-06-10,94.275,94.275,94.125,,,94.19,4.0,240.0
2009-06-11,0.0,94.39,94.12,,,94.34,108.0,285.0
2009-06-12,0.0,94.53,94.43,,,94.505,0.0,285.0
2009-06-15,0.0,94.65,94.575,,,94.65,0.0,285.0
2009-06-16,94.54,94.72,94.54,,,94.71,0.0,285.0
2009-06-17,94.71,94.84,94.71,,,94.78,121.0,256.0
2009-06-18,94.62,94.62,94.3,,,94.3,11.0,261.0
2009-06-19,94.21,94.4,94.2,,,94.35,53.0,292.0
2009-06-22,0.0,94.44,94.39,,,94.44,7.0,291.0
2009-06-23,0.0,94.505,94.4,,,94.505,0.0,291.0
2009-06-24,94.525,94.585,94.485,,,94.55,0.0,291.0
2009-06-25,94.535,94.76,94.535,,,94.75,1.0,291.0
2009-06-26,0.0,94.82,94.79,,,94.82,5.0,292.0
2009-06-29,94.86,94.89,94.855,,,94.855,0.0,292.0
2009-06-30,94.855,94.855,94.735,,,94.77,7.0,294.0
2009-07-01,94.635,94.7,94.61,,,94.64,10.0,291.0
2009-07-02,94.62,94.7,94.61,,,94.69,28.0,316.0
2009-07-06,0.0,94.65,94.58,,,94.61,3.0,316.0
2009-07-07,0.0,94.705,94.56,,,94.705,0.0,316.0
2009-07-08,0.0,95.01,94.735,,,95.01,0.0,316.0
2009-07-09,94.9,94.9,94.82,,,94.85,0.0,316.0
2009-07-10,94.99,95.07,94.99,,,95.025,4.0,316.0
2009-07-13,0.0,95.025,94.875,,,94.875,25.0,336.0
2009-07-14,94.75,94.75,94.705,,,94.715,0.0,336.0
2009-07-15,94.605,94.605,94.445,,,94.48,18.0,347.0
2009-07-16,94.58,94.58,94.525,,,94.525,13.0,339.0
2009-07-17,94.535,94.535,94.41,,,94.41,63.0,337.0
2009-07-20,94.41,94.51,94.34,,,94.495,0.0,337.0
2009-07-21,94.62,94.62,94.425,,,94.585,63.0,337.0
2009-07-22,0.0,94.555,94.495,,,94.495,5.0,336.0
2009-07-23,94.545,94.55,94.29,,,94.29,0.0,336.0
2009-07-24,0.0,94.33,94.32,,,94.33,7.0,338.0
2009-07-27,0.0,94.27,94.26,,,94.26,0.0,338.0
2009-07-28,94.31,94.4,94.31,,,94.34,0.0,338.0
2009-07-29,0.0,94.44,94.26,,,94.405,3.0,336.0
2009-07-30,0.0,94.485,94.365,,,94.455,0.0,336.0
2009-07-31,94.525,94.63,94.525,,,94.63,0.0,336.0
2009-08-03,0.0,94.55,94.43,,,94.44,5.0,339.0
2009-08-04,0.0,94.51,94.38,,,94.42,0.0,339.0
2009-08-05,0.0,94.42,94.245,,,94.245,0.0,339.0
