Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
1999-01-04,1.1921,1.1921,1.192,,,1.1921,2.0,1.0
1999-01-05,1.186,1.1875,1.186,,,1.1875,1.0,2.0
1999-01-06,1.171,1.171,1.1697,,,1.1697,1.0,1.0
1999-01-07,1.1804,1.1804,1.1804,,,1.1804,1.0,1.0
1999-01-08,1.1684,1.1684,1.1684,,,1.1684,0.0,1.0
1999-01-11,1.1578,1.1578,1.1578,,,1.1578,0.0,1.0
1999-01-12,1.1641,1.1641,1.1641,,,1.1641,0.0,1.0
1999-01-13,1.1743,1.1743,1.1743,,,1.1743,0.0,1.0
1999-01-14,1.1797,1.1797,1.1797,,,1.1797,0.0,1.0
1999-01-15,1.1677,1.1677,1.1677,,,1.1677,0.0,1.0
1999-01-19,1.1698,1.1698,1.1698,,,1.1698,102.0,103.0
1999-01-20,1.1643,1.1643,1.1643,,,1.1643,0.0,103.0
1999-01-21,1.1687,1.1687,1.1687,,,1.1687,0.0,103.0
1999-01-22,1.1673,1.1673,1.1673,,,1.1673,0.0,103.0
1999-01-25,1.1641,1.1641,1.1641,,,1.1641,0.0,103.0
1999-01-26,1.1646,1.1646,1.1646,,,1.1646,0.0,103.0
1999-01-27,1.1528,1.1528,1.1516,,,1.1516,8.0,111.0
1999-01-28,1.1503,1.1503,1.1503,,,1.1503,0.0,111.0
1999-01-29,1.1448,1.1448,1.1448,,,1.1448,0.0,111.0
1999-02-01,1.141,1.141,1.1393,,,1.1393,2.0,113.0
1999-02-02,1.1403,1.1437,1.1403,,,1.1428,8.0,118.0
1999-02-03,1.1427,1.1427,1.1398,,,1.1398,5.0,118.0
1999-02-04,1.1398,1.1398,1.1398,,,1.1398,5.0,123.0
1999-02-05,1.1340000000000001,1.1340000000000001,1.1340000000000001,,,1.1340000000000001,0.0,123.0
1999-02-08,1.1399,1.1399,1.1399,,,1.1399,5.0,123.0
1999-02-09,1.1363,1.1363,1.1363,,,1.1363,0.0,123.0
1999-02-10,1.1418,1.1418,1.1418,,,1.1418,0.0,123.0
1999-02-11,1.1304,1.1304,1.1304,,,1.1304,0.0,123.0
1999-02-12,1.1351,1.1351,1.1351,,,1.1351,0.0,123.0
1999-02-16,1.124,1.1276,1.124,,,1.1272,9.0,120.0
1999-02-17,1.1312,1.1312,1.1306,,,1.1306,96.0,216.0
1999-02-18,1.1316,1.1316,1.126,,,1.1271,28.0,241.0
1999-02-19,1.1135,1.1135,1.1128,,,1.1128,55.0,288.0
1999-02-22,1.1057,1.1102,1.1057,,,1.1102,111.0,375.0
1999-02-23,1.1024,1.1075,1.1024,,,1.1071,13.0,383.0
1999-02-24,1.104,1.1051,1.1035,,,1.1051,16.0,395.0
1999-02-25,1.1098,1.1133,1.1098,,,1.1107,48.0,413.0
1999-02-26,1.1058,1.1086,1.102,,,1.1078,49.0,392.0
1999-03-01,1.1,1.1004,1.0947,,,1.0947,1110.0,1451.0
1999-03-02,1.0975,1.0993,1.0975,,,1.0977,82.0,1470.0
1999-03-03,1.095,1.095,1.0938,,,1.0947,1015.0,2453.0
1999-03-04,1.092,1.092,1.087,,,1.0876,630.0,2871.0
1999-03-05,1.0889,1.0917,1.0849,,,1.088,3529.0,5996.0
1999-03-08,1.0959,1.0961,1.0933,,,1.0943,9303.0,9518.0
1999-03-09,1.0925,1.0956,1.0916,,,1.0944,12234.0,18896.0
1999-03-10,1.101,1.1025,1.099,,,1.1006,13733.0,24277.0
1999-03-11,1.0933,1.1115,1.0852,,,1.1084,26472.0,32328.0
1999-03-12,1.0962,1.1011,1.0945,,,1.0957,13157.0,30605.0
1999-03-15,1.0993,1.1009,1.097,,,1.0989,10790.0,29634.0
1999-03-16,1.0959999999999999,1.1058,1.0946,,,1.1051,19810.0,32457.0
1999-03-17,1.1012,1.1095,1.1005,,,1.1055,9422.0,31147.0
1999-03-18,1.1059,1.1092,1.1012,,,1.1021,9982.0,29639.0
1999-03-19,1.0957,1.0983,1.0931,,,1.0938,7249.0,32693.0
1999-03-22,1.0916,1.0967,1.0905,,,1.0964,7749.0,32251.0
1999-03-23,1.0945,1.0974,1.0913,,,1.0958,7467.0,29130.0
1999-03-24,1.0979999999999999,1.1012,1.0927,,,1.0942,7250.0,27761.0
1999-03-25,1.094,1.0951,1.088,,,1.0883,5158.0,29938.0
1999-03-26,1.0851,1.0851,1.0759999999999998,,,1.0813,20683.0,37797.0
1999-03-29,1.0752,1.0785,1.0733,,,1.0784,9844.0,36789.0
1999-03-30,1.078,1.082,1.0755,,,1.0762,2765.0,36469.0
1999-03-31,1.0805,1.0869,1.0795,,,1.0802,6770.0,33854.0
1999-04-01,1.0842,1.0864,1.081,,,1.0833,6191.0,34801.0
1999-04-05,1.0796,1.0796,1.0746,,,1.0756,2558.0,34575.0
1999-04-06,1.0774,1.09,1.0747,,,1.0884,11874.0,30217.0
1999-04-07,1.0846,1.085,1.081,,,1.0816,6596.0,29070.0
1999-04-08,1.087,1.0915,1.0768,,,1.0784,14924.0,30729.0
