Date,Open,High,Low,Settle,Volume,Open Interest
2016-12-19,0.0,0.0,0.0,3158.0,0.0,0.0
2016-12-20,0.0,0.0,0.0,3181.0,0.0,0.0
2016-12-21,0.0,0.0,0.0,3173.0,0.0,0.0
2016-12-22,0.0,0.0,0.0,3168.0,0.0,0.0
2016-12-23,0.0,0.0,0.0,3175.0,0.0,0.0
2016-12-27,0.0,0.0,0.0,3182.0,0.0,0.0
2016-12-28,0.0,0.0,0.0,3180.0,0.0,0.0
2016-12-29,0.0,0.0,0.0,3173.0,0.0,0.0
2016-12-30,0.0,0.0,0.0,3189.0,0.0,0.0
2017-01-02,3206.0,3206.0,3206.0,3207.0,1.0,1.0
2017-01-03,3222.0,3233.0,3221.0,3218.0,5.0,6.0
2017-01-04,3225.0,3225.0,3205.0,3216.0,9.0,12.0
2017-01-05,3206.0,3221.0,3206.0,3216.0,6.0,13.0
2017-01-06,3221.0,3227.0,3221.0,3225.0,6.0,14.0
2017-01-09,3232.0,3232.0,3203.0,3213.0,6.0,12.0
2017-01-10,3217.0,3218.0,3200.0,3212.0,5.0,16.0
2017-01-11,3198.0,3215.0,3192.0,3210.0,25.0,33.0
2017-01-12,3202.0,3208.0,3185.0,3193.0,26.0,31.0
2017-01-13,3200.0,3229.0,3200.0,3226.0,22.0,29.0
2017-01-16,3209.0,3209.0,3202.0,3201.0,7.0,29.0
2017-01-17,3193.0,3199.0,3174.0,3193.0,15.0,36.0
2017-01-18,3201.0,3204.0,3191.0,3199.0,45.0,54.0
2017-01-19,3205.0,3207.0,3190.0,3192.0,23.0,35.0
2017-01-20,3199.0,3208.0,3194.0,3200.0,19.0,47.0
2017-01-23,3194.0,3196.0,3172.0,3175.0,37.0,59.0
2017-01-24,3195.0,3202.0,3194.0,3185.0,11.0,45.0
2017-01-25,3205.0,3237.0,3205.0,3236.0,22.0,43.0
2017-01-26,3242.0,3247.0,3221.0,3220.0,13.0,37.0
2017-01-27,3224.0,3224.0,3204.0,3208.0,19.0,52.0
2017-01-30,3193.0,3193.0,3170.0,3165.0,16.0,53.0
2017-01-31,3169.0,3174.0,3138.0,3147.0,7.0,59.0
2017-02-01,3161.0,3174.0,3161.0,3162.0,6.0,0.0
2017-02-02,3155.0,3163.0,3155.0,3167.0,4.0,58.0
2017-02-03,3179.0,3179.0,3179.0,3189.0,1.0,56.0
2017-02-06,3187.0,3189.0,3148.0,3152.0,9.0,63.0
2017-02-07,3157.0,3160.0,3146.0,3144.0,4.0,64.0
2017-02-08,3154.0,3154.0,3132.0,3148.0,10.0,67.0
2017-02-09,3165.0,3191.0,3158.0,3192.0,21.0,82.0
2017-02-10,3187.0,3187.0,3177.0,3183.0,18.0,69.0
2017-02-13,3208.0,3224.0,3208.0,3221.0,13.0,74.0
2017-02-14,3215.0,3223.0,3215.0,3221.0,6.0,75.0
2017-02-15,3235.0,3244.0,3226.0,3239.0,22.0,93.0
2017-02-16,3230.0,3230.0,3219.0,3221.0,4.0,91.0
2017-02-17,3217.0,3230.0,3196.0,3214.0,44.0,130.0
2017-02-20,3240.0,3240.0,3218.0,3226.0,14.0,122.0
2017-02-21,3234.0,3257.0,3232.0,3250.0,19.0,134.0
2017-02-22,3258.0,3259.0,3243.0,3251.0,16.0,137.0
2017-02-23,3256.0,3259.0,3238.0,3243.0,171.0,273.0
2017-02-24,3240.0,3240.0,3195.0,3220.0,51.0,289.0
2017-02-27,3224.0,3233.0,3217.0,3224.0,24.0,263.0
2017-02-28,3233.0,3233.0,3218.0,3237.0,20.0,266.0
2017-03-01,3256.0,3311.0,3256.0,3298.0,83.0,266.0
2017-03-02,3302.0,3302.0,3295.0,3299.0,11.0,268.0
2017-03-03,3289.0,3322.0,3289.0,3316.0,59.0,297.0
2017-03-06,3307.0,3308.0,3292.0,3300.0,9.0,276.0
2017-03-07,3305.0,3305.0,3294.0,3292.0,64.0,337.0
2017-03-08,3307.0,3307.0,3290.0,3306.0,12.0,343.0
2017-03-09,3295.0,3330.0,3295.0,3322.0,35.0,359.0
2017-03-10,3336.0,3354.0,3320.0,3333.0,62.0,368.0
2017-03-13,3325.0,3332.0,3322.0,3330.0,9103.0,9432.0
2017-03-14,3335.0,3335.0,3303.0,3310.0,591.0,9878.0
2017-03-15,3316.0,3336.0,3314.0,3321.0,1146.0,10766.0
2017-03-16,3350.0,3363.0,3343.0,3353.0,1482.0,11575.0
2017-03-17,3350.0,3370.0,3342.0,3356.0,31631.0,42386.0
2017-03-20,3356.0,3362.0,3349.0,3356.0,709.0,42955.0
2017-03-21,3359.0,3387.0,3330.0,3341.0,31444.0,43295.0
2017-03-22,3329.0,3345.0,3313.0,3339.0,346.0,43311.0
2017-03-23,3341.0,3368.0,3330.0,3367.0,265.0,43433.0
2017-03-24,3365.0,3366.0,3351.0,3361.0,77.0,43440.0
2017-03-27,3336.0,3361.0,3328.0,3353.0,1005.0,44152.0
2017-03-28,3365.0,3391.0,3357.0,3382.0,122.0,44175.0
2017-03-29,3391.0,3401.0,3382.0,3390.0,1303.0,45272.0
2017-03-30,3393.0,3404.0,3386.0,3402.0,116.0,45224.0
2017-03-31,3395.0,3424.0,3390.0,3417.0,85.0,45272.0
2017-04-03,3451.0,3451.0,3380.0,3397.0,272.0,45386.0
2017-04-04,3395.0,3407.0,3387.0,3401.0,41.0,45355.0
2017-04-05,3411.0,3416.0,3382.0,3393.0,336.0,45598.0
2017-04-06,3374.0,3415.0,3369.0,3415.0,116.0,45670.0
2017-04-07,3399.0,3426.0,3394.0,3414.0,98.0,45692.0
2017-04-10,3417.0,3417.0,3395.0,3407.0,47.0,45701.0
2017-04-11,3392.0,3405.0,3370.0,3390.0,141.0,45749.0
2017-04-12,3403.0,3416.0,3384.0,3392.0,68.0,45773.0
2017-04-13,3387.0,3387.0,3360.0,3368.0,636.0,46360.0
2017-04-18,3382.0,3382.0,3319.0,3342.0,94.0,46412.0
2017-04-19,3340.0,3350.0,3330.0,3346.0,1504.0,47782.0
2017-04-20,3336.0,3371.0,3335.0,3367.0,93.0,47825.0
2017-04-21,3366.0,3380.0,3343.0,3368.0,746.0,47985.0
2017-04-24,3458.0,3513.0,3446.0,3501.0,794.0,48668.0
2017-04-25,3505.0,3520.0,3504.0,3512.0,355.0,48735.0
2017-04-26,3511.0,3511.0,3491.0,3506.0,103.0,48725.0
2017-04-27,3495.0,3500.0,3488.0,3492.0,58.0,48744.0
2017-04-28,3489.0,3504.0,3487.0,3499.0,65.0,48777.0
