Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
1987-12-24,1.8244,1.8244,1.8244,,,1.8244,1.0,1.0
1987-12-28,1.84,1.84,1.84,,,1.84,0.0,1.0
1987-12-29,1.8374,1.8374,1.8374,,,1.8374,0.0,1.0
1987-12-30,1.8338,1.8338,1.8338,,,1.8338,0.0,1.0
1987-12-31,1.8642,1.8642,1.8642,,,1.8642,0.0,1.0
1988-01-04,1.8502,1.8502,1.8502,,,1.8502,0.0,1.0
1988-01-05,1.7974,1.7974,1.7974,,,1.7974,0.0,1.0
1988-01-06,1.7854,1.7854,1.7854,,,1.7854,0.0,1.0
1988-01-07,1.7892,1.7926,1.784,,,1.784,1.0,2.0
1988-01-08,1.7878,1.7878,1.7878,,,1.7878,0.0,2.0
1988-01-11,1.7932,1.7932,1.7932,,,1.7932,0.0,2.0
1988-01-12,1.7978,1.7978,1.7978,,,1.7978,0.0,2.0
1988-01-13,1.7998,1.7998,1.7998,,,1.7998,0.0,2.0
1988-01-14,1.8002,1.8002,1.8002,,,1.8002,0.0,2.0
1988-01-15,1.7482,1.7482,1.7482,,,1.7482,0.0,2.0
1988-01-18,1.7492,1.7492,1.7492,,,1.7492,0.0,2.0
1988-01-19,1.7526,1.7526,1.7526,,,1.7526,0.0,2.0
1988-01-20,1.7748,1.7748,1.7748,,,1.7748,0.0,2.0
1988-01-21,1.7718,1.7718,1.7718,,,1.7718,0.0,2.0
1988-01-22,1.7634,1.7634,1.7634,,,1.7634,0.0,2.0
1988-01-25,1.7478,1.7478,1.7478,,,1.7478,0.0,2.0
1988-01-26,1.7480000000000002,1.757,1.7418,,,1.751,0.0,2.0
1988-01-27,1.7590000000000001,1.7590000000000001,1.7590000000000001,,,1.7590000000000001,0.0,2.0
1988-01-28,1.76,1.76,1.76,,,1.76,0.0,2.0
1988-01-29,1.7402,1.7402,1.7402,,,1.7402,0.0,2.0
1988-02-01,1.7306,1.7306,1.7306,,,1.7306,0.0,2.0
1988-02-02,1.7446,1.7446,1.7446,,,1.7446,0.0,2.0
1988-02-03,1.7352,1.7352,1.7352,,,1.7352,0.0,2.0
1988-02-04,1.7392,1.7392,1.7392,,,1.7392,0.0,2.0
1988-02-05,1.7252,1.7252,1.7252,,,1.7252,0.0,2.0
1988-02-08,1.7154,1.7154,1.7154,,,1.7154,0.0,2.0
1988-02-09,1.7158,1.7158,1.7158,,,1.7158,0.0,2.0
1988-02-10,1.7272,1.7272,1.7272,,,1.7272,0.0,2.0
1988-02-11,1.7268,1.7268,1.7268,,,1.7268,0.0,2.0
1988-02-12,1.709,1.709,1.709,,,1.709,0.0,2.0
1988-02-16,1.7192,1.7192,1.7192,,,1.7192,0.0,2.0
1988-02-17,1.7232,1.7232,1.7232,,,1.7232,0.0,2.0
1988-02-18,1.7144,1.7144,1.7144,,,1.7144,0.0,2.0
1988-02-19,1.7172,1.7172,1.7172,,,1.7172,0.0,2.0
1988-02-22,1.7324,1.7324,1.7324,,,1.7324,0.0,2.0
1988-02-23,1.7348,1.7348,1.7348,,,1.7348,0.0,2.0
1988-02-24,1.74,1.74,1.7309999999999999,,,1.7309999999999999,3.0,5.0
1988-02-25,1.732,1.735,1.724,,,1.735,2.0,5.0
1988-02-26,1.739,1.7452,1.739,,,1.7422,4.0,6.0
1988-02-29,1.74,1.745,1.74,,,1.7416,1.0,4.0
1988-03-01,1.7446,1.7446,1.7446,,,1.7446,98.0,102.0
1988-03-02,1.7368,1.7368,1.7368,,,1.7368,0.0,102.0
1988-03-03,1.7386,1.7386,1.7386,,,1.7386,0.0,102.0
1988-03-04,1.7469999999999999,1.7469999999999999,1.7469999999999999,,,1.7469999999999999,0.0,102.0
1988-03-07,1.785,1.7948,1.785,,,1.7948,0.0,102.0
1988-03-08,1.8176,1.8176,1.8176,,,1.8176,1.0,103.0
1988-03-09,1.8219999999999998,1.831,1.8219999999999998,,,1.8230000000000002,2.0,104.0
1988-03-10,1.8196,1.8196,1.8196,,,1.8196,1.0,105.0
1988-03-11,1.829,1.83,1.829,,,1.83,3.0,108.0
1988-03-14,1.8319999999999999,1.8359999999999999,1.825,,,1.831,73.0,177.0
1988-03-15,1.825,1.835,1.815,,,1.8236,287.0,455.0
1988-03-16,1.8266,1.8296,1.8186,,,1.8219999999999998,3.0,455.0
1988-03-17,1.82,1.8236,1.808,,,1.808,12.0,452.0
1988-03-18,1.8036,1.804,1.796,,,1.7994,1.0,453.0
1988-03-21,1.8084,1.8084,1.8084,,,1.8084,0.0,453.0
