Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
1976-03-22,140.7,140.7,140.1,,,140.1,11.0,481.0
1976-03-23,139.6,140.1,139.6,,,140.1,3.0,481.0
1976-03-24,140.0,140.0,139.6,,,139.6,8.0,489.0
1976-03-25,138.9,139.8,138.9,,,139.8,10.0,491.0
1976-03-26,138.5,138.5,136.1,,,136.1,29.0,491.0
1976-03-29,135.0,135.1,134.3,,,135.1,4.0,491.0
1976-03-30,134.9,136.4,134.9,,,136.4,6.0,486.0
1976-03-31,136.8,136.8,136.0,,,136.0,4.0,493.0
1976-04-01,135.4,136.0,135.2,,,136.0,5.0,494.0
1976-04-02,135.9,135.9,135.9,,,135.9,3.0,496.0
1976-04-05,134.0,134.2,133.7,,,134.2,48.0,526.0
1976-04-06,135.1,135.1,134.6,,,134.6,37.0,483.0
1976-04-07,134.8,134.8,134.3,,,134.3,36.0,498.0
1976-04-08,135.8,135.8,135.7,,,135.7,3.0,501.0
1976-04-09,135.1,135.1,133.7,,,133.9,13.0,507.0
1976-04-12,134.2,135.1,133.9,,,135.1,5.0,510.0
1976-04-13,136.1,136.3,135.2,,,135.2,33.0,541.0
1976-04-14,135.0,135.0,134.9,,,134.9,9.0,541.0
1976-04-15,135.0,135.0,134.9,,,134.9,13.0,552.0
1976-04-19,135.0,135.6,135.0,,,135.6,49.0,521.0
1976-04-20,135.2,135.8,135.2,,,135.7,14.0,520.0
1976-04-21,135.1,135.1,134.6,,,134.6,4.0,525.0
1976-04-22,134.9,135.0,134.7,,,134.7,23.0,515.0
1976-04-23,134.9,135.3,134.9,,,134.9,127.0,605.0
1976-04-26,135.6,135.8,135.6,,,135.8,37.0,605.0
1976-04-27,137.0,137.3,136.8,,,136.8,25.0,618.0
1976-04-28,136.4,136.4,136.1,,,136.1,23.0,625.0
1976-04-29,136.0,136.1,136.0,,,136.1,34.0,595.0
1976-04-30,136.5,136.5,136.5,,,136.5,0.0,595.0
1976-05-03,136.5,136.5,136.5,,,136.5,0.0,595.0
1976-05-04,135.9,136.2,135.7,,,135.7,11.0,599.0
1976-05-05,135.7,135.7,135.7,,,135.7,10.0,578.0
1976-05-06,134.3,136.5,134.3,,,136.5,106.0,659.0
1976-05-07,136.3,136.3,136.0,,,136.0,16.0,659.0
1976-05-10,135.8,135.8,135.8,,,135.8,0.0,659.0
1976-05-11,135.8,135.8,135.8,,,135.8,0.0,659.0
1976-05-12,135.7,135.7,135.7,,,135.7,0.0,659.0
1976-05-13,135.2,135.2,134.9,,,134.9,2.0,659.0
1976-05-14,134.7,134.7,134.7,,,134.7,0.0,659.0
1976-05-17,134.9,134.9,134.2,,,134.2,1.0,659.0
