Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
1994-04-18,9935.0,9997.0,9935.0,,,9997.0,1.0,1.0
1994-04-19,9987.0,9987.0,9987.0,,,9987.0,1.0,2.0
1994-04-20,9987.0,9987.0,9987.0,,,9987.0,0.0,1.0
1994-04-21,9995.0,9995.0,9947.0,,,9947.0,2.0,2.0
1994-04-22,9977.0,9977.0,9977.0,,,9977.0,0.0,2.0
1994-04-25,9983.0,9983.0,9983.0,,,9983.0,0.0,2.0
1994-04-26,10015.0,10015.0,10015.0,,,10015.0,0.0,2.0
1994-04-28,10070.0,10176.0,10070.0,,,10176.0,3.0,5.0
1994-04-29,10162.0,10162.0,10162.0,,,10162.0,12.0,15.0
1994-05-02,10142.0,10142.0,10142.0,,,10142.0,1.0,16.0
1994-05-03,10221.0,10221.0,10221.0,,,10221.0,0.0,16.0
1994-05-04,10146.0,10146.0,10146.0,,,10146.0,0.0,16.0
1994-05-05,10045.0,10045.0,10045.0,,,10045.0,0.0,16.0
1994-05-06,10101.0,10101.0,10101.0,,,10101.0,0.0,16.0
1994-05-09,10095.0,10095.0,10095.0,,,10095.0,0.0,16.0
1994-05-10,9990.0,9990.0,9898.0,,,9898.0,2.0,15.0
1994-05-11,9915.0,9933.0,9915.0,,,9933.0,6.0,17.0
1994-05-12,9942.0,9942.0,9942.0,,,9942.0,50.0,67.0
1994-05-13,9868.0,9868.0,9868.0,,,9868.0,3.0,67.0
1994-05-16,9880.0,9880.0,9880.0,,,9880.0,0.0,67.0
1994-05-17,9886.0,9886.0,9886.0,,,9886.0,1.0,67.0
1994-05-18,9984.0,9984.0,9984.0,,,9984.0,0.0,67.0
1994-05-19,9906.0,9906.0,9906.0,,,9906.0,0.0,67.0
1994-05-20,9920.0,9920.0,9920.0,,,9920.0,0.0,67.0
1994-05-23,9905.0,9905.0,9905.0,,,9905.0,0.0,67.0
1994-05-24,9868.0,9868.0,9868.0,,,9868.0,0.0,67.0
1994-05-25,9900.0,9900.0,9900.0,,,9900.0,0.0,67.0
1994-05-26,9868.0,9868.0,9868.0,,,9868.0,0.0,67.0
1994-05-27,9908.0,9908.0,9908.0,,,9908.0,0.0,67.0
1994-05-31,9854.0,9854.0,9854.0,,,9854.0,9.0,67.0
1994-06-01,9874.0,9874.0,9874.0,,,9874.0,0.0,67.0
1994-06-02,9837.0,9837.0,9837.0,,,9837.0,0.0,67.0
1994-06-03,9779.0,9779.0,9779.0,,,9779.0,0.0,67.0
1994-06-06,9776.0,9776.0,9776.0,,,9776.0,0.0,67.0
1994-06-07,9880.0,9880.0,9880.0,,,9880.0,0.0,67.0
1994-06-08,9898.0,9898.0,9898.0,,,9898.0,0.0,67.0
1994-06-09,9899.0,9899.0,9899.0,,,9899.0,0.0,67.0
1994-06-10,9934.0,9934.0,9934.0,,,9934.0,0.0,67.0
1994-06-13,9975.0,10003.0,9975.0,,,10003.0,1.0,67.0
1994-06-14,10010.0,10030.0,10010.0,,,10016.0,20.0,73.0
1994-06-15,10033.0,10033.0,10033.0,,,10033.0,0.0,73.0
1994-06-16,9968.0,9968.0,9968.0,,,9968.0,0.0,73.0
1994-06-17,9991.0,9991.0,9991.0,,,9991.0,0.0,73.0
1994-06-20,10096.0,10096.0,10096.0,,,10096.0,0.0,73.0
1994-06-21,10170.0,10291.0,10170.0,,,10291.0,20.0,87.0
1994-06-22,10218.0,10218.0,10218.0,,,10218.0,0.0,87.0
1994-06-23,10180.0,10180.0,10180.0,,,10180.0,0.0,87.0
1994-06-24,10261.0,10261.0,10261.0,,,10261.0,103.0,187.0
