Date,Settle
2015-12-07,238.95
2015-12-08,237.45
2015-12-09,237.5
2015-12-10,238.35
2015-12-11,238.0
2015-12-14,236.3
2015-12-15,236.85
2015-12-16,241.9
2015-12-17,241.0
2015-12-18,241.4
2015-12-21,241.5
2015-12-22,242.3
2015-12-23,244.75
2015-12-24,242.4
2015-12-28,239.8
2015-12-29,242.4
2015-12-30,240.45
2016-01-04,235.0
2016-01-05,236.4
2016-01-06,235.45
2016-01-07,232.5
2016-01-08,233.8
2016-01-11,231.75
2016-01-12,230.4
2016-01-13,234.5
2016-01-14,233.1
2016-01-15,229.05
2016-01-18,229.2
2016-01-19,230.25
2016-01-20,224.05
2016-01-21,225.0
2016-01-22,229.3
2016-01-25,231.2
2016-01-26,227.8
2016-01-27,231.05
2016-01-28,231.0
2016-01-29,232.3
2016-02-01,233.5
2016-02-02,231.9
2016-02-03,228.9
2016-02-04,233.6
2016-02-05,234.0
2016-02-11,227.0
2016-02-12,225.7
2016-02-15,228.75
2016-02-16,232.05
2016-02-17,232.5
2016-02-18,234.6
2016-02-19,234.85
2016-02-22,235.75
2016-02-23,236.0
2016-02-24,235.25
2016-02-25,235.45
2016-02-26,235.8
2016-02-29,235.2
2016-03-02,239.55
2016-03-03,240.0
2016-03-04,240.2
2016-03-07,240.5
