Date,Settle
2014-12-16,108.055
2014-12-22,107.995
2014-12-23,108.01
2014-12-24,108.05
2014-12-29,108.075
2014-12-30,108.2
2015-01-02,108.115
2015-01-05,108.085
2015-01-06,108.315
2015-01-07,108.375
2015-01-08,108.315
2015-01-09,108.385
2015-01-12,108.555
2015-01-13,108.525
2015-01-14,108.625
2015-01-15,108.485
2015-01-16,108.675
2015-01-19,108.51
2015-01-20,108.545
2015-01-21,108.495
2015-01-22,108.375
2015-01-23,108.545
2015-01-26,108.665
2015-01-27,108.545
2015-01-28,108.635
2015-01-29,108.635
2015-01-30,108.7
2015-02-02,108.705
2015-02-03,108.885
2015-02-04,108.755
2015-02-05,108.765
2015-02-06,108.715
2015-02-09,108.705
2015-02-10,108.465
2015-02-11,108.475
2015-02-12,108.405
2015-02-13,108.425
2015-02-17,108.44
2015-02-23,108.43
2015-02-24,108.41
2015-02-25,108.51
2015-02-26,108.5
2015-02-27,108.545
2015-03-02,108.66
2015-03-03,108.67
2015-03-04,108.69
2015-03-05,108.72
2015-03-06,108.83
2015-03-09,108.85
2015-03-10,108.79
2015-03-11,108.91
2015-03-12,108.93
2015-03-13,108.98
