Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
1989-06-22,48.7,48.7,48.4,,,48.5,4.0,2.0
1989-06-23,48.8,48.8,48.3,,,48.3,1.0,2.0
1989-06-26,48.3,48.9,48.3,,,48.57,4.0,4.0
1989-06-27,48.25,48.25,48.05,,,48.25,5.0,6.0
1989-06-28,48.25,48.6,48.25,,,48.45,1.0,7.0
1989-06-29,48.75,48.9,48.6,,,48.62,1.0,8.0
1989-06-30,48.7,48.95,48.6,,,48.85,6.0,14.0
1989-07-03,47.37,47.4,47.35,,,47.35,7.0,17.0
1989-07-05,47.0,48.5,47.0,,,48.5,9.0,24.0
1989-07-06,47.97,47.97,47.97,,,47.97,1.0,24.0
1989-07-07,47.5,48.1,47.1,,,47.8,1.0,27.0
1989-07-10,47.5,47.85,47.45,,,47.72,12.0,34.0
1989-07-11,47.15,47.35,47.0,,,47.0,4.0,35.0
1989-07-12,47.0,47.0,47.0,,,47.0,0.0,35.0
1989-07-13,47.0,47.25,46.9,,,46.9,2.0,35.0
1989-07-14,47.2,47.2,46.75,,,46.82,11.0,35.0
1989-07-17,46.5,46.7,46.4,,,46.7,4.0,39.0
1989-07-18,46.45,46.45,46.45,,,46.45,4.0,43.0
1989-07-19,46.47,46.7,46.35,,,46.7,5.0,41.0
1989-07-20,46.8,47.0,46.6,,,46.85,35.0,75.0
1989-07-21,46.85,46.85,46.5,,,46.67,2.0,77.0
1989-07-24,46.6,46.6,46.6,,,46.6,0.0,77.0
1989-07-25,46.25,46.3,45.37,,,45.8,35.0,101.0
1989-07-26,45.65,45.65,45.65,,,45.65,0.0,101.0
1989-07-27,45.4,45.9,45.4,,,45.9,4.0,102.0
1989-07-28,45.7,45.7,45.7,,,45.7,0.0,102.0
1989-07-31,45.25,45.65,45.05,,,45.65,21.0,123.0
1989-08-01,45.1,45.45,45.1,,,45.27,17.0,136.0
1989-08-02,45.02,45.65,44.95,,,45.65,11.0,140.0
1989-08-03,45.72,45.85,45.72,,,45.85,9.0,146.0
1989-08-04,45.9,46.22,45.8,,,46.22,32.0,174.0
1989-08-07,46.17,46.4,46.17,,,46.3,8.0,181.0
1989-08-08,46.3,46.35,46.0,,,46.12,41.0,213.0
1989-08-09,45.8,45.8,45.32,,,45.55,4.0,214.0
1989-08-10,45.6,45.85,45.55,,,45.7,5.0,212.0
1989-08-11,45.8,46.15,45.8,,,46.0,42.0,199.0
1989-08-14,46.0,46.07,45.7,,,45.7,3.0,201.0
1989-08-15,45.5,45.65,45.4,,,45.45,4.0,198.0
1989-08-16,45.45,45.6,45.45,,,45.6,18.0,209.0
1989-08-17,45.7,45.9,45.2,,,45.4,29.0,231.0
1989-08-18,45.6,45.8,45.6,,,45.8,4.0,232.0
1989-08-21,45.5,45.8,45.5,,,45.8,1.0,233.0
1989-08-22,45.65,45.77,45.65,,,45.75,7.0,232.0
1989-08-23,45.9,45.92,45.7,,,45.92,2.0,233.0
1989-08-24,46.0,46.2,45.6,,,46.1,15.0,233.0
1989-08-25,46.02,46.02,46.02,,,46.02,0.0,234.0
1989-08-28,45.8,45.85,45.5,,,45.82,5.0,236.0
1989-08-29,45.7,46.42,45.7,,,46.4,22.0,247.0
1989-08-30,45.9,46.0,45.85,,,46.0,48.0,291.0
1989-08-31,46.0,46.45,46.0,,,46.27,68.0,294.0
1989-09-01,46.1,46.25,45.8,,,46.0,19.0,300.0
1989-09-05,45.75,45.9,45.7,,,45.85,32.0,302.0
1989-09-06,45.75,45.9,45.75,,,45.9,45.0,309.0
1989-09-07,46.0,46.3,46.0,,,46.3,12.0,314.0
1989-09-08,45.85,45.85,45.85,,,45.85,0.0,312.0
1989-09-11,45.85,46.2,45.85,,,46.2,17.0,319.0
1989-09-12,46.3,46.3,46.07,,,46.15,5.0,319.0
1989-09-13,46.05,46.3,45.9,,,46.12,14.0,326.0
1989-09-14,46.2,46.7,46.2,,,46.5,18.0,338.0
1989-09-15,46.5,46.95,46.2,,,46.85,21.0,348.0
1989-09-18,46.7,46.9,46.7,,,46.87,28.0,364.0
1989-09-19,46.9,47.15,46.85,,,47.05,48.0,384.0
1989-09-20,46.8,47.8,46.8,,,47.65,33.0,396.0
1989-09-21,47.4,47.4,47.15,,,47.22,30.0,413.0
1989-09-22,47.22,47.55,47.2,,,47.5,51.0,449.0
1989-09-25,47.4,47.6,47.3,,,47.6,20.0,451.0
1989-09-26,47.6,47.7,47.3,,,47.7,47.0,464.0
1989-09-27,47.3,47.6,47.25,,,47.57,12.0,472.0
1989-09-28,47.45,47.72,47.35,,,47.7,63.0,501.0
1989-09-29,47.45,47.6,47.35,,,47.6,47.0,541.0
1989-10-02,47.65,48.05,47.65,,,47.9,106.0,593.0
1989-10-03,47.92,48.45,47.92,,,48.45,48.0,610.0
1989-10-04,48.35,48.35,47.85,,,48.12,60.0,613.0
1989-10-05,47.9,48.35,47.9,,,48.3,37.0,626.0
1989-10-06,48.2,48.3,47.95,,,48.22,22.0,638.0
1989-10-09,48.0,48.22,47.97,,,48.2,33.0,626.0
1989-10-10,48.0,48.2,47.65,,,48.0,33.0,623.0
1989-10-11,47.7,48.0,47.7,,,48.0,22.0,613.0
1989-10-12,47.6,47.95,47.5,,,47.9,34.0,626.0
1989-10-13,48.0,48.1,47.4,,,47.9,41.0,632.0
1989-10-16,47.0,47.65,46.5,,,47.57,69.0,650.0
1989-10-17,47.55,47.75,47.25,,,47.7,154.0,769.0
1989-10-18,47.8,47.9,47.6,,,47.8,8.0,770.0
1989-10-19,47.5,47.8,47.3,,,47.7,13.0,768.0
1989-10-20,47.8,47.95,47.5,,,47.95,8.0,768.0
1989-10-23,47.95,48.1,47.85,,,48.0,34.0,782.0
1989-10-24,48.1,48.1,47.7,,,47.92,17.0,784.0
1989-10-25,47.87,47.95,47.6,,,47.95,10.0,787.0
1989-10-26,47.8,47.95,47.65,,,47.92,21.0,794.0
1989-10-27,47.8,47.8,47.5,,,47.7,15.0,801.0
1989-10-30,47.7,47.8,47.55,,,47.7,25.0,790.0
1989-10-31,47.6,48.0,47.55,,,47.92,103.0,817.0
1989-11-01,47.85,48.45,47.8,,,48.37,86.0,842.0
1989-11-02,48.47,48.7,48.0,,,48.27,55.0,845.0
1989-11-03,48.0,48.5,47.9,,,48.35,27.0,848.0
1989-11-06,48.0,48.7,48.0,,,48.67,63.0,852.0
1989-11-07,48.57,49.25,48.57,,,49.22,145.0,900.0
1989-11-08,49.1,49.15,48.8,,,49.07,100.0,943.0
1989-11-09,48.5,48.95,48.5,,,48.85,37.0,945.0
1989-11-10,48.7,48.85,48.1,,,48.65,73.0,930.0
1989-11-13,48.8,49.35,48.7,,,49.32,112.0,991.0
1989-11-14,49.2,49.4,48.75,,,49.12,516.0,1118.0
1989-11-15,49.0,49.65,49.0,,,49.57,418.0,1115.0
1989-11-16,49.3,50.05,49.3,,,49.8,217.0,1209.0
1989-11-17,49.8,50.3,49.8,,,50.17,141.0,1232.0
1989-11-20,50.0,50.35,49.5,,,49.72,298.0,1365.0
1989-11-21,49.55,50.2,49.47,,,50.07,84.0,1366.0
1989-11-22,50.0,50.25,49.85,,,50.07,220.0,1266.0
1989-11-24,50.25,50.5,50.25,,,50.4,141.0,1278.0
1989-11-27,50.22,50.75,50.0,,,50.25,117.0,1349.0
1989-11-28,50.15,50.2,49.8,,,49.8,103.0,1366.0
1989-11-29,49.65,49.9,49.1,,,49.35,203.0,1307.0
1989-11-30,49.4,49.8,49.25,,,49.57,158.0,1338.0
1989-12-01,49.6,50.0,49.45,,,49.85,220.0,1423.0
