Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2000-09-01,72.0,72.8,72.0,,,72.65,85.0,87.0
2000-09-05,72.55,72.7,72.55,,,72.7,51.0,137.0
2000-09-06,72.7,72.9,72.7,,,72.85,192.0,254.0
2000-09-07,72.95,73.32,72.85,,,73.32,148.0,395.0
2000-09-08,73.2,73.45,73.2,,,73.45,97.0,487.0
2000-09-11,73.4,73.5,73.35,,,73.4,57.0,544.0
2000-09-12,73.35,73.35,73.07,,,73.12,57.0,596.0
2000-09-13,73.0,73.0,72.7,,,72.85,153.0,749.0
2000-09-14,72.85,73.25,72.8,,,73.17,60.0,809.0
2000-09-15,72.97,73.0,72.97,,,73.0,8.0,817.0
2000-09-18,73.0,73.0,72.9,,,72.9,7.0,824.0
2000-09-19,72.8,72.9,72.8,,,72.9,8.0,832.0
2000-09-20,72.8,72.85,72.8,,,72.85,3.0,835.0
2000-09-21,72.7,72.9,72.6,,,72.85,23.0,849.0
2000-09-22,72.95,73.1,72.95,,,73.05,26.0,860.0
2000-09-25,73.0,73.1,73.0,,,73.1,148.0,928.0
2000-09-26,73.0,73.0,72.87,,,72.9,22.0,910.0
2000-09-27,72.85,73.0,72.82,,,72.82,6.0,909.0
2000-09-28,72.85,72.85,72.82,,,72.85,44.0,884.0
2000-09-29,72.9,73.0,72.8,,,72.8,27.0,890.0
2000-10-02,72.75,72.85,72.75,,,72.85,7.0,892.0
2000-10-03,72.77,72.77,72.77,,,72.77,3.0,892.0
2000-10-04,72.77,72.77,72.77,,,72.77,23.0,872.0
2000-10-05,72.77,73.3,72.77,,,73.3,32.0,893.0
2000-10-06,72.95,73.02,72.95,,,73.02,29.0,922.0
2000-10-09,72.85,73.0,72.85,,,73.0,10.0,930.0
2000-10-10,72.85,72.87,72.82,,,72.85,16.0,918.0
2000-10-11,72.82,73.0,72.77,,,73.0,35.0,913.0
2000-10-12,72.9,73.15,72.9,,,73.15,10.0,921.0
2000-10-13,73.0,73.0,73.0,,,73.0,2.0,921.0
2000-10-16,73.0,73.0,73.0,,,73.0,1.0,921.0
2000-10-17,73.0,73.47,73.0,,,73.47,32.0,941.0
2000-10-18,73.2,73.37,73.15,,,73.37,9.0,947.0
2000-10-19,73.3,73.3,73.07,,,73.17,36.0,928.0
2000-10-20,73.1,73.3,72.9,,,73.3,42.0,946.0
2000-10-23,73.2,73.45,73.12,,,73.45,28.0,957.0
2000-10-24,73.45,73.45,73.2,,,73.45,9.0,961.0
2000-10-25,73.25,73.5,73.12,,,73.3,10.0,968.0
2000-10-26,73.2,73.37,73.1,,,73.37,25.0,963.0
2000-10-27,73.25,73.25,73.22,,,73.22,56.0,909.0
2000-10-30,73.3,73.3,73.2,,,73.2,5.0,908.0
2000-10-31,73.4,73.45,73.3,,,73.3,21.0,917.0
2000-11-01,73.4,73.4,73.15,,,73.15,55.0,954.0
2000-11-02,73.05,73.2,73.05,,,73.17,52.0,996.0
2000-11-03,73.1,73.6,73.1,,,73.6,34.0,1008.0
2000-11-06,73.5,73.75,73.45,,,73.75,85.0,961.0
2000-11-07,73.82,73.82,73.4,,,73.47,26.0,969.0
2000-11-08,73.37,73.37,73.15,,,73.15,14.0,974.0
2000-11-09,73.5,73.5,73.32,,,73.4,34.0,974.0
2000-11-10,73.12,73.4,73.12,,,73.4,20.0,988.0
2000-11-13,73.47,73.5,73.42,,,73.47,13.0,989.0
2000-11-14,73.45,73.8,73.45,,,73.8,54.0,1033.0
2000-11-15,73.85,73.85,73.5,,,73.75,39.0,1034.0
2000-11-16,73.75,73.8,73.57,,,73.8,43.0,1056.0
2000-11-17,73.8,74.0,73.8,,,74.0,53.0,1076.0
2000-11-20,74.1,74.2,74.0,,,74.15,97.0,1113.0
2000-11-21,74.05,74.15,73.9,,,74.15,79.0,1101.0
2000-11-22,73.95,74.45,73.95,,,74.45,109.0,1142.0
2000-11-24,74.25,74.25,74.1,,,74.2,16.0,1155.0
2000-11-27,74.02,74.2,74.02,,,74.2,118.0,1269.0
2000-11-28,74.2,74.6,74.2,,,74.55,683.0,1456.0
2000-11-29,74.35,74.35,74.1,,,74.12,57.0,1449.0
2000-11-30,74.05,74.25,74.05,,,74.25,117.0,1519.0
2000-12-01,74.2,74.47,74.15,,,74.42,194.0,1601.0
