Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
1995-12-19,97000.0,97000.0,97000.0,,,97000.0,90.0,80.0
1995-12-20,100000.0,100000.0,99000.0,,,99000.0,93.0,152.0
1995-12-21,98500.0,98500.0,98500.0,,,98500.0,0.0,152.0
1995-12-22,99000.0,99100.0,99000.0,,,99000.0,1.0,153.0
1995-12-26,99000.0,99000.0,99000.0,,,99000.0,0.0,153.0
1995-12-27,99000.0,99000.0,99000.0,,,99000.0,0.0,153.0
1995-12-28,99000.0,99000.0,99000.0,,,99000.0,0.0,153.0
1995-12-29,99000.0,99000.0,99000.0,,,99000.0,0.0,153.0
1996-01-02,100000.0,100000.0,100000.0,,,100000.0,0.0,153.0
1996-01-03,101500.0,101500.0,101500.0,,,101500.0,0.0,153.0
1996-01-04,100800.0,101200.0,100800.0,,,101200.0,50.0,143.0
1996-01-05,101000.0,101600.0,101000.0,,,101600.0,0.0,125.0
1996-01-08,101500.0,101700.0,101500.0,,,101700.0,64.0,83.0
1996-01-09,102050.0,102700.0,102050.0,,,102500.0,57.0,139.0
1996-01-10,102300.0,102300.0,102300.0,,,102300.0,0.0,139.0
1996-01-11,102500.0,102500.0,102500.0,,,102500.0,0.0,139.0
1996-01-12,102900.0,102900.0,102900.0,,,102900.0,0.0,139.0
1996-01-15,102500.0,102500.0,102500.0,,,102500.0,0.0,139.0
1996-01-16,102500.0,102500.0,102300.0,,,102300.0,7.0,139.0
1996-01-17,102700.0,102700.0,102700.0,,,102700.0,0.0,139.0
1996-01-18,103500.0,103500.0,103500.0,,,103500.0,50.0,104.0
1996-01-19,104500.0,104500.0,104500.0,,,104500.0,6.0,110.0
1996-01-22,106500.0,106500.0,106500.0,,,106500.0,0.0,110.0
1996-01-23,106000.0,106000.0,104500.0,,,104500.0,1.0,111.0
1996-01-24,104700.0,105000.0,104700.0,,,105000.0,100.0,176.0
1996-01-25,105100.0,105100.0,105100.0,,,105100.0,0.0,176.0
1996-01-26,104800.0,104800.0,104800.0,,,104800.0,102.0,0.0
1996-01-29,104900.0,104900.0,104900.0,,,104900.0,4.0,179.0
1996-01-30,104900.0,105600.0,104700.0,,,104900.0,111.0,252.0
1996-01-31,104000.0,104750.0,104000.0,,,104750.0,11.0,258.0
1996-02-01,105000.0,105000.0,104000.0,,,104750.0,2.0,258.0
1996-02-02,104700.0,104800.0,104400.0,,,104800.0,347.0,435.0
1996-02-05,104800.0,104800.0,104800.0,,,104800.0,0.0,435.0
1996-02-06,104300.0,104300.0,104300.0,,,104300.0,0.0,435.0
1996-02-07,104500.0,104500.0,104000.0,,,104000.0,9.0,440.0
1996-02-08,104000.0,104100.0,104000.0,,,104100.0,10.0,443.0
1996-02-09,102500.0,103900.0,102500.0,,,103900.0,60.0,445.0
1996-02-12,102300.0,103100.0,102300.0,,,103100.0,22.0,467.0
1996-02-13,102000.0,102400.0,102000.0,,,102400.0,1.0,468.0
1996-02-14,102000.0,103500.0,102000.0,,,103500.0,55.0,523.0
1996-02-15,103550.0,103550.0,103550.0,,,103550.0,0.0,523.0
1996-02-16,103000.0,103550.0,103000.0,,,103550.0,1.0,523.0
1996-02-20,101700.0,103100.0,101700.0,,,103100.0,30.0,548.0
1996-02-21,102000.0,102900.0,102000.0,,,102900.0,145.0,539.0
1996-02-22,103500.0,103500.0,103500.0,,,103500.0,1.0,539.0
1996-02-23,103500.0,103800.0,103100.0,,,103500.0,2.0,539.0
1996-02-26,103000.0,103500.0,103000.0,,,103500.0,1.0,539.0
1996-02-27,104000.0,104000.0,103000.0,,,103200.0,31.0,544.0
1996-02-28,102000.0,102700.0,102000.0,,,102700.0,1.0,544.0
1996-02-29,102000.0,102000.0,101500.0,,,101700.0,0.0,544.0
1996-03-01,101700.0,102600.0,101600.0,,,102600.0,1.0,544.0
1996-03-04,103000.0,103000.0,102650.0,,,102650.0,1.0,544.0
1996-03-05,102000.0,102000.0,102000.0,,,102000.0,0.0,544.0
1996-03-06,102400.0,102400.0,102400.0,,,102400.0,0.0,544.0
1996-03-07,103000.0,103000.0,102900.0,,,102900.0,4.0,542.0
1996-03-08,102600.0,102600.0,102600.0,,,102600.0,0.0,542.0
1996-03-11,102500.0,102500.0,101500.0,,,101500.0,157.0,595.0
1996-03-12,102000.0,102100.0,101200.0,,,102100.0,136.0,546.0
1996-03-13,102200.0,103000.0,102000.0,,,102400.0,153.0,773.0
1996-03-14,103200.0,103200.0,102600.0,,,102600.0,2.0,773.0
1996-03-15,103500.0,104000.0,102600.0,,,103150.0,65.0,808.0
1996-03-18,103300.0,105100.0,103300.0,,,104800.0,24.0,820.0
1996-03-19,104800.0,105000.0,104500.0,,,104700.0,197.0,755.0
1996-03-20,105300.0,105500.0,104800.0,,,104800.0,76.0,756.0
1996-03-21,105150.0,105150.0,105150.0,,,105150.0,6.0,761.0
1996-03-22,105600.0,105600.0,105600.0,,,105600.0,0.0,761.0
1996-03-25,105500.0,105500.0,105500.0,,,105500.0,0.0,761.0
1996-03-26,105700.0,105700.0,105700.0,,,105700.0,5.0,766.0
1996-03-27,106000.0,106000.0,106000.0,,,106000.0,0.0,766.0
1996-03-28,107000.0,107500.0,106800.0,,,106800.0,66.0,785.0
1996-03-29,107500.0,109000.0,107500.0,,,108230.0,107.0,887.0
1996-04-01,109000.0,109500.0,108330.0,,,108330.0,27.0,878.0
1996-04-02,108300.0,108300.0,108300.0,,,108300.0,0.0,878.0
1996-04-03,108800.0,109000.0,107950.0,,,107950.0,4.0,878.0
1996-04-04,108500.0,108500.0,108200.0,,,108200.0,2.0,878.0
1996-04-05,108000.0,108700.0,108000.0,,,108000.0,0.0,878.0
1996-04-08,107000.0,107000.0,106500.0,,,106880.0,50.0,928.0
1996-04-09,107400.0,108000.0,107300.0,,,107900.0,283.0,837.0
1996-04-10,109500.0,109500.0,109200.0,,,109300.0,593.0,1279.0
1996-04-11,109400.0,109900.0,109100.0,,,109100.0,127.0,1352.0
1996-04-12,109800.0,109800.0,109300.0,,,109800.0,283.0,1125.0
1996-04-15,110600.0,112000.0,110300.0,,,111980.0,669.0,1313.0
1996-04-16,111800.0,112400.0,111400.0,,,112200.0,737.0,1443.0
1996-04-17,112500.0,112600.0,112300.0,,,112600.0,624.0,1398.0
1996-04-18,112600.0,112800.0,112600.0,,,112800.0,200.0,1366.0
1996-04-19,113800.0,114500.0,113800.0,,,114100.0,316.0,1421.0
1996-04-22,115000.0,115000.0,113700.0,,,114050.0,432.0,1322.0
1996-04-23,113100.0,114100.0,113100.0,,,113700.0,311.0,1474.0
1996-04-24,113300.0,114300.0,113300.0,,,114300.0,53.0,1468.0
1996-04-25,115200.0,115300.0,114500.0,,,114880.0,222.0,1415.0
1996-04-26,115000.0,115200.0,114500.0,,,114600.0,267.0,1434.0
1996-04-29,114000.0,114100.0,114000.0,,,114100.0,103.0,1440.0
1996-04-30,113200.0,114500.0,113200.0,,,114500.0,253.0,1508.0
1996-05-01,114700.0,114700.0,114700.0,,,114700.0,0.0,1508.0
1996-05-02,114000.0,114000.0,112700.0,,,113000.0,530.0,1428.0
1996-05-03,113000.0,113200.0,113000.0,,,113100.0,104.0,1422.0
1996-05-06,112500.0,112500.0,112300.0,,,112300.0,31.0,1452.0
1996-05-07,111500.0,113400.0,111500.0,,,113400.0,28.0,1477.0
1996-05-08,113900.0,114400.0,113900.0,,,114400.0,5.0,1473.0
1996-05-09,114500.0,115300.0,114500.0,,,114950.0,174.0,1584.0
1996-05-10,115500.0,116600.0,115500.0,,,116500.0,424.0,1621.0
1996-05-13,116900.0,116900.0,116600.0,,,116700.0,141.0,1688.0
1996-05-14,117800.0,117800.0,116900.0,,,116900.0,120.0,1682.0
1996-05-15,117150.0,117200.0,117000.0,,,117200.0,40.0,1711.0
1996-05-16,117000.0,117000.0,116700.0,,,116900.0,94.0,1774.0
1996-05-17,117200.0,117300.0,117000.0,,,117200.0,67.0,1798.0
1996-05-20,117300.0,117300.0,117300.0,,,117300.0,8.0,1794.0
1996-05-21,118000.0,118400.0,117900.0,,,118400.0,266.0,1835.0
1996-05-22,118600.0,118880.0,118500.0,,,118880.0,265.0,1672.0
1996-05-23,119200.0,119730.0,119100.0,,,119500.0,984.0,1997.0
1996-05-24,119500.0,119500.0,118900.0,,,119200.0,622.0,1965.0
1996-05-28,120200.0,120200.0,119600.0,,,119600.0,162.0,1946.0
1996-05-29,119000.0,119000.0,118600.0,,,118600.0,197.0,2078.0
1996-05-30,118400.0,119500.0,118200.0,,,119200.0,363.0,2214.0
1996-05-31,119200.0,119300.0,118000.0,,,118200.0,207.0,2407.0
1996-06-03,118000.0,118100.0,117500.0,,,118100.0,107.0,2357.0
1996-06-04,118600.0,118700.0,118480.0,,,118500.0,48.0,2350.0
1996-06-05,118200.0,118200.0,117900.0,,,118000.0,239.0,2478.0
1996-06-06,117500.0,117650.0,116900.0,,,117650.0,237.0,2579.0
1996-06-07,116500.0,117500.0,115700.0,,,117500.0,577.0,2359.0
1996-06-10,117800.0,118000.0,115900.0,,,116100.0,924.0,2638.0
1996-06-11,116000.0,116000.0,114600.0,,,115400.0,436.0,2791.0
1996-06-12,116000.0,116100.0,115100.0,,,115300.0,161.0,2816.0
1996-06-13,115000.0,115600.0,114500.0,,,115600.0,294.0,2932.0
1996-06-14,115900.0,116800.0,115900.0,,,116700.0,645.0,2939.0
1996-06-17,116800.0,117100.0,116400.0,,,117100.0,410.0,2910.0
1996-06-18,117300.0,118000.0,117200.0,,,117800.0,933.0,2965.0
1996-06-19,118500.0,118500.0,118100.0,,,118350.0,598.0,2774.0
1996-06-20,118380.0,118380.0,117200.0,,,117480.0,966.0,2956.0
1996-06-21,117500.0,117500.0,116700.0,,,116850.0,1372.0,3387.0
1996-06-24,116200.0,116300.0,115900.0,,,116300.0,274.0,3478.0
1996-06-25,116500.0,117400.0,116300.0,,,117230.0,1136.0,3413.0
1996-06-26,117230.0,117230.0,116600.0,,,117050.0,537.0,3248.0
1996-06-27,116900.0,117100.0,116800.0,,,116850.0,244.0,3353.0
1996-06-28,117500.0,117900.0,117400.0,,,117600.0,962.0,3395.0
1996-07-01,116900.0,117300.0,116900.0,,,117250.0,197.0,3510.0
1996-07-02,117800.0,117800.0,117400.0,,,117500.0,323.0,3509.0
1996-07-03,117200.0,117500.0,117000.0,,,117200.0,1025.0,3684.0
1996-07-05,116200.0,116600.0,115800.0,,,115800.0,243.0,3717.0
1996-07-08,116500.0,116500.0,115500.0,,,116080.0,903.0,3225.0
1996-07-09,116300.0,117050.0,116300.0,,,117000.0,1028.0,3196.0
1996-07-10,117400.0,117600.0,117050.0,,,117080.0,466.0,3379.0
1996-07-11,116950.0,117100.0,116700.0,,,116830.0,798.0,3662.0
1996-07-12,117000.0,117300.0,117000.0,,,117200.0,480.0,3815.0
1996-07-15,116750.0,117000.0,116600.0,,,116650.0,292.0,3818.0
1996-07-16,116700.0,116700.0,116100.0,,,116550.0,820.0,3708.0
1996-07-17,116800.0,117050.0,116530.0,,,117050.0,1305.0,4310.0
1996-07-18,116800.0,117900.0,116800.0,,,117850.0,923.0,4048.0
1996-07-19,117800.0,118780.0,117800.0,,,118780.0,846.0,3831.0
1996-07-22,118200.0,118500.0,118200.0,,,118500.0,687.0,3842.0
1996-07-23,118780.0,119300.0,118780.0,,,119000.0,703.0,3937.0
1996-07-24,119000.0,119050.0,118730.0,,,118850.0,835.0,3465.0
1996-07-25,119150.0,119480.0,119030.0,,,119050.0,500.0,3390.0
1996-07-26,119400.0,119400.0,119100.0,,,119100.0,284.0,3345.0
1996-07-29,119150.0,119300.0,118800.0,,,119250.0,520.0,3591.0
1996-07-30,119750.0,119800.0,119300.0,,,119600.0,1198.0,3916.0
1996-07-31,119500.0,119600.0,119000.0,,,119130.0,1356.0,3910.0
1996-08-01,119600.0,120300.0,119550.0,,,120230.0,1191.0,4021.0
1996-08-02,120700.0,121000.0,120600.0,,,120800.0,1722.0,4240.0
1996-08-05,120800.0,121500.0,120800.0,,,121500.0,436.0,4298.0
1996-08-06,121500.0,121800.0,121400.0,,,121780.0,668.0,4573.0
1996-08-07,122000.0,122400.0,121700.0,,,121880.0,1433.0,4685.0
1996-08-08,121700.0,122150.0,121600.0,,,122050.0,1411.0,5229.0
1996-08-09,122300.0,122400.0,122000.0,,,122230.0,936.0,5277.0
1996-08-12,122200.0,122700.0,122200.0,,,122600.0,846.0,5348.0
1996-08-13,122700.0,122850.0,122550.0,,,122630.0,1180.0,5324.0
1996-08-14,122800.0,123000.0,122500.0,,,122650.0,1478.0,5486.0
1996-08-15,122750.0,122800.0,122250.0,,,122800.0,1037.0,5950.0
1996-08-16,123030.0,123700.0,123000.0,,,123600.0,1461.0,6429.0
1996-08-19,124200.0,124500.0,123900.0,,,124400.0,1700.0,6849.0
1996-08-20,124800.0,124800.0,124400.0,,,124780.0,1170.0,7051.0
1996-08-21,125200.0,125200.0,124150.0,,,124600.0,1598.0,7001.0
1996-08-22,124800.0,125100.0,124500.0,,,125000.0,909.0,7043.0
1996-08-23,124800.0,124850.0,124400.0,,,124400.0,664.0,7010.0
1996-08-26,124300.0,124380.0,123900.0,,,123950.0,452.0,7068.0
1996-08-27,123900.0,124250.0,123700.0,,,124250.0,1511.0,7402.0
1996-08-28,124500.0,124680.0,124450.0,,,124450.0,732.0,7134.0
1996-08-29,124150.0,124250.0,123630.0,,,123730.0,1047.0,7043.0
1996-08-30,123600.0,123700.0,122000.0,,,122850.0,1423.0,7085.0
1996-09-03,122800.0,123350.0,121700.0,,,123180.0,2321.0,7346.0
1996-09-04,123180.0,123800.0,123180.0,,,123180.0,1443.0,7498.0
1996-09-05,122700.0,123200.0,122700.0,,,122850.0,2529.0,8751.0
1996-09-06,122850.0,124200.0,122850.0,,,124050.0,4320.0,8742.0
1996-09-09,124100.0,124600.0,124100.0,,,124550.0,3640.0,9762.0
1996-09-10,125000.0,125500.0,124600.0,,,124650.0,2687.0,9864.0
1996-09-11,124900.0,124900.0,124300.0,,,124680.0,2032.0,10272.0
1996-09-12,124700.0,125400.0,124700.0,,,125130.0,1946.0,11074.0
1996-09-13,125500.0,126600.0,125500.0,,,126300.0,3521.0,11673.0
1996-09-16,126200.0,126200.0,125800.0,,,126100.0,908.0,11616.0
1996-09-17,126100.0,126400.0,126000.0,,,126080.0,1562.0,11926.0
1996-09-18,126200.0,126400.0,126100.0,,,126200.0,1884.0,13097.0
1996-09-19,126100.0,126230.0,125850.0,,,125880.0,1944.0,13347.0
1996-09-20,126000.0,126000.0,125300.0,,,125530.0,3508.0,13549.0
1996-09-23,125000.0,125800.0,124600.0,,,125750.0,4730.0,12607.0
