Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-11-17,,,,,100.0,56900.0,0.0,0.0
2015-11-18,,,,,60.0,56960.0,0.0,0.0
2015-11-19,,,,,530.0,57490.0,0.0,0.0
2015-11-20,,,,,340.0,57830.0,0.0,0.0
2015-11-23,,,,,30.0,57800.0,0.0,0.0
2015-11-24,,,,,120.0,57920.0,0.0,0.0
2015-11-25,,,,,10.0,57910.0,0.0,0.0
2015-11-27,,,,,270.0,57640.0,0.0,0.0
2015-11-30,,,,,50.0,57690.0,0.0,0.0
2015-12-01,,,,,200.0,57890.0,0.0,0.0
2015-12-02,,,,,230.0,57660.0,0.0,0.0
2015-12-03,,,,,390.0,57270.0,0.0,0.0
2015-12-04,,,,,240.0,57510.0,0.0,0.0
2015-12-07,,,,,810.0,56700.0,0.0,0.0
2015-12-08,,,,,290.0,56410.0,0.0,0.0
2015-12-09,,,,,260.0,56150.0,0.0,0.0
2015-12-10,,,,,360.0,55790.0,0.0,0.0
2015-12-11,,,,,580.0,55210.0,0.0,0.0
2015-12-14,,,,,80.0,55290.0,0.0,0.0
2015-12-15,,,,,700.0,55990.0,0.0,0.0
2015-12-16,,,,,520.0,56510.0,0.0,0.0
2015-12-17,,,,,20.0,56490.0,0.0,0.0
2015-12-18,,,,,130.0,56360.0,0.0,0.0
2015-12-21,,,,,570.0,55790.0,0.0,0.0
2015-12-22,,,,,20.0,55810.0,0.0,0.0
2015-12-23,,,,,80.0,55730.0,0.0,0.0
2015-12-24,,,,,110.0,55620.0,0.0,0.0
2015-12-28,,,,,70.0,55690.0,0.0,0.0
2015-12-29,,,,,,55690.0,0.0,0.0
2015-12-30,,,,,390.0,55300.0,0.0,0.0
2015-12-31,,,,,530.0,55830.0,0.0,0.0
2016-01-04,,,,,340.0,55490.0,0.0,0.0
2016-01-05,,,,,20.0,55470.0,0.0,0.0
2016-01-06,,,,,650.0,54820.0,0.0,0.0
2016-01-07,,,,,710.0,54110.0,0.0,0.0
2016-01-08,,,,,350.0,53760.0,0.0,0.0
2016-01-11,,,,,200.0,53560.0,0.0,0.0
2016-01-12,,,,,270.0,53830.0,0.0,0.0
2016-01-13,,,,,100.0,53730.0,0.0,0.0
2016-01-14,,,,,190.0,53920.0,0.0,0.0
2016-01-15,,,,,1200.0,52720.0,0.0,0.0
2016-01-19,,,,,60.0,52660.0,0.0,0.0
2016-01-20,,,,,700.0,51960.0,0.0,0.0
2016-01-21,,,,,510.0,51450.0,0.0,0.0
2016-01-22,,,,,830.0,52280.0,0.0,0.0
2016-01-25,,,,,440.0,51840.0,0.0,0.0
2016-01-26,,,,,340.0,52180.0,0.0,0.0
2016-01-27,,,,,80.0,52100.0,0.0,0.0
2016-01-28,,,,,440.0,52540.0,0.0,0.0
2016-01-29,,,,,560.0,53100.0,0.0,0.0
2016-02-01,,,,,260.0,52840.0,0.0,0.0
2016-02-02,,,,,720.0,52120.0,0.0,0.0
2016-02-03,,,,,790.0,52910.0,0.0,0.0
2016-02-04,,,,,160.0,52750.0,0.0,0.0
2016-02-05,,,,,460.0,52290.0,0.0,0.0
2016-02-08,,,,,900.0,51390.0,0.0,0.0
2016-02-09,,,,,200.0,51190.0,0.0,0.0
2016-02-10,,,,,120.0,51070.0,0.0,0.0
2016-02-11,,,,,1160.0,49910.0,0.0,0.0
2016-02-12,,,,,970.0,50880.0,0.0,0.0
2016-02-16,,,,,130.0,51010.0,0.0,0.0
2016-02-17,,,,,1350.0,52360.0,0.0,0.0
2016-02-18,,,,,210.0,52570.0,0.0,0.0
2016-02-19,,,,,100.0,52670.0,0.0,0.0
2016-02-22,,,,,380.0,53050.0,0.0,0.0
2016-02-23,,,,,400.0,52650.0,0.0,0.0
2016-02-24,,,,,70.0,52720.0,0.0,0.0
2016-02-25,,,,,230.0,52950.0,0.0,0.0
2016-02-26,,,,,380.0,52570.0,0.0,0.0
2016-02-29,,,,,490.0,53060.0,0.0,0.0
2016-03-01,,,,,590.0,53650.0,0.0,0.0
2016-03-02,,,,,230.0,53880.0,0.0,0.0
2016-03-03,,,,,260.0,53620.0,0.0,0.0
2016-03-04,,,,,360.0,53980.0,0.0,0.0
2016-03-07,,,,,210.0,54190.0,0.0,0.0
2016-03-08,,,,,420.0,53770.0,0.0,0.0
2016-03-09,,,,,460.0,54230.0,0.0,0.0
2016-03-10,,,,,350.0,53880.0,0.0,0.0
2016-03-11,,,,,520.0,54400.0,0.0,0.0
2016-03-14,,,,,150.0,54250.0,0.0,0.0
2016-03-15,,,,,490.0,53760.0,0.0,0.0
2016-03-16,,,,,570.0,54330.0,0.0,0.0
2016-03-17,,,,,1000.0,55330.0,0.0,0.0
2016-03-18,,,,,150.0,55480.0,0.0,0.0
2016-03-21,,,,,160.0,55320.0,0.0,0.0
2016-03-22,,,,,220.0,55540.0,0.0,0.0
2016-03-23,,,,,810.0,54730.0,0.0,0.0
2016-03-24,,,,,190.0,54540.0,0.0,0.0
2016-03-28,,,,,680.0,55220.0,0.0,0.0
2016-03-29,,,,,370.0,55590.0,0.0,0.0
2016-03-30,,,,,290.0,55880.0,0.0,0.0
2016-03-31,,,,,210.0,55670.0,0.0,0.0
2016-04-01,,,,,230.0,55440.0,0.0,0.0
2016-04-04,,,,,380.0,55060.0,0.0,0.0
2016-04-05,,,,,660.0,54400.0,0.0,0.0
2016-04-06,,,,,90.0,54490.0,0.0,0.0
2016-04-07,,,,,810.0,53680.0,0.0,0.0
2016-04-08,,,,,430.0,54110.0,0.0,0.0
2016-04-11,,,,,560.0,54670.0,0.0,0.0
2016-04-12,,,,,490.0,55160.0,0.0,0.0
2016-04-13,,,,,10.0,55150.0,0.0,0.0
2016-04-14,,,,,110.0,55260.0,0.0,0.0
2016-04-15,,,,,400.0,54860.0,0.0,0.0
2016-04-18,,,,,320.0,55180.0,0.0,0.0
2016-04-19,,,,,530.0,55710.0,0.0,0.0
2016-04-20,,,,,180.0,55890.0,0.0,0.0
2016-04-21,,,,,810.0,55080.0,0.0,0.0
2016-04-22,,,,,210.0,55290.0,0.0,0.0
2016-04-25,,,,,570.0,54720.0,0.0,0.0
2016-04-26,,,,,650.0,55370.0,0.0,0.0
2016-04-27,,,,,250.0,55620.0,0.0,0.0
2016-04-28,,,,,340.0,55960.0,0.0,0.0
2016-04-29,,,,,,55960.0,0.0,0.0
2016-05-02,,,,,10.0,55970.0,0.0,0.0
2016-05-03,,,,,1170.0,54800.0,0.0,0.0
2016-05-04,,,,,510.0,54290.0,0.0,0.0
2016-05-05,,,,,410.0,53880.0,0.0,0.0
2016-05-06,,,,,190.0,54070.0,0.0,0.0
2016-05-09,,,,,850.0,53220.0,0.0,0.0
2016-05-10,,,,,330.0,53550.0,0.0,0.0
2016-05-11,,,,,180.0,53730.0,0.0,0.0
2016-05-12,,,,,60.0,53790.0,0.0,0.0
2016-05-13,,,,,730.0,53060.0,0.0,0.0
2016-05-16,,,,,80.0,52980.0,0.0,0.0
2016-05-17,,,,,400.0,52580.0,0.0,0.0
2016-05-18,,,,,370.0,52210.0,0.0,0.0
2016-05-19,,,,,150.0,52060.0,0.0,0.0
2016-05-20,,,,,420.0,52480.0,0.0,0.0
2016-05-23,,,,,470.0,52010.0,0.0,0.0
2016-05-24,,,,,50.0,52060.0,0.0,0.0
2016-05-25,,,,,170.0,52230.0,0.0,0.0
2016-05-26,,,,,30.0,52200.0,0.0,0.0
2016-05-27,,,,,100.0,52300.0,0.0,0.0
2016-05-31,,,,,150.0,52150.0,0.0,0.0
2016-06-01,,,,,20.0,52130.0,0.0,0.0
2016-06-02,,,,,490.0,51640.0,0.0,0.0
2016-06-03,,,,,160.0,51800.0,0.0,0.0
2016-06-06,,,,,30.0,51770.0,0.0,0.0
2016-06-07,,,,,710.0,52480.0,0.0,0.0
2016-06-08,,,,,900.0,53380.0,0.0,0.0
2016-06-09,,,,,510.0,52870.0,0.0,0.0
2016-06-10,,,,,1080.0,51790.0,0.0,0.0
2016-06-13,,,,,620.0,51170.0,0.0,0.0
2016-06-14,,,,,330.0,50840.0,0.0,0.0
2016-06-15,,,,,300.0,51140.0,0.0,0.0
2016-06-16,,,,,220.0,50920.0,0.0,0.0
2016-06-17,,,,,290.0,51210.0,0.0,0.0
2016-06-20,,,,,450.0,51660.0,0.0,0.0
2016-06-21,,,,,210.0,51870.0,0.0,0.0
2016-06-22,,,,,310.0,52180.0,0.0,0.0
2016-06-23,,,,,590.0,52770.0,0.0,0.0
2016-06-24,,,,,1820.0,50950.0,0.0,0.0
2016-06-27,,,,,670.0,50280.0,0.0,0.0
2016-06-28,,,,,1030.0,51310.0,0.0,0.0
2016-06-29,,,,,780.0,52090.0,0.0,0.0
2016-06-30,,,,,590.0,52680.0,0.0,0.0
2016-07-01,,,,,260.0,52420.0,0.0,0.0
2016-07-05,,,,,1170.0,51250.0,0.0,0.0
2016-07-06,,,,,120.0,51370.0,0.0,0.0
2016-07-07,,,,,320.0,51050.0,0.0,0.0
2016-07-08,,,,,1020.0,52070.0,0.0,0.0
2016-07-11,,,,,100.0,52170.0,0.0,0.0
2016-07-12,,,,,390.0,52560.0,0.0,0.0
2016-07-13,,,,,130.0,52430.0,0.0,0.0
2016-07-14,,,,,200.0,52630.0,0.0,0.0
2016-07-15,,,,,350.0,52280.0,0.0,0.0
2016-07-18,,,,,160.0,52440.0,0.0,0.0
2016-07-19,,,,,420.0,52020.0,0.0,0.0
2016-07-20,,,,,210.0,51810.0,0.0,0.0
2016-07-21,,,,,50.0,51760.0,0.0,0.0
2016-07-22,,,,,310.0,52070.0,0.0,0.0
2016-07-25,,,,,660.0,51410.0,0.0,0.0
2016-07-26,,,,,80.0,51330.0,0.0,0.0
2016-07-27,,,,,30.0,51360.0,0.0,0.0
2016-07-28,,,,,230.0,51130.0,0.0,0.0
2016-07-29,,,,,290.0,51420.0,0.0,0.0
2016-08-01,,,,,190.0,51230.0,0.0,0.0
2016-08-02,,,,,240.0,50990.0,0.0,0.0
2016-08-03,,,,,20.0,51010.0,0.0,0.0
2016-08-04,,,,,80.0,51090.0,0.0,0.0
2016-08-05,,,,,490.0,51580.0,0.0,0.0
2016-08-08,,,,,530.0,52110.0,0.0,0.0
2016-08-09,,,,,460.0,52570.0,0.0,0.0
2016-08-10,,,,,170.0,52740.0,0.0,0.0
2016-08-11,,,,,500.0,53240.0,0.0,0.0
2016-08-12,,,,,100.0,53140.0,0.0,0.0
2016-08-15,,,,,520.0,53660.0,0.0,0.0
2016-08-16,,,,,190.0,53850.0,0.0,0.0
2016-08-17,,,,,380.0,53470.0,0.0,0.0
