Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2004-06-14,0.583,0.583,0.583,0.583,,0.583,0.0,0.0
2004-06-15,0.5948,0.5948,0.5948,0.5948,,0.5948,0.0,0.0
2004-06-16,0.5873,0.5873,0.5873,0.5873,,0.5873,0.0,0.0
2004-06-17,0.5819,0.5819,0.5819,0.5819,,0.5819,0.0,0.0
2004-06-18,0.5847,0.5847,0.5847,0.5847,,0.5847,0.0,0.0
2004-06-21,0.5862,0.5862,0.5862,0.5862,,0.5862,0.0,0.0
2004-06-22,0.5867,0.5867,0.5867,0.5867,,0.5867,0.0,0.0
2004-06-23,0.5848,0.5848,0.5848,0.5848,,0.5848,0.0,0.0
2004-06-24,0.5935,0.5935,0.5935,0.5935,,0.5935,0.0,0.0
2004-06-25,0.5945,0.5945,0.5945,0.5945,,0.5945,0.0,0.0
2004-06-28,0.6,0.6,0.6,0.6,,0.6,0.0,0.0
2004-06-29,0.5908,0.5908,0.5908,0.5908,,0.5908,0.0,0.0
2004-06-30,0.5935,0.5935,0.5935,0.5935,,0.5935,0.0,0.0
2004-07-01,0.6,0.6,0.6,0.6,,0.6,0.0,0.0
2004-07-02,0.6073,0.6073,0.6073,0.6073,,0.6073,0.0,0.0
2004-07-06,0.609,0.609,0.609,0.609,,0.609,0.0,0.0
2004-07-07,0.6164,0.6164,0.6164,0.6164,,0.6164,0.0,0.0
2004-07-08,0.616,0.616,0.616,0.616,,0.616,0.0,0.0
2004-07-09,0.6172,0.6172,0.6172,0.6172,,0.6172,0.0,0.0
2004-07-12,0.6212,0.6212,0.6212,0.6212,,0.6212,0.0,0.0
2004-07-13,0.6183,0.6183,0.6183,0.6183,,0.6183,0.0,0.0
2004-07-14,0.6125,0.6125,0.6125,0.6125,,0.6125,0.0,0.0
2004-07-15,0.6092,0.6092,0.6092,0.6092,,0.6092,0.0,0.0
2004-07-16,0.619,0.619,0.619,0.619,,0.619,0.0,0.0
2004-07-19,0.617,0.617,0.617,0.617,,0.617,0.0,0.0
2004-07-20,0.614,0.614,0.614,0.614,,0.614,0.0,0.0
2004-07-21,0.5985,0.5985,0.5985,0.5985,,0.5985,0.0,0.0
2004-07-22,0.6023,0.6023,0.6023,0.6023,,0.6023,0.0,0.0
2004-07-23,0.5967,0.5967,0.5967,0.5967,,0.5967,0.0,0.0
2004-07-26,0.5967,0.5967,0.5967,0.5967,,0.5967,0.0,0.0
2004-07-27,0.5882,0.5882,0.5882,0.5882,,0.5882,0.0,0.0
2004-07-28,0.5892,0.5892,0.5892,0.5892,,0.5892,0.0,0.0
2004-07-29,0.5945,0.5945,0.5945,0.5945,,0.5945,0.0,0.0
2004-07-30,0.596,0.596,0.596,0.596,,0.596,0.0,0.0
2004-08-02,0.6015,0.6015,0.6015,0.6015,,0.6015,0.0,0.0
2004-08-03,0.606,0.606,0.606,0.606,,0.606,0.0,0.0
2004-08-04,0.607,0.607,0.607,0.607,,0.607,0.0,0.0
2004-08-05,0.606,0.606,0.606,0.606,,0.606,0.0,0.0
2004-08-06,0.6134,0.6134,0.6134,0.6134,,0.6134,0.0,0.0
2004-08-09,0.6164,0.6164,0.6164,0.6164,,0.6164,0.0,0.0
2004-08-10,0.613,0.613,0.613,0.613,,0.613,0.0,0.0
2004-08-11,0.6157,0.6157,0.6157,0.6157,,0.6157,0.0,0.0
2004-08-12,0.621,0.621,0.621,0.621,,0.621,0.0,0.0
2004-08-13,0.6285,0.6285,0.6285,0.6285,,0.6285,0.0,0.0
2004-08-16,0.6276,0.6276,0.6276,0.6276,,0.6276,0.0,0.0
2004-08-17,0.6255,0.6255,0.6255,0.6255,,0.6255,0.0,0.0
2004-08-18,0.6263,0.6263,0.6263,0.6263,,0.6263,0.0,0.0
2004-08-19,0.6334,0.6334,0.6334,0.6334,,0.6334,0.0,0.0
2004-08-20,0.635,0.635,0.635,0.635,,0.635,0.0,0.0
2004-08-23,0.6233,0.6233,0.6233,0.6233,,0.6233,0.0,0.0
2004-08-24,0.61,0.61,0.61,0.61,,0.61,0.0,0.0
2004-08-25,0.6135,0.6135,0.6135,0.6135,,0.6135,0.0,0.0
2004-08-26,0.6265,0.6265,0.6265,0.617,,0.617,1.0,0.0
2004-08-27,0.6205,0.6205,0.6205,0.6205,,0.6205,0.0,1.0
2004-08-30,0.6158,0.6158,0.6158,0.6158,,0.6158,0.0,1.0
2004-08-31,0.6213,0.6213,0.6213,0.6213,,0.6213,0.0,1.0
2004-09-01,0.6225,0.6225,0.6225,0.6225,,0.6225,0.0,1.0
2004-09-02,0.6155,0.6155,0.6155,,,0.6155,1.0,1.0
2004-09-03,0.6135,0.6135,0.6135,,,0.6135,1.0,1.0
2004-09-07,0.6141,0.6141,0.6141,,,0.6141,1.0,1.0
2004-09-08,0.6165,0.6165,0.6165,,,0.6165,1.0,1.0
2004-09-09,0.619,0.619,0.619,,,0.619,1.0,1.0
2004-09-10,0.6235,0.6235,0.6235,,,0.6235,1.0,1.0
2004-09-13,0.6224,0.6224,0.6224,,,0.6224,1.0,1.0
2004-09-14,0.6289,0.6289,0.6289,,,0.6289,1.0,1.0
2004-09-15,0.6229,0.6229,0.6229,,,0.6229,1.0,1.0
2004-09-16,0.6267,0.6267,0.6267,,,0.6267,1.0,1.0
2004-09-17,0.6269,0.6269,0.6269,,,0.6269,1.0,1.0
2004-09-20,0.6285,0.6285,0.6285,,,0.6285,1.0,1.0
2004-09-21,0.6291,0.6291,0.6291,,,0.6291,1.0,1.0
2004-09-22,0.6294,0.6294,0.6294,,,0.6294,1.0,1.0
2004-09-23,0.6349,0.6349,0.6349,,,0.6349,1.0,1.0
2004-09-24,0.6365,0.6365,0.6349,,,0.6349,20.0,21.0
2004-09-27,0.6315,0.6315,0.6315,,,0.6315,15.0,56.0
2004-09-28,0.6366,0.6366,0.6366,,,0.6366,15.0,56.0
2004-09-29,0.6369,0.6369,0.6369,,,0.6369,15.0,56.0
2004-09-30,0.6454,0.6454,0.6454,,,0.6454,15.0,56.0
2004-10-01,0.6427,0.6427,0.6427,,,0.6427,15.0,56.0
2004-10-04,0.6394,0.6394,0.6394,,,0.6394,15.0,56.0
2004-10-05,0.6421,0.6421,0.6421,,,0.6421,15.0,56.0
2004-10-06,0.6429,0.6429,0.6429,,,0.6429,15.0,56.0
2004-10-07,0.6449,0.6449,0.6449,,,0.6449,15.0,56.0
2004-10-08,0.6549,0.6549,0.6549,,,0.6549,15.0,56.0
2004-10-12,0.6484,0.6484,0.6484,,,0.6484,15.0,56.0
2004-10-13,0.6447,0.6447,0.6447,,,0.6447,15.0,56.0
2004-10-14,0.6504,0.6504,0.6504,,,0.6504,15.0,56.0
2004-10-15,0.6569,0.6569,0.6569,,,0.6569,15.0,56.0
2004-10-18,0.6544,0.6544,0.6544,,,0.6544,15.0,56.0
2004-10-19,0.6554,0.6554,0.6554,,,0.6554,15.0,56.0
2004-10-20,0.6594,0.6594,0.6594,,,0.6594,15.0,56.0
2004-10-21,0.6626,0.6626,0.6626,,,0.6626,15.0,56.0
2004-10-22,0.6645,0.6645,0.6645,0.6645,,0.6645,0.0,56.0
2004-10-25,0.669,0.669,0.669,,,0.669,15.0,56.0
2004-10-26,0.6659,0.6659,0.6659,,,0.6659,15.0,56.0
