Date,Open,High,Low,Settle,Volume,Open Interest
2015-09-09,0.0,0.0,0.0,149.13,0.0,0.0
2015-09-10,0.0,0.0,0.0,149.34,0.0,0.0
2015-09-11,0.0,0.0,0.0,149.78,0.0,0.0
2015-09-14,0.0,0.0,0.0,149.78,0.0,0.0
2015-09-15,0.0,0.0,0.0,147.55,0.0,0.0
2015-09-16,0.0,0.0,0.0,147.13,0.0,0.0
2015-09-17,0.0,0.0,0.0,147.17,0.0,0.0
2015-09-18,0.0,0.0,0.0,148.75,0.0,0.0
2015-09-21,0.0,0.0,0.0,148.46,0.0,0.0
2015-09-22,0.0,0.0,0.0,149.57,0.0,0.0
2015-09-23,0.0,0.0,0.0,149.44,0.0,0.0
2015-09-24,0.0,0.0,0.0,149.54,0.0,0.0
2015-09-25,0.0,0.0,0.0,148.76,0.0,0.0
2015-09-28,0.0,0.0,0.0,149.16,0.0,0.0
2015-09-29,0.0,0.0,0.0,149.32,0.0,0.0
2015-09-30,0.0,0.0,0.0,149.54,0.0,0.0
2015-10-01,0.0,0.0,0.0,150.12,0.0,0.0
2015-10-02,0.0,0.0,0.0,150.65,0.0,0.0
2015-10-05,0.0,0.0,0.0,150.02,0.0,0.0
2015-10-06,0.0,0.0,0.0,149.66,0.0,0.0
2015-10-07,0.0,0.0,0.0,149.69,0.0,0.0
2015-10-08,0.0,0.0,0.0,149.9,0.0,0.0
2015-10-09,0.0,0.0,0.0,149.49,0.0,0.0
2015-10-12,0.0,0.0,0.0,149.98,0.0,0.0
2015-10-13,0.0,0.0,0.0,149.84,0.0,0.0
2015-10-14,0.0,0.0,0.0,150.5,0.0,0.0
2015-10-15,0.0,0.0,0.0,150.35,0.0,0.0
2015-10-16,0.0,0.0,0.0,150.5,0.0,0.0
2015-10-19,0.0,0.0,0.0,150.25,0.0,0.0
2015-10-20,0.0,0.0,0.0,149.46,0.0,0.0
2015-10-21,0.0,0.0,0.0,150.32,0.0,0.0
2015-10-22,0.0,0.0,0.0,151.3,0.0,0.0
2015-10-23,0.0,0.0,0.0,151.38,0.0,0.0
2015-10-26,0.0,0.0,0.0,151.47,0.0,0.0
2015-10-27,0.0,0.0,0.0,152.19,0.0,0.0
2015-10-28,0.0,0.0,0.0,152.28,0.0,0.0
2015-10-29,0.0,0.0,0.0,151.09,0.0,0.0
2015-10-30,0.0,0.0,0.0,151.17,0.0,0.0
2015-11-02,0.0,0.0,0.0,150.38,0.0,0.0
2015-11-03,0.0,0.0,0.0,150.38,0.0,0.0
2015-11-04,0.0,0.0,0.0,150.21,0.0,0.0
2015-11-05,0.0,0.0,0.0,150.21,0.0,0.0
2015-11-06,0.0,0.0,0.0,149.29,0.0,0.0
2015-11-11,0.0,0.0,0.0,150.53,0.0,0.0
2015-11-12,0.0,0.0,0.0,150.56,0.0,0.0
2015-11-13,0.0,0.0,0.0,151.17,0.0,0.0
2015-11-16,0.0,0.0,0.0,151.45,0.0,0.0
2015-11-17,0.0,0.0,0.0,151.49,0.0,0.0
2015-11-18,0.0,0.0,0.0,151.92,0.0,0.0
2015-11-19,0.0,0.0,0.0,152.11,0.0,0.0
2015-11-20,0.0,0.0,0.0,152.36,0.0,0.0
2015-11-23,0.0,0.0,0.0,151.65,0.0,0.0
2015-11-24,0.0,0.0,0.0,152.14,0.0,0.0
2015-11-25,0.0,0.0,0.0,152.67,0.0,0.0
2015-11-26,0.0,0.0,0.0,152.64,0.0,0.0
2015-11-27,0.0,0.0,0.0,153.08,0.0,0.0
2015-11-30,0.0,0.0,0.0,152.78,0.0,0.0
2015-12-01,0.0,0.0,0.0,152.83,0.0,0.0
2015-12-02,0.0,0.0,0.0,152.89,0.0,0.0
2015-12-03,0.0,0.0,0.0,150.39,0.0,0.0
2015-12-04,0.0,0.0,0.0,150.02,0.0,0.0
2015-12-07,0.0,0.0,0.0,151.24,2.0,0.0
2015-12-08,0.0,0.0,0.0,151.48,0.0,0.0
2015-12-09,0.0,0.0,0.0,151.05,0.0,0.0
2015-12-10,0.0,0.0,0.0,151.48,0.0,0.0
2015-12-11,0.0,0.0,0.0,151.78,0.0,0.0
2015-12-14,0.0,0.0,0.0,151.17,0.0,0.0
