Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2015-03-27,,,,,0.0,742.75,0.0,0.0
2015-03-30,,,,,12.1,730.65,0.0,0.0
2015-03-31,,,,,6.3,736.95,0.0,0.0
2015-04-01,,,,,13.45,750.4,0.0,0.0
2015-04-02,,,,,2.5,747.9,0.0,0.0
2015-04-06,,,,,22.55,770.45,0.0,0.0
2015-04-07,,,,,0.3,770.75,0.0,0.0
2015-04-08,,,,,13.3,757.45,0.0,0.0
2015-04-09,,,,,6.7,764.15,0.0,0.0
2015-04-10,,,,,13.65,777.8,0.0,0.0
2015-04-13,,,,,4.75,773.05,0.0,0.0
2015-04-14,,,,,8.9,764.15,0.0,0.0
2015-04-15,,,,,4.6,768.75,0.0,0.0
2015-04-16,,,,,12.65,781.4,0.0,0.0
2015-04-17,,,,,3.3,784.7,0.0,0.0
2015-04-20,,,,,10.55,774.15,0.0,0.0
2015-04-21,,,,,2.2,776.35,0.0,0.0
2015-04-22,,,,,18.65,757.7,0.0,0.0
2015-04-23,,,,,14.0,771.7,0.0,0.0
2015-04-24,,,,,0.35,772.05,0.0,0.0
2015-04-27,,,,,12.25,784.3,0.0,0.0
2015-04-28,,,,,1.3,783.0,0.0,0.0
2015-04-29,,,,,3.6,786.6,0.0,0.0
2015-04-30,,,,,8.25,778.35,0.0,0.0
2015-05-01,,,,,2.7,775.65,0.0,0.0
2015-05-04,,,,,8.9,784.55,0.0,0.0
2015-05-05,,,,,12.45,797.0,0.0,0.0
2015-05-06,,,,,2.3,794.7,0.0,0.0
2015-05-07,,,,,6.8,787.9,0.0,0.0
2015-05-08,,,,,16.6,804.5,0.0,0.0
2015-05-11,,,,,21.85,782.65,0.0,0.0
2015-05-12,,,,,4.7,787.35,0.0,0.0
2015-05-13,,,,,4.3,791.65,0.0,0.0
2015-05-14,,,,,9.9,781.75,0.0,0.0
2015-05-15,,,,,15.5,797.25,0.0,0.0
2015-05-18,,,,,1.95,795.3,0.0,0.0
2015-05-19,,,,,17.8,777.5,0.0,0.0
2015-05-20,,,,,1.75,779.25,0.0,0.0
2015-05-21,,,,,0.7,778.55,0.0,0.0
2015-05-22,,,,,7.85,786.4,0.0,0.0
2015-05-26,,,,,4.3,782.1,0.0,0.0
2015-05-27,,,,,4.4,786.5,0.0,0.0
2015-05-28,,,,,,786.5,0.0,0.0
2015-05-29,,,,,8.5,778.0,0.0,0.0
2015-06-01,,,,,4.35,773.65,0.0,0.0
2015-06-02,,,,,4.0,769.65,0.0,0.0
2015-06-03,,,,,10.5,759.15,0.0,0.0
2015-06-04,,,,,2.55,756.6,0.0,0.0
2015-06-05,,,,,4.4,752.2,0.0,0.0
2015-06-08,,,,,7.2,745.0,0.0,0.0
2015-06-09,,,,,3.8,741.2,0.0,0.0
2015-06-10,,,,,3.6,744.8,0.0,0.0
2015-06-11,,,,,0.65,744.15,0.0,0.0
2015-06-12,,,,,4.7,739.45,0.0,0.0
2015-06-15,,,,,3.95,735.5,0.0,0.0
2015-06-16,,,,,1.25,734.25,0.0,0.0
2015-06-17,,,,,12.45,721.8,0.0,0.0
2015-06-18,,,,,1.75,720.05,0.0,0.0
2015-06-19,,,,,11.25,708.8,0.0,0.0
2015-06-22,,,,,11.95,696.85,0.0,0.0
2015-06-23,,,,,0.55,697.4,0.0,0.0
2015-06-24,,,,,0.1,697.3,0.0,0.0
2015-06-25,,,,,16.3,681.0,0.0,0.0
2015-06-26,,,,,0.45,680.55,0.0,0.0
2015-06-29,,,,,12.25,668.3,0.0,0.0
2015-06-30,,,,,6.1,674.4,0.0,0.0
2015-07-01,,,,,28.6,703.0,0.0,0.0
2015-07-02,,,,,7.05,695.95,0.0,0.0
2015-07-06,,,,,18.0,677.95,0.0,0.0
2015-07-07,,,,,23.65,654.3,0.0,0.0
2015-07-08,,,,,1.3,655.6,0.0,0.0
2015-07-09,,,,,15.5,640.1,0.0,0.0
2015-07-10,,,,,12.25,652.35,0.0,0.0
2015-07-14,,,,,1.85,658.8,0.0,0.0
2015-07-15,,,,,14.15,644.65,0.0,0.0
2015-07-16,,,,,10.85,633.8,0.0,0.0
2015-07-17,,,,,12.95,620.85,0.0,0.0
2015-07-20,,,,,6.75,614.1,0.0,0.0
2015-07-21,,,,,17.15,631.25,0.0,0.0
2015-07-22,,,,,2.8,628.45,0.0,0.0
2015-07-23,,,,,8.95,619.5,0.0,0.0
2015-07-24,,,,,4.75,624.25,0.0,0.0
2015-07-27,,,,,9.8,614.45,0.0,0.0
2015-07-28,,,,,8.65,623.1,0.0,0.0
2015-07-29,,,,,6.0,617.1,0.0,0.0
2015-07-30,,,,,4.85,621.95,0.0,0.0
2015-07-31,,,,,9.85,612.1,0.0,0.0
2015-08-03,,,,,7.45,604.65,0.0,0.0
2015-08-04,,,,,4.6,600.05,0.0,0.0
2015-08-05,,,,,5.55,594.5,0.0,0.0
2015-08-06,,,,,6.7,601.2,0.0,0.0
2015-08-07,,,,,2.9,598.3,0.0,0.0
2015-08-10,,,,,9.1,607.4,0.0,0.0
2015-08-11,,,,,7.0,600.4,0.0,0.0
2015-08-12,,,,,23.85,624.25,0.0,0.0
2015-08-13,,,,,7.4,616.85,0.0,0.0
2015-08-14,,,,,1.7,618.55,0.0,0.0
2015-08-17,,,,,3.75,614.8,0.0,0.0
2015-08-18,,,,,16.95,597.85,0.0,0.0
2015-08-19,,,,,12.2,610.05,0.0,0.0
2015-08-20,,,,,13.9,623.95,0.0,0.0
2015-08-21,607.25,607.25,607.25,607.25,18.8,605.15,3.0,0.0
2015-08-24,593.75,593.75,593.75,593.75,29.65,575.5,6.0,3.0
2015-08-25,,,,,35.7,539.8,0.0,9.0
2015-08-26,,,,,10.25,529.55,0.0,9.0
2015-08-27,,,,,38.9,568.45,0.0,9.0
2015-08-28,,,,,22.15,590.6,0.0,9.0
