Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2016-07-27,,,,,0.0,1135.5,0.0,0.0
2016-07-28,,,,,10.7,1146.2,0.0,0.0
2016-07-29,,,,,11.9,1158.1,0.0,0.0
2016-08-01,,,,,12.7,1170.8,0.0,0.0
2016-08-02,,,,,8.9,1179.7,0.0,0.0
2016-08-03,,,,,2.7,1177.0,0.0,0.0
2016-08-04,,,,,4.5,1172.5,0.0,0.0
2016-08-05,,,,,13.3,1159.2,0.0,0.0
2016-08-08,,,,,3.9,1163.1,0.0,0.0
2016-08-09,,,,,4.5,1167.6,0.0,0.0
2016-08-10,,,,,23.4,1191.0,0.0,0.0
2016-08-11,,,,,26.3,1164.7,0.0,0.0
2016-08-12,,,,,27.2,1137.5,0.0,0.0
2016-08-15,,,,,13.0,1124.5,0.0,0.0
2016-08-16,,,,,7.9,1132.4,0.0,0.0
2016-08-17,,,,,9.8,1122.6,0.0,0.0
2016-08-18,,,,,18.7,1141.3,0.0,0.0
2016-08-19,,,,,14.4,1126.9,0.0,0.0
2016-08-22,,,,,10.1,1116.8,0.0,0.0
2016-08-23,,,,,3.2,1120.0,0.0,0.0
2016-08-24,,,,,28.9,1091.1,0.0,0.0
2016-08-25,,,,,4.9,1086.2,0.0,0.0
2016-08-26,,,1078.9,1078.9,0.7,1086.9,0.0,0.0
2016-08-29,,,,,3.3,1090.2,0.0,0.0
2016-08-30,,,,,24.3,1065.9,0.0,0.0
2016-08-31,,,,,3.1,1062.8,0.0,0.0
2016-09-01,,,,,4.4,1058.4,0.0,0.0
2016-09-02,,,,,13.4,1071.8,0.0,0.0
2016-09-06,,,,,40.7,1112.5,0.0,0.0
2016-09-07,,,,,9.7,1102.8,0.0,0.0
2016-09-08,,,,,7.6,1095.2,0.0,0.0
2016-09-09,,,,,16.9,1078.3,0.0,0.0
2016-09-12,,,,,24.6,1053.7,0.0,0.0
2016-09-13,,,,,6.5,1047.2,0.0,0.0
2016-09-14,,,,,5.5,1052.7,0.0,0.0
2016-09-15,,,,,7.2,1045.5,0.0,0.0
2016-09-16,,,,,15.9,1029.6,0.0,0.0
2016-09-19,,,,,6.1,1035.7,0.0,0.0
2016-09-20,,,,,7.2,1042.9,0.0,0.0
2016-09-21,,,,,17.1,1060.0,0.0,0.0
2016-09-22,,,,,15.0,1075.0,0.0,0.0
2016-09-23,,,,,5.5,1069.5,0.0,0.0
2016-09-26,,,,,13.7,1055.8,0.0,0.0
2016-09-27,1055.0,1055.0,1055.0,1055.0,17.4,1038.4,3.0,0.0
2016-09-28,,,,,2.2,1036.2,0.0,3.0
2016-09-29,,,,,10.1,1046.3,0.0,3.0
2016-09-30,,,,,2.7,1043.6,0.0,3.0
2016-10-03,,,,,24.8,1018.8,0.0,3.0
2016-10-04,,,,,18.9,999.9,0.0,3.0
2016-10-05,,,,,14.8,985.1,0.0,3.0
2016-10-06,,,,,9.2,975.9,0.0,3.0
2016-10-07,,,,,3.4,972.5,0.0,3.0
2016-10-10,,,,,2.9,975.4,0.0,3.0
2016-10-11,958.5,958.5,958.5,958.5,15.7,959.7,1.0,3.0
2016-10-12,,,,,7.8,951.9,0.0,4.0
2016-10-13,,,,,9.0,942.9,0.0,4.0
2016-10-14,,,,,6.6,949.5,0.0,4.0
2016-10-17,954.0,954.0,954.0,954.0,0.3,949.8,1.0,4.0
2016-10-18,,,,,10.5,960.3,0.0,4.0
2016-10-19,,,,,5.0,955.3,4.0,4.0
2016-10-20,,,,,8.4,946.9,0.0,5.0
2016-10-21,,,,,3.1,943.8,3.0,5.0
2016-10-24,,,,,6.4,950.2,0.0,8.0
2016-10-25,,,,,25.8,976.0,0.0,28.0
2016-10-26,,,,,0.9,975.1,0.0,73.0
2016-10-27,,,,,0.9,976.0,0.0,168.0
2016-10-28,,,,,16.2,992.2,0.0,168.0
2016-10-31,,,,,2.8,989.4,0.0,168.0
2016-11-01,,,,,19.2,1008.6,0.0,168.0
2016-11-02,,,,,3.9,1012.5,3.0,168.0
2016-11-03,,,,,7.2,1005.3,0.0,165.0
2016-11-04,,,,,10.1,1015.4,0.0,165.0
2016-11-07,,,,,3.2,1012.2,0.0,165.0
2016-11-08,,,,,7.3,1019.5,0.0,165.0
2016-11-09,,,,,5.0,1014.5,0.0,165.0
2016-11-10,,,,,20.6,993.9,0.0,165.0
2016-11-11,,,,,39.0,954.9,0.0,165.0
2016-11-14,,,,,9.9,945.0,0.0,165.0
2016-11-15,,,,,0.3,945.3,0.0,165.0
2016-11-16,,,,,12.0,957.3,0.0,165.0
2016-11-17,,,,,2.4,954.9,32.0,165.0
2016-11-18,938.0,944.9,930.0,930.0,22.3,932.6,7.0,180.0
2016-11-21,,,,,14.2,946.8,0.0,183.0
2016-11-22,963.9,963.9,950.3,950.3,6.8,953.6,4.0,183.0
2016-11-23,940.5,940.5,940.5,940.5,12.1,941.5,3.0,186.0
2016-11-25,932.2,932.2,930.0,930.0,22.2,919.3,2.0,189.0
2016-11-28,,,,,14.9,934.2,0.0,189.0
2016-11-29,,,,,1.0,933.2,0.0,189.0
2016-11-30,,,,,12.6,920.6,8.0,189.0
2016-12-01,928.0,930.6,913.9,930.6,1.4,922.0,21.0,191.0
2016-12-02,934.0,947.5,928.5,945.3,21.0,943.0,22.0,201.0
2016-12-05,950.2,952.0,943.0,943.0,6.0,949.0,22.0,209.0
2016-12-06,,,,,2.8,946.2,0.0,217.0
2016-12-07,,,,,7.5,953.7,0.0,217.0
2016-12-08,,,,,0.7,954.4,0.0,217.0
2016-12-09,943.9,943.9,942.0,942.0,28.9,925.5,5.0,217.0
2016-12-12,925.7,945.0,920.6,945.0,18.7,944.2,10.0,218.0
2016-12-13,,,,,2.8,947.0,0.0,219.0
2016-12-14,957.0,958.0,934.1,934.1,3.9,950.9,10.0,219.0
2016-12-15,943.2,943.2,900.0,906.5,47.6,903.3,49.0,219.0
2016-12-16,906.7,937.2,903.0,937.2,40.3,943.6,8.0,216.0
2016-12-19,927.7,932.3,927.7,932.3,16.6,927.0,6.0,216.0
2016-12-20,925.0,932.1,913.1,931.8,7.0,934.0,12.0,217.0
2016-12-21,922.5,922.5,922.2,922.2,10.1,923.9,4.0,217.0
2016-12-22,916.0,924.0,916.0,916.3,7.8,916.1,6.0,218.0
2016-12-23,912.6,912.6,901.0,901.5,13.5,902.6,20.0,218.0
2016-12-27,908.2,913.7,908.2,913.7,10.7,913.3,3.0,220.0
2016-12-28,916.4,916.4,905.1,908.9,4.2,909.1,12.0,220.0
2016-12-29,,,,,0.3,909.4,10.0,225.0
2016-12-30,915.4,915.4,914.1,914.1,2.5,911.9,10.0,235.0
2017-01-03,916.0,949.0,916.0,949.0,38.7,950.6,6.0,230.0
2017-01-04,937.5,954.4,937.5,954.4,3.0,953.6,3.0,230.0
2017-01-05,958.0,983.6,958.0,983.6,28.7,982.3,21.0,232.0
2017-01-06,972.2,972.2,972.2,972.2,5.4,976.9,1.0,229.0
2017-01-09,991.9,991.9,991.9,991.9,12.1,989.0,2.0,229.0
2017-01-10,,,,,,989.0,0.0,230.0
2017-01-11,,,,,6.2,982.8,0.0,230.0
2017-01-12,,,,,8.5,991.3,0.0,230.0
2017-01-13,,,,,1.6,992.9,0.0,230.0
2017-01-17,997.3,997.3,984.6,984.6,3.6,989.3,2.0,230.0
2017-01-18,988.0,988.0,979.3,979.3,10.9,978.4,8.0,231.0
2017-01-19,963.4,969.0,963.4,968.6,15.5,962.9,6.0,235.0
2017-01-20,990.0,990.9,990.0,990.9,19.7,982.6,6.0,236.0
2017-01-23,991.0,991.0,988.0,988.0,3.8,986.4,6.0,239.0
2017-01-24,991.5,1014.0,991.5,1014.0,28.1,1014.5,4.0,237.0
2017-01-25,1008.0,1008.0,1008.0,1008.0,26.0,988.5,1.0,240.0
2017-01-26,977.0,988.6,977.0,988.5,0.2,988.7,11.0,240.0
2017-01-27,979.0,988.7,979.0,988.6,1.6,990.3,17.0,242.0
2017-01-30,989.8,1000.5,989.8,997.5,10.2,1000.5,10.0,246.0
2017-01-31,998.8,1008.0,998.8,1008.0,3.0,1003.5,4.0,245.0
2017-02-01,1004.8,1007.8,1004.8,1007.8,3.0,1006.5,4.0,249.0
2017-02-02,1015.0,1015.0,1008.1,1008.2,0.1,1006.4,12.0,248.0
2017-02-03,1005.0,1013.0,998.3,1013.0,7.3,1013.7,6.0,253.0
2017-02-06,1016.4,1020.3,1016.4,1020.3,7.8,1021.5,7.0,253.0
2017-02-07,1021.4,1022.8,1017.7,1017.7,1.3,1020.2,79.0,257.0
2017-02-08,,,,,6.8,1027.0,87.0,311.0
2017-02-09,1027.0,1036.0,1027.0,1028.0,2.6,1029.6,75.0,369.0
2017-02-10,1011.7,1021.0,1008.8,1021.0,10.8,1018.8,68.0,404.0
2017-02-13,1007.0,1007.0,1007.0,1007.0,11.5,1007.3,15.0,433.0
2017-02-14,1008.3,1008.3,1006.5,1006.6,2.0,1009.3,5.0,440.0
2017-02-15,1003.0,1005.3,1002.2,1005.3,7.7,1017.0,15.0,443.0
2017-02-16,1019.2,1026.0,1019.2,1023.0,6.0,1023.0,631.0,444.0
2017-02-17,1022.0,1026.0,1013.5,1013.5,9.6,1013.4,12.0,1049.0
2017-02-21,1010.4,1010.4,999.6,1005.6,0.1,1013.5,15.0,1053.0
2017-02-22,1007.9,1012.0,1007.9,1012.0,3.6,1009.9,616.0,1058.0
2017-02-23,1021.6,1024.5,1017.9,1019.6,9.3,1019.2,14.0,1659.0
2017-02-24,1028.8,1037.4,1028.8,1036.0,16.9,1036.1,13.0,1661.0
2017-02-27,1038.0,1045.9,1038.0,1042.0,10.1,1046.2,32.0,1657.0
2017-02-28,1040.0,1044.1,1035.7,1035.7,8.1,1038.1,103.0,1662.0
2017-03-01,1030.3,1030.3,1022.4,1022.4,11.8,1026.3,48.0,1733.0
2017-03-02,1020.0,1020.0,991.7,996.0,29.2,997.1,275.0,1774.0
2017-03-03,996.8,1006.6,993.0,1006.6,4.2,1001.3,63.0,1989.0
2017-03-06,995.9,999.0,986.0,986.0,16.0,985.3,21.0,1995.0
2017-03-07,973.7,973.7,968.3,969.6,16.9,968.4,15.0,2005.0
2017-03-08,965.5,965.5,955.7,956.0,11.8,956.6,105.0,2004.0
2017-03-09,958.3,959.8,942.8,942.8,12.0,944.6,158.0,2044.0
2017-03-10,946.0,954.4,944.0,948.0,0.9,945.5,76.0,2163.0
2017-03-13,953.6,953.6,947.4,948.1,3.0,948.5,97.0,2176.0
2017-03-14,952.4,952.4,945.1,945.1,2.4,946.1,542.0,2270.0
2017-03-15,945.6,962.5,943.4,962.5,1.9,944.2,113.0,2349.0
2017-03-16,968.7,979.4,965.4,966.3,21.4,965.6,52.0,2393.0
2017-03-17,966.2,970.4,966.2,970.2,4.6,970.2,41.0,2409.0
2017-03-20,978.5,979.2,978.5,979.2,9.4,979.6,37.0,2424.0
2017-03-21,976.2,981.8,968.1,978.8,0.8,978.8,224.0,2458.0
2017-03-22,975.1,977.7,968.5,970.5,9.3,969.5,197.0,2670.0
2017-03-23,971.7,977.9,965.6,972.0,2.0,971.5,95.0,2737.0
2017-03-24,968.5,976.4,968.5,973.6,3.5,975.0,152.0,2794.0
2017-03-27,976.8,990.6,975.8,977.4,1.4,976.4,196.0,2819.0
2017-03-28,970.1,974.8,957.8,960.4,11.6,964.8,177.0,2926.0
2017-03-29,961.0,963.6,955.7,963.0,4.5,960.3,225.0,3036.0
2017-03-30,966.8,966.8,955.0,955.0,0.7,959.6,189.0,3134.0
2017-03-31,955.1,956.6,947.6,956.0,3.4,956.2,110.0,3221.0
2017-04-03,962.2,962.4,954.8,962.2,5.5,961.7,91.0,3245.0
2017-04-04,965.1,970.1,961.1,967.4,6.4,968.1,212.0,3266.0
2017-04-05,968.4,975.3,960.0,966.8,5.0,963.1,178.0,3358.0
2017-04-06,968.8,969.0,958.0,963.7,0.6,962.5,104.0,3397.0
2017-04-07,962.3,985.9,956.0,960.5,3.9,966.4,204.0,3464.0
2017-04-10,958.6,959.4,942.5,947.0,22.5,943.9,281.0,3567.0
2017-04-11,950.1,975.0,948.1,975.0,29.5,973.4,232.0,3674.0
2017-04-12,975.8,980.0,967.5,980.0,1.5,971.9,712.0,3672.0
2017-04-13,978.9,985.0,975.5,980.0,9.6,981.5,144.0,4256.0
2017-04-17,982.3,996.0,981.5,991.0,13.6,995.1,153.0,4289.0
2017-04-18,989.0,992.2,981.7,981.8,12.9,982.2,874.0,4292.0
2017-04-19,983.2,984.7,971.0,972.0,8.3,973.9,654.0,5125.0
2017-04-20,975.0,986.2,974.3,982.7,10.8,984.7,247.0,5482.0
2017-04-21,981.8,988.1,978.1,980.7,3.4,981.3,163.0,5615.0
2017-04-24,976.2,977.1,960.0,967.5,17.5,963.8,267.0,5692.0
2017-04-25,970.0,970.1,957.0,961.4,2.9,960.9,526.0,5796.0
2017-04-26,959.6,960.2,950.0,955.4,9.0,951.9,454.0,5838.0
2017-04-27,954.6,955.5,946.6,949.3,0.4,952.3,321.0,5952.0
2017-04-28,952.1,958.2,949.1,951.2,0.2,952.1,161.0,6087.0
