Date,Settle
2013-03-22,7652.0
2013-04-09,7603.0
2013-04-17,7585.0
2013-04-29,7849.0
2013-05-03,7935.0
2013-05-07,7977.0
2013-05-08,8092.0
2013-05-15,8273.0
2013-05-17,8234.0
2013-05-21,8273.0
2013-05-22,8304.0
2013-05-28,8220.0
2013-05-29,8072.0
2013-05-30,8024.0
2013-06-03,7871.0
2013-06-04,7804.0
2013-06-05,7733.0
2013-06-06,7720.0
2013-06-17,7720.0
2013-06-20,7639.0
2013-06-21,7416.0
2013-06-24,7250.0
2013-06-25,7395.0
2013-06-26,7551.0
2013-06-27,7658.0
2013-06-28,7639.0
2013-07-01,7727.0
2013-07-04,7805.0
2013-07-05,7780.0
2013-07-08,7852.0
2013-07-09,7930.0
2013-07-10,7922.0
2013-07-11,7990.0
2013-07-15,7992.0
2013-07-16,7925.0
2013-07-17,7937.0
2013-07-19,7924.0
2013-07-22,7925.0
2013-07-23,7912.0
2013-07-24,7912.0
2013-07-25,7870.0
2013-07-26,7800.0
2013-07-29,7805.0
2013-07-30,7813.0
2013-07-31,7832.0
2013-08-02,7955.0
2013-08-06,8006.0
2013-08-07,7975.0
2013-08-08,7968.0
2013-08-09,7960.0
2013-08-12,7986.0
2013-08-13,8034.0
2013-08-14,8070.0
2013-08-15,7974.0
2013-08-16,7949.0
2013-08-19,7931.0
2013-08-20,7941.0
2013-08-21,7885.0
2013-08-22,8000.0
2013-08-23,7996.0
2013-08-26,8020.0
2013-08-27,7850.0
2013-08-28,7781.0
2013-08-29,7750.0
2013-08-30,7744.0
2013-09-02,7876.0
2013-09-03,7870.0
2013-09-04,7886.0
2013-09-05,7938.0
2013-09-06,7945.0
2013-09-09,7948.0
2013-09-10,8040.0
2013-09-11,8064.0
2013-09-12,8027.0
2013-09-13,8033.0
2013-09-16,8028.0
2013-09-17,8023.0
2013-09-18,8130.0
2013-09-19,8112.0
2013-09-20,8083.0
2013-09-23,8069.0
2013-09-24,8052.0
2013-09-25,8040.0
2013-09-26,8060.0
2013-09-27,8058.0
2013-09-30,8020.0
2013-10-01,8060.0
2013-10-02,7954.0
2013-10-03,7930.0
2013-10-04,7948.0
2013-10-07,7879.0
2013-10-08,7822.0
2013-10-09,7742.0
2013-10-10,7843.0
2013-10-11,7941.0
2013-10-14,7923.0
2013-10-15,7991.0
2013-10-16,7983.0
2013-10-17,8016.0
2013-10-18,8073.0
2013-10-21,8123.0
2013-10-22,8209.0
2013-10-23,8207.0
2013-10-24,8234.0
2013-10-25,8233.0
2013-10-28,8281.0
2013-10-29,8231.0
2013-10-30,8235.0
2013-10-31,8250.0
2013-11-01,8210.0
2013-11-04,8191.0
2013-11-05,8145.0
2013-11-06,8232.0
2013-11-07,8221.0
2013-11-08,8229.0
2013-11-11,8271.0
2013-11-12,8263.0
2013-11-13,8233.0
2013-11-14,8309.0
2013-11-15,8329.0
2013-11-18,8346.0
2013-11-19,8303.0
2013-11-20,8283.0
2013-11-21,8274.0
2013-11-22,8259.0
2013-11-25,8307.0
2013-11-26,8257.0
2013-11-27,8260.0
2013-11-28,8254.0
2013-11-29,8277.0
2013-12-02,8263.0
2013-12-03,8099.0
2013-12-04,8036.0
2013-12-05,8024.0
2013-12-06,8078.0
2013-12-09,8068.0
2013-12-10,7978.0
2013-12-11,7984.0
2013-12-12,7846.0
2013-12-13,7835.0
2013-12-16,7859.0
2013-12-17,7848.0
2013-12-18,7892.625
