Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2006-11-29,744.0,744.0,744.0,,,744.0,0.0,0.0
2006-11-30,747.0,747.0,747.0,,,747.0,0.0,0.0
2006-12-01,741.5,741.5,741.5,,,741.5,0.0,0.0
2006-12-04,727.5,727.5,727.5,,,727.5,0.0,0.0
2006-12-05,730.0,730.0,730.0,,,730.0,0.0,0.0
2006-12-06,721.25,721.25,721.25,,,721.25,0.0,0.0
2006-12-07,729.0,729.0,729.0,,,729.0,0.0,0.0
2006-12-08,727.0,727.0,727.0,,,727.0,0.0,0.0
2006-12-11,733.0,733.0,733.0,,,733.0,0.0,0.0
2006-12-12,730.0,730.0,730.0,,,730.0,0.0,0.0
2006-12-13,731.5,731.5,731.5,,,731.5,0.0,0.0
2006-12-14,733.0,733.0,733.0,,,733.0,0.0,0.0
2006-12-15,728.0,728.0,728.0,,,728.0,0.0,0.0
2006-12-18,723.5,723.5,723.5,,,723.5,0.0,0.0
2006-12-19,725.0,725.0,725.0,,,725.0,0.0,0.0
2006-12-20,725.0,725.0,725.0,,,725.0,0.0,0.0
2006-12-21,728.0,728.0,728.0,,,728.0,0.0,0.0
2006-12-22,738.0,738.0,738.0,,,738.0,0.0,0.0
2006-12-26,746.0,746.0,746.0,,,746.0,0.0,0.0
2006-12-27,744.5,744.5,744.5,,,744.5,0.0,0.0
2006-12-28,751.0,751.0,751.0,,,751.0,0.0,0.0
2006-12-29,755.0,755.0,755.0,,,755.0,0.0,0.0
2007-01-02,755.0,755.0,755.0,,,755.0,0.0,0.0
2007-01-03,744.5,744.5,744.5,,,744.5,0.0,0.0
2007-01-04,741.0,741.0,741.0,,,741.0,0.0,0.0
2007-01-05,746.0,746.0,746.0,,,746.0,0.0,0.0
2007-01-08,746.0,746.0,746.0,,,746.0,0.0,0.0
2007-01-09,737.5,737.5,737.5,,,737.5,0.0,0.0
2007-01-10,735.0,735.0,735.0,,,735.0,0.0,0.0
2007-01-11,747.0,747.0,747.0,,,747.0,0.0,0.0
2007-01-12,778.0,778.0,778.0,,,778.0,0.0,0.0
2007-01-16,773.0,773.0,773.0,,,773.0,0.0,0.0
2007-01-17,782.0,782.0,782.0,,,782.0,0.0,0.0
2007-01-18,780.0,780.0,780.0,,,780.0,0.0,0.0
2007-01-19,779.5,779.5,779.5,,,779.5,0.0,0.0
2007-01-22,777.0,777.0,777.0,,,777.0,0.0,0.0
2007-01-23,784.0,784.0,784.0,,,784.0,0.0,0.0
2007-01-24,780.0,780.0,780.0,,,780.0,0.0,0.0
2007-01-25,776.5,776.5,776.5,,,776.5,0.0,0.0
2007-01-26,778.0,778.0,778.0,,,778.0,0.0,0.0
2007-01-29,779.0,779.0,779.0,,,779.0,0.0,0.0
2007-01-30,787.25,787.25,787.25,,,787.25,0.0,0.0
2007-01-31,785.0,785.0,785.0,,,785.0,0.0,0.0
2007-02-01,785.25,785.25,785.25,,,785.25,0.0,0.0
2007-02-02,801.0,801.0,801.0,,,801.0,0.0,0.0
2007-02-05,804.5,804.5,804.5,,,804.5,0.0,0.0
2007-02-06,804.5,804.5,804.5,,,804.5,0.0,0.0
2007-02-07,803.25,803.25,803.25,,,803.25,0.0,0.0
2007-02-08,806.75,806.75,806.75,,,806.75,0.0,0.0
2007-02-09,807.5,807.5,807.5,,,807.5,0.0,0.0
2007-02-12,806.0,806.0,806.0,,,806.0,0.0,0.0
2007-02-13,813.5,813.5,813.5,,,813.5,0.0,0.0
2007-02-14,812.0,812.0,812.0,,,812.0,0.0,0.0
2007-02-15,817.0,817.0,817.0,,,817.0,0.0,0.0
2007-02-16,824.0,824.0,824.0,,,824.0,0.0,0.0
2007-02-20,829.0,829.0,829.0,,,829.0,0.0,0.0
2007-02-21,837.0,837.0,837.0,,,837.0,0.0,0.0
2007-02-22,845.0,845.0,845.0,,,845.0,0.0,0.0
2007-02-23,835.0,835.0,835.0,,,835.0,0.0,0.0
2007-02-26,837.0,837.0,837.0,,,837.0,0.0,0.0
2007-02-27,827.0,827.0,827.0,,,827.0,0.0,0.0
2007-02-28,839.0,839.0,839.0,,,839.0,0.0,0.0
2007-03-01,812.0,812.0,812.0,,,812.0,0.0,0.0
2007-03-02,807.0,807.0,807.0,,,807.0,0.0,0.0
2007-03-05,803.0,803.0,803.0,,,803.0,0.0,0.0
2007-03-06,801.25,801.25,801.25,,,801.25,0.0,0.0
2007-03-07,805.5,805.5,805.5,,,805.5,0.0,0.0
2007-03-08,809.5,809.5,809.5,,,809.5,0.0,0.0
2007-03-09,809.0,809.0,809.0,,,809.0,0.0,0.0
2007-03-12,813.0,813.0,813.0,,,813.0,0.0,0.0
2007-03-13,804.0,804.0,804.0,,,804.0,0.0,0.0
2007-03-14,803.25,803.25,803.25,,,803.25,0.0,0.0
2007-03-15,804.5,804.5,804.5,,,804.5,0.0,0.0
2007-03-16,812.0,812.0,812.0,,,812.0,0.0,0.0
2007-03-19,825.5,825.5,825.5,,,825.5,0.0,0.0
2007-03-20,829.75,829.75,829.75,,,829.75,0.0,0.0
2007-03-21,834.0,834.0,834.0,,,834.0,0.0,0.0
2007-03-22,844.0,844.0,844.0,,,844.0,0.0,0.0
2007-03-23,840.0,840.0,840.0,,,840.0,0.0,0.0
2007-03-26,830.0,830.0,830.0,,,830.0,0.0,0.0
2007-03-27,827.0,827.0,827.0,,,827.0,0.0,0.0
2007-03-28,841.25,841.25,841.25,,,841.25,0.0,0.0
2007-03-29,844.75,844.75,844.75,,,844.75,0.0,0.0
2007-03-30,828.0,828.0,828.0,,,828.0,0.0,0.0
2007-04-02,842.75,842.75,842.75,,,842.75,0.0,0.0
2007-04-03,831.25,831.25,831.25,,,831.25,0.0,0.0
2007-04-04,828.5,828.5,828.5,,,828.5,0.0,0.0
2007-04-05,828.0,828.0,828.0,,,828.0,0.0,0.0
2007-04-09,819.5,819.5,819.5,,,819.5,0.0,0.0
2007-04-10,818.75,818.75,818.75,,,818.75,0.0,0.0
2007-04-11,822.5,822.5,822.5,,,822.5,0.0,0.0
2007-04-12,815.75,815.75,815.75,,,815.75,0.0,0.0
2007-04-13,814.75,814.75,814.75,,,814.75,0.0,0.0
2007-04-16,814.25,814.25,814.25,,,814.25,0.0,0.0
