Date,Open,High,Low,Settle,Volume,Open Interest
2014-08-21,18.9,19.0,18.9,19.05,290.0,0.0
2014-08-22,0.0,0.0,0.0,19.1,0.0,290.0
2014-08-25,18.9,18.9,18.9,18.95,5.0,290.0
2014-08-26,19.05,19.05,19.0,18.95,11.0,295.0
2014-08-27,19.15,19.15,19.15,19.2,297.0,306.0
2014-08-28,19.4,19.55,19.3,19.35,1516.0,603.0
2014-08-29,19.4,19.45,19.4,19.35,305.0,1415.0
2014-09-01,0.0,0.0,0.0,19.45,0.0,1717.0
2014-09-02,19.35,19.35,19.3,19.35,801.0,1717.0
2014-09-03,19.2,19.3,19.2,19.3,500.0,2313.0
2014-09-04,19.05,19.05,19.05,19.05,155.0,2613.0
2014-09-05,19.2,19.2,19.2,19.2,200.0,2766.0
2014-09-08,19.15,19.25,19.15,19.25,125.0,2766.0
2014-09-09,19.25,19.35,19.25,19.3,310.0,2763.0
2014-09-10,19.45,19.5,19.3,19.45,758.0,2773.0
2014-09-11,19.5,19.6,19.45,19.6,354.0,3177.0
2014-09-12,19.5,19.5,19.5,19.55,50.0,3331.0
2014-09-15,19.65,19.65,19.65,19.75,3.0,3381.0
2014-09-16,19.75,19.8,19.75,19.8,400.0,3378.0
2014-09-17,19.45,19.55,19.45,19.5,304.0,3633.0
2014-09-18,19.6,19.6,19.4,19.55,209.0,3680.0
2014-09-19,19.4,19.4,19.1,19.2,381.0,3757.0
2014-09-22,19.3,19.3,19.25,19.3,404.0,3694.0
2014-09-23,19.4,19.4,19.35,19.4,416.0,3964.0
2014-09-24,19.45,19.5,19.35,19.45,463.0,3980.0
2014-09-25,19.35,19.6,19.35,19.65,4.0,4270.0
2014-09-26,19.65,19.65,19.65,19.65,8.0,4269.0
2014-09-29,19.75,19.9,19.75,19.85,17.0,4269.0
2014-09-30,19.9,19.95,19.75,19.8,411.0,4268.0
2014-10-01,19.9,20.15,19.85,20.1,299.0,4556.0
2014-10-02,20.2,20.45,20.15,20.45,428.0,4579.0
2014-10-03,20.3,20.3,20.1,20.15,154.0,4690.0
2014-10-06,19.8,19.85,19.8,20.05,302.0,4755.0
2014-10-07,20.25,20.25,20.25,20.35,3.0,4699.0
2014-10-08,20.45,20.45,20.25,20.35,1458.0,4699.0
2014-10-09,19.95,20.1,19.9,20.15,294.0,5397.0
2014-10-10,20.3,20.55,20.3,20.55,409.0,5560.0
2014-10-13,21.1,21.1,20.65,20.9,2469.0,5605.0
2014-10-14,20.8,21.25,20.8,20.95,476.0,6869.0
2014-10-15,21.15,21.9,21.15,22.05,246.0,7082.0
2014-10-16,22.65,22.7,21.45,21.35,2184.0,7202.0
2014-10-17,20.85,21.05,20.6,20.7,686.0,9060.0
2014-10-20,20.85,21.1,20.8,21.1,860.0,9157.0
2014-10-21,20.8,20.85,20.55,20.6,445.0,9157.0
2014-10-22,20.3,20.4,20.15,20.3,727.0,9257.0
2014-10-23,20.3,20.4,20.15,20.3,727.0,9257.0
2014-10-24,20.4,20.5,20.2,20.35,440.0,9864.0
2014-10-27,20.2,20.7,20.2,20.55,603.0,9966.0
2014-10-28,20.35,20.35,19.95,19.95,901.0,10404.0
2014-10-29,19.7,20.0,19.7,20.0,210.0,10646.0
2014-10-30,19.8,20.2,19.8,19.8,1953.0,10656.0
2014-10-31,19.5,19.65,19.45,19.45,1664.0,11938.0
2014-11-03,19.5,19.6,19.5,19.6,2475.0,12834.0
2014-11-04,19.7,20.0,19.7,19.95,2623.0,14732.0
2014-11-05,19.65,19.65,19.55,19.65,433.0,16671.0
2014-11-06,19.7,19.75,19.25,19.5,4065.0,16555.0
2014-11-07,19.45,19.7,19.4,19.45,625.0,17972.0
2014-11-10,19.5,19.5,19.25,19.3,231.0,18383.0
2014-11-11,19.15,19.2,19.05,19.1,656.0,18273.0
2014-11-12,19.0,19.35,19.0,19.25,221.0,18051.0
2014-11-13,19.2,19.45,19.15,19.4,1294.0,18178.0
2014-11-14,19.45,19.65,19.45,19.45,688.0,18809.0
2014-11-17,19.7,19.7,19.4,19.45,151.0,19123.0
2014-11-19,19.3,19.6,19.25,19.55,873.0,19419.0
2014-11-20,19.75,19.9,19.75,19.8,36.0,19312.0
2014-11-21,19.75,19.75,19.45,19.5,518.0,19309.0
2014-11-24,19.4,19.55,19.3,19.5,264.0,19498.0
2014-11-25,19.55,19.7,19.45,19.7,498.0,19549.0
2014-11-26,19.6,19.7,19.55,19.65,133.0,19885.0
2014-11-27,19.6,19.6,19.55,19.6,1022.0,19935.0
2014-11-28,19.75,19.8,19.7,19.75,35.0,20942.0
2014-12-01,19.95,20.05,19.9,20.05,506.0,20929.0
2014-12-02,19.95,20.05,19.85,20.0,111.0,20366.0
2014-12-03,19.7,19.7,19.55,19.6,1318.0,20418.0
2014-12-04,19.55,19.95,19.4,19.95,511.0,20987.0
2014-12-05,19.55,19.6,19.45,19.5,136.0,21159.0
2014-12-08,19.7,19.8,19.65,19.75,250.0,21221.0
2014-12-09,20.15,20.65,20.1,20.6,1757.0,21305.0
2014-12-10,20.35,20.8,20.35,20.7,728.0,21255.0
2014-12-11,20.8,21.35,20.65,20.9,1102.0,21695.0
2014-12-12,21.4,22.35,21.4,22.3,7258.0,22369.0
2014-12-15,22.0,22.8,21.8,22.8,1164.0,26863.0
2014-12-16,22.45,23.15,21.95,22.0,1029.0,23219.0
2014-12-17,22.75,22.8,22.2,22.25,4942.0,23547.0
2014-12-18,21.35,21.55,21.1,21.35,4426.0,23215.0
2014-12-19,21.05,21.55,21.05,21.2,1923.0,21802.0
2014-12-22,21.0,21.3,21.0,21.05,612.0,21154.0
2014-12-23,21.1,21.25,20.95,21.2,1418.0,21709.0
2014-12-24,0.0,0.0,0.0,21.2,0.0,22079.0
2014-12-29,21.25,21.65,21.25,21.35,624.0,22079.0
2014-12-30,21.6,21.75,21.5,21.75,716.0,22134.0
2014-12-31,0.0,0.0,0.0,21.75,0.0,22447.0
2015-01-02,22.35,22.7,22.25,22.4,1484.0,22447.0
2015-01-05,22.45,23.25,22.4,23.2,1507.0,21721.0
2015-01-06,23.5,23.55,22.75,23.2,1544.0,21731.0
2015-01-07,23.0,23.15,22.5,22.75,1478.0,22252.0
2015-01-08,22.15,22.3,21.75,21.8,1123.0,23143.0
2015-01-09,21.85,22.45,21.75,22.35,294.0,23446.0
2015-01-12,22.25,23.05,22.1,22.65,1786.0,23280.0
2015-01-13,22.65,22.65,22.2,22.25,812.0,24405.0
2015-01-14,23.0,23.15,22.35,23.1,2482.0,24816.0
2015-01-15,22.15,23.5,22.15,23.1,1808.0,25054.0
2015-01-16,23.25,23.75,23.1,23.35,2464.0,25397.0
2015-01-19,23.15,23.3,22.75,23.1,2116.0,24573.0
2015-01-20,22.7,23.1,22.15,23.0,1373.0,25647.0
2015-01-21,22.9,23.35,22.75,22.75,1550.0,26336.0
2015-01-22,22.6,22.8,21.75,22.0,3235.0,26126.0
2015-01-23,21.7,22.05,21.45,21.85,4979.0,26014.0
2015-01-26,22.05,22.4,21.8,21.85,2784.0,25225.0
2015-01-27,21.7,22.55,21.65,22.3,4128.0,25718.0
2015-01-28,21.9,22.5,21.9,22.35,3734.0,25131.0
2015-01-29,22.9,23.5,22.75,23.0,2856.0,25307.0
2015-01-30,22.35,23.45,22.35,23.25,4304.0,24790.0
2015-02-02,23.55,23.85,23.3,23.45,1251.0,23117.0
2015-02-03,23.25,23.25,22.7,22.8,1191.0,22741.0
2015-02-04,22.75,23.15,22.65,22.65,3370.0,22556.0
2015-02-05,23.4,23.4,22.75,22.75,1573.0,22472.0
2015-02-06,22.75,22.95,22.35,22.6,1385.0,21700.0
2015-02-09,23.2,24.05,23.2,23.5,2611.0,21638.0
2015-02-10,23.8,23.95,23.1,23.5,1617.0,20937.0
2015-02-11,23.35,23.95,23.35,23.6,4297.0,21472.0
2015-02-12,23.5,23.55,22.9,23.15,2331.0,21779.0
2015-02-13,22.8,22.9,22.65,22.85,2153.0,22245.0
2015-02-16,23.05,23.25,22.75,22.8,1527.0,22814.0
2015-02-17,23.4,23.55,22.9,22.95,2677.0,21686.0
2015-02-18,22.9,23.0,22.55,22.7,2781.0,20572.0
2015-02-19,22.65,23.3,22.55,22.7,2749.0,20106.0
2015-02-20,22.85,23.5,22.65,22.85,3349.0,20710.0
2015-02-23,22.45,22.65,22.05,22.2,4325.0,20766.0
2015-02-24,22.1,22.1,21.15,21.2,6081.0,20872.0
2015-02-25,21.05,21.15,20.8,20.9,4391.0,19267.0
2015-02-26,20.9,20.9,20.4,20.45,3188.0,19071.0
2015-02-27,20.25,20.7,20.25,20.35,4873.0,19688.0
2015-03-02,20.1,20.35,19.9,20.1,9072.0,20864.0
2015-03-03,20.05,21.0,19.95,20.7,6122.0,22906.0
2015-03-04,20.65,21.15,20.5,20.65,7743.0,21900.0
2015-03-05,20.35,20.6,20.1,20.3,7014.0,25377.0
2015-03-06,20.05,20.85,20.0,20.5,3087.0,25911.0
2015-03-09,20.8,20.9,20.5,20.65,1733.0,26226.0
2015-03-10,20.55,21.75,20.55,21.5,5385.0,26310.0
2015-03-11,21.4,21.7,20.85,21.5,7299.0,27032.0
2015-03-12,21.35,21.65,20.75,21.2,5445.0,29749.0
