Date,Open,High,Low,Close,Settle,Change,Volume,EFP,Open Interest
2013-07-01,22.4,22.4,22.1,22.4,21.95,21.95,2,0,2
2013-07-02,22,22.3,22,22.3,22.3,0.35,26,0,21
2013-07-03,22.27,22.4,22.18,22.25,22.2,-0.1,25,0,33
2013-07-05,22,22.15,21.78,21.82,21.85,-0.35,39,0,68
2013-07-08,21.65,21.7,21.3,21.4,21.35,-0.5,11,0,73
2013-07-09,21.15,21.15,20.95,21.13,21.15,-0.2,177,0,194
2013-07-10,21.05,21.05,20.85,20.87,20.9,-0.25,8,0,192
2013-07-11,20.7,20.79,20.4,20.63,20.7,-0.2,72,0,222
2013-07-12,20.7,20.8,20.55,20.75,20.8,0.1,66,0,185
2013-07-15,20.65,20.65,20.35,20.48,20.5,-0.3,17,0,190
2013-07-16,20.4,20.85,20.38,20.82,20.85,0.35,93,0,170
2013-07-17,20.7,20.71,20.5,20.5,20.5,-0.35,67,0,188
2013-07-18,20.45,20.55,20.25,20.48,20.5,0,109,0,234
2013-07-19,20.5,20.55,20.4,20.4,20.4,-0.1,251,0,378
2013-07-22,20.65,20.65,20.15,20.24,20.25,-0.15,412,0,791
2013-07-23,20.2,20.3,20.04,20.06,20.1,-0.15,159,0,631
2013-07-24,20.05,20.25,20,20.03,20.05,-0.05,366,0,725
2013-07-25,20.1,20.25,19.85,19.85,19.9,-0.15,866,0,1112
2013-07-26,19.95,20.11,19.78,19.78,19.8,-0.1,187,0,1155
2013-07-29,19.9,19.97,19.8,19.8,19.8,0,224,0,1204
2013-07-30,19.7,19.83,19.57,19.6,19.65,-0.15,379,0,1339
2013-07-31,19.6,19.61,19.25,19.25,19.3,-0.35,377,0,1335
2013-08-01,19.1,19.16,18.98,19.05,19.05,-0.25,342,0,1473
2013-08-02,19.05,19.1,18.85,18.85,18.9,-0.15,288,0,1532
2013-08-05,18.9,18.9,18.6,18.63,18.65,-0.25,1085,0,2244
2013-08-06,18.7,19,18.62,18.95,18.95,0.3,678,0,2267
2013-08-07,19.02,19.12,18.9,18.9,18.95,0,327,0,2401
2013-08-08,18.75,18.9,18.64,18.8,18.8,-0.15,183,0,2483
2013-08-09,18.8,18.99,18.7,18.99,19,0.2,241,0,2551
2013-08-12,19.05,19.15,18.88,19,18.95,-0.05,367,0,2619
2013-08-13,18.87,19.17,18.85,19.17,19.15,0.2,1597,0,3339
2013-08-14,19.13,19.35,19.02,19.35,19.35,0.2,1032,0,3720
2013-08-15,19.51,19.8,19.38,19.75,19.75,0.4,914,0,3990
2013-08-16,19.65,19.72,19.25,19.63,19.65,-0.1,938,0,4066
2013-08-19,19.62,19.85,19.55,19.85,19.85,0.2,420,0,4090
2013-08-20,19.8,19.85,19.1,19.55,19.55,-0.3,782,0,4339
2013-08-21,19.6,19.85,19.05,19.57,19.6,0.05,2185,0,5044
2013-08-22,19.42,19.45,18.95,19.07,19.1,-0.5,1751,0,5584
2013-08-23,19,19.1,18.88,19.02,19.05,-0.05,1371,0,5982
2013-08-26,18.96,19.43,18.7,19.34,19.35,0.3,1804,0,6244
2013-08-27,19.4,20.15,19.4,20.15,20.15,0.8,3241,19,6504
2013-08-28,20.1,20.28,19.7,20.23,20.25,0.1,2574,0,6643
2013-08-29,20,20.35,19.86,20.33,20.35,0.1,1738,0,6350
2013-08-30,20.22,20.6,20.15,20.43,20.45,0.1,2848,0,6778
2013-09-03,20.2,20.2,19.69,19.97,20,-0.45,2764,20,7073
2013-09-04,19.95,20.07,19.79,19.87,19.9,-0.1,3602,0,7949
2013-09-05,19.8,20,19.76,19.88,19.9,0,1669,0,8399
2013-09-06,19.75,20.33,19.6,19.97,20,0.1,2809,0,8782
2013-09-09,19.91,19.92,19.45,19.47,19.5,-0.5,2351,83,9595
2013-09-10,19.3,19.3,19.1,19.19,19.2,-0.3,2248,87,10071
2013-09-11,19.2,19.2,18.81,18.92,18.95,-0.25,2676,0,10836
2013-09-12,18.82,19.15,18.7,18.98,19,0.05,2146,70,11027
