Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2008-02-04,886.0,886.0,886.0,,,886.0,0.0,0.0
2008-02-05,895.0,895.0,895.0,,,895.0,1.0,0.0
2008-02-06,905.0,905.0,905.0,,,905.0,0.0,0.0
2008-02-07,906.0,906.0,906.0,,,906.0,0.0,0.0
2008-02-08,916.0,916.0,916.0,,,916.0,0.0,0.0
2008-02-11,912.0,912.0,912.0,,,912.0,1.0,1.0
2008-02-12,877.0,877.0,877.0,,,877.0,0.0,1.0
2008-02-13,853.0,855.0,850.0,,,851.0,1.0,1.0
2008-02-14,869.0,869.0,869.0,,,869.0,1.0,1.0
2008-02-15,0.0,857.0,857.0,,,857.0,5.0,2.0
2008-02-19,0.0,873.0,873.0,,,873.0,0.0,2.0
2008-02-20,0.0,882.0,882.0,,,882.0,0.0,2.0
2008-02-21,0.0,902.0,902.0,,,902.0,0.0,2.0
2008-02-22,900.0,913.0,900.0,,,913.0,0.0,2.0
2008-02-25,0.0,973.0,973.0,,,973.0,1.0,4.0
2008-02-26,995.0,1027.0,995.0,,,1027.0,1.0,5.0
2008-02-27,0.0,1040.0,1040.0,,,1040.0,1.0,6.0
2008-02-28,0.0,982.0,982.0,,,982.0,6.0,6.0
2008-02-29,0.0,970.0,970.0,,,970.0,0.0,6.0
2008-03-03,0.0,982.0,970.0,,,982.0,0.0,6.0
2008-03-05,0.0,982.0,982.0,,,982.0,0.0,6.0
2008-03-06,0.0,982.0,982.0,,,982.0,0.0,6.0
2008-03-07,0.0,982.0,982.0,,,982.0,0.0,6.0
2008-03-10,0.0,982.0,982.0,,,982.0,0.0,6.0
2008-03-11,0.0,1036.0,982.0,,,1036.0,0.0,6.0
2008-03-12,0.0,1126.0,1036.0,,,1126.0,0.0,6.0
2008-03-13,1114.0,1114.0,1114.0,,,1114.0,0.0,6.0
2008-03-14,1085.0,1085.0,1085.0,,,1085.0,5.0,9.0
2008-03-17,1025.0,1025.0,1025.0,,,1025.0,0.0,9.0
2008-03-18,1047.0,1047.0,1047.0,,,1047.0,0.0,9.0
