Date,Open,High,Low,Settle,Volume,Interest
2015-01-19,0.0,0.0,0.0,428.3,0.0,485.0
2015-01-20,0.0,0.0,0.0,430.75,0.0,485.0
2015-01-21,432.5,432.5,431.65,433.85,7.0,485.0
2015-01-22,440.25,440.25,440.25,440.55,1.0,490.0
2015-01-23,447.8,448.15,447.8,447.2,2.0,490.0
2015-01-26,448.2,451.15,448.2,451.95,26.0,488.0
2015-01-27,447.6,447.6,447.6,447.1,1.0,488.0
2015-01-28,450.15,450.15,445.15,444.9,18.0,488.0
2015-01-29,441.25,443.95,441.25,445.35,3.0,476.0
2015-01-30,0.0,0.0,0.0,443.35,0.0,477.0
2015-02-02,0.0,0.0,0.0,443.5,0.0,477.0
2015-02-03,450.1,450.1,450.1,448.7,1.0,477.0
2015-02-04,444.9,444.9,444.9,447.4,1.0,477.0
2015-02-05,0.0,0.0,0.0,448.45,0.0,478.0
2015-02-06,448.0,448.65,446.55,447.9,24.0,479.0
2015-02-09,443.0,443.0,443.0,444.15,1.0,475.0
2015-02-10,448.75,448.75,448.75,446.8,1.0,476.0
2015-02-11,448.1,450.75,448.1,451.35,142.0,476.0
2015-02-12,455.9,456.1,453.9,454.2,5.0,485.0
2015-02-13,457.85,458.05,457.85,458.6,3.0,492.0
2015-02-16,458.05,458.05,456.95,456.45,83.0,492.0
2015-02-17,456.0,457.6,456.0,457.15,39.0,492.0
2015-02-18,460.35,460.35,460.35,461.0,2.0,502.0
2015-02-19,461.2,463.9,461.2,463.65,71.0,502.0
2015-02-20,462.8,462.8,461.45,463.6,4.0,487.0
2015-02-23,467.5,468.55,466.4,468.85,14.0,488.0
2015-02-24,0.0,0.0,0.0,473.8,0.0,492.0
2015-02-25,472.1,472.2,472.1,472.0,3.0,492.0
2015-02-26,471.95,473.05,471.75,476.0,6.0,493.0
2015-02-27,475.5,475.5,475.5,477.35,8.0,499.0
2015-03-02,478.75,478.75,478.75,479.15,1.0,507.0
2015-03-03,476.5,476.5,475.7,473.35,2.0,508.0
2015-03-04,474.05,477.95,474.05,477.05,127.0,510.0
2015-03-05,481.75,481.95,481.55,482.55,9.0,632.0
2015-03-06,483.4,484.85,483.3,483.3,76.0,642.0
2015-03-09,480.95,480.95,480.95,481.55,1.0,706.0
2015-03-10,479.9,479.9,476.5,476.7,13.0,676.0
2015-03-11,482.4,483.7,482.4,485.6,3.0,678.0
2015-03-12,487.3,487.95,486.45,485.15,12.0,677.0
2015-03-13,486.05,487.85,483.25,486.0,10.0,679.0
2015-03-16,491.45,492.1,490.65,491.7,45.0,676.0
2015-03-17,492.65,492.65,486.6,488.2,170.0,685.0
2015-03-18,487.95,492.2,487.9,490.15,68.0,628.0
2015-03-19,490.6,491.4,490.6,489.45,25.0,610.0
2015-03-20,491.1,493.8,489.5,492.85,68.0,593.0
2015-03-23,489.5,490.0,489.5,491.25,2.0,605.0
2015-03-24,493.7,493.7,493.7,493.05,1.0,606.0
2015-03-25,493.0,493.0,485.6,486.05,7.0,608.0
2015-03-26,482.3,482.3,475.6,480.65,10.0,614.0
2015-03-27,479.05,480.95,479.05,480.1,30.0,621.0
2015-03-30,484.25,487.85,484.25,488.95,4.0,624.0
2015-03-31,486.3,486.3,482.05,483.85,5.0,615.0
2015-04-01,480.95,488.4,480.25,484.3,11.0,616.0
2015-04-02,485.3,485.3,485.3,486.3,1.0,621.0
2015-04-07,491.0,493.75,491.0,497.0,7.0,619.0
2015-04-08,495.85,495.85,494.15,491.45,3.0,621.0
2015-04-09,494.2,494.75,494.2,496.0,8.0,623.0
2015-04-10,498.15,501.35,498.15,501.15,8.0,619.0
2015-04-13,501.8,501.8,501.8,502.95,1.0,622.0
2015-04-14,504.25,504.25,499.05,500.25,64.0,622.0
2015-04-15,500.3,504.5,500.3,501.55,335.0,646.0
2015-04-16,503.2,503.25,498.8,498.6,68.0,848.0
2015-04-17,497.7,498.85,488.1,489.65,1574.0,880.0
2015-04-20,493.85,495.8,493.85,495.36,32.0,989.0
2015-04-21,496.0,501.2,496.0,498.65,35.0,995.0
2015-04-22,500.7,503.05,498.25,500.6,23.0,1002.0
2015-04-23,501.35,502.15,495.25,498.53,49.0,1017.0
2015-04-24,499.6,502.5,499.55,500.35,50.0,1025.0
2015-04-27,497.8,506.55,497.8,505.66,63.0,1033.0
2015-04-28,504.1,504.1,496.6,498.15,72.0,1057.0
2015-04-29,498.5,499.9,487.45,485.65,84.0,1056.0
2015-04-30,484.65,487.0,480.65,484.7,113.0,1009.0
2015-05-04,483.0,489.25,482.0,487.95,26.0,1018.0
2015-05-05,487.7,492.0,479.05,479.4,110.0,1025.0
2015-05-06,481.15,481.15,472.2,475.0,270.0,1113.0
2015-05-07,473.75,476.45,466.7,475.85,205.0,1097.0
2015-05-08,477.05,488.8,477.05,487.9,486.0,1212.0
2015-05-11,487.9,491.4,487.25,490.7,13256.0,1367.0
2015-05-12,490.25,491.1,484.0,486.8,21467.0,11044.0
2015-05-13,487.85,491.2,483.2,485.1,24995.0,30185.0
2015-05-14,484.6,491.55,480.55,490.4,23230.0,48339.0
2015-05-15,490.5,495.15,488.65,490.6,33366.0,58030.0
2015-05-18,491.4,492.55,483.6,489.65,31217.0,62364.0
2015-05-19,492.0,499.4,491.0,498.7,31171.0,63345.0
2015-05-20,498.7,502.65,497.9,501.55,22406.0,61919.0
2015-05-21,501.25,502.25,499.0,501.55,17837.0,63527.0
2015-05-22,502.4,503.15,499.7,501.9,17330.0,63351.0
2015-05-25,502.65,503.25,498.2,501.15,4050.0,63467.0
2015-05-26,500.7,502.8,494.9,496.35,31884.0,61153.0
2015-05-27,496.75,504.9,496.3,503.55,36466.0,66406.0
2015-05-28,503.0,504.8,499.8,502.23,25015.0,67093.0
2015-05-29,502.3,503.3,492.85,493.5,41967.0,67738.0
2015-06-01,497.3,499.35,491.2,492.1,33618.0,70587.0
2015-06-02,493.7,494.15,485.45,486.76,43925.0,68947.0
2015-06-03,486.75,492.85,485.25,487.55,42414.0,67815.0
2015-06-04,485.8,489.6,478.35,485.3,52372.0,67165.0
2015-06-05,482.55,483.4,476.9,479.32,43548.0,68336.0
2015-06-08,479.9,480.6,472.0,475.08,33856.0,66160.0
2015-06-09,473.05,475.15,468.55,474.5,42475.0,64803.0
2015-06-10,473.6,483.15,471.65,481.5,35998.0,65733.0
2015-06-11,480.7,489.4,479.4,484.8,39711.0,62446.0
2015-06-12,484.0,484.0,473.85,477.75,45808.0,62576.0
2015-06-15,474.1,475.5,470.8,472.95,48718.0,62336.0
2015-06-16,472.55,477.0,466.75,475.3,63793.0,65248.0
2015-06-17,475.9,477.7,468.7,471.7,53924.0,68032.0
2015-06-18,469.2,479.15,464.4,473.05,52409.0,52058.0
