Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2014-12-09,129.36,129.36,129.36,129.36,0.0,0.0
2014-12-10,129.36,129.36,129.36,129.36,0.0,0.0
2014-12-11,129.39,129.39,129.39,129.39,0.0,0.0
2014-12-12,129.5,129.5,129.5,129.5,0.0,0.0
2014-12-15,129.5,129.5,129.5,129.5,0.0,0.0
2014-12-16,129.57,129.57,129.57,129.57,0.0,0.0
2014-12-17,129.64,129.64,129.64,129.64,0.0,0.0
2014-12-18,129.64,129.64,129.64,129.64,0.0,0.0
2014-12-19,129.7,129.7,129.7,129.7,0.0,0.0
2014-12-22,129.72,129.72,129.72,129.72,0.0,0.0
2014-12-23,129.7,129.7,129.7,129.7,0.0,0.0
2014-12-24,0.0,0.0,0.0,129.7,0.0,0.0
2014-12-29,129.97,129.97,129.97,129.97,0.0,0.0
2014-12-30,129.98,129.98,129.98,129.98,0.0,0.0
2014-12-31,0.0,0.0,0.0,129.98,0.0,0.0
2015-01-02,130.05,130.05,130.05,130.05,0.0,0.0
2015-01-05,129.95,129.95,129.95,129.95,0.0,0.0
2015-01-06,130.03,130.03,130.03,130.03,0.0,0.0
2015-01-07,130.04,130.04,130.04,130.04,0.0,0.0
2015-01-08,129.98,129.98,129.98,129.98,0.0,0.0
2015-01-09,130.07,130.07,130.07,130.07,0.0,0.0
2015-01-12,130.0,130.0,130.0,130.0,0.0,0.0
2015-01-13,130.01,130.01,130.01,130.01,0.0,0.0
2015-01-14,130.1,130.1,130.1,130.1,0.0,0.0
2015-01-15,130.25,130.25,130.25,130.25,0.0,0.0
2015-01-16,130.24,130.24,130.24,130.24,0.0,0.0
2015-01-19,130.29,130.29,130.29,130.29,0.0,0.0
2015-01-20,130.19,130.19,130.19,130.19,0.0,0.0
2015-01-21,129.94,129.94,129.94,129.94,0.0,0.0
2015-01-22,130.14,130.14,130.14,130.14,0.0,0.0
2015-01-23,130.37,130.37,130.37,130.37,0.0,0.0
2015-01-26,130.14,130.14,130.14,130.14,0.0,0.0
2015-01-27,130.21,130.21,130.21,130.21,0.0,0.0
2015-01-28,130.37,130.37,130.37,130.37,0.0,0.0
2015-01-29,130.4,130.4,130.4,130.4,0.0,0.0
2015-01-30,130.59,130.59,130.59,130.59,0.0,0.0
2015-02-02,130.61,130.61,130.61,130.61,0.0,0.0
2015-02-03,130.54,130.54,130.54,130.54,0.0,0.0
2015-02-04,130.51,130.51,130.51,130.51,0.0,0.0
2015-02-05,130.52,130.52,130.52,130.52,0.0,0.0
2015-02-06,130.55,130.55,130.55,130.55,0.0,0.0
2015-02-09,130.65,130.65,130.65,130.65,0.0,0.0
2015-02-10,130.6,130.6,130.6,130.6,0.0,0.0
2015-02-11,130.67,130.67,130.67,130.67,0.0,0.0
2015-02-12,130.76,130.76,130.76,130.76,0.0,0.0
2015-02-13,130.76,130.76,130.76,130.76,0.0,0.0
2015-02-16,130.75,130.75,130.75,130.75,0.0,0.0
2015-02-17,130.66,130.66,130.66,130.66,0.0,0.0
2015-02-18,130.74,130.74,130.74,130.74,0.0,0.0
2015-02-19,130.78,130.78,130.78,130.78,0.0,0.0
2015-02-20,130.82,130.82,130.82,130.82,0.0,0.0
2015-02-23,130.82,130.82,130.82,130.82,0.0,0.0
2015-02-24,130.82,130.82,130.82,130.82,0.0,0.0
2015-02-25,130.95,130.95,130.95,130.95,0.0,0.0
2015-02-26,130.97,130.97,130.97,130.97,0.0,0.0
2015-02-27,130.88,130.88,130.88,130.88,0.0,0.0
2015-03-02,130.71,130.71,130.71,130.71,0.0,0.0
2015-03-03,130.71,130.71,130.71,130.71,0.0,0.0
2015-03-04,130.65,130.65,130.65,130.65,0.0,0.0
2015-03-05,130.71,130.71,130.71,130.71,0.0,0.0
2015-03-06,130.11,130.11,130.11,130.11,0.0,0.0
