Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1996-08-15,285.0,288.0,285.0,,,288.0,5.0,5.0
1996-08-16,286.0,286.0,282.0,,,282.0,0.0,5.0
1996-08-19,278.0,282.0,278.0,,,282.0,15.0,15.0
1996-08-20,282.0,282.0,282.0,,,282.0,0.0,15.0
1996-08-21,282.0,282.0,282.0,,,282.0,0.0,15.0
1996-08-22,280.0,282.0,280.0,,,282.0,10.0,15.0
1996-08-23,282.0,282.0,282.0,,,282.0,0.0,15.0
1996-08-26,282.0,282.0,282.0,,,282.0,0.0,15.0
1996-08-27,282.0,282.0,282.0,,,282.0,0.0,15.0
1996-08-28,282.0,282.0,282.0,,,282.0,0.0,15.0
1996-08-29,283.0,283.0,283.0,,,283.0,0.0,15.0
1996-08-30,283.0,283.0,283.0,,,283.0,0.0,15.0
1996-09-03,286.0,290.0,286.0,,,288.0,20.0,35.0
1996-09-04,282.0,284.0,282.0,,,284.0,15.0,50.0
1996-09-05,288.0,288.0,286.0,,,288.0,20.0,50.0
1996-09-06,282.0,289.0,282.0,,,289.0,40.0,60.0
1996-09-09,289.0,289.0,289.0,,,289.0,0.0,60.0
1996-09-10,289.25,290.0,289.25,,,290.0,50.0,60.0
1996-09-11,290.0,290.0,290.0,,,290.0,50.0,100.0
1996-09-12,291.0,293.0,291.0,,,293.0,90.0,105.0
1996-09-13,288.0,288.0,288.0,,,288.0,0.0,105.0
1996-09-16,287.5,287.5,287.5,,,287.5,0.0,105.0
1996-09-17,289.0,289.0,289.0,,,289.0,30.0,105.0
1996-09-18,289.0,289.0,289.0,,,289.0,0.0,105.0
1996-09-19,289.0,289.0,289.0,,,289.0,0.0,105.0
1996-09-20,289.0,289.0,289.0,,,289.0,0.0,105.0
1996-09-23,288.5,288.5,288.0,,,288.0,40.0,125.0
1996-09-24,285.0,285.0,285.0,,,285.0,20.0,145.0
1996-09-25,284.0,284.0,284.0,,,284.0,15.0,155.0
1996-09-26,284.0,288.0,284.0,,,285.5,55.0,175.0
1996-09-27,285.0,285.0,285.0,,,285.0,25.0,200.0
1996-09-30,284.0,284.0,280.0,,,280.0,5.0,195.0
1996-10-01,278.0,279.0,278.0,,,279.0,110.0,305.0
1996-10-02,280.0,281.0,278.5,,,278.5,110.0,415.0
1996-10-03,277.5,279.75,277.5,,,279.75,15.0,435.0
1996-10-04,280.0,280.0,280.0,,,280.0,80.0,515.0
1996-10-07,277.5,277.5,277.5,,,277.5,0.0,515.0
1996-10-08,279.0,281.0,279.0,,,281.0,5.0,520.0
1996-10-09,279.0,280.5,279.0,,,280.5,15.0,525.0
1996-10-10,275.5,275.5,275.5,,,275.5,0.0,525.0
1996-10-11,272.0,272.0,271.0,,,271.0,95.0,600.0
1996-10-14,270.0,272.0,270.0,,,272.0,125.0,720.0
1996-10-15,272.0,274.0,272.0,,,273.5,525.0,1195.0
1996-10-16,272.0,272.5,272.0,,,272.5,10.0,1195.0
1996-10-17,272.5,272.5,272.5,,,272.5,0.0,1195.0
1996-10-18,272.5,273.0,270.0,,,270.0,345.0,1290.0
1996-10-21,269.5,273.0,268.0,,,270.0,245.0,1425.0
1996-10-22,269.0,270.0,269.0,,,270.0,10.0,1425.0
1996-10-23,271.0,273.0,271.0,,,273.0,25.0,1435.0
1996-10-24,271.0,271.0,270.0,,,270.0,125.0,1455.0
1996-10-25,270.0,270.0,269.0,,,269.0,5.0,1460.0
1996-10-28,272.0,273.0,271.0,,,273.0,150.0,1500.0
1996-10-29,270.0,273.0,270.0,,,273.0,5.0,1500.0
1996-10-30,272.0,274.0,272.0,,,274.0,55.0,1545.0
1996-10-31,272.0,274.0,272.0,,,273.0,0.0,1545.0
1996-11-01,270.0,270.0,269.0,,,270.0,100.0,1645.0
1996-11-04,269.0,269.0,269.0,,,269.0,5.0,1630.0
1996-11-05,265.0,266.0,264.0,,,265.0,110.0,1705.0
1996-11-06,265.0,266.0,265.0,,,265.0,200.0,1865.0
1996-11-07,266.0,267.0,265.5,,,266.5,155.0,2005.0
1996-11-08,266.0,267.0,265.5,,,266.5,195.0,2010.0
1996-11-11,268.0,268.0,267.0,,,267.0,110.0,2000.0
1996-11-12,265.0,267.0,264.5,,,267.0,1410.0,2390.0
1996-11-13,267.0,270.0,267.0,,,269.5,25.0,2415.0
1996-11-14,269.5,271.0,269.5,,,271.0,40.0,2415.0
1996-11-15,271.0,272.0,270.0,,,270.0,185.0,2515.0
1996-11-18,269.5,271.0,269.0,,,270.5,70.0,2570.0
1996-11-19,269.5,270.0,269.0,,,270.0,115.0,2645.0
1996-11-20,269.0,271.75,268.0,,,271.75,400.0,2670.0
1996-11-21,273.0,273.0,273.0,,,273.0,60.0,2725.0
1996-11-22,271.0,272.0,270.0,,,272.0,105.0,2810.0
1996-11-25,273.5,274.0,273.5,,,273.5,70.0,2870.0
1996-11-26,270.0,271.0,267.75,,,271.0,260.0,3095.0
1996-11-27,269.0,269.0,267.0,,,269.0,180.0,3240.0
1996-11-29,268.0,268.0,266.5,,,267.5,30.0,3255.0
1996-12-02,266.0,266.0,263.5,,,263.5,675.0,3775.0
1996-12-03,263.5,264.0,262.0,,,264.0,310.0,3955.0
1996-12-04,262.75,263.0,262.0,,,262.5,100.0,3870.0
1996-12-05,260.25,264.0,259.5,,,263.75,135.0,4000.0
1996-12-06,263.5,263.5,263.5,,,263.5,0.0,4000.0
1996-12-09,260.0,260.0,260.0,,,260.0,0.0,4000.0
1996-12-10,257.25,258.0,257.25,,,257.5,5.0,4005.0
1996-12-11,258.0,259.5,258.0,,,259.5,45.0,4025.0
1996-12-12,258.5,261.0,258.5,,,261.0,65.0,4090.0
1996-12-13,260.0,260.0,259.0,,,259.25,60.0,4105.0
1996-12-16,259.0,259.0,259.0,,,259.0,10.0,4115.0
1996-12-17,260.25,261.0,260.0,,,261.0,55.0,4125.0
1996-12-18,263.0,263.0,261.0,,,261.0,0.0,4125.0
