Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1993-12-27,92.51,92.51,92.51,,,92.51,1.0,1.0
1993-12-28,92.53,92.53,92.53,,,92.53,9.0,20.0
1993-12-29,92.53,92.54,92.5,,,92.51,31.0,51.0
1993-12-30,92.46,92.46,92.42,,,92.42,14.0,65.0
1993-12-31,92.39,92.39,92.39,,,92.39,0.0,65.0
1994-01-03,92.29,92.29,92.29,,,92.29,0.0,65.0
1994-01-04,92.32,92.32,92.32,,,92.32,0.0,109.0
1994-01-05,92.3,92.3,92.3,,,92.3,0.0,65.0
1994-01-06,92.35,92.37,92.35,,,92.37,40.0,105.0
1994-01-07,92.55,92.55,92.55,,,92.55,0.0,94.0
1994-01-10,92.57,92.57,92.57,,,92.57,0.0,94.0
1994-01-11,92.56,92.61,92.55,,,92.61,65.0,159.0
1994-01-12,92.66,92.68,92.65,,,92.66,61.0,220.0
1994-01-13,92.59,92.6,92.57,,,92.6,40.0,260.0
1994-01-14,92.56,92.56,92.54,,,92.54,60.0,320.0
1994-01-17,92.56,92.56,92.56,,,92.56,0.0,320.0
1994-01-18,92.61,92.61,92.61,,,92.61,0.0,320.0
1994-01-19,92.62,92.62,92.62,,,92.62,0.0,320.0
1994-01-20,92.66,92.66,92.66,,,92.66,1.0,321.0
1994-01-21,92.66,92.66,92.65,,,92.65,44.0,365.0
1994-01-24,92.64,92.66,92.64,,,92.64,29.0,394.0
1994-01-25,92.6,92.61,92.59,,,92.59,25.0,419.0
1994-01-26,92.57,92.58,92.56,,,92.58,63.0,472.0
1994-01-27,92.59,92.59,92.59,,,92.59,1.0,472.0
1994-01-28,92.64,92.65,92.63,,,92.64,35.0,507.0
1994-01-31,92.66,92.66,92.66,,,92.66,30.0,537.0
1994-02-01,92.66,92.66,92.66,,,92.66,0.0,537.0
1994-02-02,92.64,92.64,92.64,,,92.64,0.0,537.0
1994-02-03,92.6,92.6,92.6,,,92.6,0.0,537.0
1994-02-04,92.49,92.49,92.49,,,92.49,0.0,537.0
1994-02-07,92.46,92.46,92.46,,,92.46,0.0,537.0
1994-02-08,92.41,92.41,92.41,,,92.41,0.0,537.0
1994-02-09,92.42,92.46,92.42,,,92.46,25.0,537.0
1994-02-10,92.49,92.49,92.49,,,92.49,1.0,538.0
1994-02-11,92.51,92.55,92.47,,,92.54,28.0,510.0
1994-02-14,92.54,92.54,92.54,,,92.54,0.0,510.0
1994-02-15,92.55,92.55,92.55,,,92.55,0.0,510.0
1994-02-16,92.55,92.57,92.55,,,92.55,19.0,538.0
1994-02-17,92.47,92.47,92.47,,,92.47,14.0,524.0
1994-02-18,92.34,92.34,92.34,,,92.34,0.0,510.0
1994-02-22,92.38,92.38,92.38,,,92.38,0.0,510.0
1994-02-23,92.3,92.3,92.3,,,92.3,0.0,510.0
1994-02-24,92.24,92.24,92.24,,,92.24,0.0,510.0
1994-02-25,92.25,92.25,92.25,,,92.25,0.0,510.0
1994-02-28,92.26,92.26,92.26,,,92.26,0.0,510.0
1994-03-01,92.15,92.15,92.15,,,92.15,0.0,510.0
1994-03-02,92.12,92.12,92.12,,,92.12,0.0,510.0
1994-03-03,92.05,92.05,92.05,,,92.05,0.0,510.0
1994-03-04,92.02,92.02,92.02,,,92.02,0.0,510.0
1994-03-07,92.07,92.07,92.07,,,92.07,0.0,510.0
1994-03-08,92.05,92.05,92.05,,,92.05,0.0,510.0
1994-03-09,92.07,92.07,92.07,,,92.07,0.0,510.0
1994-03-10,91.97,91.97,91.97,,,91.97,0.0,511.0
1994-03-11,91.96,91.96,91.96,,,91.96,0.0,511.0
1994-03-14,91.9,91.9,91.9,,,91.9,0.0,511.0
1994-03-15,91.9,91.92,91.9,,,91.91,40.0,471.0
1994-03-16,91.98,91.98,91.98,,,91.98,0.0,471.0
1994-03-17,92.0,92.06,92.0,,,92.02,95.0,431.0
1994-03-18,91.95,91.95,91.95,,,91.95,0.0,431.0
1994-03-21,91.88,91.88,91.88,,,91.88,0.0,431.0
1994-03-22,91.9,92.01,91.9,,,92.0,61.0,466.0
1994-03-23,92.0,92.06,92.0,,,92.03,5.0,466.0
1994-03-24,91.87,91.87,91.87,,,91.87,0.0,466.0
1994-03-25,91.84,91.84,91.84,,,91.84,0.0,466.0
1994-03-28,91.81,91.81,91.81,,,91.81,0.0,466.0
1994-03-29,91.76,91.76,91.76,,,91.76,0.0,466.0
1994-03-30,91.69,91.69,91.69,,,91.69,0.0,466.0
1994-03-31,91.62,91.62,91.62,,,91.62,0.0,466.0
1994-04-01,91.35,91.35,91.35,,,91.35,0.0,466.0
1994-04-04,91.33,91.35,91.16,,,91.16,45.0,421.0
1994-04-05,91.42,91.42,91.42,,,91.42,0.0,421.0
1994-04-06,91.44,91.52,91.44,,,91.51,50.0,440.0
1994-04-07,91.55,91.61,91.55,,,91.61,30.0,410.0
1994-04-08,91.52,91.54,91.52,,,91.54,45.0,455.0
1994-04-11,91.53,91.53,91.53,,,91.53,0.0,455.0
1994-04-12,91.6,91.6,91.6,,,91.6,0.0,455.0
1994-04-13,91.57,91.66,91.56,,,91.56,25.0,455.0
1994-04-14,91.55,91.55,91.55,,,91.55,0.0,455.0
1994-04-15,91.57,91.57,91.57,,,91.57,0.0,455.0
1994-04-18,91.39,91.39,91.39,,,91.39,0.0,455.0
1994-04-19,91.46,91.46,91.46,,,91.46,0.0,455.0
1994-04-20,91.55,91.55,91.55,,,91.55,0.0,455.0
1994-04-21,91.71,91.75,91.71,,,91.75,25.0,455.0
1994-04-22,91.72,91.72,91.72,,,91.72,0.0,455.0
1994-04-25,91.69,91.78,91.69,,,91.77,2.0,457.0
1994-04-26,91.81,91.83,91.81,,,91.83,12.0,469.0
1994-04-28,91.65,91.65,91.65,,,91.65,1.0,470.0
1994-04-29,91.69,91.69,91.69,,,91.69,0.0,470.0
1994-05-02,91.68,91.68,91.65,,,91.68,65.0,535.0
1994-05-03,91.66,91.66,91.62,,,91.63,38.0,573.0
1994-05-04,91.58,91.66,91.58,,,91.65,10.0,583.0
1994-05-05,91.63,91.69,91.62,,,91.69,40.0,623.0
1994-05-06,91.49,91.49,91.49,,,91.49,0.0,623.0
1994-05-09,91.34,91.41,91.34,,,91.37,33.0,656.0
1994-05-10,91.48,91.6,91.48,,,91.6,10.0,666.0
1994-05-11,91.6,91.65,91.46,,,91.51,35.0,656.0
1994-05-12,91.47,91.61,91.47,,,91.56,22.0,678.0
1994-05-13,91.56,91.65,91.56,,,91.65,29.0,692.0
1994-05-16,91.66,91.66,91.66,,,91.66,0.0,692.0
1994-05-17,91.79,91.79,91.79,,,91.79,0.0,697.0
1994-05-18,91.81,91.83,91.79,,,91.83,5.0,697.0
1994-05-19,91.85,91.91,91.8,,,91.91,23.0,720.0
1994-05-20,91.85,91.85,91.81,,,91.82,12.0,708.0
1994-05-23,91.66,91.66,91.63,,,91.63,5.0,713.0
1994-05-24,91.62,91.63,91.62,,,91.63,15.0,728.0
1994-05-25,91.65,91.65,91.65,,,91.65,0.0,728.0
1994-05-26,91.65,91.7,91.65,,,91.7,2.0,721.0
1994-05-27,91.61,91.64,91.59,,,91.64,0.0,721.0
1994-05-31,91.6,91.6,91.6,,,91.6,0.0,721.0
1994-06-01,91.59,91.64,91.53,,,91.64,0.0,721.0
1994-06-02,91.67,91.74,91.67,,,91.74,0.0,746.0
1994-06-03,91.64,91.84,91.64,,,91.83,67.0,766.0
1994-06-06,91.89,91.89,91.89,,,91.89,12.0,778.0
1994-06-07,91.86,91.86,91.83,,,91.85,20.0,798.0
1994-06-08,91.89,91.9,91.88,,,91.89,60.0,858.0
1994-06-09,91.83,91.84,91.81,,,91.84,55.0,897.0
1994-06-10,91.77,91.77,91.77,,,91.77,10.0,903.0
1994-06-13,91.71,91.71,91.71,,,91.71,0.0,0.0
1994-06-14,91.79,91.79,91.79,,,91.79,0.0,903.0
1994-06-15,91.66,91.66,91.66,,,91.66,0.0,903.0
1994-06-16,91.57,91.6,91.56,,,91.6,39.0,887.0
1994-06-17,91.52,91.52,91.52,,,91.52,0.0,887.0
1994-06-20,91.46,91.5,91.46,,,91.5,40.0,877.0
1994-06-21,91.48,91.48,91.48,,,91.48,10.0,877.0
1994-06-22,91.51,91.58,91.51,,,91.58,25.0,902.0
1994-06-23,91.58,91.62,91.58,,,91.61,25.0,927.0
1994-06-24,91.49,91.49,91.49,,,91.49,0.0,927.0
1994-06-27,91.45,91.56,91.43,,,91.56,100.0,1027.0
1994-06-28,91.49,91.49,91.44,,,91.48,57.0,1077.0
1994-06-29,91.48,91.49,91.46,,,91.49,63.0,1064.0
1994-06-30,91.4,91.4,91.4,,,91.4,0.0,1064.0
1994-07-01,91.39,91.39,91.39,,,91.39,0.0,1064.0
1994-07-05,91.39,91.39,91.39,,,91.39,0.0,1064.0
1994-07-06,91.35,91.39,91.35,,,91.39,0.0,1064.0
1994-07-07,91.42,91.42,91.42,,,91.42,25.0,1089.0
1994-07-08,91.34,91.34,91.34,,,91.34,0.0,1089.0
1994-07-11,91.3,91.3,91.3,,,91.3,0.0,1089.0
1994-07-12,91.32,91.32,91.32,,,91.32,0.0,1089.0
1994-07-13,91.33,91.33,91.33,,,91.33,0.0,1089.0
1994-07-14,91.5,91.5,91.5,,,91.5,0.0,1089.0
1994-07-15,91.47,91.5,91.47,,,91.5,5.0,1089.0
1994-07-18,91.51,91.55,91.49,,,91.55,0.0,1089.0
1994-07-19,91.61,91.61,91.61,,,91.61,10.0,1099.0
1994-07-20,91.49,91.49,91.49,,,91.49,0.0,1099.0
1994-07-21,91.49,91.49,91.49,,,91.49,0.0,1099.0
1994-07-22,91.46,91.49,91.46,,,91.49,16.0,1098.0
1994-07-25,91.49,91.52,91.48,,,91.52,5.0,1103.0
1994-07-26,91.49,91.53,91.49,,,91.53,35.0,1138.0
1994-07-27,91.47,91.47,91.47,,,91.47,0.0,1138.0
1994-07-28,91.45,91.53,91.43,,,91.53,10.0,1138.0
1994-07-29,91.7,91.7,91.7,,,91.7,0.0,1138.0
1994-08-01,91.67,91.67,91.67,,,91.67,0.0,1138.0
1994-08-02,91.72,91.72,91.69,,,91.71,26.0,1162.0
1994-08-03,91.68,91.69,91.68,,,91.69,1.0,1163.0
1994-08-04,91.64,91.66,91.64,,,91.66,5.0,1158.0
1994-08-05,91.54,91.54,91.52,,,91.54,0.0,1158.0
1994-08-08,91.55,91.55,91.55,,,91.55,0.0,1158.0
1994-08-09,91.49,91.49,91.49,,,91.49,0.0,1158.0
1994-08-10,91.47,91.47,91.45,,,91.47,9.0,1159.0
1994-08-11,91.41,91.41,91.4,,,91.41,10.0,1164.0
1994-08-12,91.42,91.49,91.41,,,91.49,37.0,1164.0
1994-08-15,91.49,91.49,91.49,,,91.49,0.0,1164.0
1994-08-16,91.64,91.64,91.59,,,91.62,0.0,1164.0
1994-08-17,91.66,91.67,91.65,,,91.66,50.0,1164.0
1994-08-18,91.55,91.57,91.55,,,91.57,7.0,1192.0
1994-08-19,91.57,91.57,91.57,,,91.57,28.0,1172.0
1994-08-22,91.52,91.52,91.49,,,91.49,58.0,1230.0
1994-08-23,91.52,91.52,91.52,,,91.52,0.0,1230.0
1994-08-24,91.59,91.59,91.59,,,91.59,0.0,1230.0
1994-08-25,91.6,91.6,91.57,,,91.57,2.0,1230.0
1994-08-26,91.63,91.63,91.63,,,91.63,0.0,1230.0
1994-08-29,91.64,91.64,91.64,,,91.64,0.0,1230.0
