Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2005-04-01,94.175,94.175,94.175,,,94.175,0.0,18.0
2005-04-04,94.155,94.155,94.155,,,94.155,10883.0,15.0
2005-04-05,94.115,94.115,94.115,,,94.115,10883.0,20.0
2005-04-06,94.135,94.135,94.115,,,94.135,10883.0,20.0
2005-04-07,94.075,94.075,94.075,,,94.075,10883.0,20.0
2005-04-08,94.09,94.09,94.075,,,94.09,10883.0,20.0
2005-04-11,94.18,94.18,94.18,,,94.18,10883.0,15.0
2005-04-12,94.3,94.3,94.3,,,94.3,10883.0,40.0
2005-04-13,94.265,94.265,94.265,,,94.265,10883.0,42.0
2005-04-14,94.235,94.235,94.235,,,94.235,10883.0,44.0
2005-04-15,94.3,94.3,94.3,,,94.3,10883.0,44.0
2005-04-18,94.335,94.335,94.335,,,94.335,10883.0,44.0
2005-04-19,94.395,94.395,94.395,,,94.395,10883.0,44.0
2005-04-20,94.36,94.36,94.36,,,94.36,10883.0,49.0
2005-04-21,94.29,94.29,94.29,,,94.29,10883.0,54.0
2005-04-22,94.35,94.35,94.35,,,94.35,10883.0,68.0
2005-04-25,94.395,94.395,94.395,,,94.395,10883.0,43.0
2005-04-26,94.385,94.385,94.385,,,94.385,10883.0,30.0
2005-04-27,94.415,94.415,94.415,,,94.415,10883.0,30.0
2005-04-28,94.46,94.46,94.46,,,94.46,10900.0,100.0
2005-04-29,94.42,94.42,94.42,,,94.42,10900.0,100.0
2005-05-02,94.435,94.435,94.435,,,94.435,10900.0,100.0
2005-05-03,94.44,94.44,94.44,,,94.44,10900.0,100.0
2005-05-04,94.42,94.42,94.42,,,94.42,10900.0,100.0
2005-05-05,94.41,94.41,94.41,,,94.41,10900.0,100.0
2005-05-06,94.355,94.355,94.355,,,94.355,10900.0,100.0
2005-05-09,94.37,94.37,94.37,,,94.37,10900.0,100.0
2005-05-10,94.42,94.42,94.42,,,94.42,0.0,100.0
2005-05-11,94.42,94.42,94.42,,,94.42,10883.0,139.0
2005-05-12,94.455,94.455,94.455,,,94.455,10900.0,100.0
2005-05-13,94.48,94.48,94.48,,,94.48,10900.0,100.0
2005-05-16,94.46,94.46,94.46,,,94.46,10900.0,100.0
2005-05-17,94.46,94.46,94.46,,,94.46,10900.0,100.0
2005-05-18,94.52,94.52,94.46,,,94.52,10900.0,100.0
2005-05-19,94.525,94.525,94.525,,,94.525,10900.0,100.0
2005-05-20,94.545,94.545,94.545,,,94.545,10900.0,100.0
2005-05-23,94.595,94.595,94.595,,,94.595,10900.0,100.0
2005-05-24,94.645,94.645,94.645,,,94.645,10900.0,200.0
2005-05-25,94.59,94.59,94.59,,,94.59,10900.0,200.0
2005-05-26,94.62,94.62,94.59,,,94.62,10900.0,200.0
2005-05-27,94.64,94.64,94.64,,,94.64,0.0,200.0
2005-05-31,94.71,94.71,94.71,,,94.71,10900.0,200.0
2005-06-01,94.76,94.76,94.76,,,94.76,10900.0,200.0
2005-06-02,94.795,94.795,94.795,,,94.795,10900.0,200.0
2005-06-03,94.68,94.68,94.68,,,94.68,10900.0,200.0
2005-06-06,94.715,94.715,94.715,,,94.715,10900.0,200.0
2005-06-07,94.785,94.785,94.785,,,94.785,10900.0,200.0
2005-06-08,94.86,94.86,94.86,,,94.86,10900.0,200.0
2005-06-09,94.835,94.835,94.835,,,94.835,10900.0,200.0
2005-06-10,94.76,94.76,94.76,,,94.76,10900.0,200.0
2005-06-13,94.695,94.695,94.695,,,94.695,10883.0,204.0
2005-06-14,94.615,94.695,94.615,,,94.615,0.0,204.0
2005-06-15,94.62,94.62,94.62,,,94.62,10883.0,194.0
2005-06-16,94.685,94.685,94.685,,,94.685,10883.0,198.0
2005-06-17,94.695,94.695,94.695,,,94.695,10883.0,198.0
2005-06-20,94.665,94.665,94.665,,,94.665,10883.0,198.0
2005-06-21,94.74,94.74,94.74,,,94.74,10883.0,198.0
2005-06-22,94.83,94.83,94.83,,,94.83,10883.0,193.0
2005-06-23,94.785,94.785,94.785,,,94.785,10883.0,193.0
2005-06-24,94.815,94.815,94.815,,,94.815,10883.0,193.0
2005-06-27,94.835,94.835,94.835,,,94.835,10883.0,193.0
2005-06-28,94.765,94.765,94.765,,,94.765,10883.0,193.0
2005-06-29,94.74,94.74,94.74,,,94.74,10883.0,193.0
2005-06-30,94.805,94.805,94.805,,,94.805,10883.0,193.0
2005-07-01,94.71,94.71,94.71,,,94.71,10883.0,193.0
2005-07-05,94.61,94.61,94.61,,,94.61,10883.0,193.0
2005-07-06,94.66,94.66,94.66,,,94.66,0.0,193.0
2005-07-07,94.68,94.68,94.68,,,94.68,10883.0,193.0
2005-07-08,94.64,94.64,94.64,,,94.64,10883.0,193.0
2005-07-11,94.675,94.675,94.675,,,94.675,10883.0,193.0
2005-07-12,94.64,94.64,94.64,,,94.64,10883.0,193.0
2005-07-13,94.645,94.645,94.645,,,94.645,10883.0,193.0
2005-07-14,94.625,94.625,94.625,,,94.625,10883.0,193.0
2005-07-15,94.63,94.63,94.63,,,94.63,10883.0,193.0
2005-07-18,94.575,94.575,94.575,,,94.575,10883.0,193.0
2005-07-19,94.605,94.605,94.605,,,94.605,10883.0,193.0
2005-07-20,94.655,94.655,94.655,,,94.655,10883.0,193.0
2005-07-21,94.495,94.495,94.495,,,94.495,10883.0,193.0
2005-07-22,94.575,94.575,94.575,,,94.575,10883.0,193.0
2005-07-25,94.55,94.55,94.55,,,94.55,10883.0,193.0
2005-07-26,94.565,94.565,94.565,,,94.565,10883.0,193.0
2005-07-27,94.545,94.545,94.545,,,94.545,10883.0,193.0
2005-07-28,94.695,94.695,94.695,,,94.695,0.0,183.0
2005-07-29,94.565,94.565,94.565,,,94.565,0.0,183.0
2005-08-01,94.525,94.525,94.525,,,94.525,0.0,183.0
2005-08-02,94.52,94.52,94.52,,,94.52,0.0,183.0
2005-08-03,94.575,94.575,94.575,,,94.575,0.0,183.0
2005-08-04,94.55,94.55,94.55,,,94.55,0.0,183.0
2005-08-05,94.46,94.46,94.46,,,94.46,0.0,183.0
2005-08-08,94.46,94.46,94.46,,,94.46,0.0,183.0
2005-08-09,94.5,94.5,94.5,,,94.5,0.0,183.0
2005-08-10,94.525,94.525,94.525,,,94.525,0.0,183.0
2005-08-11,94.605,94.605,94.605,,,94.605,0.0,183.0
2005-08-12,94.715,94.715,94.715,,,94.715,0.0,183.0
2005-08-15,94.685,94.685,94.685,,,94.685,0.0,188.0
2005-08-16,94.735,94.735,94.735,,,94.735,0.0,188.0
2005-08-17,94.685,94.685,94.685,,,94.685,0.0,192.0
2005-08-18,94.745,94.745,94.745,,,94.745,0.0,211.0
2005-08-19,94.755,94.755,94.755,,,94.755,0.0,211.0
2005-08-22,94.745,94.745,94.745,,,94.745,0.0,216.0
2005-08-23,94.755,94.755,94.755,,,94.755,0.0,216.0
2005-08-24,94.77,94.77,94.77,,,94.77,0.0,216.0
2005-08-25,94.8,94.8,94.8,,,94.8,0.0,216.0
2005-08-26,94.795,94.795,94.795,,,94.795,0.0,216.0
2005-08-29,94.83,94.83,94.83,,,94.83,0.0,216.0
2005-08-30,94.89,94.89,94.89,,,94.89,0.0,200.0
2005-08-31,94.865,94.865,94.865,,,94.865,0.0,200.0
2005-09-01,94.805,94.805,94.805,,,94.805,0.0,200.0
2005-09-02,94.775,94.775,94.775,,,94.775,0.0,221.0
2005-09-06,94.765,94.765,94.765,,,94.765,0.0,221.0
2005-09-07,94.67,94.67,94.67,,,94.67,0.0,226.0
2005-09-08,94.695,94.695,94.695,,,94.695,0.0,226.0
2005-09-09,94.72,94.72,94.72,,,94.72,0.0,226.0
2005-09-12,94.68,94.68,94.68,,,94.68,0.0,251.0
2005-09-13,94.71,94.71,94.71,,,94.71,0.0,261.0
2005-09-14,94.65,94.65,94.65,,,94.65,0.0,261.0
2005-09-15,94.57,94.57,94.57,,,94.57,0.0,261.0
2005-09-16,94.51,94.51,94.51,,,94.51,0.0,307.0
2005-09-19,94.52,94.52,94.52,,,94.52,0.0,307.0
2005-09-20,94.53,94.53,94.53,,,94.53,0.0,307.0
2005-09-21,94.655,94.655,94.655,,,94.655,0.0,309.0
2005-09-22,94.665,94.665,94.665,,,94.665,0.0,309.0
2005-09-23,94.59,94.59,94.59,,,94.59,0.0,314.0
2005-09-26,94.56,94.56,94.56,,,94.56,0.0,314.0
2005-09-27,94.565,94.565,94.565,,,94.565,0.0,314.0
2005-09-28,94.635,94.635,94.635,,,94.635,0.0,314.0
2005-09-29,94.61,94.61,94.61,,,94.61,0.0,264.0
2005-09-30,94.6,94.6,94.6,,,94.6,0.0,264.0
2005-10-03,94.52,94.52,94.52,,,94.52,0.0,264.0
2005-10-04,94.53,94.53,94.53,,,94.53,0.0,264.0
2005-10-05,94.58,94.58,94.58,,,94.58,0.0,274.0
2005-10-06,94.55,94.55,94.55,,,94.55,0.0,274.0
2005-10-07,94.555,94.555,94.555,,,94.555,0.0,274.0
2005-10-10,94.555,94.555,94.555,,,94.555,0.0,274.0
2005-10-11,94.55,94.55,94.55,,,94.55,0.0,274.0
2005-10-12,94.465,94.465,94.465,,,94.465,0.0,269.0
2005-10-13,94.4,94.4,94.4,,,94.4,0.0,300.0
2005-10-14,94.42,94.42,94.42,,,94.42,0.0,217.0
2005-10-17,94.43,94.43,94.43,,,94.43,0.0,217.0
2005-10-18,94.44,94.44,94.44,,,94.44,0.0,200.0
2005-10-19,94.46,94.46,94.46,,,94.46,0.0,200.0
2005-10-20,94.45,94.45,94.45,,,94.45,0.0,200.0
2005-10-21,94.53,94.53,94.53,,,94.53,0.0,200.0
2005-10-24,94.455,94.455,94.455,,,94.455,0.0,200.0
2005-10-25,94.385,94.385,94.385,,,94.385,0.0,200.0
2005-10-26,94.28,94.28,94.28,,,94.28,0.0,200.0
2005-10-27,94.32,94.32,94.32,,,94.32,0.0,200.0
2005-10-28,94.31,94.31,94.31,,,94.31,0.0,200.0
2005-10-31,94.36,94.36,94.36,,,94.36,0.0,200.0
2005-11-01,94.345,94.345,94.345,,,94.345,0.0,200.0
2005-11-02,94.295,94.295,94.295,,,94.295,0.0,200.0
2005-11-03,94.225,94.225,94.225,,,94.225,0.0,200.0
2005-11-04,94.185,94.185,94.185,,,94.185,0.0,200.0
2005-11-07,94.185,94.23,94.185,,,94.23,0.0,200.0
2005-11-08,94.335,94.335,94.335,,,94.335,0.0,200.0
2005-11-09,94.24,94.24,94.24,,,94.24,0.0,200.0
2005-11-10,94.33,94.33,94.33,,,94.33,0.0,200.0
2005-11-11,94.33,94.33,94.33,,,94.33,0.0,200.0
2005-11-14,94.26,94.26,94.26,,,94.26,0.0,200.0
2005-11-15,94.335,94.335,94.335,,,94.335,0.0,200.0
2005-11-16,94.41,94.41,94.41,,,94.41,0.0,200.0
2005-11-17,94.425,94.425,94.425,,,94.425,0.0,200.0
2005-11-18,94.355,94.355,94.355,,,94.355,0.0,200.0
2005-11-21,94.41,94.41,94.41,,,94.41,0.0,200.0
2005-11-22,94.42,94.42,94.42,,,94.42,0.0,200.0
2005-11-23,94.37,94.37,94.37,,,94.37,0.0,200.0
2005-11-25,94.425,94.425,94.425,,,94.425,0.0,200.0
2005-11-28,94.46,94.46,94.46,,,94.46,0.0,200.0
2005-11-29,94.37,94.37,94.37,,,94.37,0.0,200.0
2005-11-30,94.35,94.35,94.35,,,94.35,0.0,200.0
2005-12-01,94.31,94.31,94.31,,,94.31,0.0,200.0
2005-12-02,94.33,94.33,94.33,,,94.33,0.0,200.0
2005-12-05,94.28,94.28,94.28,,,94.28,0.0,200.0
2005-12-06,94.365,94.365,94.365,,,94.365,0.0,200.0
2005-12-07,94.34,94.34,94.34,,,94.34,0.0,200.0
2005-12-08,94.41,94.41,94.41,,,94.41,0.0,200.0
2005-12-09,94.345,94.345,94.345,,,94.345,0.0,200.0
2005-12-12,94.33,94.33,94.33,,,94.33,0.0,200.0
2005-12-13,94.355,94.355,94.355,,,94.355,0.0,200.0
2005-12-14,94.46,94.46,94.46,,,94.46,0.0,200.0
2005-12-15,94.435,94.435,94.435,,,94.435,0.0,200.0
2005-12-16,94.475,94.475,94.475,,,94.475,0.0,200.0
2005-12-19,94.475,94.475,94.475,,,94.475,1.0,245.0
2005-12-20,94.455,94.455,94.455,,,94.455,0.0,200.0
2005-12-21,94.445,94.445,94.445,,,94.445,0.0,200.0
2005-12-22,94.5,94.5,94.5,,,94.5,0.0,200.0
2005-12-23,94.555,94.555,94.555,,,94.555,0.0,200.0
2005-12-27,94.58,94.58,94.58,,,94.58,0.0,200.0
2005-12-28,94.56,94.56,94.56,,,94.56,0.0,200.0
2005-12-29,94.605,94.605,94.605,,,94.605,0.0,200.0
2005-12-30,94.595,94.595,94.595,,,94.595,0.0,200.0
2006-01-03,94.56,94.56,94.56,,,94.56,0.0,200.0
2006-01-04,94.59,94.59,94.59,,,94.59,0.0,300.0
2006-01-05,94.63,94.63,94.63,,,94.63,0.0,300.0
2006-01-06,94.635,94.635,94.635,,,94.635,0.0,300.0
2006-01-09,94.65,94.65,94.65,,,94.65,0.0,300.0
2006-01-10,94.585,94.585,94.585,,,94.585,0.0,300.0
2006-01-11,94.55,94.55,94.55,,,94.55,0.0,300.0
2006-01-12,94.595,94.595,94.595,,,94.595,0.0,300.0
2006-01-13,94.64,94.64,94.64,,,94.64,0.0,300.0
2006-01-17,94.655,94.655,94.655,,,94.655,0.0,300.0
2006-01-18,94.64,94.64,94.64,,,94.64,0.0,300.0
2006-01-19,94.595,94.595,94.595,,,94.595,0.0,300.0
2006-01-20,94.625,94.625,94.625,,,94.625,0.0,300.0
2006-01-23,94.625,94.625,94.625,,,94.625,0.0,300.0
2006-01-24,94.58,94.58,94.58,,,94.58,0.0,300.0
2006-01-25,94.5,94.5,94.5,,,94.5,0.0,300.0
2006-01-26,94.445,94.445,94.445,,,94.445,0.0,300.0
2006-01-27,94.495,94.495,94.495,,,94.495,0.0,300.0
2006-01-30,94.48,94.48,94.48,,,94.48,0.0,300.0
2006-01-31,94.5,94.5,94.5,,,94.5,0.0,300.0
2006-02-01,94.49,94.49,94.49,,,94.49,0.0,300.0
2006-02-02,94.515,94.515,94.515,,,94.515,0.0,300.0
2006-02-03,94.58,94.58,94.58,,,94.58,0.0,300.0
2006-02-06,94.6,94.6,94.6,,,94.6,0.0,300.0
2006-02-07,94.565,94.565,94.565,,,94.565,0.0,300.0
2006-02-08,94.545,94.545,94.545,,,94.545,0.0,300.0
2006-02-09,94.6,94.6,94.6,,,94.6,0.0,300.0
2006-02-10,94.575,94.575,94.575,,,94.575,0.0,300.0
2006-02-13,94.57,94.57,94.57,,,94.57,0.0,300.0
2006-02-14,94.535,94.535,94.535,,,94.535,0.0,300.0
2006-02-15,94.545,94.545,94.545,,,94.545,0.0,300.0
2006-02-16,94.56,94.56,94.56,,,94.56,0.0,300.0
2006-02-17,94.63,94.63,94.63,,,94.63,0.0,300.0
2006-02-21,94.605,94.605,94.605,,,94.605,0.0,300.0
2006-02-22,94.67,94.67,94.67,,,94.67,0.0,300.0
2006-02-23,94.65,94.65,94.65,,,94.65,0.0,300.0
2006-02-24,94.66,94.66,94.66,,,94.66,0.0,300.0
2006-02-27,94.64,94.64,94.64,,,94.64,0.0,300.0
2006-02-28,94.685,94.685,94.685,,,94.685,0.0,300.0
2006-03-01,94.595,94.595,94.595,,,94.595,0.0,400.0
2006-03-02,94.5,94.5,94.5,,,94.5,0.0,400.0
2006-03-03,94.45,94.45,94.45,,,94.45,0.0,400.0
2006-03-06,94.385,94.385,94.385,,,94.385,0.0,400.0
2006-03-07,94.395,94.395,94.395,,,94.395,0.0,400.0
2006-03-08,94.405,94.405,94.405,,,94.405,0.0,400.0
2006-03-09,94.415,94.415,94.415,,,94.415,0.0,400.0
2006-03-10,94.41,94.41,94.41,,,94.41,0.0,400.0
2006-03-13,94.355,94.355,94.355,,,94.355,0.0,400.0
2006-03-14,94.42,94.42,94.42,,,94.42,0.0,400.0
2006-03-15,94.36,94.36,94.36,,,94.36,0.0,400.0
2006-03-16,94.44,94.44,94.44,,,94.44,0.0,300.0
2006-03-17,94.42,94.42,94.42,,,94.42,0.0,300.0
2006-03-20,94.435,94.435,94.435,,,94.435,0.0,300.0
2006-03-21,94.365,94.365,94.365,,,94.365,0.0,300.0
2006-03-22,94.4,94.4,94.4,,,94.4,0.0,300.0
2006-03-23,94.365,94.365,94.365,,,94.365,0.0,400.0
2006-03-24,94.435,94.435,94.435,,,94.435,0.0,400.0
2006-03-27,94.395,94.395,94.395,,,94.395,0.0,400.0
2006-03-28,94.305,94.305,94.305,,,94.305,0.0,400.0
2006-03-29,94.285,94.285,94.285,,,94.285,0.0,400.0
2006-03-30,94.215,94.215,94.215,,,94.215,0.0,400.0
2006-03-31,94.21,94.21,94.21,,,94.21,0.0,400.0
2006-04-03,94.185,94.185,94.185,,,94.185,0.0,400.0
2006-04-04,94.185,94.185,94.185,,,94.185,0.0,400.0
2006-04-05,94.205,94.205,94.205,,,94.205,0.0,400.0
2006-04-06,94.13,94.13,94.13,,,94.13,0.0,400.0
2006-04-07,94.035,94.035,94.035,,,94.035,0.0,400.0
2006-04-10,94.04,94.04,94.04,,,94.04,0.0,400.0
2006-04-11,94.09,94.09,94.09,,,94.09,0.0,400.0
2006-04-12,94.03,94.03,94.03,,,94.03,0.0,400.0
2006-04-13,93.96,93.96,93.96,,,93.96,0.0,400.0
2006-04-17,93.98,93.98,93.98,,,93.98,0.0,400.0
2006-04-18,94.01,94.01,94.01,,,94.01,0.0,400.0
2006-04-19,93.93,93.93,93.93,,,93.93,0.0,400.0
2006-04-20,93.92,93.92,93.92,,,93.92,0.0,400.0
2006-04-21,93.965,93.965,93.965,,,93.965,0.0,400.0
2006-04-24,94.03,94.03,94.03,,,94.03,0.0,400.0
2006-04-25,93.95,93.95,93.95,,,93.95,0.0,500.0
2006-04-26,93.925,93.925,93.925,,,93.925,0.0,600.0
