Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2009-07-01,94.63,94.695,94.605,,,94.63,77.0,178.0
2009-07-02,94.615,94.69,94.6,,,94.68,40.0,209.0
2009-07-06,0.0,94.64,94.57,,,94.6,20.0,216.0
2009-07-07,94.565,94.695,94.55,,,94.695,0.0,216.0
2009-07-08,0.0,95.0,94.725,,,95.0,11.0,216.0
2009-07-09,94.89,94.89,94.81,,,94.84,0.0,216.0
2009-07-10,94.98,95.06,94.98,,,95.015,9.0,215.0
2009-07-13,95.02,95.02,94.865,,,94.865,30.0,240.0
2009-07-14,94.74,94.74,94.695,,,94.705,9.0,237.0
2009-07-15,94.585,94.585,94.435,,,94.47,21.0,242.0
2009-07-16,94.57,94.57,94.515,,,94.515,15.0,228.0
2009-07-17,94.525,94.525,94.4,,,94.4,16.0,223.0
2009-07-20,94.4,94.5,94.33,,,94.485,3.0,223.0
2009-07-21,94.61,94.61,94.415,,,94.575,7.0,216.0
2009-07-22,0.0,94.545,94.485,,,94.485,9.0,212.0
2009-07-23,94.54,94.54,94.28,,,94.28,0.0,212.0
2009-07-24,0.0,94.32,94.31,,,94.32,9.0,217.0
2009-07-27,0.0,94.26,94.25,,,94.25,0.0,217.0
2009-07-28,94.3,94.39,94.3,,,94.33,0.0,217.0
2009-07-29,0.0,94.43,94.25,,,94.395,6.0,215.0
2009-07-30,94.365,94.475,94.355,,,94.445,0.0,215.0
2009-07-31,94.515,94.62,94.515,,,94.62,1.0,215.0
2009-08-03,0.0,94.54,94.42,,,94.43,13.0,221.0
2009-08-04,0.0,94.5,94.37,,,94.41,0.0,221.0
2009-08-05,0.0,94.41,94.235,,,94.235,0.0,221.0
2009-08-06,94.25,94.275,94.23,,,94.23,0.0,221.0
2009-08-07,94.17,94.17,93.98,,,94.045,10.0,221.0
2009-08-10,94.085,94.145,94.035,,,94.145,6.0,216.0
2009-08-11,94.105,94.235,94.105,,,94.225,9.0,214.0
2009-08-12,94.275,94.295,94.185,,,94.255,64.0,215.0
2009-08-13,0.0,94.425,94.225,,,94.4,60.0,215.0
2009-08-14,94.43,94.55,94.39,,,94.455,0.0,215.0
2009-08-17,0.0,94.565,94.51,,,94.55,7.0,211.0
2009-08-18,0.0,94.55,94.485,,,94.485,0.0,211.0
2009-08-19,94.635,94.655,94.535,,,94.545,0.0,211.0
2009-08-20,94.595,94.615,94.575,,,94.615,5.0,213.0
2009-08-21,94.595,94.625,94.46,,,94.46,9.0,214.0
2009-08-24,94.41,94.48,94.385,,,94.475,13.0,225.0
2009-08-25,94.525,94.555,94.49,,,94.555,10.0,215.0
2009-08-26,94.535,94.595,94.535,,,94.595,6.0,218.0
2009-08-27,0.0,94.595,94.515,,,94.55,7.0,213.0
2009-08-28,94.5,94.58,94.5,,,94.575,12.0,215.0
2009-08-31,0.0,94.665,94.615,,,94.665,7.0,211.0
2009-09-01,0.0,94.695,94.605,,,94.69,0.0,211.0
2009-09-02,0.0,94.805,94.68,,,94.805,0.0,211.0
2009-09-03,0.0,94.79,94.745,,,94.78,0.0,211.0
2009-09-04,0.0,94.71,94.575,,,94.575,0.0,211.0
2009-09-08,0.0,94.625,94.525,,,94.525,0.0,211.0
2009-09-09,0.0,94.515,94.475,,,94.51,0.0,211.0
2009-09-10,94.55,94.675,94.55,,,94.675,5.0,206.0
2009-09-11,0.0,94.735,94.685,,,94.695,101.0,155.0
2009-09-14,0.0,94.665,94.605,,,94.615,1.0,156.0
2009-09-15,0.0,94.555,94.505,,,94.52,0.0,156.0
2009-09-16,0.0,94.58,94.48,,,94.56,0.0,156.0
2009-09-17,0.0,94.7,94.6,,,94.695,0.0,156.0
2009-09-18,94.595,94.625,94.565,,,94.575,0.0,156.0
2009-09-21,0.0,94.655,94.535,,,94.535,5.0,161.0
2009-09-22,0.0,94.605,94.565,,,94.605,0.0,161.0
2009-09-23,0.0,94.645,94.555,,,94.645,0.0,161.0
2009-09-24,0.0,94.745,94.665,,,94.72,0.0,161.0
2009-09-25,0.0,94.855,94.73,,,94.855,0.0,161.0
2009-09-28,94.855,94.91,94.855,,,94.91,0.0,161.0
2009-09-29,94.92,94.94,94.91,,,94.94,4.0,160.0
2009-09-30,94.92,94.92,94.87,,,94.89,5.0,160.0
2009-10-01,94.9,95.015,94.9,,,95.015,54.0,195.0
2009-10-02,0.0,95.115,94.955,,,94.985,1.0,195.0
2009-10-05,0.0,95.015,94.945,,,94.945,0.0,195.0
2009-10-06,0.0,94.935,94.89,,,94.91,0.0,195.0
2009-10-07,94.91,95.005,94.91,,,95.005,0.0,195.0
2009-10-08,0.0,95.01,94.905,,,94.915,4.0,196.0
2009-10-09,94.935,94.935,94.73,,,94.73,10.0,206.0
2009-10-13,94.81,94.81,94.8,,,94.81,0.0,205.0
2009-10-14,0.0,94.69,94.625,,,94.625,5.0,205.0
2009-10-15,0.0,94.625,94.545,,,94.57,0.0,205.0
2009-10-16,0.0,94.69,94.62,,,94.69,0.0,205.0
2009-10-19,94.685,94.74,94.68,,,94.715,0.0,205.0
2009-10-20,0.0,94.795,94.745,,,94.78,2.0,205.0
2009-10-21,0.0,94.72,94.63,,,94.665,2.0,205.0
2009-10-22,0.0,94.645,94.605,,,94.645,20.0,185.0
