Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1999-01-04,1.2036,1.2036,1.2036,,,1.2036,0.0,0.0
1999-01-05,1.199,1.199,1.199,,,1.199,0.0,0.0
1999-01-06,1.1812,1.1812,1.1812,,,1.1812,0.0,0.0
1999-01-07,1.1919,1.1919,1.1919,,,1.1919,0.0,0.0
1999-01-08,1.1799,1.1799,1.1799,,,1.1799,0.0,0.0
1999-01-11,1.1693,1.1693,1.1693,,,1.1693,0.0,0.0
1999-01-12,1.1756,1.1756,1.1756,,,1.1756,0.0,0.0
1999-01-13,1.1858,1.1858,1.1858,,,1.1858,0.0,0.0
1999-01-14,1.1912,1.1912,1.1912,,,1.1912,0.0,0.0
1999-01-15,1.1792,1.1792,1.1792,,,1.1792,0.0,0.0
1999-01-19,1.1813,1.1813,1.1813,,,1.1813,0.0,0.0
1999-01-20,1.1765,1.1765,1.1765,,,1.1765,0.0,0.0
1999-01-21,1.1809,1.1809,1.1809,,,1.1809,0.0,0.0
1999-01-22,1.1795,1.1795,1.1795,,,1.1795,0.0,0.0
1999-01-25,1.1763,1.1763,1.1763,,,1.1763,0.0,0.0
1999-01-26,1.1768,1.1768,1.1768,,,1.1768,0.0,0.0
1999-01-27,1.1638,1.1638,1.1638,,,1.1638,0.0,0.0
1999-01-28,1.1625,1.1625,1.1625,,,1.1625,0.0,0.0
1999-01-29,1.157,1.157,1.157,,,1.157,0.0,0.0
1999-02-01,1.1515,1.1515,1.1515,,,1.1515,0.0,0.0
1999-02-02,1.155,1.155,1.155,,,1.155,0.0,0.0
1999-02-03,1.1520000000000001,1.1520000000000001,1.1520000000000001,,,1.1520000000000001,0.0,0.0
1999-02-04,1.1528,1.1528,1.1528,,,1.1528,0.0,0.0
1999-02-05,1.1458,1.1458,1.1458,,,1.1458,0.0,0.0
1999-02-08,1.1517,1.1517,1.1517,,,1.1517,0.0,0.0
1999-02-09,1.1481,1.1481,1.1481,,,1.1481,0.0,0.0
1999-02-10,1.1536,1.1536,1.1536,,,1.1536,0.0,0.0
1999-02-11,1.1422,1.1422,1.1422,,,1.1422,0.0,0.0
1999-02-12,1.1469,1.1469,1.1469,,,1.1469,0.0,0.0
1999-02-16,1.139,1.139,1.139,,,1.139,0.0,0.0
1999-02-17,1.1424,1.1424,1.1424,,,1.1424,0.0,0.0
1999-02-18,1.1389,1.1389,1.1389,,,1.1389,0.0,0.0
1999-02-19,1.1246,1.1246,1.1246,,,1.1246,0.0,0.0
1999-02-22,1.1222,1.1222,1.1222,,,1.1222,0.0,0.0
1999-02-23,1.1191,1.1191,1.1191,,,1.1191,0.0,0.0
1999-02-24,1.1171,1.1171,1.1171,,,1.1171,0.0,0.0
1999-02-25,1.1229,1.1229,1.1229,,,1.1229,0.0,0.0
1999-02-26,1.12,1.12,1.12,,,1.12,0.0,0.0
1999-03-01,1.1066,1.1066,1.1066,,,1.1066,0.0,0.0
1999-03-02,1.1092,1.1092,1.1092,,,1.1092,0.0,0.0
1999-03-03,1.1062,1.1062,1.1062,,,1.1062,0.0,0.0
1999-03-04,1.0991,1.0991,1.0991,,,1.0991,0.0,0.0
1999-03-05,1.0991,1.0991,1.0991,,,1.0991,0.0,0.0
1999-03-08,1.1054,1.1054,1.1054,,,1.1054,0.0,0.0
1999-03-09,1.1065,1.1065,1.1065,,,1.1065,24.0,24.0
1999-03-10,1.1127,1.1127,1.1127,,,1.1127,0.0,24.0
1999-03-11,1.1,1.1207,1.1,,,1.1207,24.0,72.0
1999-03-12,1.1079999999999999,1.1079999999999999,1.1079999999999999,,,1.1079999999999999,0.0,72.0
1999-03-15,1.1112,1.1112,1.1112,,,1.1112,0.0,72.0
1999-03-16,1.1174,1.1174,1.1174,,,1.1174,0.0,72.0
1999-03-17,1.1178,1.1178,1.1178,,,1.1178,0.0,72.0
1999-03-18,1.1144,1.1144,1.1144,,,1.1144,0.0,72.0
1999-03-19,1.1061,1.1061,1.1061,,,1.1061,0.0,72.0
1999-03-22,1.1087,1.1087,1.1087,,,1.1087,0.0,72.0
1999-03-23,1.1081,1.1081,1.1081,,,1.1081,0.0,72.0
1999-03-24,1.1063,1.1063,1.1063,,,1.1063,0.0,72.0
1999-03-25,1.1006,1.1006,1.1006,,,1.1006,0.0,72.0
1999-03-26,1.089,1.0936,1.089,,,1.0936,12.0,84.0
1999-03-29,1.0907,1.0907,1.0907,,,1.0907,0.0,84.0
1999-03-30,1.0885,1.0885,1.0885,,,1.0885,0.0,84.0
