Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1976-09-08,1.65,1.65,1.65,,,1.65,1.0,31.0
1976-09-09,1.635,1.635,1.635,,,1.635,11.0,37.0
1976-09-10,1.636,1.64,1.636,,,1.64,6.0,40.0
1976-09-13,1.6369999999999998,1.6380000000000001,1.6369999999999998,,,1.6380000000000001,5.0,42.0
1976-09-14,1.621,1.621,1.618,,,1.618,3.0,42.0
1976-09-15,1.6269999999999998,1.6269999999999998,1.6230000000000002,,,1.6230000000000002,2.0,43.0
1976-09-16,1.632,1.6365,1.63,,,1.631,12.0,49.0
1976-09-17,1.625,1.6280000000000001,1.624,,,1.6269999999999998,3.0,49.0
1976-09-20,1.6119999999999999,1.6119999999999999,1.6119999999999999,,,1.6119999999999999,2.0,50.0
1976-09-21,1.6119999999999999,1.6119999999999999,1.6119999999999999,,,1.6119999999999999,0.0,50.0
1976-09-22,1.611,1.611,1.611,,,1.611,0.0,50.0
1976-09-23,1.61,1.61,1.607,,,1.607,2.0,50.0
1976-09-24,1.601,1.601,1.6,,,1.6,6.0,55.0
1976-09-27,1.58,1.5830000000000002,1.579,,,1.579,10.0,64.0
1976-09-28,1.54,1.54,1.5305,,,1.54,221.0,195.0
1976-09-29,1.558,1.5605,1.5519999999999998,,,1.5530000000000002,54.0,221.0
1976-09-30,1.567,1.567,1.556,,,1.558,8.0,223.0
1976-10-01,1.557,1.558,1.557,,,1.558,3.0,226.0
1976-10-04,1.558,1.558,1.558,,,1.558,0.0,222.0
1976-10-05,1.564,1.564,1.544,,,1.544,1.0,223.0
1976-10-06,1.535,1.5430000000000001,1.5319999999999998,,,1.5390000000000001,7.0,223.0
1976-10-07,1.5545,1.5545,1.548,,,1.548,5.0,227.0
1976-10-08,1.555,1.555,1.5490000000000002,,,1.5490000000000002,3.0,230.0
1976-10-11,1.546,1.546,1.546,,,1.546,0.0,230.0
1976-10-12,1.54,1.54,1.538,,,1.538,25.0,230.0
1976-10-13,1.54,1.541,1.54,,,1.54,17.0,221.0
1976-10-14,1.527,1.527,1.5190000000000001,,,1.52,13.0,225.0
1976-10-15,1.531,1.531,1.525,,,1.525,33.0,252.0
