Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1976-08-06,121.0,121.7,121.0,,,121.7,2.0,11.0
1976-08-09,120.4,120.4,120.4,,,120.4,0.0,11.0
1976-08-10,122.1,122.1,121.9,,,121.9,6.0,12.0
1976-08-11,121.9,121.9,121.9,,,121.9,0.0,12.0
1976-08-12,121.0,121.0,120.9,,,120.9,27.0,37.0
1976-08-13,121.1,121.5,121.1,,,121.5,8.0,38.0
1976-08-16,121.1,121.1,120.9,,,120.9,6.0,39.0
1976-08-17,120.0,120.0,118.8,,,118.8,24.0,51.0
1976-08-18,114.0,115.3,114.0,,,115.3,84.0,97.0
1976-08-19,116.3,116.5,115.4,,,115.4,6.0,84.0
1976-08-20,114.5,115.3,114.0,,,114.7,93.0,157.0
1976-08-23,111.5,112.0,109.3,,,109.7,134.0,256.0
1976-08-24,109.9,109.9,108.1,,,108.1,153.0,349.0
1976-08-25,107.6,111.3,107.6,,,111.3,123.0,413.0
1976-08-26,110.2,110.2,109.3,,,110.0,173.0,482.0
1976-08-27,109.1,109.4,107.4,,,107.9,122.0,590.0
1976-08-30,106.7,107.3,106.0,,,107.3,108.0,668.0
1976-08-31,107.9,108.7,107.5,,,107.5,84.0,675.0
1976-09-01,108.0,109.7,108.0,,,109.5,151.0,715.0
1976-09-02,109.8,110.2,109.2,,,109.5,109.0,772.0
1976-09-03,110.5,112.5,110.5,,,112.4,87.0,776.0
1976-09-07,117.4,117.4,114.5,,,116.2,166.0,879.0
1976-09-08,116.6,116.8,115.4,,,116.8,69.0,954.0
1976-09-09,116.5,118.3,116.5,,,118.3,161.0,1047.0
1976-09-10,120.4,123.0,120.4,,,123.0,187.0,1020.0
1976-09-13,119.0,119.6,119.0,,,119.2,51.0,1036.0
1976-09-14,116.5,116.8,115.0,,,115.2,84.0,1076.0
1976-09-15,114.5,118.1,114.5,,,116.7,128.0,1082.0
1976-09-16,118.9,120.0,118.5,,,118.5,110.0,1100.0
1976-09-17,123.8,124.2,122.2,,,122.2,83.0,1117.0
1976-09-20,119.6,119.9,119.1,,,119.1,77.0,1145.0
1976-09-21,124.0,124.2,123.0,,,123.0,137.0,1192.0
1976-09-22,122.1,122.1,120.1,,,122.1,462.0,1236.0
1976-09-23,121.1,121.8,120.1,,,121.3,86.0,1282.0
1976-09-24,121.6,122.8,121.6,,,122.1,36.0,1278.0
1976-09-27,122.5,122.5,121.3,,,121.3,93.0,1255.0
1976-09-28,119.9,120.2,119.2,,,120.0,31.0,1263.0
1976-09-29,119.8,120.3,119.6,,,120.0,67.0,1298.0
1976-09-30,119.6,120.5,119.0,,,120.0,83.0,1351.0
1976-10-01,119.8,119.8,119.2,,,119.7,81.0,1394.0
1976-10-04,117.7,117.7,117.0,,,117.4,72.0,1415.0
1976-10-05,117.1,117.8,117.0,,,117.5,146.0,1490.0
1976-10-06,118.0,119.8,118.0,,,119.8,91.0,1499.0
1976-10-07,119.3,119.3,118.6,,,118.6,100.0,1478.0
1976-10-08,117.6,117.6,116.0,,,116.6,44.0,1459.0
1976-10-11,116.0,117.0,116.0,,,116.8,149.0,1461.0
1976-10-12,117.1,117.2,117.0,,,117.0,114.0,1451.0
1976-10-13,118.0,118.0,117.0,,,117.7,47.0,1442.0
1976-10-14,117.7,118.0,117.6,,,117.7,152.0,1495.0
1976-10-15,118.7,120.5,118.7,,,120.5,61.0,1468.0
1976-10-18,120.4,121.0,120.3,,,120.7,161.0,1499.0
1976-10-19,119.5,119.5,118.7,,,118.8,67.0,1513.0
1976-10-20,118.3,118.4,118.0,,,118.1,81.0,1561.0
1976-10-21,118.9,119.4,118.8,,,119.4,376.0,1604.0
1976-10-22,119.0,119.0,118.8,,,118.9,88.0,1620.0
1976-10-25,119.3,120.2,119.3,,,120.0,36.0,1626.0
1976-10-26,121.1,122.0,121.1,,,121.9,49.0,1626.0
1976-10-27,121.4,123.9,121.4,,,123.9,107.0,1678.0
1976-10-28,128.3,130.1,127.4,,,130.1,517.0,1771.0
1976-10-29,127.8,130.0,127.7,,,129.0,336.0,1705.0
1976-11-01,128.2,129.4,128.0,,,128.9,116.0,1679.0
1976-11-03,131.8,133.0,130.6,,,130.6,939.0,2025.0
1976-11-04,130.1,131.7,130.0,,,131.2,276.0,2286.0
1976-11-05,132.9,133.5,132.8,,,133.4,573.0,2253.0
1976-11-08,138.5,139.0,138.0,,,138.8,646.0,2280.0
1976-11-09,136.8,140.8,136.5,,,139.4,524.0,2442.0
1976-11-10,142.8,144.8,142.8,,,143.8,723.0,2091.0
1976-11-11,141.5,143.6,140.5,,,142.3,394.0,2159.0
1976-11-12,143.0,144.0,142.9,,,143.4,239.0,2232.0
1976-11-15,145.0,148.1,142.0,,,142.4,626.0,2436.0
1976-11-16,141.8,141.8,139.1,,,139.7,655.0,2691.0
1976-11-17,138.0,140.4,137.8,,,138.1,299.0,2915.0
1976-11-18,135.0,135.7,133.8,,,134.7,235.0,2907.0
1976-11-19,137.8,138.0,136.6,,,137.3,86.0,2923.0
1976-11-22,140.0,142.0,140.0,,,142.0,227.0,3030.0
1976-11-23,141.0,141.3,139.0,,,139.3,725.0,3592.0
1976-11-24,138.0,140.0,137.5,,,139.8,471.0,3906.0
1976-11-26,138.4,138.4,136.0,,,136.3,347.0,4204.0
1976-11-29,135.6,137.3,135.6,,,137.1,104.0,4207.0
1976-11-30,137.6,139.1,137.6,,,138.6,98.0,4181.0
1976-12-01,138.0,138.8,137.7,,,138.1,64.0,4162.0
1976-12-02,138.5,138.5,137.7,,,137.9,115.0,4104.0
1976-12-03,138.3,139.4,138.1,,,139.1,47.0,4093.0
1976-12-06,141.8,142.5,141.5,,,142.0,650.0,4076.0
1976-12-07,142.3,143.0,140.2,,,140.8,1699.0,5584.0
1976-12-08,143.5,144.6,143.1,,,144.3,300.0,5609.0
1976-12-09,143.5,145.2,143.0,,,144.8,108.0,5594.0
1976-12-10,144.2,145.9,144.2,,,145.0,1782.0,5737.0
1976-12-13,143.3,143.3,141.3,,,142.2,152.0,5673.0
1976-12-14,141.4,142.9,141.0,,,142.8,56.0,5661.0
1976-12-15,141.7,141.9,139.3,,,139.3,1250.0,5698.0
1976-12-16,140.9,141.2,140.4,,,140.6,46.0,5699.0
1976-12-17,139.2,139.2,137.1,,,137.5,1136.0,5717.0
1976-12-20,138.1,138.3,137.7,,,137.8,868.0,5502.0
1976-12-21,140.8,140.8,139.7,,,140.6,241.0,5440.0
1976-12-22,139.7,140.3,139.4,,,139.8,21.0,5446.0
1976-12-23,139.0,139.3,138.8,,,139.3,211.0,5328.0
1976-12-27,139.6,140.1,139.2,,,139.8,296.0,5289.0
1976-12-28,140.7,140.7,140.1,,,140.1,43.0,5255.0
1976-12-29,140.8,141.2,140.7,,,140.7,206.0,5313.0
1976-12-30,141.9,141.9,141.4,,,141.4,97.0,5348.0
1977-01-03,141.2,142.3,141.2,,,142.0,91.0,5350.0
1977-01-04,143.0,143.5,142.4,,,142.4,164.0,5265.0
1977-01-05,140.6,140.6,139.0,,,139.1,84.0,5267.0
1977-01-06,139.1,139.5,138.7,,,139.5,40.0,5272.0
1977-01-07,140.1,140.1,138.8,,,138.8,775.0,5646.0
1977-01-10,137.3,137.5,132.8,,,132.9,244.0,5647.0
1977-01-11,134.9,136.5,133.8,,,136.1,1960.0,4171.0
1977-01-12,136.5,137.2,135.5,,,137.2,200.0,4195.0
1977-01-13,137.9,138.3,137.0,,,137.7,92.0,4225.0
1977-01-14,136.8,137.2,136.2,,,136.9,66.0,4249.0
1977-01-17,137.1,138.3,137.0,,,138.1,38.0,4224.0
1977-01-18,138.0,139.0,138.0,,,138.1,168.0,4243.0
1977-01-19,138.3,138.9,138.3,,,138.7,60.0,4267.0
1977-01-20,139.2,139.2,138.4,,,138.7,103.0,4262.0
1977-01-21,138.6,138.6,136.6,,,138.2,79.0,4269.0
1977-01-24,138.4,138.7,138.0,,,138.5,30.0,4270.0
1977-01-25,139.7,140.5,139.6,,,140.3,58.0,4259.0
1977-01-26,138.6,138.6,137.5,,,137.5,57.0,4265.0
1977-01-27,138.5,138.5,136.7,,,137.0,66.0,4293.0
1977-01-28,137.4,137.8,137.0,,,137.7,54.0,4277.0
1977-01-31,138.3,138.8,138.1,,,138.8,19.0,4271.0
1977-02-01,139.0,139.2,138.3,,,138.3,65.0,4306.0
1977-02-02,137.6,138.7,137.6,,,138.7,40.0,4302.0
1977-02-03,139.1,139.1,138.3,,,138.3,30.0,4304.0
1977-02-04,138.4,138.7,138.2,,,138.7,24.0,4310.0
1977-02-07,139.3,141.6,139.3,,,141.4,213.0,4404.0
1977-02-08,141.3,141.3,140.4,,,140.6,68.0,4399.0
1977-02-09,142.5,143.2,142.0,,,142.0,105.0,4415.0
1977-02-10,142.1,142.1,141.1,,,141.2,43.0,4413.0
1977-02-11,140.6,141.9,140.5,,,141.8,165.0,4518.0
1977-02-14,142.5,142.6,141.4,,,141.4,67.0,4514.0
1977-02-15,141.4,141.9,140.9,,,141.1,71.0,4502.0
1977-02-16,141.9,142.2,141.7,,,142.1,48.0,4509.0
1977-02-17,142.8,142.8,142.5,,,142.6,105.0,4518.0
1977-02-18,142.9,143.3,142.5,,,143.2,102.0,4551.0
1977-02-22,144.0,145.2,143.7,,,144.9,382.0,4603.0
1977-02-23,145.4,147.2,145.2,,,145.9,170.0,4640.0
1977-02-24,148.0,148.0,146.0,,,147.6,221.0,4729.0
1977-02-25,147.1,148.1,146.4,,,147.8,143.0,4760.0
1977-02-28,149.8,151.5,149.5,,,150.5,311.0,4875.0
1977-03-01,148.5,149.8,148.3,,,149.5,218.0,4914.0
1977-03-02,152.5,153.7,150.6,,,153.5,469.0,5050.0
1977-03-03,152.0,152.8,151.0,,,152.1,195.0,4949.0
1977-03-04,152.7,154.8,152.1,,,154.3,196.0,4972.0
1977-03-07,156.0,156.8,154.3,,,154.6,437.0,4896.0
1977-03-08,155.3,156.2,152.9,,,154.5,444.0,4812.0
1977-03-09,152.8,154.4,152.1,,,154.3,261.0,4865.0
1977-03-10,154.0,155.0,152.6,,,153.1,317.0,4865.0
1977-03-11,153.6,153.7,151.9,,,152.5,267.0,4893.0
1977-03-14,152.8,153.0,151.3,,,151.9,155.0,4908.0
1977-03-15,153.2,154.4,153.0,,,154.3,244.0,4953.0
1977-03-16,154.7,155.8,154.1,,,155.6,373.0,4957.0
1977-03-17,155.7,157.3,155.5,,,156.7,294.0,4959.0
1977-03-18,158.0,158.0,156.5,,,157.5,275.0,4958.0
1977-03-21,159.5,160.4,159.0,,,160.4,504.0,5010.0
1977-03-22,157.5,158.4,157.5,,,157.5,278.0,5013.0
1977-03-23,160.3,161.3,159.7,,,160.6,429.0,5048.0
1977-03-24,159.7,159.9,159.1,,,159.5,507.0,5117.0
1977-03-25,161.0,161.2,159.7,,,159.8,297.0,5115.0
1977-03-28,155.8,157.3,155.7,,,156.3,562.0,5096.0
1977-03-29,155.0,155.0,152.6,,,154.9,536.0,5150.0
1977-03-30,155.8,156.8,155.5,,,156.2,264.0,5117.0
1977-03-31,154.5,155.9,154.5,,,155.7,190.0,5116.0
1977-04-01,155.0,157.4,154.9,,,156.9,119.0,5114.0
1977-04-04,157.2,157.5,155.7,,,155.8,183.0,5154.0
1977-04-05,154.3,154.5,151.5,,,152.2,360.0,5159.0
1977-04-06,153.3,154.4,152.9,,,153.5,205.0,5189.0
1977-04-07,154.4,154.7,153.0,,,154.1,269.0,5199.0
1977-04-11,154.4,155.4,154.2,,,155.3,360.0,5233.0
1977-04-12,155.9,156.2,155.6,,,155.9,354.0,5174.0
1977-04-13,158.8,159.1,157.9,,,158.6,260.0,5193.0
1977-04-14,158.6,158.6,157.1,,,158.1,308.0,5238.0
1977-04-15,156.5,157.5,156.0,,,157.5,156.0,5258.0
1977-04-18,157.0,157.8,156.8,,,157.1,93.0,5272.0
1977-04-19,156.1,156.6,155.6,,,155.8,239.0,5308.0
1977-04-20,155.2,155.2,153.4,,,153.8,281.0,5216.0
1977-04-21,153.1,154.6,153.1,,,154.6,210.0,5266.0
1977-04-22,156.0,156.1,154.8,,,154.8,327.0,5335.0
1977-04-25,154.4,154.4,152.7,,,152.9,235.0,5429.0
1977-04-26,152.3,152.8,150.4,,,151.2,846.0,5509.0
1977-04-27,153.0,153.0,150.8,,,151.4,325.0,5544.0
1977-04-28,151.0,151.0,149.1,,,150.6,559.0,5556.0
1977-04-29,151.1,152.4,151.0,,,152.4,195.0,5592.0
1977-05-02,152.2,154.1,152.2,,,154.1,285.0,5649.0
1977-05-03,153.4,153.4,151.9,,,152.4,211.0,5634.0
1977-05-04,152.5,152.9,152.0,,,152.4,178.0,5658.0
1977-05-05,150.5,151.9,150.4,,,151.9,268.0,5672.0
1977-05-06,152.2,153.3,152.1,,,152.9,347.0,5731.0
1977-05-09,152.2,152.6,151.5,,,152.6,187.0,5748.0
1977-05-10,152.1,152.8,152.0,,,152.4,505.0,5629.0
1977-05-11,152.6,152.8,151.6,,,151.9,222.0,5644.0
1977-05-12,151.7,152.5,150.8,,,152.3,340.0,5692.0
1977-05-13,153.0,153.3,152.1,,,152.8,378.0,5663.0
1977-05-16,152.3,153.1,152.0,,,153.1,117.0,5662.0
1977-05-17,152.8,152.9,151.9,,,152.1,119.0,5644.0
1977-05-18,151.3,151.7,150.6,,,151.4,346.0,5668.0
1977-05-19,151.0,152.1,150.5,,,151.5,242.0,5717.0
1977-05-20,151.8,152.0,151.0,,,151.4,242.0,5763.0
1977-05-23,151.4,151.4,149.0,,,149.5,518.0,5854.0
1977-05-24,149.8,149.8,147.2,,,148.2,762.0,5766.0
1977-05-25,148.7,148.8,147.3,,,148.3,469.0,5867.0
1977-05-26,147.2,147.8,145.5,,,146.6,1025.0,5799.0
1977-05-27,147.6,148.3,147.6,,,148.1,800.0,6012.0
1977-05-31,146.7,147.1,146.2,,,147.1,241.0,5971.0
1977-06-01,147.7,148.5,147.4,,,147.9,314.0,5973.0
1977-06-02,146.3,146.4,145.1,,,146.4,585.0,6008.0
1977-06-03,145.8,146.4,144.8,,,146.4,680.0,6065.0
1977-06-06,146.5,147.3,146.5,,,147.1,369.0,6050.0
1977-06-07,147.2,147.2,146.2,,,146.4,1153.0,6143.0
1977-06-08,145.7,146.3,145.4,,,145.5,436.0,6093.0
1977-06-09,144.8,144.8,143.0,,,143.4,1039.0,6543.0
1977-06-10,143.6,144.8,143.2,,,144.7,437.0,6509.0
1977-06-13,142.5,142.6,140.7,,,141.1,1601.0,6668.0
1977-06-14,140.0,140.8,139.8,,,140.1,1023.0,6817.0
1977-06-15,141.0,143.1,141.0,,,142.9,1304.0,6969.0
1977-06-16,143.6,144.0,142.0,,,142.7,670.0,7037.0
1977-06-17,142.3,143.1,141.5,,,143.1,500.0,7062.0
1977-06-20,143.8,144.0,143.0,,,143.5,861.0,7376.0
1977-06-21,145.0,145.3,144.0,,,144.2,1000.0,7478.0
1977-06-22,143.0,143.3,142.3,,,143.2,776.0,7732.0
1977-06-23,143.5,144.2,143.5,,,144.1,334.0,7785.0
1977-06-24,144.1,144.5,143.8,,,144.3,299.0,7822.0
1977-06-27,145.0,147.0,145.0,,,147.0,1133.0,7853.0
1977-06-28,146.2,146.8,145.4,,,145.5,1284.0,8056.0
1977-06-29,146.1,146.3,145.3,,,146.2,582.0,7989.0
1977-06-30,146.3,146.6,146.0,,,146.1,382.0,8026.0
1977-07-01,146.0,146.2,144.4,,,144.4,599.0,8100.0
1977-07-05,144.1,144.4,142.7,,,143.1,835.0,8443.0
1977-07-06,143.2,143.9,143.1,,,143.6,508.0,8543.0
1977-07-07,144.0,144.4,143.8,,,144.3,439.0,8577.0
1977-07-08,145.0,145.3,144.5,,,144.7,694.0,8562.0
1977-07-11,144.0,144.2,143.6,,,143.9,481.0,8642.0
1977-07-12,144.8,146.1,144.5,,,145.9,836.0,8623.0
1977-07-13,146.2,148.1,145.8,,,147.5,2022.0,9182.0
1977-07-15,148.2,148.5,146.7,,,147.2,1798.0,9475.0
1977-07-18,146.5,148.5,146.1,,,148.3,1274.0,9734.0
1977-07-19,148.6,149.4,147.5,,,147.7,1219.0,9971.0
1977-07-20,147.8,148.3,147.0,,,147.3,847.0,9957.0
1977-07-21,147.2,147.3,146.4,,,146.6,759.0,9949.0
1977-07-22,147.5,148.1,147.5,,,147.7,635.0,9920.0
1977-07-25,149.3,149.9,149.2,,,149.7,1098.0,10155.0
1977-07-26,148.5,149.2,148.2,,,149.1,872.0,10116.0
1977-07-27,148.3,149.1,147.6,,,147.8,1491.0,10205.0
1977-07-28,147.3,147.6,145.7,,,146.4,1681.0,10007.0
1977-07-29,147.0,148.0,146.5,,,147.1,1365.0,10075.0
1977-08-01,147.2,148.3,146.5,,,148.2,1025.0,9997.0
1977-08-02,148.6,149.1,148.1,,,148.3,1048.0,10021.0
1977-08-03,148.5,149.6,148.5,,,149.1,1294.0,10213.0
1977-08-04,149.9,150.2,148.5,,,148.6,1779.0,10252.0
1977-08-05,148.4,149.3,148.0,,,149.2,959.0,10101.0
1977-08-08,149.0,149.3,148.3,,,149.3,1204.0,10365.0
1977-08-09,149.3,150.0,148.5,,,148.5,1512.0,10135.0
1977-08-10,148.7,149.4,148.3,,,148.6,1174.0,9963.0
1977-08-11,148.1,148.9,147.8,,,148.6,1356.0,10179.0
1977-08-12,148.0,148.1,145.8,,,146.0,2414.0,9739.0
1977-08-15,146.6,146.7,144.0,,,144.7,4156.0,9716.0
1977-08-16,145.6,146.2,144.9,,,145.9,2377.0,9925.0
1977-08-17,146.3,146.6,145.7,,,146.4,1320.0,10196.0
1977-08-18,145.9,147.1,145.5,,,147.0,1732.0,10590.0
1977-08-19,146.9,147.3,146.7,,,146.8,1112.0,10730.0
1977-08-22,146.5,146.6,145.7,,,146.2,944.0,10801.0
1977-08-23,145.8,146.5,145.2,,,146.4,1372.0,10851.0
1977-08-24,146.2,147.3,146.2,,,146.9,1022.0,11075.0
1977-08-25,146.9,146.9,146.1,,,146.4,788.0,11090.0
1977-08-26,146.7,148.6,146.7,,,148.6,1876.0,11305.0
1977-08-29,148.2,148.6,148.0,,,148.1,1050.0,11351.0
1977-08-30,148.5,149.2,148.4,,,148.5,1704.0,11657.0
1977-08-31,148.8,148.9,147.9,,,148.1,1091.0,11528.0
1977-09-01,147.7,148.4,147.4,,,148.3,1908.0,12045.0
1977-09-02,148.5,150.9,148.5,,,150.8,3526.0,13136.0
1977-09-06,150.1,150.3,149.2,,,149.3,2371.0,13608.0
1977-09-07,149.6,151.2,149.5,,,150.6,2449.0,13853.0
1977-09-08,150.1,150.3,149.1,,,149.4,1514.0,13755.0
1977-09-09,149.7,150.5,149.4,,,150.4,1477.0,13816.0
1977-09-12,150.8,151.2,150.2,,,150.3,1396.0,13980.0
1977-09-13,149.8,150.3,149.7,,,150.0,803.0,13894.0
1977-09-14,150.2,151.0,150.1,,,150.4,1318.0,14317.0
1977-09-15,150.7,150.7,149.6,,,150.3,1228.0,14149.0
1977-09-16,150.8,151.9,150.5,,,151.5,2759.0,14461.0
1977-09-19,152.1,152.8,151.9,,,152.0,2819.0,14960.0
1977-09-20,151.9,153.6,151.7,,,153.5,2896.0,15159.0
1977-09-21,154.1,154.3,153.3,,,154.0,2269.0,15094.0
1977-09-22,154.3,154.6,153.8,,,154.1,1244.0,15168.0
1977-09-23,153.6,154.0,152.7,,,154.0,1639.0,15035.0
1977-09-26,155.3,156.1,155.2,,,155.9,2467.0,15616.0
1977-09-27,155.3,155.6,154.8,,,155.3,2247.0,15664.0
1977-09-28,156.5,156.9,155.5,,,155.6,2611.0,15788.0
1977-09-29,155.8,156.4,154.6,,,156.0,2696.0,15652.0
1977-09-30,156.5,157.1,156.3,,,156.4,2507.0,15426.0
1977-10-03,157.8,158.0,157.5,,,157.8,1609.0,15175.0
1977-10-04,157.3,158.0,156.8,,,157.8,2169.0,15590.0
1977-10-05,157.6,157.6,156.6,,,156.8,2391.0,15709.0
1977-10-06,156.0,156.7,155.4,,,155.5,3254.0,14835.0
1977-10-07,155.9,157.7,155.6,,,157.3,2602.0,14315.0
