Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2013-09-27,1351.9,1351.9,1351.9,,,1351.9,0.0,0.0
2013-09-30,1339.6,1339.6,1339.6,,,1339.6,0.0,0.0
2013-10-01,1298.2,1298.2,1298.2,,,1298.2,0.0,0.0
2013-10-02,1333.0,1333.0,1333.0,,,1333.0,0.0,0.0
2013-10-03,1329.7,1329.7,1329.7,,,1329.7,0.0,0.0
2013-10-04,1322.0,1322.0,1322.0,,,1322.0,0.0,0.0
2013-10-07,1337.1,1337.1,1337.1,,,1337.1,0.0,0.0
2013-10-08,1336.8,1336.8,1336.8,,,1336.8,300.0,300.0
2013-10-09,1319.0,1319.0,1319.0,,,1319.0,0.0,300.0
2013-10-10,1308.4,1308.4,1308.4,,,1308.4,0.0,300.0
2013-10-11,1279.1,1279.1,1279.1,,,1279.1,0.0,300.0
2013-10-14,1287.7,1287.7,1287.7,,,1287.7,0.0,300.0
2013-10-15,1283.9,1283.9,1283.9,,,1283.9,0.0,300.0
2013-10-16,1292.9,1292.9,1292.9,,,1292.9,330.0,630.0
2013-10-17,1333.3,1333.3,1333.3,,,1333.3,0.0,630.0
2013-10-18,1324.7,1324.7,1324.7,,,1324.7,0.0,630.0
2013-10-21,1325.8,1325.8,1325.8,,,1325.8,250.0,855.0
2013-10-22,1352.0,1352.0,1352.0,,,1352.0,0.0,855.0
2013-10-23,1343.2,1343.2,1343.2,,,1343.2,10.0,865.0
2013-10-24,1359.6,1359.6,1359.6,,,1359.6,0.0,865.0
2013-10-25,1361.7,1361.7,1361.7,,,1361.7,0.0,865.0
2013-10-28,1361.6,1361.6,1361.6,,,1361.6,0.0,865.0
2013-10-29,1354.8,1354.8,1354.8,,,1354.8,285.0,1080.0
2013-10-30,1358.4,1358.4,1358.4,,,1358.4,25.0,1055.0
2013-10-31,1332.4,1332.4,1332.4,,,1332.4,50.0,1005.0
2013-11-01,1321.9,1321.9,1321.9,,,1321.9,0.0,1005.0
2013-11-04,1323.6,1323.6,1323.6,,,1323.6,300.0,1305.0
2013-11-05,1317.5,1317.5,1317.5,,,1317.5,625.0,1930.0
2013-11-06,1326.9,1326.9,1326.9,,,1326.9,250.0,1860.0
2013-11-07,1317.5,1317.5,1317.5,,,1317.5,0.0,1860.0
2013-11-08,1294.2,1294.2,1294.2,,,1294.2,0.0,1860.0
2013-11-11,1290.7,1290.7,1290.7,,,1290.7,0.0,1860.0
2013-11-12,1280.8,1280.8,1280.8,,,1280.8,155.0,1730.0
2013-11-13,1277.9,1277.9,1277.9,,,1277.9,0.0,1730.0
2013-11-14,1295.6,1295.6,1295.6,,,1295.6,175.0,1830.0
2013-11-15,1296.6,1296.6,1296.6,,,1296.6,130.0,1955.0
2013-11-18,1281.3,1281.3,1281.3,,,1281.3,10.0,1965.0
2013-11-19,1282.5,1282.5,1282.5,,,1282.5,115.0,2080.0
2013-11-20,1266.8,1266.8,1266.8,,,1266.8,0.0,2080.0
2013-11-21,1251.7,1251.7,1251.7,,,1251.7,60.0,2100.0
2013-11-22,1252.2,1252.2,1252.2,,,1252.2,0.0,2100.0
2013-11-25,1249.2,1249.2,1249.2,,,1249.2,70.0,2170.0
2013-11-26,1249.2,1249.2,1249.2,,,1249.2,1010.0,1775.0
2013-11-27,1245.8,1245.8,1245.8,,,1245.8,50.0,1775.0
2013-11-29,1258.4,1258.4,1258.4,,,1258.4,0.0,1775.0
2013-12-02,1230.1,1230.1,1230.1,,,1230.1,0.0,1775.0
2013-12-03,1228.8,1228.8,1228.8,,,1228.8,0.0,1775.0
2013-12-04,1255.3,1255.3,1255.3,,,1255.3,0.0,1775.0
2013-12-05,1239.8,1239.8,1239.8,,,1239.8,0.0,1775.0
2013-12-06,1236.7,1236.7,1236.7,,,1236.7,30.0,1775.0
2013-12-09,1242.0,1242.0,1242.0,,,1242.0,0.0,1775.0
2013-12-10,1268.9,1268.9,1268.9,,,1268.9,0.0,1775.0
2013-12-11,1265.1,1265.1,1265.1,,,1265.1,0.0,1775.0
2013-12-12,1232.9,1232.9,1232.9,,,1232.9,0.0,1775.0
2013-12-13,1242.8,1242.8,1242.8,,,1242.8,0.0,1775.0
2013-12-16,1252.7,1252.7,1252.7,,,1252.7,0.0,1775.0
2013-12-17,1238.1,1238.1,1238.1,,,1238.1,0.0,1775.0
2013-12-18,1243.1,1243.1,1243.1,,,1243.1,0.0,1775.0
2013-12-19,1201.7,1201.7,1201.7,,,1201.7,0.0,1775.0
2013-12-20,1211.9,1211.9,1211.9,,,1211.9,0.0,1775.0
2013-12-23,1205.2,1205.2,1205.2,,,1205.2,0.0,1775.0
2013-12-24,1211.7,1211.7,1211.7,,,1211.7,0.0,1775.0
2013-12-26,1220.6,1220.6,1220.6,,,1220.6,0.0,1775.0
2013-12-27,1222.2,1222.2,1222.2,,,1222.2,0.0,1775.0
2013-12-30,1212.0,1212.0,1212.0,,,1212.0,0.0,1775.0
2013-12-31,1210.5,1210.5,1210.5,,,1210.5,0.0,1775.0
2014-01-02,1233.5,1233.5,1233.5,,,1233.5,0.0,1775.0
2014-01-03,1247.1,1247.1,1247.1,,,1247.1,0.0,1775.0
2014-01-06,1246.5,1246.5,1246.5,,,1246.5,0.0,1775.0
2014-01-07,1238.0,1238.0,1238.0,,,1238.0,0.0,1775.0
2014-01-08,1234.0,1234.0,1234.0,,,1234.0,0.0,1775.0
2014-01-09,1238.0,1238.0,1238.0,,,1238.0,620.0,1925.0
2014-01-10,1255.5,1255.5,1255.5,,,1255.5,0.0,1925.0
2014-01-13,1259.6,1259.6,1259.6,,,1259.6,75.0,1850.0
2014-01-14,1254.1,1254.1,1254.1,,,1254.1,0.0,1850.0
2014-01-15,1247.0,1247.0,1247.0,,,1247.0,0.0,1850.0
2014-01-16,1248.4,1248.4,1248.4,,,1248.4,0.0,1850.0
2014-01-17,1260.1,1260.1,1260.1,,,1260.1,0.0,1850.0
2014-01-21,1249.9,1249.9,1249.9,,,1249.9,0.0,1850.0
2014-01-22,1246.8,1246.8,1246.8,,,1246.8,0.0,1850.0
2014-01-23,1270.4,1270.4,1270.4,,,1270.4,0.0,1850.0
2014-01-24,1272.1,1272.1,1272.1,,,1272.1,0.0,1850.0
2014-01-27,1271.0,1271.0,1271.0,,,1271.0,5.0,1850.0
2014-01-28,1257.9,1257.9,1257.9,,,1257.9,1130.0,1795.0
2014-01-29,1269.4,1269.4,1269.4,,,1269.4,0.0,1795.0
2014-01-30,1249.7,1249.7,1249.7,,,1249.7,300.0,1725.0
2014-01-31,1246.8,1246.8,1246.8,,,1246.8,0.0,1725.0
2014-02-03,1266.6,1266.6,1266.6,,,1266.6,115.0,1705.0
2014-02-04,1257.5,1257.5,1257.5,,,1257.5,490.0,1723.0
2014-02-05,1263.3,1263.3,1263.3,,,1263.3,802.0,2273.0
2014-02-06,1263.8,1263.8,1263.8,,,1263.8,250.0,2313.0
2014-02-07,1269.3,1269.3,1269.3,,,1269.3,113.0,2320.0
2014-02-10,1281.1,1281.1,1281.1,,,1281.1,65.0,2320.0
2014-02-11,1296.3,1296.3,1296.3,,,1296.3,179.0,2467.0
2014-02-12,1300.8,1300.8,1300.8,,,1300.8,106.0,2511.0
2014-02-13,1306.0,1306.0,1306.0,,,1306.0,1080.0,3511.0
2014-02-14,1324.7,1324.7,1324.7,,,1324.7,25.0,3511.0
2014-02-18,1330.2,1330.2,1330.2,,5.5,1330.2,11.0,3510.0
2014-02-19,1325.8,1325.8,1325.8,,4.4,1325.8,1267.0,4546.0
2014-02-20,1322.4,1322.4,1322.4,,3.4,1322.4,25.0,4571.0
2014-02-21,1329.1,1329.1,1329.1,,6.7,1329.1,5.0,4573.0
2014-02-24,1343.3,1343.3,1343.3,,14.2,1343.3,5.0,4578.0
2014-02-25,1347.9,1347.9,1347.9,,4.6,1347.9,102.0,4605.0
2014-02-26,1333.2,1333.2,1333.2,,14.7,1333.2,0.0,4605.0
2014-02-27,1336.8,1336.8,1336.8,,3.6,1336.8,25.0,4630.0
2014-02-28,1327.0,1327.0,1327.0,,9.8,1327.0,3.0,4627.0
2014-03-03,1355.6,1355.6,1355.6,,28.6,1355.6,25.0,4652.0
2014-03-04,1342.2,1343.1,1342.2,,12.5,1343.1,63.0,4687.0
2014-03-05,1345.5,1345.5,1345.5,,2.4,1345.5,2.0,4687.0
2014-03-06,1357.2,1357.2,1357.2,,11.7,1357.2,66.0,4753.0
2014-03-07,1343.9,1343.9,1343.9,,13.3,1343.9,7.0,4757.0
2014-03-10,1341.8,1347.4,1341.8,,3.5,1347.4,127.0,4807.0
2014-03-11,1352.7,1352.7,1352.7,,5.3,1352.7,50.0,4807.0
2014-03-12,1376.1,1376.1,1376.1,,23.4,1376.1,57.0,4862.0
2014-03-13,1378.0,1378.0,1378.0,,1.9,1378.0,57.0,4867.0
2014-03-14,1384.6,1384.6,1384.6,,6.6,1384.6,250.0,4867.0
2014-03-17,1378.5,1378.5,1378.5,,6.1,1378.5,0.0,4867.0
2014-03-18,1364.5,1364.5,1364.5,,14.0,1364.5,0.0,4867.0
2014-03-19,1346.9,1346.9,1346.9,,17.6,1346.9,25.0,4892.0
2014-03-20,1336.5,1336.5,1336.5,,10.4,1336.5,15.0,4907.0
2014-03-21,1341.5,1341.5,1341.5,,5.0,1341.5,53.0,4947.0
2014-03-24,1316.3,1316.3,1316.3,,25.2,1316.3,857.0,5112.0
2014-03-25,1320.4,1320.4,1316.5,,0.2,1316.5,32.0,5144.0
2014-03-26,1317.8,1317.8,1305.5,,8.3,1308.2,1327.0,6077.0
2014-03-27,1299.6,1299.6,1299.6,,8.6,1299.6,25.0,6077.0
2014-03-28,1299.1,1299.1,1299.1,,0.5,1299.1,101.0,6178.0
2014-03-31,1288.8,1288.8,1288.6,,10.5,1288.6,6.0,6173.0
