Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1997-12-15,62.5,62.65,62.5,,,62.65,0.0,0.0
1997-12-16,62.7,62.7,62.7,,,62.7,0.0,0.0
1997-12-17,62.65,62.65,62.65,,,62.65,1.0,1.0
1997-12-18,62.7,62.7,62.7,,,62.7,0.0,1.0
1997-12-19,62.75,62.75,62.75,,,62.75,0.0,1.0
1997-12-22,62.8,62.8,62.8,,,62.8,0.0,1.0
1997-12-23,62.8,62.8,62.8,,,62.8,0.0,1.0
1997-12-24,62.85,62.85,62.85,,,62.85,0.0,1.0
1997-12-26,62.9,62.9,62.9,,,62.9,0.0,1.0
1997-12-29,62.7,62.7,62.7,,,62.7,0.0,1.0
1997-12-30,62.7,62.7,62.7,,,62.7,0.0,1.0
1997-12-31,62.65,62.65,62.65,,,62.65,0.0,1.0
1998-01-02,62.5,62.5,62.5,,,62.5,0.0,1.0
1998-01-05,62.4,62.4,62.4,,,62.4,0.0,1.0
1998-01-06,62.45,62.45,62.45,,,62.45,1.0,1.0
1998-01-07,62.45,62.45,62.45,,,62.45,0.0,1.0
1998-01-08,62.1,62.1,62.1,,,62.1,0.0,1.0
1998-01-09,62.5,62.5,62.5,,,62.5,0.0,1.0
1998-01-12,62.6,62.6,62.6,,,62.6,0.0,1.0
1998-01-13,62.7,62.7,62.7,,,62.7,0.0,1.0
1998-01-14,62.7,62.7,62.7,,,62.7,0.0,1.0
1998-01-15,62.7,62.7,62.7,,,62.7,5.0,6.0
1998-01-16,62.72,62.72,62.72,,,62.72,0.0,6.0
1998-01-20,62.75,62.75,62.75,,,62.75,0.0,6.0
1998-01-21,62.75,62.75,62.75,,,62.75,0.0,6.0
1998-01-22,62.9,62.9,62.9,,,62.9,0.0,6.0
1998-01-23,63.05,63.05,63.05,,,63.05,0.0,6.0
1998-01-26,63.1,63.1,63.1,,,63.1,0.0,6.0
1998-01-27,63.2,63.2,63.2,,,63.2,0.0,6.0
1998-01-28,63.2,63.2,63.2,,,63.2,0.0,6.0
1998-01-29,63.25,63.25,63.25,,,63.25,0.0,6.0
1998-01-30,63.25,63.25,63.25,,,63.25,0.0,6.0
1998-02-02,63.25,63.25,63.25,,,63.25,0.0,6.0
1998-02-03,63.4,63.4,63.4,,,63.4,1.0,5.0
1998-02-04,63.45,63.45,63.45,,,63.45,0.0,5.0
1998-02-05,63.45,63.45,63.45,,,63.45,0.0,5.0
1998-02-06,63.45,63.45,63.45,,,63.45,2.0,5.0
1998-02-09,63.47,63.47,63.47,,,63.47,0.0,5.0
1998-02-10,63.5,63.5,63.5,,,63.5,1.0,6.0
1998-02-11,63.52,63.52,63.52,,,63.52,1.0,6.0
1998-02-12,63.7,63.7,63.7,,,63.7,0.0,6.0
1998-02-13,64.1,64.1,64.1,,,64.1,0.0,6.0
1998-02-17,64.12,64.12,64.12,,,64.12,0.0,6.0
1998-02-18,64.15,64.15,64.15,,,64.15,0.0,6.0
1998-02-19,64.17,64.17,64.17,,,64.17,0.0,6.0
1998-02-20,64.6,64.6,64.6,,,64.6,0.0,6.0
1998-02-23,64.6,64.6,63.8,,,63.8,6.0,11.0
1998-02-24,63.8,63.8,63.8,,,63.8,2.0,11.0
1998-02-25,63.85,63.85,63.85,,,63.85,0.0,11.0
1998-02-26,63.85,63.85,63.7,,,63.7,2.0,11.0
1998-02-27,63.95,63.95,63.95,,,63.95,0.0,11.0
1998-03-02,64.0,64.0,64.0,,,64.0,0.0,11.0
1998-03-03,64.02,64.02,63.9,,,63.9,2.0,12.0
1998-03-04,63.75,63.75,63.6,,,63.6,6.0,17.0
1998-03-05,63.57,63.6,63.57,,,63.57,11.0,27.0
1998-03-06,63.55,63.85,63.55,,,63.85,6.0,33.0
1998-03-09,63.57,63.57,63.4,,,63.4,1.0,33.0
1998-03-10,63.5,63.5,63.4,,,63.4,21.0,44.0
1998-03-11,63.4,63.8,63.3,,,63.8,11.0,52.0
1998-03-12,63.75,63.75,63.75,,,63.75,9.0,54.0
1998-03-13,63.75,63.75,63.75,,,63.75,1.0,55.0
1998-03-16,63.25,63.5,63.25,,,63.5,4.0,57.0
1998-03-17,63.5,63.7,63.5,,,63.7,8.0,65.0
1998-03-18,63.75,65.15,63.75,,,65.15,4.0,69.0
1998-03-19,65.15,65.15,64.97,,,64.97,9.0,70.0
1998-03-20,64.8,64.82,64.8,,,64.82,1.0,70.0
1998-03-23,64.8,64.8,64.75,,,64.75,1.0,70.0
1998-03-24,64.2,64.5,64.1,,,64.5,7.0,76.0
1998-03-25,64.2,64.2,64.2,,,64.2,0.0,76.0
1998-03-26,63.75,63.97,63.7,,,63.97,4.0,80.0
1998-03-27,63.7,63.8,63.0,,,63.4,9.0,84.0
1998-03-30,64.2,64.2,64.2,,,64.2,1.0,84.0
1998-03-31,64.37,64.37,64.37,,,64.37,1.0,83.0
1998-04-01,64.37,64.37,64.37,,,64.37,0.0,83.0
1998-04-02,63.8,64.37,63.8,,,64.37,2.0,83.0
1998-04-03,64.5,65.3,64.5,,,65.3,15.0,86.0
1998-04-06,65.35,65.35,65.35,,,65.35,0.0,86.0
1998-04-07,65.0,65.0,65.0,,,65.0,0.0,86.0
1998-04-08,64.97,64.97,64.97,,,64.97,0.0,86.0
1998-04-09,64.97,64.97,64.97,,,64.97,0.0,86.0
1998-04-13,64.8,65.1,64.8,,,65.1,1.0,85.0
1998-04-14,64.9,64.97,64.9,,,64.97,6.0,87.0
1998-04-15,64.95,64.95,64.95,,,64.95,7.0,86.0
1998-04-16,64.95,65.47,64.95,,,65.47,11.0,86.0
1998-04-17,65.25,65.25,65.25,,,65.25,0.0,86.0
1998-04-20,65.25,65.5,65.25,,,65.5,5.0,90.0
1998-04-21,65.0,65.35,65.0,,,65.35,4.0,93.0
1998-04-22,65.25,65.47,65.07,,,65.47,8.0,97.0
1998-04-23,65.25,65.47,65.05,,,65.47,4.0,99.0
1998-04-24,65.3,65.3,65.1,,,65.22,8.0,101.0
1998-04-27,65.02,65.47,65.02,,,65.47,1.0,102.0
1998-04-28,65.47,65.47,65.47,,,65.47,0.0,102.0
1998-04-29,65.0,65.3,65.0,,,65.3,9.0,107.0
1998-04-30,65.22,65.22,65.22,,,65.22,0.0,107.0
1998-05-01,65.35,65.35,65.15,,,65.32,3.0,108.0
1998-05-04,65.2,65.35,65.2,,,65.35,3.0,109.0
1998-05-05,65.1,65.25,65.07,,,65.25,6.0,113.0
1998-05-06,64.7,64.8,64.2,,,64.3,2.0,114.0
1998-05-07,64.3,64.4,64.1,,,64.1,32.0,123.0
1998-05-08,64.0,64.0,64.0,,,64.0,8.0,144.0
1998-05-11,63.85,64.0,63.85,,,64.0,3.0,145.0
1998-05-12,63.97,64.3,63.95,,,64.3,12.0,151.0
1998-05-13,64.05,64.05,63.95,,,63.95,9.0,155.0
1998-05-14,64.0,64.0,64.0,,,64.0,0.0,155.0
1998-05-15,64.02,64.1,64.0,,,64.1,4.0,156.0
