Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2009-04-30,0.0,90.0,90.0,,,90.0,0.0,0.0
2009-05-01,0.0,90.0,90.0,,,90.0,0.0,0.0
2009-05-04,0.0,90.0,90.0,,,90.0,0.0,0.0
2009-05-05,0.0,90.0,90.0,,,90.0,0.0,0.0
2009-05-06,0.0,90.35,90.35,,,90.35,0.0,0.0
2009-05-07,0.0,90.35,90.35,,,90.35,0.0,0.0
2009-05-08,0.0,90.8,90.8,,,90.8,0.0,0.0
2009-05-11,0.0,91.0,91.0,,,91.0,0.0,0.0
2009-05-12,0.0,91.0,91.0,,,91.0,0.0,0.0
2009-05-13,0.0,91.0,91.0,,,91.0,0.0,0.0
2009-05-14,0.0,91.0,91.0,,,91.0,0.0,0.0
2009-05-15,0.0,91.0,91.0,,,91.0,0.0,0.0
2009-05-18,0.0,91.0,91.0,,,91.0,0.0,0.0
2009-05-19,0.0,91.75,91.75,,,91.75,0.0,0.0
2009-05-20,0.0,91.75,91.75,,,91.75,0.0,0.0
2009-05-21,0.0,91.75,91.75,,,91.75,0.0,0.0
2009-05-22,0.0,92.8,92.25,,,92.8,0.0,0.0
2009-05-26,0.0,93.2,93.0,,,93.2,0.0,0.0
2009-05-27,0.0,93.25,93.25,,,93.25,0.0,0.0
2009-05-28,0.0,93.25,93.25,,,93.25,0.0,0.0
2009-05-29,0.0,93.25,93.25,,,93.25,0.0,0.0
2009-06-01,0.0,93.25,93.25,,,93.25,0.0,0.0
2009-06-02,0.0,93.25,93.25,,,93.25,0.0,0.0
2009-06-03,0.0,93.25,93.25,,,93.25,0.0,0.0
2009-06-04,0.0,93.25,93.25,,,93.25,0.0,0.0
2009-06-05,0.0,93.25,93.25,,,93.25,0.0,0.0
2009-06-08,0.0,93.25,93.25,,,93.25,0.0,0.0
2009-06-09,0.0,93.25,93.25,,,93.25,0.0,0.0
2009-06-10,0.0,93.25,93.25,,,93.25,3.0,3.0
2009-06-11,0.0,93.25,93.25,,,93.25,0.0,3.0
2009-06-12,0.0,93.25,93.25,,,93.25,0.0,3.0
2009-06-15,0.0,93.25,93.25,,,93.25,0.0,3.0
2009-06-16,0.0,93.25,93.25,,,93.25,0.0,3.0
2009-06-17,0.0,93.25,93.25,,,93.25,0.0,3.0
2009-06-18,0.0,93.25,93.25,,,93.25,0.0,3.0
2009-06-19,0.0,93.25,93.25,,,93.25,0.0,3.0
2009-06-22,0.0,93.05,92.5,,,92.5,0.0,3.0
2009-06-23,0.0,92.5,92.5,,,92.5,0.0,3.0
2009-06-24,0.0,92.0,92.0,,,92.0,0.0,3.0
2009-06-25,0.0,92.0,92.0,,,92.0,0.0,3.0
2009-06-26,0.0,91.0,91.0,,,91.0,0.0,3.0
2009-06-29,0.0,91.5,91.5,,,91.5,0.0,3.0
2009-06-30,0.0,91.0,91.0,,,91.0,0.0,3.0
2009-07-01,0.0,91.3,91.0,,,91.0,0.0,3.0
