Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2007-08-13,87900.0,87900.0,87900.0,,,87900.0,0.0,0.0
2007-08-14,87400.0,87400.0,87400.0,,,87400.0,0.0,0.0
2007-08-15,86780.0,86780.0,86780.0,,,86780.0,0.0,0.0
2007-08-16,86050.0,86050.0,86050.0,,,86050.0,0.0,0.0
2007-08-17,87250.0,87250.0,87250.0,,,87250.0,0.0,0.0
2007-08-20,87050.0,87050.0,87050.0,,,87050.0,0.0,0.0
2007-08-21,86980.0,86980.0,86980.0,,,86980.0,0.0,0.0
2007-08-22,87530.0,87530.0,87530.0,,,87530.0,0.0,0.0
2007-08-23,87500.0,87500.0,87500.0,,,87500.0,0.0,0.0
2007-08-24,87900.0,87900.0,87900.0,,,87900.0,0.0,0.0
2007-08-27,87780.0,87780.0,87780.0,,,87780.0,0.0,0.0
2007-08-28,87130.0,87130.0,87130.0,,,87130.0,0.0,0.0
2007-08-29,87400.0,87400.0,87400.0,,,87400.0,0.0,0.0
2007-08-30,87400.0,87400.0,87400.0,,,87400.0,0.0,0.0
2007-08-31,87930.0,87930.0,87930.0,,,87930.0,0.0,0.0
2007-09-04,88080.0,88080.0,88080.0,,,88080.0,0.0,0.0
2007-09-05,87550.0,87550.0,87550.0,,,87550.0,0.0,0.0
2007-09-06,87780.0,87780.0,87780.0,,,87780.0,0.0,0.0
2007-09-07,87050.0,87050.0,87050.0,,,87050.0,8705.0,0.0
2007-09-10,87180.0,87180.0,87180.0,,,87180.0,0.0,0.0
2007-09-11,87650.0,87650.0,87650.0,,,87650.0,0.0,0.0
2007-09-12,87580.0,87580.0,87580.0,,,87580.0,0.0,0.0
2007-09-13,87530.0,87530.0,87530.0,,,87530.0,0.0,0.0
2007-09-14,87280.0,87280.0,87280.0,,,87280.0,0.0,0.0
2007-09-17,87150.0,87150.0,87150.0,,,87150.0,0.0,0.0
2007-09-18,87950.0,87950.0,87950.0,,,87950.0,0.0,0.0
2007-09-19,88330.0,88330.0,88330.0,,,88330.0,0.0,0.0
2007-09-20,88400.0,88400.0,88400.0,,,88400.0,0.0,0.0
2007-09-21,88530.0,88530.0,88530.0,,,88530.0,0.0,0.0
2007-09-24,88630.0,88630.0,88630.0,,,88630.0,0.0,0.0
2007-09-25,88850.0,88850.0,88830.0,,,88830.0,0.0,0.0
2007-09-26,88850.0,88850.0,88850.0,,,88850.0,0.0,0.0
2007-09-27,88930.0,88930.0,88930.0,,,88930.0,0.0,0.0
2007-09-28,88830.0,88830.0,88830.0,,,88830.0,0.0,0.0
2007-10-01,89250.0,89250.0,89250.0,,,89250.0,0.0,0.0
2007-10-02,89130.0,89130.0,89130.0,,,89130.0,0.0,0.0
2007-10-03,89050.0,89050.0,89050.0,,,89050.0,0.0,0.0
2007-10-04,89280.0,89280.0,89280.0,,,89280.0,0.0,0.0
2007-10-05,89600.0,89600.0,89600.0,,,89600.0,0.0,0.0
2007-10-09,89830.0,89830.0,89830.0,,,89830.0,0.0,0.0
2007-10-10,89750.0,89750.0,89750.0,,,89750.0,0.0,0.0
2007-10-11,89850.0,89850.0,89850.0,,,89850.0,0.0,0.0
2007-10-12,90030.0,90030.0,90030.0,,,90030.0,0.0,0.0
2007-10-15,89880.0,89880.0,89880.0,,,89880.0,0.0,0.0
2007-10-16,89780.0,89780.0,89780.0,,,89780.0,0.0,0.0
2007-10-17,89750.0,89750.0,89750.0,,,89750.0,0.0,0.0
2007-10-18,90200.0,90200.0,90200.0,,,90200.0,0.0,0.0
2007-10-19,90000.0,90000.0,90000.0,,,90000.0,0.0,0.0
2007-10-22,89680.0,89680.0,89680.0,,,89680.0,0.0,0.0
2007-10-23,89900.0,89900.0,89900.0,,,89900.0,0.0,0.0
2007-10-24,89730.0,89730.0,89730.0,,,89730.0,0.0,0.0
2007-10-25,89780.0,89780.0,89780.0,,,89780.0,0.0,0.0
2007-10-26,90530.0,90530.0,90530.0,,,90530.0,0.0,0.0
2007-10-29,90800.0,90800.0,90800.0,,,90800.0,0.0,0.0
2007-10-30,90680.0,90680.0,90680.0,,,90680.0,0.0,0.0
2007-10-31,91080.0,91080.0,91080.0,,,91080.0,0.0,0.0
