Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-08-18,,,,,20.0,58100.0,0.0,0.0
2015-08-19,,,,,600.0,57500.0,0.0,0.0
2015-08-20,,,,,510.0,56990.0,0.0,0.0
2015-08-21,,,,,850.0,56140.0,0.0,0.0
2015-08-24,,,,,720.0,55420.0,0.0,0.0
2015-08-25,,,,,380.0,55800.0,0.0,0.0
2015-08-26,,,,,240.0,55560.0,0.0,0.0
2015-08-27,,,,,870.0,56430.0,0.0,0.0
2015-08-28,,,,,530.0,56960.0,0.0,0.0
2015-08-31,,,,,100.0,57060.0,0.0,0.0
2015-09-01,,,,,840.0,56220.0,0.0,0.0
2015-09-02,,,,,350.0,56570.0,0.0,0.0
2015-09-03,,,,,120.0,56690.0,0.0,0.0
2015-09-04,,,,,330.0,56360.0,0.0,0.0
2015-09-08,,,,,460.0,56820.0,0.0,0.0
2015-09-09,,,,,150.0,56670.0,0.0,0.0
2015-09-10,,,,,260.0,56930.0,0.0,0.0
2015-09-11,,,,,160.0,56770.0,0.0,0.0
2015-09-14,,,,,130.0,56900.0,0.0,0.0
2015-09-15,,,,,160.0,57060.0,0.0,0.0
2015-09-16,,,,,550.0,57610.0,0.0,0.0
2015-09-17,,,,,610.0,58220.0,0.0,0.0
2015-09-18,,,,,570.0,57650.0,0.0,0.0
2015-09-21,,,,,270.0,57380.0,0.0,0.0
2015-09-22,,,,,770.0,56610.0,0.0,0.0
2015-09-23,,,,,760.0,55850.0,0.0,0.0
2015-09-24,,,,,650.0,56500.0,0.0,0.0
2015-09-25,,,,,120.0,56380.0,0.0,0.0
2015-09-28,,,,,410.0,55970.0,0.0,0.0
2015-09-29,,,,,70.0,56040.0,0.0,0.0
2015-09-30,,,,,440.0,56480.0,0.0,0.0
2015-10-01,,,,,190.0,56670.0,0.0,0.0
2015-10-02,,,,,330.0,57000.0,0.0,0.0
2015-10-05,,,,,220.0,57220.0,0.0,0.0
2015-10-06,,,,,150.0,57370.0,0.0,0.0
