Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2004-03-15,0.6025,0.6025,0.6025,0.6025,,0.6025,0.0,0.0
2004-03-16,0.6078,0.6078,0.6078,0.6078,,0.6078,0.0,0.0
2004-03-17,0.6105,0.6105,0.6105,0.6105,,0.6105,0.0,0.0
2004-03-18,0.6185,0.6185,0.6185,0.6185,,0.6185,0.0,0.0
2004-03-19,0.6145,0.6145,0.6145,0.6145,,0.6145,0.0,0.0
2004-03-22,0.6193,0.6193,0.6193,0.6193,,0.6193,0.0,0.0
2004-03-23,0.6195,0.6195,0.6195,0.6195,,0.6195,0.0,0.0
2004-03-24,0.6115,0.6115,0.6115,0.6115,,0.6115,0.0,0.0
2004-03-25,0.6065,0.6065,0.6065,0.6065,,0.6065,0.0,0.0
2004-03-26,0.61,0.61,0.61,0.61,,0.61,0.0,0.0
2004-03-29,0.611,0.611,0.611,0.611,,0.611,0.0,0.0
2004-03-30,0.6167,0.6167,0.6167,0.6167,,0.6167,0.0,0.0
2004-03-31,0.628,0.628,0.628,0.628,,0.628,0.0,0.0
2004-04-01,0.6285,0.6285,0.6285,0.6285,,0.6285,0.0,0.0
2004-04-02,0.618,0.618,0.618,0.618,,0.618,0.0,0.0
2004-04-05,0.61,0.61,0.61,0.61,,0.61,0.0,0.0
2004-04-06,0.6165,0.6165,0.6165,0.6165,,0.6165,0.0,0.0
2004-04-07,0.6185,0.6185,0.6185,0.6185,,0.6185,0.0,0.0
2004-04-08,0.6195,0.6195,0.6195,0.6195,,0.6195,0.0,0.0
2004-04-12,0.6227,0.6227,0.6227,0.6227,,0.6227,0.0,0.0
2004-04-13,0.6142,0.6142,0.6142,0.6142,,0.6142,0.0,0.0
2004-04-14,0.5952,0.5952,0.5952,0.5952,,0.5952,0.0,0.0
2004-04-15,0.5994,0.5994,0.5994,0.5994,,0.5994,0.0,0.0
2004-04-16,0.5995,0.5995,0.5995,0.5995,,0.5995,0.0,0.0
2004-04-19,0.6044,0.6044,0.6044,0.6044,,0.6044,0.0,0.0
2004-04-20,0.5949,0.5949,0.5949,0.5949,,0.5949,0.0,0.0
2004-04-21,0.5827,0.5827,0.5827,0.5827,,0.5827,0.0,0.0
2004-04-22,0.5884,0.5884,0.5884,0.5884,,0.5884,0.0,0.0
2004-04-23,0.5897,0.5897,0.5897,0.5897,,0.5897,0.0,0.0
2004-04-26,0.5909,0.5909,0.5909,0.5909,,0.5909,0.0,0.0
2004-04-27,0.5926,0.5926,0.5926,0.5926,,0.5926,0.0,0.0
2004-04-28,0.5844,0.5844,0.5844,0.5844,,0.5844,0.0,0.0
2004-04-29,0.5837,0.5837,0.5837,0.5837,,0.5837,0.0,0.0
2004-04-30,0.5894,0.5894,0.5894,0.5894,,0.5894,0.0,0.0
2004-05-03,0.5879,0.5879,0.5879,0.5879,,0.5879,0.0,0.0
2004-05-04,0.5944,0.5944,0.5944,0.5944,,0.5944,0.0,0.0
2004-05-05,0.5976,0.5976,0.5976,0.5976,,0.5976,0.0,0.0
2004-05-06,0.5934,0.5934,0.5934,0.5934,,0.5934,0.0,0.0
2004-05-07,0.581,0.581,0.581,0.581,,0.581,0.0,0.0
2004-05-10,0.5685,0.5685,0.5685,0.5685,,0.5685,0.0,0.0
2004-05-11,0.568,0.568,0.568,0.568,,0.568,0.0,0.0
2004-05-12,0.573,0.573,0.573,0.573,,0.573,0.0,0.0
