Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2014-12-16,0.7409,0.7409,0.7409,,,0.7409,0.0,0.0
2014-12-17,0.7328,0.7328,0.7328,,,0.7328,0.0,0.0
2014-12-18,0.7381,0.7381,0.7381,,,0.7381,0.0,0.0
2014-12-19,0.7390000000000001,0.7390000000000001,0.7390000000000001,,,0.7390000000000001,0.0,0.0
2014-12-22,0.7373,0.7373,0.7373,,,0.7373,0.0,0.0
2014-12-23,0.7340000000000001,0.7340000000000001,0.7340000000000001,,,0.7340000000000001,0.0,0.0
2014-12-24,0.7374,0.7374,0.7374,,,0.7374,0.0,0.0
2014-12-26,0.7404,0.7404,0.7404,,,0.7404,0.0,0.0
2014-12-29,0.7431,0.7431,0.7431,,,0.7431,0.0,0.0
2014-12-30,0.7468,0.7468,0.7468,,,0.7468,0.0,0.0
2014-12-31,0.7441,0.7441,0.7441,,,0.7441,0.0,0.0
2015-01-02,0.7355,0.7355,0.7355,,,0.7355,0.0,0.0
2015-01-05,0.7356,0.7356,0.7356,,,0.7356,0.0,0.0
2015-01-06,0.743,0.743,0.743,,,0.743,0.0,0.0
2015-01-07,0.7426,0.7426,0.7426,,,0.7426,0.0,0.0
2015-01-08,0.7458,0.7458,0.7458,,,0.7458,0.0,0.0
2015-01-09,0.7469,0.7469,0.7469,,,0.7469,0.0,0.0
2015-01-12,,,,,0.0049,0.742,0.0,0.0
2015-01-13,,,,,0.0048,0.7372,0.0,0.0
2015-01-14,,,,,0.0002,0.737,0.0,0.0
2015-01-15,,,,,0.0093,0.7463,0.0,0.0
2015-01-16,,,,,0.0034,0.7429,0.0,0.0
2015-01-20,,,,,0.0098,0.7331,0.0,0.0
2015-01-21,,,,,0.0097,0.7234,0.0,0.0
2015-01-22,,,,,0.0042,0.7192,0.0,0.0
2015-01-23,,,,,0.0046,0.7146,0.0,0.0
2015-01-26,,,,,0.0046,0.71,0.0,0.0
2015-01-27,,,,,0.0048,0.7148,0.0,0.0
2015-01-28,,,,,0.0015,0.7133,0.0,0.0
2015-01-29,,,,,0.0175,0.6958,0.0,0.0
2015-01-30,,,,,0.0009,0.6967,0.0,0.0
2015-02-02,,,,,0.0034,0.7001,0.0,0.0
2015-02-03,,,,,0.0065,0.7066,0.0,0.0
2015-02-04,,,,,0.0021,0.7087,0.0,0.0
2015-02-05,,,,,0.001,0.7097,0.0,0.0
2015-02-06,,,,,0.0032,0.7065,0.0,0.0
2015-02-09,,,,,0.0058,0.7123,0.0,0.0
2015-02-10,,,,,0.0014,0.7109,0.0,0.0
2015-02-11,,,,,0.0021,0.7088,0.0,0.0
2015-02-12,,,,,0.0059,0.7147,0.0,0.0
2015-02-13,,,,,0.0012,0.7159,0.0,0.0
2015-02-17,,,,,0.0094,0.7253,0.0,0.0
2015-02-18,,,,,0.0009,0.7262,0.0,0.0
2015-02-19,,,,,0.0043,0.7219,0.0,0.0
2015-02-20,,,,,0.0021,0.7240000000000001,0.0,0.0
2015-02-23,,,,,0.0011,0.7229,0.0,0.0
2015-02-24,,,,,0.0037,0.7192,0.0,0.0
2015-02-25,,,,,0.0058,0.725,0.0,0.0
2015-02-26,,,,,0.0014,0.7236,0.0,0.0
2015-02-27,,,,,0.0034,0.727,0.0,0.0
2015-03-02,,,,,0.0045,0.7225,0.0,0.0
2015-03-03,,,,,0.0035,0.726,0.0,0.0
2015-03-04,,,,,0.0037,0.7297,0.0,0.0
2015-03-05,,,,,0.0102,0.7195,0.0,0.0
2015-03-06,,,,,0.01,0.7095,0.0,0.0
2015-03-09,,,,,0.0005,0.71,0.0,0.0
2015-03-10,,,,,0.0109,0.6991,0.0,0.0
2015-03-11,,,,,0.0061,0.693,0.0,0.0
2015-03-12,,,,,0.0161,0.7091,0.0,0.0
2015-03-13,,,,,0.0041,0.705,0.0,0.0
2015-03-16,,,,,0.0056,0.7106,0.0,0.0
2015-03-17,,,,,0.0056,0.705,0.0,0.0
2015-03-18,,,,,0.0115,0.7165,0.0,0.0
2015-03-19,,,,,0.0055,0.711,0.0,0.0
2015-03-20,,,,,0.0162,0.7272,0.0,0.0
2015-03-23,,,,,0.0096,0.7368,0.0,0.0
2015-03-24,,,,,0.0002,0.7366,0.0,0.0
2015-03-25,,,,,0.0046,0.732,0.0,0.0
2015-03-26,,,,,0.0033,0.7287,0.0,0.0
2015-03-27,,,,,0.0013,0.73,0.0,0.0
2015-03-30,,,,,0.0071,0.7229,0.0,0.0
2015-03-31,,,,,0.0019,0.721,0.0,0.0
2015-04-01,,,,,0.0029,0.7181,0.0,0.0
2015-04-02,,,,,0.0055,0.7236,0.0,0.0
2015-04-06,,,,,0.0024,0.73,0.0,0.0
2015-04-07,,,,,0.0074,0.7226,0.0,0.0
2015-04-08,,,,,0.0065,0.7291,0.0,0.0
2015-04-09,,,,,0.0014,0.7277,0.0,0.0
2015-04-10,,,,,0.0007,0.727,0.0,0.0
2015-04-13,,,,,0.0087,0.7183,0.0,0.0
2015-04-14,,,,,0.0077,0.726,0.0,0.0
2015-04-15,,,,,0.0061,0.7321,0.0,0.0
2015-04-16,,,,,0.008,0.7401,0.0,0.0
2015-04-17,,,,,0.0015,0.7416,0.0,0.0
2015-04-20,,,,,0.0041,0.7375,0.0,0.0
2015-04-21,,,,,0.0012,0.7387,0.0,0.0
2015-04-22,,,,,0.001,0.7397,0.0,0.0
2015-04-23,,,,,0.0075,0.7322,0.0,0.0
2015-04-24,,,,,0.0016,0.7338,0.0,0.0
2015-04-27,,,,,0.0035,0.7373,0.0,0.0
2015-04-28,,,,,0.0082,0.7455,0.0,0.0
2015-04-29,,,,,0.002,0.7435,0.0,0.0
2015-04-30,,,,,0.0065,0.737,0.0,0.0
2015-05-01,,,,,0.0108,0.7262,0.0,0.0
2015-05-04,,,,,0.0015,0.7277,0.0,0.0
2015-05-05,,,,,0.0034,0.7311,0.0,0.0
2015-05-06,,,,,0.0062,0.7249,0.0,0.0
2015-05-07,,,,,0.0056,0.7193,0.0,0.0
2015-05-08,,,,,0.0027,0.722,0.0,0.0
2015-05-11,,,,,0.0108,0.7112,0.0,0.0
2015-05-12,,,,,0.0017,0.7129,0.0,0.0
2015-05-13,,,,,0.0108,0.7237,0.0,0.0
2015-05-14,,,,,0.0017,0.7254,0.0,0.0
2015-05-15,,,,,0.0001,0.7253,0.0,0.0
2015-05-18,,,,,0.0104,0.7149,0.0,0.0
2015-05-19,,,,,0.0028,0.7121,0.0,0.0
2015-05-20,,,,,0.0034,0.7087,0.0,0.0
2015-05-21,,,,,0.0019,0.7106,0.0,0.0
2015-05-22,,,,,0.0012,0.7094,0.0,0.0
2015-05-26,,,,,0.0087,0.7007,0.0,0.0
2015-05-27,,,,,0.0006,0.7013,0.0,0.0
2015-05-28,,,,,0.0046,0.6967,0.0,0.0
2015-05-29,,,,,0.0075,0.6892,0.0,0.0
2015-06-01,,,,,0.0016,0.6876,0.0,0.0
2015-06-02,,,,,0.0092,0.6968,0.0,0.0
2015-06-03,,,,,0.0043,0.6925,0.0,0.0
2015-06-04,,,,,0.0014,0.6911,0.0,0.0
2015-06-05,,,,,0.0078,0.6833,0.0,0.0
2015-06-08,,,,,0.0098,0.6931,0.0,0.0
2015-06-09,,,,,0.0002,0.6933,0.0,0.0
2015-06-10,,,,,0.0057,0.6990000000000001,0.0,0.0
2015-06-11,,,,,0.0172,0.6818,0.0,0.0
2015-06-12,,,,,0.002,0.6798,0.0,0.0
2015-06-15,,,,,0.0007,0.6805,0.0,0.0
2015-06-16,,,,,0.001,0.6795,0.0,0.0
2015-06-17,,,,,0.0011,0.6806,0.0,0.0
2015-06-18,,,,,0.0064,0.6742,0.0,0.0
2015-06-19,,,,,0.0024,0.6718,0.0,0.0
2015-06-22,,,,,0.003,0.6688,0.0,0.0
2015-06-23,,,,,0.0023,0.6665,0.0,0.0
2015-06-24,,,,,0.0043,0.6708,0.0,0.0
2015-06-25,,,,,0.0023,0.6731,0.0,0.0
2015-06-26,,,,,0.0063,0.6668,0.0,0.0
2015-06-29,,,,,0.0032,0.67,0.0,0.0
2015-06-30,,,,,0.0096,0.6604,0.0,0.0
2015-07-01,,,,,0.0029,0.6575,0.0,0.0
2015-07-02,,,,,0.0026,0.6549,0.0,0.0
2015-07-06,,,,,0.0024,0.6525,0.0,0.0
2015-07-07,,,,,0.0033,0.6492,0.0,0.0
2015-07-08,,,,,0.0065,0.6557,0.0,0.0
2015-07-09,,,,,0.0008,0.6565,0.0,0.0
2015-07-10,,,,,0.0013,0.6552,0.0,0.0
2015-07-14,,,,,0.0015,0.6547,0.0,0.0
2015-07-15,,,,,0.0106,0.6441,0.0,0.0
2015-07-16,,,,,0.0077,0.6364,0.0,0.0
2015-07-17,,,,,0.0018,0.6382,0.0,0.0
2015-07-20,,,,,0.0048,0.643,0.0,0.0
2015-07-21,,,,,0.0066,0.6496,0.0,0.0
2015-07-22,,,,,0.0056,0.644,0.0,0.0
2015-07-23,,,,,0.0032,0.6472,0.0,0.0
2015-07-24,,,,,0.0045,0.6427,0.0,0.0
2015-07-27,,,,,0.004,0.6467,0.0,0.0
2015-07-28,,,,,0.0071,0.6538,0.0,0.0
2015-07-29,,,,,0.0007,0.6531,0.0,0.0
2015-07-30,,,,,0.0074,0.6457,0.0,0.0
2015-07-31,,,,,0.0013,0.6444,0.0,0.0
2015-08-03,,,,,0.0008,0.6452,0.0,0.0
2015-08-04,,,,,0.0056,0.6396,0.0,0.0
2015-08-05,,,,,0.0036,0.636,0.0,0.0
2015-08-06,,,,,0.005,0.6409999999999999,0.0,0.0
2015-08-07,,,,,0.0085,0.6495,0.0,0.0
2015-08-10,,,,,0.0015,0.648,0.0,0.0
2015-08-11,,,,,0.0086,0.6394,0.0,0.0
2015-08-12,,,,,0.0088,0.6482,0.0,0.0
2015-08-13,,,,,0.0044,0.6438,0.0,0.0
2015-08-14,,,,,0.0029,0.6409,0.0,0.0
2015-08-17,,,,,0.0037,0.6446,0.0,0.0
2015-08-18,,,,,0.001,0.6456,0.0,0.0
2015-08-19,,,,,0.0031,0.6487,0.0,0.0
2015-08-20,,,,,0.0005,0.6492,0.0,0.0
2015-08-21,,,,,0.0063,0.6555,0.0,0.0
