Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2005-09-16,197.0,197.95,197.0,,,197.95,1.0,1.0
2005-09-19,209.7,209.7,209.7,,,209.7,0.0,1.0
2005-09-20,207.05,207.05,207.05,,,207.05,0.0,1.0
2005-09-21,207.65,207.65,207.65,,,207.65,0.0,1.0
2005-09-22,207.5,207.5,205.5,,,205.5,2.0,3.0
2005-09-23,203.75,203.75,203.75,,,203.75,0.0,3.0
2005-09-26,202.25,202.25,202.25,,,202.25,0.0,3.0
2005-09-27,204.25,204.25,204.25,,,204.25,0.0,3.0
2005-09-28,205.6,205.6,205.6,,,205.6,0.0,3.0
2005-09-29,207.0,207.0,204.3,,,204.3,1.0,4.0
2005-09-30,204.1,204.1,204.1,,,204.1,0.0,4.0
2005-10-03,201.45,201.45,201.45,,,201.45,0.0,4.0
2005-10-04,200.4,200.4,200.4,,,200.4,0.0,4.0
2005-10-05,199.7,199.7,199.7,,,199.7,0.0,4.0
2005-10-06,201.5,201.5,201.5,,,201.5,0.0,4.0
2005-10-07,209.05,209.05,209.05,,,209.05,0.0,4.0
2005-10-10,215.05,215.05,215.05,,,215.05,0.0,4.0
2005-10-11,217.2,217.2,217.2,,,217.2,0.0,4.0
2005-10-12,219.4,219.4,219.4,,,219.4,1.0,4.0
2005-10-13,215.95,215.95,215.95,,,215.95,0.0,4.0
2005-10-14,214.2,214.2,214.2,,,214.2,0.0,4.0
2005-10-17,225.25,225.25,221.3,,,221.3,2.0,6.0
2005-10-18,221.0,221.0,216.25,,,216.25,2.0,8.0
2005-10-19,214.75,214.75,214.75,,,214.75,0.0,8.0
2005-10-20,214.5,216.3,214.5,,,216.3,1.0,8.0
2005-10-21,216.3,216.3,216.3,,,216.3,3.0,7.0
2005-10-24,218.05,218.05,218.05,,,218.05,0.0,7.0
2005-10-25,225.8,225.8,225.8,,,225.8,0.0,7.0
2005-10-26,235.05,235.05,235.05,,,235.05,0.0,7.0
2005-10-27,232.95,232.95,232.95,,,232.95,0.0,7.0
2005-10-28,234.55,234.55,234.55,,,234.55,0.0,7.0
2005-10-31,237.0,237.0,231.9,,,231.9,1.0,8.0
2005-11-01,228.1,228.1,228.1,,,228.1,0.0,8.0
2005-11-02,233.2,233.2,233.2,,,233.2,0.0,8.0
2005-11-03,236.4,236.4,236.4,,,236.4,0.0,8.0
2005-11-04,237.0,237.0,230.85,,,230.85,1.0,9.0
2005-11-07,234.5,234.5,234.5,,,234.5,0.0,9.0
2005-11-08,237.5,237.5,237.5,,,237.5,0.0,9.0
2005-11-09,243.1,243.1,243.1,,,243.1,0.0,9.0
2005-11-10,244.0,252.0,244.0,,,247.45,2.0,10.0
2005-11-11,254.4,254.4,254.4,,,254.4,0.0,10.0
2005-11-14,265.0,265.0,259.2,,,259.2,30.0,30.0
2005-11-15,256.45,256.45,256.45,,,256.45,2.0,28.0
2005-11-16,263.0,266.3,263.0,,,266.3,4.0,32.0
2005-11-17,265.0,269.0,265.0,,,267.0,9.0,41.0
2005-11-18,271.0,272.0,271.0,,,272.0,5.0,40.0
2005-11-21,273.85,273.85,273.85,,,273.85,6.0,41.0
2005-11-22,271.0,271.0,265.65,,,265.65,5.0,44.0
2005-11-23,267.7,267.7,267.7,,,267.7,0.0,44.0
2005-11-28,270.0,270.0,268.9,,,268.9,2.0,45.0
2005-11-29,271.0,271.0,270.1,,,270.1,9.0,44.0
2005-11-30,265.5,265.5,262.5,,,262.5,11.0,48.0
2005-12-01,268.0,270.9,268.0,,,270.9,1.0,47.0
2005-12-02,270.0,275.1,270.0,,,275.1,33.0,56.0
2005-12-05,280.0,281.5,280.0,,,281.5,118.0,133.0
