Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2013-01-30,1699.3,1699.3,1699.3,,,1699.3,0.0,0.0
2013-01-31,1685.0,1685.0,1685.0,,,1685.0,0.0,0.0
2013-02-01,1698.0,1698.0,1698.0,,,1698.0,0.0,0.0
2013-02-04,1708.5,1708.5,1708.5,,,1708.5,0.0,0.0
2013-02-05,1717.8,1717.8,1717.8,,,1717.8,0.0,0.0
2013-02-06,1747.1,1747.1,1747.1,,,1747.1,0.0,0.0
2013-02-07,1733.1,1733.1,1733.1,,,1733.1,0.0,0.0
2013-02-08,1725.6,1725.6,1725.6,,,1725.6,0.0,0.0
2013-02-11,1706.7,1706.7,1706.7,,,1706.7,0.0,0.0
2013-02-12,1727.2,1727.2,1727.2,,,1727.2,0.0,0.0
2013-02-13,1739.7,1739.7,1739.7,,,1739.7,0.0,0.0
2013-02-14,1720.9,1720.9,1720.9,,,1720.9,0.0,0.0
2013-02-15,1687.8,1687.8,1687.8,,,1687.8,0.0,0.0
2013-02-19,1707.4,1707.4,1707.4,,,1707.4,0.0,0.0
2013-02-20,1657.4,1657.4,1657.4,,,1657.4,0.0,0.0
2013-02-21,1630.3,1630.3,1630.3,,,1630.3,0.0,0.0
2013-02-22,1617.3,1617.3,1617.3,,,1617.3,0.0,0.0
2013-02-25,1630.5,1630.5,1630.5,,,1630.5,0.0,0.0
2013-02-26,1626.4,1626.4,1626.4,,,1626.4,0.0,0.0
2013-02-27,1610.2,1610.2,1610.2,,,1610.2,0.0,0.0
2013-02-28,1593.2,1593.2,1593.2,,,1593.2,0.0,0.0
2013-03-01,1583.4,1583.4,1583.4,,,1583.4,0.0,0.0
2013-03-04,1575.1,1575.1,1575.1,,,1575.1,0.0,0.0
2013-03-05,1594.3,1594.3,1594.3,,,1594.3,0.0,0.0
2013-03-06,1588.6,1588.6,1588.6,,,1588.6,0.0,0.0
2013-03-07,1604.9,1604.9,1604.9,,,1604.9,0.0,0.0
2013-03-08,1613.9,1613.9,1613.9,,,1613.9,0.0,0.0
2013-03-11,1611.5,1611.5,1611.5,,,1611.5,0.0,0.0
2013-03-12,1605.4,1605.4,1605.4,,,1605.4,0.0,0.0
2013-03-13,1603.1,1603.1,1603.1,,,1603.1,0.0,0.0
2013-03-14,1600.0,1600.0,1600.0,,,1600.0,0.0,0.0
2013-03-15,1602.3,1602.3,1602.3,,,1602.3,0.0,0.0
2013-03-18,1589.3,1589.3,1589.3,,,1589.3,0.0,0.0
2013-03-19,1565.3,1565.3,1565.3,,,1565.3,0.0,0.0
2013-03-20,1573.9,1591.9,1573.8,,,1591.9,2.0,1.0
2013-03-21,1589.4,1589.4,1589.4,,,1589.4,0.0,1.0
2013-03-22,1591.1,1591.1,1591.1,,,1591.1,0.0,1.0
2013-03-25,1592.2,1592.2,1592.2,,,1592.2,0.0,1.0
2013-03-26,1575.1,1575.1,1575.1,,,1575.1,2.0,3.0
2013-03-27,1588.1,1588.1,1588.1,,,1588.1,0.0,3.0
2013-03-28,1577.0,1579.3,1577.0,,,1579.3,1.0,4.0
2013-04-01,1603.6,1603.6,1603.6,,,1603.6,0.0,4.0
2013-04-02,1579.1,1579.1,1579.1,,,1579.1,0.0,4.0
2013-04-03,1546.7,1546.7,1546.7,,,1546.7,0.0,4.0
2013-04-04,1539.6,1539.6,1522.6,,,1522.6,1.0,5.0
2013-04-05,1540.5,1540.5,1540.5,,,1540.5,0.0,5.0
2013-04-08,1542.1,1542.1,1542.1,,,1542.1,0.0,5.0
2013-04-09,1558.4,1558.4,1558.4,,,1558.4,0.0,5.0
2013-04-10,1535.1,1535.1,1535.1,,,1535.1,0.0,5.0
2013-04-11,1541.1,1541.1,1541.1,,,1541.1,0.0,5.0
2013-04-12,1501.2,1501.2,1501.2,,,1501.2,0.0,5.0
2013-04-15,1414.4,1429.9,1414.4,,,1429.9,2.0,4.0
2013-04-16,1455.7,1455.7,1455.7,,,1455.7,0.0,4.0
2013-04-17,1440.6,1440.6,1440.6,,,1440.6,0.0,4.0
2013-04-18,1434.2,1434.2,1434.2,,,1434.2,0.0,4.0
2013-04-19,1429.1,1429.1,1429.1,,,1429.1,0.0,4.0
2013-04-22,1441.9,1441.9,1441.9,,,1441.9,0.0,4.0
2013-04-23,1422.9,1422.9,1422.9,,,1422.9,0.0,4.0
2013-04-24,1435.9,1435.9,1435.9,,,1435.9,0.0,4.0
2013-04-25,1469.1,1469.1,1469.1,,,1469.1,0.0,4.0
2013-04-26,1481.6,1481.6,1481.6,,,1481.6,0.0,4.0
2013-04-29,1512.6,1512.6,1512.6,,,1512.6,0.0,4.0
2013-04-30,1512.3,1512.3,1512.3,,,1512.3,0.0,4.0
2013-05-01,1474.6,1474.6,1474.6,,,1474.6,0.0,4.0
2013-05-02,1505.3,1505.3,1505.3,,,1505.3,0.0,4.0
2013-05-03,1506.4,1506.4,1506.4,,,1506.4,0.0,4.0
2013-05-06,1512.9,1512.9,1512.9,,,1512.9,0.0,4.0
2013-05-07,1486.4,1486.4,1486.4,,,1486.4,0.0,4.0
2013-05-08,1510.1,1510.1,1510.1,,,1510.1,0.0,4.0
2013-05-09,1521.7,1521.7,1521.7,,,1521.7,0.0,4.0
2013-05-10,1491.2,1491.2,1491.2,,,1491.2,0.0,4.0
2013-05-13,1489.7,1489.7,1489.7,,,1489.7,0.0,4.0
2013-05-14,1507.1,1507.1,1507.1,,,1507.1,0.0,4.0
2013-05-15,1490.0,1495.9,1490.0,,,1495.9,1.0,4.0
2013-05-16,1490.9,1490.9,1490.9,,,1490.9,0.0,4.0
2013-05-17,1473.7,1473.7,1473.7,,,1473.7,0.0,4.0
2013-05-20,1490.3,1490.3,1490.3,,,1490.3,0.0,4.0
2013-05-21,1464.8,1464.8,1464.8,,,1464.8,0.0,4.0
2013-05-22,1475.5,1475.5,1475.5,,,1475.5,0.0,4.0
2013-05-23,1463.7,1463.7,1463.7,,,1463.7,0.0,4.0
2013-05-24,1458.5,1458.5,1458.5,,,1458.5,0.0,4.0
2013-05-28,1468.5,1468.5,1468.5,,,1468.5,0.0,4.0
2013-05-29,1459.8,1459.8,1459.8,,,1459.8,0.0,4.0
2013-05-30,1490.0,1490.0,1490.0,,,1490.0,0.0,4.0
2013-05-31,1468.9,1468.9,1468.9,,,1468.9,0.0,4.0
2013-06-03,1504.5,1504.5,1504.5,,,1504.5,0.0,4.0
2013-06-04,1498.4,1498.4,1498.4,,,1498.4,0.0,4.0
2013-06-05,1518.0,1518.0,1518.0,,,1518.0,0.0,4.0
2013-06-06,1536.8,1536.8,1536.8,,,1536.8,0.0,4.0
2013-06-07,1510.1,1510.1,1510.1,,,1510.1,1.0,4.0
