Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2009-11-16,1025.0,1025.0,1025.0,,,1025.0,0.0,0.0
2009-11-17,1030.0,1030.0,1030.0,,,1030.0,0.0,0.0
2009-11-18,1011.0,1011.0,1011.0,,,1011.0,0.0,0.0
2009-11-19,1011.0,1011.0,1011.0,,,1011.0,0.0,0.0
2009-11-20,1011.5,1011.5,1011.5,,,1011.5,0.0,0.0
2009-11-23,1018.0,1018.0,1018.0,,,1018.0,0.0,0.0
2009-11-24,1030.0,1030.0,1030.0,,,1030.0,0.0,0.0
2009-11-25,1046.75,1046.75,1046.75,,,1046.75,0.0,0.0
2009-11-27,1051.0,1051.0,1051.0,,,1051.0,0.0,0.0
2009-11-30,1063.0,1063.0,1063.0,,,1063.0,0.0,0.0
2009-12-01,1059.0,1059.0,1059.0,,,1059.0,0.0,0.0
2009-12-02,1043.0,1043.0,1043.0,,,1043.0,0.0,0.0
2009-12-03,1047.0,1047.0,1047.0,,,1047.0,0.0,0.0
2009-12-04,1039.0,1039.0,1039.0,,,1039.0,0.0,0.0
2009-12-07,1041.5,1041.5,1041.5,,,1041.5,0.0,0.0
2009-12-08,1035.5,1035.5,1035.5,,,1035.5,0.0,0.0
2009-12-09,1023.5,1023.5,1023.5,,,1023.5,0.0,0.0
2009-12-10,1025.0,1025.0,1025.0,,,1025.0,0.0,0.0
2009-12-11,1024.0,1024.0,1024.0,,,1024.0,0.0,0.0
2009-12-14,1032.0,1032.0,1032.0,,,1032.0,0.0,0.0
2009-12-15,1026.0,1026.0,1026.0,,,1026.0,0.0,0.0
2009-12-16,1034.5,1034.5,1034.5,,,1034.5,0.0,0.0
2009-12-17,1007.0,1007.0,1007.0,,,1007.0,0.0,0.0
2009-12-18,1004.0,1004.0,1004.0,,,1004.0,0.0,0.0
2009-12-21,991.5,991.5,991.5,,,991.5,0.0,0.0
2009-12-22,982.5,982.5,982.5,,,982.5,0.0,0.0
2009-12-23,994.5,994.5,994.5,,,994.5,0.0,0.0
2009-12-24,998.5,998.5,998.5,,,998.5,0.0,0.0
2009-12-28,1017.5,1017.5,1017.5,,,1017.5,0.0,0.0
2009-12-29,1019.5,1019.5,1019.5,,,1019.5,0.0,0.0
2009-12-30,1017.5,1017.5,1017.5,,,1017.5,0.0,0.0
2009-12-31,1014.75,1014.75,1014.75,,,1014.75,0.0,0.0
2010-01-04,1020.75,1020.75,1020.75,,,1020.75,0.0,0.0
2010-01-05,1023.75,1023.75,1023.75,,,1023.75,0.0,0.0
2010-01-06,1026.25,1026.25,1026.25,,,1026.25,0.0,0.0
2010-01-07,1009.75,1009.75,1009.75,,,1009.75,0.0,0.0
2010-01-08,1006.75,1006.75,1006.75,,,1006.75,0.0,0.0
2010-01-11,997.75,997.75,997.75,,,997.75,0.0,0.0
2010-01-12,985.75,985.75,985.75,,,985.75,0.0,0.0
2010-01-13,994.5,994.5,994.5,,,994.5,0.0,0.0
2010-01-14,978.5,978.5,978.5,,,978.5,0.0,0.0
2010-01-15,966.75,966.75,966.75,,,966.75,0.0,0.0
2010-01-19,963.0,963.0,963.0,,,963.0,0.0,0.0
2010-01-20,952.25,952.25,952.25,,,952.25,0.0,0.0
2010-01-21,957.25,957.25,957.25,,,957.25,0.0,0.0
2010-01-22,956.5,956.5,956.5,,,956.5,0.0,0.0
2010-01-25,948.75,948.75,948.75,,,948.75,0.0,0.0
2010-01-26,952.25,952.25,952.25,,,952.25,0.0,0.0
2010-01-27,940.25,940.25,940.25,,,940.25,0.0,0.0
2010-01-28,947.25,947.25,947.25,,,947.25,0.0,0.0
2010-01-29,939.25,939.25,939.25,,,939.25,0.0,0.0
2010-02-01,936.75,936.75,936.75,,,936.75,0.0,0.0
2010-02-02,946.5,946.5,946.5,,,946.5,0.0,0.0
2010-02-03,931.5,931.5,931.5,,,931.5,0.0,0.0
2010-02-04,935.25,935.25,935.25,,,935.25,0.0,0.0
2010-02-05,928.75,928.75,928.75,,,928.75,0.0,0.0
2010-02-08,938.25,938.25,938.25,,,938.25,0.0,0.0
2010-02-09,940.0,940.0,940.0,,,940.0,0.0,0.0
2010-02-10,943.25,943.25,943.25,,,943.25,0.0,0.0
2010-02-11,950.75,950.75,950.75,,,950.75,0.0,0.0
2010-02-12,950.25,950.25,950.25,,,950.25,0.0,0.0
2010-02-16,965.75,965.75,965.75,,,965.75,0.0,0.0
2010-02-17,956.5,956.5,956.5,,,956.5,0.0,0.0
2010-02-18,954.0,954.0,954.0,,,954.0,0.0,0.0
2010-02-19,949.0,949.0,949.0,,,949.0,0.0,0.0
2010-02-22,961.75,961.75,961.75,,,961.75,0.0,0.0
2010-02-23,953.25,953.25,953.25,,,953.25,0.0,0.0
2010-02-24,959.75,959.75,959.75,,,959.75,0.0,0.0
2010-02-25,955.25,955.25,955.25,,,955.25,0.0,0.0
2010-02-26,964.75,964.75,964.75,,,964.75,0.0,0.0
2010-03-01,964.25,964.25,964.25,,,964.25,0.0,0.0
2010-03-02,961.0,961.0,961.0,,,961.0,0.0,0.0
2010-03-03,962.75,962.75,962.75,,,962.75,0.0,0.0
2010-03-04,951.75,951.75,951.75,,,951.75,0.0,0.0
2010-03-05,952.25,952.25,952.25,,,952.25,0.0,0.0
2010-03-08,958.0,958.0,958.0,,,958.0,0.0,0.0
2010-03-09,954.25,954.25,954.25,,,954.25,0.0,0.0
2010-03-10,962.5,962.5,962.5,,,962.5,0.0,0.0
