Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1978-03-23,95.125,95.125,95.125,,,95.125,25.0,25.0
1978-03-27,94.5312,94.7188,94.5312,,,94.7188,6.0,29.0
1978-03-28,94.8438,94.8438,94.8125,,,94.8125,5.0,31.0
1978-03-29,94.75,94.75,94.75,,,94.75,103.0,134.0
1978-03-30,94.6562,94.6562,94.6562,,,94.6562,0.0,134.0
1978-03-31,94.1562,94.1562,94.1562,,,94.1562,0.0,134.0
1978-04-03,94.1562,94.1562,94.1562,,,94.1562,2.0,134.0
1978-04-04,94.2188,94.2188,94.2188,,,94.2188,0.0,134.0
1978-04-05,94.0,94.0312,94.0,,,94.0,1.0,135.0
1978-04-06,93.9375,93.9375,93.9375,,,93.9375,0.0,135.0
1978-04-07,93.9688,93.9688,93.9688,,,93.9688,0.0,135.0
1978-04-10,93.875,93.875,93.875,,,93.875,0.0,135.0
1978-04-11,93.7188,93.7188,93.7188,,,93.7188,0.0,135.0
1978-04-12,93.6875,93.6875,93.6875,,,93.6875,0.0,135.0
1978-04-13,93.8438,93.8438,93.8438,,,93.8438,0.0,135.0
1978-04-14,94.1875,94.1875,94.1875,,,94.1875,0.0,135.0
1978-04-17,94.375,94.4688,94.375,,,94.4062,0.0,135.0
1978-04-18,94.2812,94.2812,94.2812,,,94.2812,4.0,139.0
1978-04-19,94.5312,94.5312,93.9062,,,93.9062,3.0,136.0
1978-04-20,93.75,93.75,93.75,,,93.75,0.0,136.0
1978-04-21,93.7188,93.7188,93.7188,,,93.7188,0.0,136.0
1978-04-24,93.5312,93.5312,93.5312,,,93.5312,0.0,136.0
1978-04-25,93.6875,93.6875,93.6875,,,93.6875,0.0,136.0
1978-04-26,93.4062,93.4062,93.4062,,,93.4062,0.0,136.0
1978-04-27,93.2812,93.2812,93.2812,,,93.2812,0.0,136.0
1978-04-28,93.3125,93.4375,93.3125,,,93.4375,11.0,147.0
1978-05-01,93.4688,93.4688,93.4688,,,93.4688,0.0,147.0
1978-05-02,93.375,93.375,93.375,,,93.375,0.0,147.0
1978-05-03,93.2812,93.2812,93.2812,,,93.2812,0.0,147.0
1978-05-04,93.5938,93.5938,93.5938,,,93.5938,0.0,147.0
1978-05-05,93.0,93.0,93.0,,,93.0,0.0,147.0
1978-05-08,93.0,93.0,92.9375,,,92.9688,11.0,156.0
1978-05-09,93.0625,93.125,93.0625,,,93.125,30.0,177.0
1978-05-10,93.1875,93.1875,93.1875,,,93.1875,10.0,187.0
1978-05-11,93.0,93.1562,93.0,,,93.1562,15.0,202.0
1978-05-12,93.1562,93.1562,93.1562,,,93.1562,0.0,202.0
1978-05-15,93.2812,93.2812,93.2812,,,93.2812,0.0,202.0
1978-05-16,93.3125,93.3438,93.2188,,,93.3438,15.0,202.0
1978-05-17,93.5,93.5,93.4375,,,93.5,2.0,204.0
1978-05-18,93.2812,93.2812,92.9062,,,92.9062,5.0,204.0
1978-05-19,92.7812,92.7812,92.7812,,,92.7812,0.0,204.0
1978-05-22,92.7812,92.7812,92.7812,,,92.7812,20.0,204.0
1978-05-23,92.75,92.75,92.75,,,92.75,0.0,204.0
1978-05-24,92.4688,92.5312,92.4688,,,92.5,3.0,207.0
1978-05-25,92.3125,92.3438,92.2812,,,92.2812,1.0,207.0
1978-05-26,92.0625,92.0625,91.8438,,,91.8438,11.0,217.0
1978-05-30,91.9062,91.9062,91.875,,,91.875,1.0,217.0
1978-05-31,91.875,91.875,91.875,,,91.875,0.0,217.0
1978-06-01,91.9688,91.9688,91.9688,,,91.9688,0.0,217.0
1978-06-02,92.125,92.125,92.125,,,92.125,0.0,217.0
1978-06-05,92.4688,92.4688,92.3438,,,92.3438,1.0,216.0
1978-06-06,92.4688,92.5938,92.4688,,,92.5938,8.0,219.0
1978-06-07,92.5938,92.6562,92.5938,,,92.6562,1.0,219.0
1978-06-08,92.4688,92.4688,92.4688,,,92.4688,8.0,219.0
1978-06-09,92.4062,92.4062,92.4062,,,92.4062,0.0,219.0
1978-06-12,92.4688,92.4688,92.375,,,92.4062,13.0,219.0
1978-06-13,92.1562,92.2188,92.1562,,,92.2188,35.0,254.0
1978-06-14,92.3438,92.3438,92.3438,,,92.3438,0.0,254.0
1978-06-15,92.2812,92.2812,92.2812,,,92.2812,0.0,251.0
1978-06-16,92.0938,92.0938,92.0938,,,92.0938,0.0,251.0
1978-06-19,91.8438,91.9375,91.8438,,,91.9375,6.0,251.0
1978-06-20,91.7812,91.8125,91.75,,,91.75,45.0,209.0
1978-06-21,91.5625,91.5625,91.4062,,,91.4062,2.0,209.0
1978-06-22,91.4062,91.4688,91.4062,,,91.4688,31.0,199.0
1978-06-23,91.2812,91.3125,91.1875,,,91.1875,91.0,123.0
1978-06-26,91.0938,91.0938,91.0938,,,91.0938,10.0,131.0
1978-06-27,91.25,91.25,91.25,,,91.25,0.0,131.0
1978-06-28,91.25,91.3125,91.25,,,91.2812,11.0,121.0
1978-06-29,91.1562,91.2812,91.1562,,,91.1875,55.0,136.0
1978-06-30,91.0625,91.0625,91.0625,,,91.0625,0.0,136.0
1978-07-03,91.0625,91.0625,91.0625,,,91.0625,0.0,136.0
1978-07-05,91.0,91.0,90.9688,,,90.9688,10.0,139.0
1978-07-06,90.9375,90.9375,90.9375,,,90.9375,0.0,139.0
1978-07-07,90.625,90.625,90.5938,,,90.5938,27.0,136.0
1978-07-10,90.375,90.375,90.375,,,90.375,1.0,136.0
1978-07-11,90.4688,90.4688,90.375,,,90.375,7.0,130.0
1978-07-12,90.5938,90.5938,90.5,,,90.5,5.0,132.0
1978-07-13,90.375,90.4062,90.375,,,90.375,2.0,132.0
1978-07-14,90.5,90.5625,90.5,,,90.5625,2.0,132.0
1978-07-17,90.7812,90.9375,90.7812,,,90.9375,15.0,139.0
1978-07-18,91.0625,91.2812,91.0625,,,91.2812,114.0,193.0
1978-07-19,91.5312,91.5312,91.3125,,,91.4062,66.0,242.0
1978-07-20,91.0938,91.1562,91.0938,,,91.1562,3.0,242.0
1978-07-21,91.0,91.0312,91.0,,,91.0312,224.0,430.0
1978-07-24,90.9375,90.9375,90.9375,,,90.9375,40.0,452.0
1978-07-25,91.0,91.0,90.9375,,,90.9375,3.0,455.0
1978-07-26,91.1875,91.1875,91.125,,,91.125,21.0,456.0
1978-07-27,91.5312,91.8125,91.5312,,,91.8125,30.0,468.0
1978-07-28,92.0,92.125,92.0,,,92.125,1.0,469.0
1978-07-31,91.9375,91.9688,91.9062,,,91.9062,7.0,464.0
1978-08-01,91.8438,91.9688,91.8438,,,91.9688,8.0,462.0
1978-08-02,92.7188,92.7188,92.7188,,,92.7188,0.0,462.0
1978-08-03,93.0,93.4688,93.0,,,93.4688,13.0,463.0
1978-08-04,93.625,93.625,93.25,,,93.25,27.0,479.0
1978-08-07,93.25,93.25,93.0625,,,93.25,132.0,363.0
1978-08-08,93.6562,93.6562,93.6562,,,93.6562,0.0,363.0
1978-08-09,93.875,93.875,93.7188,,,93.7188,9.0,354.0
1978-08-10,93.5,93.5,92.9688,,,92.9688,1.0,354.0
1978-08-11,92.875,92.875,92.875,,,92.875,0.0,354.0
1978-08-14,92.5,92.5,92.3438,,,92.3438,7.0,352.0
1978-08-15,92.125,92.4375,91.9688,,,92.4375,6.0,352.0
1978-08-16,92.5312,92.5312,91.8438,,,91.8438,4.0,354.0
1978-08-17,92.2812,92.2812,92.2812,,,92.2812,0.0,354.0
1978-08-18,91.9062,92.3438,91.7812,,,92.3438,28.0,352.0
1978-08-21,93.0312,93.0312,93.0312,,,93.0312,0.0,352.0
1978-08-22,93.1562,93.1562,93.125,,,93.125,18.0,364.0
1978-08-23,93.5938,93.875,93.5938,,,93.875,78.0,365.0
1978-08-24,93.7812,93.7812,93.5625,,,93.6562,13.0,358.0
1978-08-25,94.0,94.0938,94.0,,,94.0938,6.0,364.0
1978-08-28,94.0312,94.0312,94.0312,,,94.0312,35.0,364.0
1978-08-29,93.6875,94.0312,93.4688,,,94.0312,1.0,363.0
1978-08-30,93.625,93.8125,93.5,,,93.6875,54.0,359.0
1978-08-31,93.6875,93.9375,93.6875,,,93.9375,20.0,359.0
1978-09-01,94.0625,94.0625,94.0,,,94.0,4.0,359.0
1978-09-05,94.25,94.5938,94.25,,,94.5938,2.0,358.0
1978-09-06,94.875,94.9062,94.875,,,94.9062,38.0,392.0
1978-09-07,94.7812,94.8125,94.6562,,,94.7812,7.0,392.0
1978-09-08,95.4062,95.4062,95.0,,,95.0625,13.0,400.0
1978-09-11,95.2188,95.3125,95.2188,,,95.3125,35.0,425.0
1978-09-12,95.5,95.5,95.5,,,95.5,153.0,431.0
1978-09-13,95.25,95.25,95.2188,,,95.2188,50.0,429.0
1978-09-14,95.1562,95.8438,95.125,,,95.8125,164.0,589.0
1978-09-15,95.4062,95.7188,95.3125,,,95.7188,46.0,582.0
1978-09-18,95.5938,95.5938,95.3125,,,95.375,68.0,589.0
1978-09-19,95.3125,95.3125,95.1875,,,95.2188,78.0,553.0
1978-09-20,94.75,94.75,94.4688,,,94.4688,7.0,560.0
1978-09-21,94.2188,94.2188,94.2188,,,94.2188,603.0,1003.0
1978-09-22,94.125,94.125,93.5938,,,93.5938,31.0,1003.0
1978-09-25,93.4688,93.5625,93.1875,,,93.5625,123.0,1018.0
1978-09-26,93.5625,93.9375,93.5625,,,93.9375,32.0,1023.0
1978-09-27,93.9062,93.9375,93.4375,,,93.4375,177.0,1089.0
1978-09-28,93.5312,93.5625,93.4062,,,93.5625,99.0,1074.0
1978-09-29,93.3438,93.5625,93.3125,,,93.3125,582.0,1385.0
1978-10-02,93.1562,93.1562,92.8438,,,92.9062,202.0,1535.0
1978-10-03,93.0625,93.2812,93.0625,,,93.2812,303.0,1632.0
1978-10-04,93.0,93.125,92.9375,,,93.0625,73.0,1648.0
1978-10-05,93.0,93.0625,93.0,,,93.0625,28.0,1668.0
1978-10-06,92.9688,93.7812,92.9688,,,93.625,20.0,1674.0
1978-10-09,93.5312,93.8125,93.5,,,93.7188,149.0,1742.0
1978-10-10,93.5312,94.0,93.5312,,,94.0,10.0,1745.0
1978-10-11,93.8125,94.1562,93.75,,,94.1562,14.0,1751.0
1978-10-12,94.0625,94.375,94.0625,,,94.375,102.0,1814.0
1978-10-13,94.3125,94.3125,94.1562,,,94.1562,98.0,1863.0
1978-10-16,93.5938,93.6875,93.5938,,,93.6562,41.0,1895.0
1978-10-17,93.6562,93.7188,93.6562,,,93.7188,26.0,1894.0
1978-10-18,93.5,93.5312,93.4375,,,93.4375,77.0,1909.0
1978-10-19,93.2812,93.3125,93.125,,,93.125,17.0,1919.0
1978-10-20,93.0,93.0,92.6562,,,92.6562,49.0,1939.0
1978-10-23,92.7812,92.9688,92.7812,,,92.9688,30.0,1949.0
1978-10-24,93.1875,93.2188,92.9375,,,92.9375,109.0,2018.0
1978-10-25,92.8125,92.9062,92.8125,,,92.9062,5.0,2017.0
1978-10-26,92.5938,92.5938,92.5,,,92.5,64.0,1999.0
1978-10-27,92.4375,92.4375,92.0625,,,92.0625,179.0,2065.0
1978-10-30,91.5625,91.5625,91.5625,,,91.5625,473.0,2182.0
1978-10-31,91.5625,91.5625,91.3125,,,91.5,508.0,2280.0
1978-11-01,92.25,92.25,92.25,,,92.25,0.0,2280.0
1978-11-02,93.0,93.0,92.625,,,93.0,91.0,2338.0
1978-11-03,92.75,92.75,92.625,,,92.625,3.0,2335.0
1978-11-06,92.75,93.0625,92.75,,,93.0312,57.0,2380.0
1978-11-08,92.9688,93.0938,92.9688,,,93.0938,83.0,2375.0
1978-11-09,93.0938,93.3125,93.0938,,,93.25,36.0,2407.0
1978-11-10,93.4375,93.5625,93.4062,,,93.5625,58.0,2452.0
1978-11-13,93.8438,93.8438,93.625,,,93.625,317.0,2496.0
1978-11-14,93.5625,93.9062,93.5625,,,93.9062,56.0,2489.0
1978-11-15,94.1875,94.4375,94.1875,,,94.4375,59.0,2514.0
1978-11-16,94.4688,94.5312,94.3438,,,94.5312,138.0,2607.0
1978-11-17,94.4688,94.5312,94.4688,,,94.5312,70.0,2551.0
1978-11-20,94.5,94.5312,94.5,,,94.5312,53.0,2511.0
1978-11-21,94.2188,94.2188,94.0312,,,94.0312,141.0,2548.0
1978-11-22,93.875,94.1562,93.875,,,94.1562,21.0,2568.0
1978-11-24,93.6875,93.6875,93.5625,,,93.5625,85.0,2652.0
1978-11-27,93.6562,93.6562,93.625,,,93.625,79.0,2580.0
1978-11-28,93.4375,93.4688,93.3125,,,93.4062,10.0,2580.0
1978-11-29,93.2812,93.3125,93.2812,,,93.3125,6.0,2585.0
1978-11-30,93.3125,93.3125,93.2812,,,93.3125,34.0,2614.0
1978-12-01,93.5,93.875,93.5,,,93.8125,22.0,2618.0
1978-12-04,93.6875,93.6875,93.4688,,,93.4688,138.0,2716.0
1978-12-05,93.375,93.4688,93.3125,,,93.3438,130.0,2774.0
1978-12-06,93.4375,93.4375,93.4375,,,93.4375,60.0,2814.0
1978-12-07,93.2188,93.2188,93.0,,,93.0312,162.0,2824.0
1978-12-08,93.1875,93.1875,92.9062,,,92.9062,704.0,2555.0
1978-12-11,92.9375,92.9375,92.8125,,,92.875,120.0,2675.0
1978-12-12,92.7188,92.7812,92.6562,,,92.6562,230.0,2900.0
1978-12-13,92.2812,92.2812,91.9688,,,92.0625,1519.0,3473.0
1978-12-14,92.0938,92.25,92.0938,,,92.25,791.0,3673.0
1978-12-15,91.9062,91.9375,91.875,,,91.9375,396.0,3803.0
1978-12-18,91.2188,91.4062,91.2188,,,91.4062,654.0,4111.0
1978-12-19,91.5,91.5312,91.3125,,,91.3438,861.0,4216.0
1978-12-20,91.2188,91.2188,90.9688,,,91.1562,562.0,4560.0
1978-12-21,91.0938,91.1875,91.0938,,,91.1875,491.0,4818.0
1978-12-22,91.5312,91.625,91.5312,,,91.5938,165.0,4653.0
1978-12-26,91.4375,91.5,91.4062,,,91.4062,39.0,4614.0
1978-12-27,91.625,91.6562,91.4062,,,91.4062,363.0,4305.0
1978-12-28,91.0,91.125,90.9375,,,90.9375,656.0,4250.0
1978-12-29,91.3125,91.3125,91.0625,,,91.125,204.0,4067.0
1979-01-02,90.8125,90.9062,90.8125,,,90.8438,64.0,4069.0
1979-01-03,91.1875,91.25,91.1875,,,91.2188,317.0,4041.0
1979-01-04,91.4375,91.5938,91.4375,,,91.5,1.0,4041.0
1979-01-05,91.2188,91.25,91.1562,,,91.2188,30.0,4026.0
1979-01-08,90.9062,90.9688,90.875,,,90.875,60.0,4071.0
1979-01-09,90.9062,90.9688,90.6562,,,90.6562,258.0,4028.0
1979-01-10,90.7812,90.7812,90.625,,,90.6875,22.0,4016.0
1979-01-11,90.7812,90.9688,90.7812,,,90.9688,431.0,3950.0
1979-01-12,91.3438,91.3438,91.0625,,,91.0625,17.0,3951.0
1979-01-15,91.1562,91.2188,91.0938,,,91.0938,6.0,3945.0
1979-01-16,91.1562,91.1562,90.9062,,,90.9062,27.0,3918.0
1979-01-17,90.9062,90.9062,90.9062,,,90.9062,24.0,3894.0
1979-01-18,90.8125,90.8438,90.7812,,,90.8438,156.0,4005.0
1979-01-19,91.25,91.25,91.125,,,91.125,21.0,4011.0
1979-01-22,91.4688,91.4688,91.4688,,,91.4688,4.0,4011.0
1979-01-23,91.5,91.5,91.4062,,,91.4062,15.0,4012.0
1979-01-24,91.3125,91.75,91.2812,,,91.75,69.0,4064.0
1979-01-25,92.4375,92.5,92.25,,,92.3125,337.0,4111.0
1979-01-26,92.2812,92.4062,92.1875,,,92.4062,9.0,4116.0
1979-01-29,92.5312,92.5312,91.9062,,,91.9062,15.0,4122.0
1979-01-30,92.0625,92.1562,91.9688,,,92.0938,321.0,4115.0
1979-01-31,92.4062,92.4062,92.0312,,,92.0938,26.0,4113.0
1979-02-01,92.2812,92.2812,92.2812,,,92.2812,2.0,4113.0
1979-02-02,92.4375,92.4375,92.2812,,,92.2812,33.0,4113.0
1979-02-05,91.8438,91.8438,91.7812,,,91.7812,4.0,4109.0
1979-02-06,91.6875,91.6875,91.2812,,,91.2812,75.0,4127.0
1979-02-07,90.875,90.875,90.75,,,90.8438,28.0,4133.0
1979-02-08,90.6562,90.9062,90.625,,,90.875,112.0,4194.0
1979-02-09,91.0312,91.0625,90.5938,,,90.5938,198.0,4299.0
1979-02-12,90.5,90.5,90.3125,,,90.3125,74.0,4290.0
1979-02-13,90.6562,90.7812,90.5938,,,90.75,245.0,4336.0
1979-02-14,90.8125,90.8125,90.5938,,,90.5938,31.0,4356.0
1979-02-15,90.625,90.75,90.5938,,,90.75,309.0,4557.0
1979-02-16,90.75,90.8125,90.75,,,90.7812,26.0,4531.0
1979-02-20,90.75,90.75,90.4375,,,90.4375,27.0,4499.0
1979-02-21,90.3125,90.3125,90.125,,,90.125,32.0,4526.0
1979-02-22,89.9062,90.0938,89.9062,,,90.0312,317.0,4626.0
1979-02-23,89.9688,90.0,89.8125,,,89.8438,40.0,4632.0
1979-02-26,90.2188,90.25,90.0625,,,90.0625,44.0,4632.0
1979-02-27,90.0,90.3438,90.0,,,90.3438,39.0,4609.0
