Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2008-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-20,0.0,0.0,0.0,0.0,24.2,24.2,0.0,0.0,0.0
2008-02-21,0.0,0.0,0.0,0.0,23.88,-0.32,0.0,0.0,0.0
2008-02-22,0.0,0.0,0.0,0.0,24.5,0.62,0.0,0.0,0.0
2008-02-25,24.0,24.0,24.0,24.0,23.21,-1.29,10.0,0.0,10.0
2008-02-26,0.0,0.0,0.0,0.0,24.0,0.79,0.0,0.0,10.0
2008-02-27,0.0,0.0,0.0,0.0,24.15,0.15,0.0,0.0,10.0
2008-02-28,24.4,24.4,24.4,24.4,24.25,0.1,3.0,0.0,13.0
2008-02-29,0.0,0.0,0.0,0.0,25.64,1.39,0.0,0.0,13.0
2008-03-03,0.0,0.0,0.0,0.0,25.18,-0.46,0.0,0.0,13.0
2008-03-04,0.0,0.0,0.0,0.0,24.57,-0.61,0.0,0.0,13.0
2008-03-05,24.9,24.9,24.9,24.9,23.91,-0.66,1.0,0.0,14.0
2008-03-06,24.08,24.08,24.08,24.08,24.83,0.92,10.0,0.0,14.0
2008-03-07,0.0,0.0,0.0,0.0,25.17,0.34,0.0,0.0,14.0
2008-03-10,0.0,0.0,0.0,0.0,25.33,0.16,0.0,0.0,14.0
2008-03-11,24.77,24.77,24.75,24.75,24.21,-1.12,11.0,0.0,25.0
2008-03-12,0.0,0.0,0.0,0.0,24.92,0.71,0.0,0.0,25.0
2008-03-13,0.0,0.0,0.0,0.0,25.35,0.43,0.0,0.0,25.0
2008-03-14,0.0,0.0,0.0,0.0,25.84,0.49,0.0,0.0,25.0
2008-03-17,0.0,0.0,0.0,0.0,25.52,-0.32,0.0,0.0,23.0
2008-03-18,24.03,24.03,24.03,24.03,24.78,-0.74,1.0,0.0,24.0
2008-03-19,0.0,0.0,0.0,0.0,25.38,0.6,0.0,0.0,24.0
2008-03-20,24.03,24.03,24.03,24.03,24.83,-0.55,2.0,0.0,24.0
2008-03-24,25.49,25.49,25.49,25.49,23.25,-1.58,1.0,0.0,24.0
2008-03-25,0.0,0.0,0.0,0.0,24.12,0.87,0.0,0.0,24.0
2008-03-26,0.0,0.0,0.0,0.0,24.46,0.34,0.0,0.0,24.0
2008-03-27,24.78,25.24,23.84,25.24,24.51,0.05,3.0,0.0,24.0
2008-03-28,0.0,0.0,0.0,0.0,24.6,0.09,0.0,0.0,24.0
2008-03-31,0.0,0.0,0.0,0.0,24.77,0.17,0.0,0.0,24.0
2008-04-01,24.37,24.37,24.37,24.37,24.09,-0.68,1.0,0.0,24.0
2008-04-02,23.52,24.9,23.52,24.9,24.03,-0.06,2.0,0.0,25.0
2008-04-03,0.0,0.0,0.0,0.0,24.15,0.12,0.0,0.0,25.0
2008-04-04,0.0,0.0,0.0,0.0,23.88,-0.27,0.0,0.0,25.0
2008-04-07,24.1,24.1,23.3,23.3,23.95,0.07,2.0,0.0,26.0
2008-04-08,24.29,24.29,24.29,24.29,24.02,0.07,1.0,0.0,26.0
2008-04-09,0.0,0.0,0.0,0.0,24.27,0.25,0.0,0.0,26.0
2008-04-10,23.46,25.44,23.46,25.44,24.25,-0.02,2.0,0.0,26.0
2008-04-11,0.0,0.0,0.0,0.0,24.81,0.56,0.0,0.0,26.0
2008-04-14,0.0,0.0,0.0,0.0,24.41,-0.4,0.0,0.0,26.0
2008-04-15,0.0,0.0,0.0,0.0,24.43,0.02,0.0,0.0,26.0
2008-04-16,24.15,24.15,23.85,23.86,23.57,-0.86,5.0,0.0,25.0
2008-04-17,0.0,0.0,0.0,0.0,23.71,0.14,0.0,0.0,25.0
2008-04-18,23.7,23.7,23.11,23.11,23.55,-0.16,13.0,0.0,36.0
2008-04-21,22.67,22.67,22.67,22.67,1.0,-22.55,1.0,0.0,37.0
2008-04-22,0.0,0.0,0.0,0.0,23.48,22.48,0.0,0.0,37.0
2008-04-23,0.0,0.0,0.0,0.0,23.73,0.25,0.0,0.0,37.0
2008-04-24,0.0,0.0,0.0,0.0,23.63,-0.1,0.0,0.0,37.0
2008-04-25,23.3,23.5,23.2,23.2,22.49,-1.14,3.0,0.0,38.0
2008-04-28,0.0,0.0,0.0,0.0,23.05,0.56,0.0,0.0,38.0
2008-04-29,0.0,0.0,0.0,0.0,23.55,0.5,0.0,0.0,38.0
2008-04-30,0.0,0.0,0.0,0.0,22.69,-0.86,0.0,0.0,38.0
2008-05-01,22.35,22.35,22.35,22.35,22.1,-0.59,1.0,0.0,39.0
2008-05-02,22.3,22.3,20.0,20.0,21.8,-0.3,12.0,0.0,39.0
2008-05-05,0.0,0.0,0.0,0.0,21.74,-0.06,0.0,0.0,49.0
2008-05-06,20.87,22.38,20.87,22.38,21.66,-0.08,2.0,0.0,49.0
2008-05-07,0.0,0.0,0.0,0.0,22.86,1.2,0.0,0.0,49.0
2008-05-08,22.42,22.42,22.13,22.13,22.13,-0.73,8.0,0.0,47.0
2008-05-09,22.7,22.7,22.7,22.7,22.3,0.17,1.0,0.0,47.0
2008-05-12,22.1,22.1,22.0,22.0,22.01,-0.29,2.0,0.0,47.0
2008-05-13,0.0,0.0,0.0,0.0,22.23,0.22,0.0,0.0,47.0
2008-05-14,21.85,21.85,21.85,21.85,22.59,0.36,1.0,0.0,47.0
2008-05-15,0.0,0.0,0.0,0.0,21.71,-0.88,0.0,0.0,47.0
2008-05-16,0.0,0.0,0.0,0.0,22.03,0.32,0.0,0.0,47.0
2008-05-19,22.13,22.13,22.05,22.05,22.13,0.1,2.0,0.0,49.0
2008-05-20,0.0,0.0,0.0,0.0,22.72,0.59,0.0,0.0,49.0
2008-05-21,0.0,0.0,0.0,0.0,23.86,1.14,0.0,0.0,49.0
2008-05-22,23.55,23.55,23.55,23.55,23.6,-0.26,1.0,0.0,50.0
2008-05-23,23.6,23.6,23.5,23.5,23.83,0.23,3.0,0.0,50.0
2008-05-27,0.0,0.0,0.0,0.0,23.83,0.0,0.0,0.0,50.0
2008-05-28,0.0,0.0,0.0,0.0,23.6,-0.23,0.0,0.0,47.0
2008-05-29,0.0,0.0,0.0,0.0,23.16,-0.44,0.0,0.0,47.0
2008-05-30,0.0,0.0,0.0,0.0,23.01,-0.15,0.0,0.0,47.0
2008-06-02,0.0,0.0,0.0,0.0,23.61,0.6,0.0,0.0,47.0
2008-06-03,21.25,24.5,21.25,23.9,23.94,0.33,71.0,0.0,56.0
2008-06-04,0.0,0.0,0.0,0.0,24.1,0.16,0.0,0.0,54.0
2008-06-05,23.8,23.83,23.8,23.83,23.44,-0.66,33.0,0.0,76.0
2008-06-06,0.0,0.0,0.0,0.0,24.45,1.01,0.0,0.0,76.0
2008-06-09,24.27,24.27,24.27,24.27,24.58,0.13,1.0,0.0,77.0
2008-06-10,0.0,0.0,0.0,0.0,24.5,-0.08,0.0,0.0,77.0
2008-06-11,0.0,0.0,0.0,0.0,24.45,-0.05,0.0,0.0,77.0
2008-06-12,24.63,24.63,24.63,24.63,24.48,0.03,1.0,0.0,78.0
2008-06-13,24.01,24.01,24.01,24.01,24.18,-0.3,31.0,0.0,78.0
2008-06-16,0.0,0.0,0.0,0.0,23.57,-0.61,0.0,0.0,78.0
2008-06-17,0.0,0.0,0.0,0.0,23.64,0.07,0.0,0.0,78.0
2008-06-18,0.0,0.0,0.0,0.0,23.75,0.11,0.0,0.0,78.0
2008-06-19,23.6,23.6,23.6,23.6,23.58,-0.17,1.0,0.0,77.0
2008-06-20,23.43,24.07,23.43,24.07,23.87,0.29,2.0,0.0,77.0
2008-06-23,23.58,23.58,23.58,23.58,23.53,-0.34,1.0,0.0,78.0
2008-06-24,23.41,23.41,23.41,23.41,23.5,-0.03,1.0,0.0,77.0
2008-06-25,22.81,22.81,22.81,22.81,23.02,-0.48,1.0,0.0,78.0
2008-06-26,24.24,24.24,24.24,24.24,24.26,1.24,3.0,0.0,78.0
2008-06-27,0.0,0.0,0.0,0.0,24.11,-0.15,0.0,0.0,78.0
2008-06-30,23.75,23.76,23.75,23.75,23.85,-0.26,3.0,0.0,80.0
2008-07-01,24.12,24.12,23.9,23.9,23.64,-0.21,4.0,0.0,80.0
2008-07-02,24.1,24.1,23.7,24.1,24.2,0.56,48.0,0.0,120.0
2008-07-03,0.0,0.0,0.0,0.0,24.1,-0.1,0.0,0.0,115.0
2008-07-07,23.88,24.25,23.88,24.25,24.15,0.05,2.0,0.0,115.0
2008-07-08,23.81,23.81,23.6,23.6,23.19,-0.96,2.0,0.0,117.0
2008-07-09,24.0,24.2,24.0,24.2,24.15,0.96,23.0,0.0,116.0
2008-07-10,0.0,0.0,0.0,0.0,24.25,0.1,0.0,0.0,116.0
2008-07-11,0.0,0.0,0.0,0.0,24.55,0.3,0.0,0.0,116.0
2008-07-14,24.7,24.7,24.7,24.7,24.62,0.07,2.0,0.0,118.0
2008-07-15,24.23,24.23,24.23,24.23,24.26,-0.36,1.0,0.0,117.0
2008-07-16,24.25,24.25,23.64,23.64,23.5,-0.76,10.0,0.0,124.0
2008-07-17,23.65,23.65,23.11,23.2,23.26,-0.24,54.0,0.0,152.0
2008-07-18,0.0,0.0,0.0,0.0,23.12,-0.14,0.0,0.0,152.0
2008-07-21,0.0,0.0,0.0,0.0,22.95,-0.17,0.0,0.0,152.0
2008-07-22,22.85,22.85,22.46,22.46,22.49,-0.46,8.0,0.0,158.0
2008-07-23,22.25,22.65,22.25,22.6,22.7,0.21,102.0,0.0,248.0
2008-07-24,23.3,23.3,23.3,23.3,23.45,0.75,2.0,0.0,228.0
2008-07-25,23.1,23.1,23.01,23.01,23.31,-0.14,2.0,0.0,228.0
2008-07-28,23.69,23.69,23.69,23.69,23.65,0.34,21.0,0.0,249.0
2008-07-29,23.22,23.22,23.2,23.2,23.06,-0.59,2.0,0.0,250.0
2008-07-30,0.0,0.0,0.0,0.0,22.6,-0.46,0.0,0.0,250.0
2008-07-31,0.0,0.0,0.0,0.0,22.9,0.3,0.0,0.0,250.0
2008-08-01,0.0,0.0,0.0,0.0,23.13,0.23,0.0,0.0,250.0
2008-08-04,23.08,23.48,23.08,23.48,23.03,-0.1,4.0,0.0,250.0
2008-08-05,22.62,22.75,22.55,22.6,22.57,-0.46,83.0,0.0,263.0
2008-08-06,0.0,0.0,0.0,0.0,22.41,-0.16,0.0,0.0,263.0
2008-08-07,22.58,22.9,22.58,22.9,22.85,0.44,153.0,0.0,414.0
2008-08-08,22.57,22.85,22.57,22.85,22.68,-0.17,113.0,0.0,527.0
2008-08-11,22.65,22.89,22.3,22.89,22.83,0.15,60.0,0.0,582.0
2008-08-12,23.25,23.49,23.2,23.2,23.3,0.47,136.0,0.0,717.0
2008-08-13,23.16,23.16,23.16,23.16,22.97,-0.33,12.0,0.0,702.0
2008-08-14,21.74,23.25,21.74,23.25,22.95,-0.02,2.0,0.0,690.0
2008-08-15,22.87,22.88,22.84,22.84,22.76,-0.19,43.0,0.0,690.0
2008-08-18,23.43,23.43,23.43,23.43,23.08,0.32,1.0,0.0,691.0
2008-08-19,23.56,23.7,23.51,23.7,23.64,0.56,152.0,0.0,842.0
2008-08-20,23.4,23.42,23.27,23.27,23.32,-0.32,4.0,0.0,842.0
2008-08-21,23.51,23.51,23.18,23.42,23.45,0.13,37.0,0.0,857.0
2008-08-22,23.06,23.44,23.06,23.4,23.44,-0.01,132.0,0.0,967.0
2008-08-25,23.75,23.82,23.75,23.82,23.84,0.4,83.0,0.0,967.0
2008-08-26,0.0,0.0,0.0,0.0,23.74,-0.1,0.0,0.0,967.0
2008-08-27,0.0,0.0,0.0,0.0,23.43,-0.31,0.0,0.0,967.0
2008-08-28,23.36,23.36,23.2,23.24,23.23,-0.2,32.0,0.0,978.0
2008-08-29,23.65,23.65,23.45,23.59,23.59,0.36,35.0,0.0,1002.0
2008-09-02,23.5,23.63,23.5,23.63,23.73,0.14,2.0,0.0,985.0
2008-09-03,23.83,24.07,23.83,23.88,23.83,0.1,22.0,0.0,1003.0
2008-09-04,24.5,24.5,24.44,24.45,24.48,0.65,6.0,0.0,999.0
2008-09-05,24.25,24.25,24.11,24.11,24.17,-0.31,17.0,0.0,991.0
2008-09-08,23.59,23.9,23.48,23.7,23.68,-0.49,16.0,0.0,987.0
2008-09-09,23.9,24.75,23.9,24.71,24.7,1.02,38.0,0.0,1005.0
2008-09-10,24.54,24.7,24.25,24.25,24.29,-0.41,30.0,0.0,1029.0
2008-09-11,23.95,24.6,23.95,24.42,24.38,0.09,116.0,0.0,1121.0
2008-09-12,25.1,25.1,24.44,24.45,24.42,0.04,64.0,0.0,1157.0
2008-09-15,26.0,26.0,24.42,25.02,25.13,0.71,339.0,0.0,1334.0
2008-09-16,24.73,25.02,24.63,24.63,24.64,-0.49,332.0,0.0,1397.0
2008-09-17,25.02,25.64,25.02,25.64,25.32,0.68,33.0,0.0,1388.0
2008-09-18,25.09,25.59,24.4,24.5,24.47,-0.85,73.0,0.0,1447.0
2008-09-19,24.25,24.26,24.24,24.25,24.18,-0.29,46.0,0.0,1448.0
2008-09-22,24.09,25.05,24.09,24.91,25.01,0.83,68.0,0.0,1487.0
2008-09-23,24.99,25.95,24.99,25.89,25.74,0.73,184.0,0.0,1597.0
2008-09-24,25.88,25.88,25.55,25.76,25.65,-0.09,64.0,0.0,1543.0
2008-09-25,25.39,25.45,25.19,25.38,25.4,-0.25,60.0,0.0,1539.0
2008-09-26,25.85,25.85,25.44,25.54,25.46,0.06,180.0,0.0,1619.0
2008-09-29,26.11,27.9,25.93,27.51,27.4,1.94,130.0,0.0,1694.0
2008-09-30,26.63,26.7,26.46,26.7,26.6,-0.8,41.0,0.0,1615.0
2008-10-01,27.25,27.38,26.62,27.0,26.94,0.34,51.0,0.0,1660.0
2008-10-02,27.48,27.81,27.3,27.55,27.58,0.64,46.0,0.0,1701.0
2008-10-03,27.0,27.87,27.0,27.8,27.84,0.26,134.0,0.0,1713.0
2008-10-06,28.5,29.67,28.02,28.6,28.27,0.43,168.0,0.0,1775.0
2008-10-07,27.87,29.49,27.75,29.0,28.85,0.58,163.0,0.0,1878.0
2008-10-08,30.5,30.5,28.55,28.83,28.96,0.11,211.0,0.0,1909.0
2008-10-09,28.97,31.32,28.78,30.7,30.96,2.0,191.0,0.0,2072.0
2008-10-10,31.57,32.52,30.3,31.53,31.35,0.39,150.0,0.0,2098.0
2008-10-13,30.0,30.72,29.5,29.76,29.83,-1.52,106.0,0.0,2178.0
2008-10-14,29.0,30.57,29.0,30.55,30.58,0.75,20.0,0.0,2178.0
2008-10-15,30.99,35.0,30.81,35.0,33.85,3.27,66.0,0.0,2204.0
2008-10-16,33.15,35.08,32.7,34.2,34.32,0.47,367.0,0.0,2528.0
2008-10-17,34.27,35.69,32.65,34.5,34.75,0.43,43.0,0.0,2548.0
2008-10-20,34.27,34.27,33.6,33.6,33.79,-0.96,7.0,0.0,2548.0
2008-10-21,33.4,34.4,33.1,33.32,33.82,0.03,339.0,0.0,2711.0
2008-10-22,35.2,36.78,35.2,36.3,36.03,2.21,51.0,0.0,2744.0
2008-10-23,35.4,37.85,35.4,36.64,36.48,0.45,210.0,0.0,2885.0
2008-10-24,39.0,40.09,37.31,39.39,39.23,2.75,317.0,0.0,3038.0
2008-10-27,39.3,40.38,36.9,39.7,39.98,0.75,539.0,0.0,3209.0
2008-10-28,38.61,40.1,37.01,37.26,37.16,-2.82,110.0,0.0,3149.0
2008-10-29,37.22,38.59,37.22,38.14,38.47,1.31,63.0,0.0,3164.0
2008-10-30,37.9,39.21,37.09,38.7,38.84,0.37,105.0,0.0,3242.0
2008-10-31,38.5,40.05,38.5,39.38,39.34,0.5,121.0,0.0,3293.0
2008-11-03,39.4,39.4,38.21,39.12,39.0,-0.34,124.0,0.0,3342.0
2008-11-04,37.59,38.02,36.55,37.84,37.84,-1.16,161.0,0.0,3409.0
2008-11-05,38.4,40.25,38.0,40.1,40.11,2.27,233.0,0.0,3479.0
2008-11-06,41.41,44.61,40.6,43.24,42.51,2.4,111.0,0.0,3561.0
2008-11-07,41.75,43.19,41.75,42.14,42.02,-0.49,78.0,0.0,3571.0
2008-11-10,42.0,43.6,42.0,43.4,42.73,0.71,29.0,0.0,3583.0
2008-11-11,44.69,45.27,43.35,43.5,43.54,0.81,57.0,0.0,3623.0
2008-11-12,43.85,46.0,43.85,45.55,45.13,1.59,19.0,0.0,3610.0
2008-11-13,45.0,46.4,44.01,44.2,44.28,-0.85,290.0,0.0,3725.0
2008-11-14,45.13,46.38,45.0,46.3,46.09,1.81,397.0,0.0,4073.0
2008-11-17,46.78,48.0,46.3,47.78,47.43,1.34,47.0,0.0,4089.0
2008-11-18,47.91,49.96,47.6,48.65,48.59,1.16,96.0,0.0,4104.0
