Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
1999-07-23,313.0,315.5,313.0,,,314.5,1.0,1.0
1999-07-26,312.0,312.0,312.0,,,312.0,0.0,1.0
1999-07-27,307.0,307.0,307.0,,,307.0,0.0,1.0
1999-07-28,311.5,311.5,311.5,,,311.5,0.0,1.0
1999-07-29,313.5,313.5,313.5,,,313.5,0.0,1.0
1999-07-30,318.0,318.0,318.0,,,318.0,0.0,1.0
1999-08-02,328.5,334.0,327.5,,,334.0,46.0,35.0
1999-08-03,327.0,329.0,324.0,,,325.5,21.0,56.0
1999-08-04,323.5,329.0,323.5,,,329.0,2.0,58.0
1999-08-05,333.0,333.0,333.0,,,333.0,0.0,58.0
1999-08-06,328.5,335.0,328.5,,,333.5,4.0,60.0
1999-08-09,333.5,333.5,333.5,,,333.5,0.0,60.0
1999-08-10,333.0,335.0,333.0,,,335.0,2.0,60.0
1999-08-11,326.0,326.0,326.0,,,326.0,0.0,60.0
1999-08-12,319.0,319.0,316.0,,,318.5,1.0,60.0
1999-08-13,318.0,323.5,318.0,,,323.5,2.0,59.0
1999-08-16,324.0,324.0,324.0,,,324.0,0.0,59.0
1999-08-17,324.0,324.0,324.0,,,324.0,0.0,59.0
1999-08-18,326.5,326.5,326.5,,,326.5,0.0,59.0
1999-08-19,327.0,327.0,327.0,,,327.0,0.0,59.0
1999-08-20,324.0,324.0,324.0,,,324.0,0.0,59.0
1999-08-23,326.5,326.5,326.5,,,326.5,0.0,59.0
1999-08-24,324.5,324.5,324.5,,,324.5,0.0,59.0
1999-08-25,326.0,326.0,326.0,,,326.0,0.0,59.0
1999-08-26,323.0,323.0,323.0,,,323.0,0.0,59.0
1999-08-27,318.5,318.5,318.5,,,318.5,0.0,59.0
1999-08-30,316.0,316.0,316.0,,,316.0,0.0,59.0
1999-08-31,318.0,321.0,318.0,,,321.0,12.0,64.0
1999-09-01,321.5,324.0,321.5,,,324.0,4.0,64.0
1999-09-02,324.5,327.0,324.0,,,327.0,2.0,62.0
1999-09-03,328.5,328.5,328.5,,,328.5,0.0,62.0
1999-09-07,332.0,333.0,331.0,,,331.0,3.0,65.0
1999-09-08,325.0,325.0,325.0,,,325.0,0.0,65.0
1999-09-09,324.0,324.0,324.0,,,324.0,0.0,65.0
1999-09-10,323.0,327.5,323.0,,,327.5,5.0,70.0
1999-09-13,325.5,330.0,325.5,,,328.0,6.0,76.0
1999-09-14,325.0,328.5,325.0,,,328.5,51.0,103.0
1999-09-15,325.5,325.5,317.5,,,318.0,140.0,168.0
1999-09-16,317.0,317.5,316.0,,,317.5,4.0,168.0
1999-09-17,319.5,319.5,319.5,,,319.5,10.0,165.0
1999-09-20,315.0,315.0,315.0,,,315.0,0.0,165.0
1999-09-21,315.5,315.5,312.0,,,313.0,34.0,187.0
1999-09-22,313.0,313.0,313.0,,,313.0,0.0,187.0
1999-09-23,312.0,317.0,311.5,,,316.5,1.0,188.0
1999-09-24,320.0,321.5,319.0,,,320.5,4.0,192.0
1999-09-27,319.0,324.0,317.0,,,323.0,32.0,195.0
1999-09-28,325.0,328.5,325.0,,,327.5,1.0,196.0
1999-09-29,328.0,328.5,326.5,,,326.5,27.0,214.0
1999-09-30,319.5,319.5,318.0,,,318.0,69.0,262.0
1999-10-01,317.0,317.0,311.5,,,311.5,10.0,265.0
1999-10-04,309.0,310.0,307.0,,,310.0,5.0,268.0
1999-10-05,307.5,307.5,307.5,,,307.5,12.0,277.0
1999-10-07,304.0,304.0,302.0,,,302.5,30.0,297.0
1999-10-08,300.5,300.5,298.0,,,298.0,38.0,317.0
1999-10-11,298.0,298.0,298.0,,,298.0,5.0,316.0
1999-10-12,297.5,302.0,297.5,,,302.0,1.0,316.0
1999-10-13,299.0,299.0,299.0,,,299.0,0.0,316.0
1999-10-14,299.0,299.0,299.0,,,299.0,0.0,316.0
1999-10-15,300.0,301.0,298.0,,,300.0,50.0,316.0
1999-10-18,302.5,302.5,302.5,,,302.5,0.0,316.0
1999-10-19,305.0,305.0,305.0,,,305.0,0.0,316.0
1999-10-20,300.5,301.0,298.5,,,299.5,11.0,327.0
1999-10-21,299.5,299.5,299.5,,,299.5,0.0,327.0
1999-10-22,298.5,301.0,298.5,,,301.0,20.0,337.0
1999-10-25,301.5,304.0,301.5,,,304.0,1.0,330.0
1999-10-26,306.5,306.5,299.0,,,299.0,1.0,331.0
1999-10-27,299.0,301.0,297.5,,,300.0,33.0,352.0
1999-10-28,301.25,302.0,299.5,,,300.0,5.0,353.0
1999-10-29,297.5,300.0,296.5,,,299.0,17.0,365.0
1999-11-01,295.5,295.5,295.5,,,295.5,0.0,365.0
1999-11-02,298.5,299.0,298.0,,,299.0,8.0,365.0
1999-11-03,302.0,303.0,301.0,,,302.5,46.0,366.0
1999-11-04,303.5,303.5,303.5,,,303.5,0.0,366.0
1999-11-05,300.0,300.0,300.0,,,300.0,11.0,377.0
1999-11-08,301.0,303.5,301.0,,,303.0,68.0,371.0
1999-11-09,299.25,299.5,298.5,,,298.5,23.0,388.0
1999-11-10,298.0,298.0,294.0,,,294.0,130.0,504.0
1999-11-11,293.0,293.0,289.0,,,292.0,97.0,568.0
