Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2009-07-15,640.5,640.5,640.5,,,640.5,0.0,0.0
2009-07-16,639.0,639.0,639.0,,,639.0,0.0,0.0
2009-07-17,649.25,649.25,649.25,,,649.25,0.0,0.0
2009-07-20,663.0,663.0,663.0,,,663.0,0.0,0.0
2009-07-21,656.25,656.25,656.25,,,656.25,0.0,0.0
2009-07-22,645.5,645.5,645.5,,,645.5,0.0,0.0
2009-07-23,655.5,655.5,655.5,,,655.5,0.0,0.0
2009-07-24,641.5,641.5,641.5,,,641.5,0.0,0.0
2009-07-27,646.25,646.25,646.25,,,646.25,0.0,0.0
2009-07-28,642.5,642.5,642.5,,,642.5,0.0,0.0
2009-07-29,638.75,638.75,638.75,,,638.75,0.0,0.0
2009-07-30,643.25,643.25,643.25,,,643.25,0.0,0.0
2009-07-31,654.25,654.25,654.25,,,654.25,0.0,0.0
2009-08-03,673.25,673.25,673.25,,,673.25,0.0,0.0
2009-08-04,662.25,662.25,662.25,,,662.25,0.0,0.0
2009-08-05,653.0,653.0,653.0,,,653.0,0.0,0.0
2009-08-06,628.0,628.0,628.0,,,628.0,0.0,0.0
2009-08-07,621.5,621.5,621.5,,,621.5,0.0,0.0
2009-08-10,627.0,627.0,627.0,,,627.0,0.0,0.0
2009-08-11,621.5,621.5,621.5,,,621.5,0.0,0.0
2009-08-12,626.25,626.25,626.25,,,626.25,0.0,0.0
2009-08-13,615.75,615.75,615.75,,,615.75,0.0,0.0
2009-08-14,615.75,615.75,615.75,,,615.75,0.0,0.0
2009-08-17,602.0,606.25,602.0,,,606.25,1.0,1.0
2009-08-18,602.0,604.75,602.0,,,604.75,1.0,1.0
2009-08-19,604.75,604.75,604.75,,,604.75,0.0,1.0
2009-08-20,609.0,609.0,602.0,,,609.0,8.0,5.0
2009-08-21,602.75,602.75,602.0,,,602.75,8.0,5.0
2009-08-24,617.75,617.75,617.75,,,617.75,8.0,5.0
2009-08-25,617.5,617.5,617.5,,,617.5,0.0,5.0
2009-08-26,624.75,624.75,624.75,,,624.75,0.0,5.0
2009-08-27,623.0,623.0,623.0,,,623.0,0.0,5.0
2009-08-28,615.25,615.25,615.25,,,615.25,1.0,5.0
2009-08-31,618.25,618.25,618.25,,,618.25,1.0,5.0
2009-09-01,606.0,606.0,606.0,,,606.0,0.0,5.0
2009-09-02,605.5,605.5,605.5,,,605.5,1.0,5.0
